Date,Open,High,Low,Close,Volume
29-Dec-17,100.00,135.00,99.00,135.00,1707500
28-Dec-17,91.00,107.00,90.00,100.00,159300
27-Dec-17,98.00,101.00,90.00,90.00,9300
22-Dec-17,91.00,95.00,89.00,91.00,39300
21-Dec-17,95.00,99.00,70.00,91.00,164100
20-Dec-17,98.00,98.00,96.00,97.00,14000
19-Dec-17,104.00,104.00,98.00,98.00,22000
18-Dec-17,107.00,107.00,98.00,101.00,7400
15-Dec-17,98.00,108.00,98.00,106.00,3100
14-Dec-17,98.00,99.00,97.00,98.00,75400
13-Dec-17,96.00,100.00,94.00,98.00,481200
12-Dec-17,97.00,113.00,97.00,102.00,193400
11-Dec-17,112.00,112.00,106.00,107.00,70300
8-Dec-17,116.00,124.00,112.00,113.00,58200
7-Dec-17,125.00,130.00,113.00,116.00,80100
6-Dec-17,123.00,151.00,120.00,125.00,13908100
5-Dec-17,123.00,130.00,123.00,123.00,5100
4-Dec-17,138.00,138.00,123.00,123.00,26800
30-Nov-17,140.00,140.00,132.00,132.00,35600
29-Nov-17,140.00,140.00,140.00,140.00,15000
28-Nov-17,140.00,140.00,136.00,140.00,3000
27-Nov-17,143.00,143.00,136.00,140.00,36200
24-Nov-17,142.00,143.00,141.00,143.00,25500
23-Nov-17,145.00,145.00,140.00,145.00,79900
22-Nov-17,150.00,150.00,140.00,145.00,35900
21-Nov-17,151.00,151.00,140.00,145.00,45800
20-Nov-17,155.00,155.00,143.00,143.00,43800
17-Nov-17,-,-,-,152.00,0
16-Nov-17,160.00,160.00,152.00,152.00,50200
15-Nov-17,150.00,150.00,150.00,150.00,1100
14-Nov-17,150.00,151.00,148.00,151.00,28100
13-Nov-17,147.00,151.00,145.00,151.00,7400
10-Nov-17,154.00,154.00,150.00,150.00,25100
9-Nov-17,153.00,153.00,153.00,153.00,4500
8-Nov-17,-,-,-,154.00,0
7-Nov-17,154.00,154.00,151.00,154.00,2200
6-Nov-17,156.00,156.00,140.00,153.00,37800
3-Nov-17,-,-,-,155.00,0
2-Nov-17,159.00,159.00,155.00,155.00,51100
1-Nov-17,159.00,161.00,152.00,159.00,96000
31-Oct-17,162.00,162.00,158.00,158.00,81000
30-Oct-17,162.00,162.00,154.00,162.00,109600
27-Oct-17,161.00,163.00,160.00,160.00,115000
26-Oct-17,162.00,162.00,162.00,162.00,200
25-Oct-17,160.00,160.00,160.00,160.00,3300
24-Oct-17,163.00,163.00,157.00,157.00,6300
23-Oct-17,165.00,165.00,160.00,160.00,2400
20-Oct-17,161.00,161.00,161.00,161.00,1300
19-Oct-17,163.00,163.00,159.00,162.00,4200
18-Oct-17,159.00,164.00,157.00,164.00,18300
17-Oct-17,164.00,164.00,164.00,164.00,100
16-Oct-17,-,-,-,164.00,0
13-Oct-17,163.00,164.00,160.00,164.00,113000
12-Oct-17,163.00,163.00,162.00,163.00,103300
11-Oct-17,163.00,163.00,163.00,163.00,1700
10-Oct-17,168.00,168.00,162.00,164.00,1200
9-Oct-17,163.00,164.00,155.00,164.00,22900
6-Oct-17,164.00,164.00,164.00,164.00,300
5-Oct-17,166.00,166.00,164.00,164.00,50600
4-Oct-17,163.00,163.00,160.00,162.00,21800
3-Oct-17,160.00,164.00,160.00,164.00,4400
2-Oct-17,165.00,165.00,165.00,165.00,2000
29-Sep-17,168.00,168.00,160.00,165.00,139900
28-Sep-17,160.00,167.00,160.00,167.00,34400
27-Sep-17,162.00,166.00,161.00,166.00,700
26-Sep-17,161.00,166.00,161.00,166.00,300
25-Sep-17,158.00,161.00,155.00,161.00,1000
22-Sep-17,160.00,162.00,160.00,162.00,500
20-Sep-17,160.00,163.00,160.00,163.00,2800
