Date,Open,High,Low,Close,Volume
29-Dec-17,212.00,222.00,212.00,214.00,8840800
28-Dec-17,212.00,216.00,212.00,214.00,1081300
27-Dec-17,216.00,218.00,212.00,212.00,1145500
22-Dec-17,216.00,216.00,212.00,214.00,1977000
21-Dec-17,210.00,218.00,210.00,212.00,5540700
20-Dec-17,212.00,214.00,208.00,210.00,4417800
19-Dec-17,208.00,216.00,208.00,212.00,5874800
18-Dec-17,210.00,214.00,208.00,208.00,3550400
15-Dec-17,210.00,212.00,206.00,210.00,10452100
14-Dec-17,208.00,214.00,208.00,210.00,6654200
13-Dec-17,210.00,210.00,208.00,208.00,2056500
12-Dec-17,208.00,212.00,206.00,208.00,3541400
11-Dec-17,212.00,216.00,208.00,208.00,6805900
8-Dec-17,210.00,214.00,208.00,212.00,2363500
7-Dec-17,210.00,216.00,208.00,210.00,5051100
6-Dec-17,208.00,216.00,208.00,210.00,3713100
5-Dec-17,220.00,220.00,210.00,210.00,7137800
4-Dec-17,216.00,222.00,216.00,218.00,1655200
30-Nov-17,218.00,228.00,216.00,216.00,6983200
29-Nov-17,218.00,226.00,216.00,218.00,7611800
28-Nov-17,226.00,226.00,212.00,216.00,11804300
27-Nov-17,224.00,228.00,222.00,224.00,4490000
24-Nov-17,224.00,228.00,224.00,224.00,3594000
23-Nov-17,232.00,232.00,224.00,224.00,10250600
22-Nov-17,232.00,234.00,226.00,228.00,6556500
21-Nov-17,234.00,234.00,230.00,230.00,4237000
20-Nov-17,230.00,234.00,228.00,232.00,8037800
17-Nov-17,234.00,234.00,228.00,228.00,11099500
16-Nov-17,224.00,238.00,224.00,232.00,25236600
15-Nov-17,228.00,228.00,224.00,224.00,9194300
14-Nov-17,224.00,232.00,224.00,226.00,13303500
13-Nov-17,228.00,230.00,222.00,224.00,18749800
10-Nov-17,232.00,238.00,226.00,228.00,22417500
9-Nov-17,236.00,238.00,228.00,230.00,24532300
8-Nov-17,232.00,246.00,230.00,234.00,95494200
7-Nov-17,208.00,230.00,208.00,230.00,96236100
6-Nov-17,208.00,212.00,204.00,208.00,15782000
3-Nov-17,208.00,208.00,204.00,206.00,3504000
2-Nov-17,210.00,210.00,204.00,206.00,8870700
1-Nov-17,208.00,210.00,204.00,208.00,6372500
31-Oct-17,212.00,212.00,204.00,206.00,14584200
30-Oct-17,216.00,218.00,208.00,208.00,12127700
27-Oct-17,206.00,218.00,204.00,214.00,51708200
26-Oct-17,208.00,210.00,206.00,206.00,4472200
25-Oct-17,212.00,214.00,206.00,206.00,7453900
24-Oct-17,208.00,216.00,206.00,210.00,18746800
23-Oct-17,206.00,208.00,204.00,208.00,7345000
20-Oct-17,206.00,208.00,204.00,204.00,2277100
19-Oct-17,206.00,210.00,202.00,206.00,8772700
18-Oct-17,208.00,212.00,206.00,206.00,6281500
17-Oct-17,208.00,210.00,206.00,208.00,7465800
16-Oct-17,210.00,210.00,206.00,208.00,4082800
13-Oct-17,208.00,210.00,206.00,208.00,4498400
12-Oct-17,212.00,212.00,206.00,208.00,8030600
11-Oct-17,206.00,218.00,206.00,210.00,14766800
10-Oct-17,212.00,214.00,208.00,210.00,6330500
9-Oct-17,208.00,220.00,206.00,210.00,19152500
6-Oct-17,210.00,212.00,206.00,206.00,6865300
5-Oct-17,208.00,214.00,206.00,210.00,14668100
4-Oct-17,204.00,210.00,202.00,206.00,14873000
3-Oct-17,208.00,208.00,202.00,204.00,4640100
2-Oct-17,208.00,212.00,204.00,206.00,7388900
29-Sep-17,206.00,210.00,204.00,206.00,7696300
28-Sep-17,208.00,214.00,204.00,206.00,13102500
27-Sep-17,216.00,216.00,204.00,208.00,17376400
26-Sep-17,218.00,222.00,208.00,210.00,22837400
25-Sep-17,228.00,228.00,216.00,218.00,18238300
22-Sep-17,220.00,228.00,220.00,226.00,10939800
20-Sep-17,228.00,232.00,220.00,222.00,29654800
19-Sep-17,206.00,236.00,206.00,226.00,94683600
18-Sep-17,208.00,210.00,204.00,204.00,7107500
15-Sep-17,212.00,214.00,204.00,206.00,16844900
14-Sep-17,212.00,220.00,210.00,212.00,22660800
13-Sep-17,210.00,214.00,208.00,212.00,11969600
12-Sep-17,218.00,224.00,210.00,210.00,29183100
11-Sep-17,216.00,222.00,216.00,218.00,6723100
8-Sep-17,224.00,226.00,216.00,216.00,10258800
7-Sep-17,218.00,224.00,216.00,220.00,10357600
6-Sep-17,216.00,226.00,214.00,216.00,16914200
5-Sep-17,222.00,226.00,212.00,216.00,35823900
4-Sep-17,232.00,232.00,222.00,222.00,19043000
31-Aug-17,234.00,236.00,230.00,230.00,8218000
30-Aug-17,236.00,240.00,232.00,234.00,11306500
29-Aug-17,240.00,240.00,234.00,234.00,17942300
28-Aug-17,248.00,248.00,236.00,238.00,16607900
25-Aug-17,254.00,258.00,246.00,246.00,27916900
24-Aug-17,240.00,252.00,240.00,250.00,47916800
23-Aug-17,232.00,244.00,230.00,238.00,35671100
22-Aug-17,232.00,234.00,230.00,230.00,6585400
21-Aug-17,230.00,236.00,228.00,232.00,13190100
18-Aug-17,232.00,232.00,228.00,228.00,6373800
16-Aug-17,232.00,234.00,230.00,230.00,4029500
15-Aug-17,232.00,234.00,228.00,230.00,6376700
14-Aug-17,232.00,234.00,230.00,230.00,3897000
11-Aug-17,234.00,236.00,230.00,232.00,5404500
10-Aug-17,232.00,238.00,230.00,234.00,8291900
9-Aug-17,232.00,234.00,230.00,232.00,7138900
8-Aug-17,238.00,238.00,228.00,232.00,23380500
7-Aug-17,232.00,246.00,232.00,236.00,21674700
4-Aug-17,234.00,238.00,232.00,236.00,4175200
3-Aug-17,238.00,238.00,232.00,232.00,6293800
2-Aug-17,236.00,240.00,234.00,236.00,7489700
1-Aug-17,236.00,240.00,234.00,236.00,7486400
31-Jul-17,234.00,242.00,234.00,234.00,7883400
28-Jul-17,240.00,240.00,232.00,234.00,9001900
27-Jul-17,242.00,244.00,234.00,238.00,7534900
26-Jul-17,234.00,246.00,232.00,240.00,13950300
25-Jul-17,238.00,240.00,230.00,232.00,16509600
24-Jul-17,248.00,248.00,236.00,236.00,13289600
21-Jul-17,252.00,256.00,242.00,242.00,13598500
20-Jul-17,252.00,256.00,246.00,250.00,6611800
19-Jul-17,254.00,260.00,250.00,252.00,10906300
18-Jul-17,246.00,256.00,246.00,252.00,11483400
17-Jul-17,246.00,248.00,244.00,246.00,8475800
14-Jul-17,248.00,252.00,244.00,246.00,6421100
13-Jul-17,254.00,254.00,246.00,248.00,8104600
12-Jul-17,244.00,256.00,240.00,252.00,21034700
11-Jul-17,252.00,254.00,240.00,244.00,15548600
10-Jul-17,258.00,258.00,250.00,252.00,6211000
7-Jul-17,252.00,256.00,252.00,252.00,13037000
6-Jul-17,264.00,268.00,250.00,252.00,39283500
5-Jul-17,264.00,268.00,262.00,262.00,11405600
4-Jul-17,276.00,282.00,248.00,262.00,43046600
3-Jul-17,276.00,278.00,274.00,274.00,5971400
22-Jun-17,276.00,278.00,272.00,274.00,6569300
21-Jun-17,280.00,282.00,274.00,274.00,11297000
20-Jun-17,278.00,284.00,276.00,280.00,15533100
19-Jun-17,276.00,284.00,272.00,276.00,36024800
16-Jun-17,288.00,288.00,276.00,276.00,31617100
15-Jun-17,294.00,296.00,286.00,286.00,43072100
14-Jun-17,278.00,300.00,276.00,292.00,145411600
13-Jun-17,274.00,282.00,272.00,278.00,31542900
12-Jun-17,272.00,276.00,270.00,272.00,9459000
9-Jun-17,274.00,274.00,268.00,270.00,9806700
8-Jun-17,278.00,280.00,272.00,272.00,18069700
7-Jun-17,270.00,282.00,270.00,276.00,51792800
6-Jun-17,270.00,276.00,264.00,268.00,24733600
5-Jun-17,272.00,280.00,266.00,268.00,18042800
2-Jun-17,276.00,282.00,272.00,272.00,24002700
31-May-17,270.00,286.00,270.00,274.00,63889100
30-May-17,272.00,276.00,268.00,268.00,24275500
29-May-17,266.00,272.00,264.00,270.00,16942500
26-May-17,276.00,280.00,262.00,264.00,34268700
24-May-17,278.00,286.00,274.00,274.00,48655200
23-May-17,272.00,286.00,266.00,276.00,45619300
22-May-17,286.00,292.00,270.00,272.00,92633300
19-May-17,248.00,288.00,246.00,284.00,232466600
18-May-17,228.00,248.00,226.00,246.00,38603300
17-May-17,236.00,236.00,226.00,228.00,9183200
16-May-17,230.00,240.00,224.00,234.00,43371400
15-May-17,232.00,234.00,224.00,224.00,10476900
12-May-17,228.00,230.00,222.00,226.00,18956000
10-May-17,238.00,238.00,222.00,222.00,20659500
9-May-17,246.00,250.00,232.00,234.00,19475500
8-May-17,252.00,256.00,242.00,244.00,26533100
5-May-17,240.00,250.00,226.00,250.00,79281700
4-May-17,244.00,250.00,234.00,234.00,25015100
3-May-17,248.00,254.00,242.00,244.00,34047200
2-May-17,260.00,260.00,246.00,246.00,13247100
28-Apr-17,266.00,266.00,254.00,254.00,11283700
27-Apr-17,262.00,266.00,258.00,260.00,15204400
26-Apr-17,260.00,266.00,258.00,262.00,16270700
25-Apr-17,260.00,264.00,258.00,258.00,14084600
21-Apr-17,254.00,264.00,250.00,258.00,31530200
20-Apr-17,266.00,268.00,254.00,254.00,32616000
18-Apr-17,266.00,272.00,264.00,266.00,16268300
17-Apr-17,270.00,276.00,264.00,266.00,14758000
13-Apr-17,278.00,282.00,270.00,270.00,30069500
12-Apr-17,274.00,282.00,272.00,276.00,33524000
11-Apr-17,272.00,280.00,272.00,272.00,19216100
10-Apr-17,278.00,280.00,272.00,272.00,31481300
7-Apr-17,282.00,286.00,274.00,278.00,23747100
6-Apr-17,276.00,294.00,272.00,280.00,98185600
5-Apr-17,270.00,278.00,270.00,274.00,27312800
4-Apr-17,278.00,278.00,262.00,268.00,71924000
3-Apr-17,296.00,300.00,274.00,278.00,75573100
31-Mar-17,294.00,304.00,290.00,294.00,84737400
