Date,Open,High,Low,Close,Volume
29-Dec-17,180.00,180.00,169.00,172.00,1005300
28-Dec-17,176.00,176.00,171.00,172.00,12800
27-Dec-17,160.00,178.00,150.00,178.00,1377200
22-Dec-17,185.00,185.00,165.00,165.00,3838100
21-Dec-17,178.00,178.00,178.00,178.00,30000
20-Dec-17,170.00,178.00,170.00,178.00,2940400
19-Dec-17,190.00,190.00,175.00,178.00,331600
18-Dec-17,185.00,185.00,172.00,178.00,25400
15-Dec-17,184.00,184.00,178.00,178.00,10600
14-Dec-17,178.00,180.00,172.00,178.00,670700
13-Dec-17,181.00,182.00,181.00,182.00,120100
12-Dec-17,182.00,182.00,182.00,182.00,10300
11-Dec-17,182.00,185.00,182.00,182.00,2234700
8-Dec-17,182.00,184.00,182.00,184.00,130900
7-Dec-17,175.00,185.00,170.00,184.00,2199000
6-Dec-17,190.00,190.00,185.00,185.00,6400
5-Dec-17,185.00,186.00,185.00,185.00,3954100
4-Dec-17,199.00,199.00,185.00,185.00,14300
30-Nov-17,185.00,185.00,185.00,185.00,1000
29-Nov-17,185.00,185.00,185.00,185.00,17000
28-Nov-17,185.00,185.00,185.00,185.00,1000
27-Nov-17,185.00,185.00,185.00,185.00,1500
24-Nov-17,185.00,185.00,185.00,185.00,1000
23-Nov-17,185.00,185.00,185.00,185.00,229000
22-Nov-17,185.00,185.00,146.00,185.00,1700
21-Nov-17,185.00,185.00,185.00,185.00,1000
20-Nov-17,184.00,185.00,184.00,185.00,11200
17-Nov-17,185.00,185.00,185.00,185.00,500
16-Nov-17,185.00,185.00,185.00,185.00,500
15-Nov-17,185.00,185.00,185.00,185.00,500
14-Nov-17,-,-,-,185.00,0
13-Nov-17,184.00,185.00,184.00,185.00,5100
10-Nov-17,185.00,185.00,185.00,185.00,1000
9-Nov-17,185.00,185.00,185.00,185.00,10000
8-Nov-17,185.00,185.00,185.00,185.00,20800
7-Nov-17,189.00,189.00,185.00,185.00,2500
6-Nov-17,189.00,189.00,189.00,189.00,1400
3-Nov-17,189.00,189.00,189.00,189.00,30300
2-Nov-17,190.00,190.00,189.00,189.00,20600
1-Nov-17,190.00,190.00,190.00,190.00,200
31-Oct-17,190.00,190.00,190.00,190.00,50200
30-Oct-17,190.00,190.00,190.00,190.00,300
27-Oct-17,190.00,190.00,190.00,190.00,200
26-Oct-17,190.00,190.00,190.00,190.00,500
25-Oct-17,190.00,190.00,190.00,190.00,50200
24-Oct-17,190.00,190.00,190.00,190.00,700
23-Oct-17,195.00,195.00,190.00,190.00,1200
20-Oct-17,190.00,190.00,190.00,190.00,400
19-Oct-17,190.00,190.00,190.00,190.00,300
18-Oct-17,194.00,195.00,194.00,195.00,180100
17-Oct-17,195.00,195.00,194.00,194.00,10300
16-Oct-17,190.00,190.00,190.00,190.00,70000
13-Oct-17,190.00,190.00,190.00,190.00,20000
12-Oct-17,190.00,190.00,190.00,190.00,20100
11-Oct-17,190.00,190.00,190.00,190.00,20000
10-Oct-17,190.00,190.00,190.00,190.00,20000
9-Oct-17,186.00,186.00,186.00,186.00,100
6-Oct-17,190.00,190.00,190.00,190.00,500
5-Oct-17,190.00,190.00,190.00,190.00,200
4-Oct-17,190.00,190.00,190.00,190.00,1100
3-Oct-17,185.00,190.00,180.00,190.00,6100
2-Oct-17,190.00,190.00,189.00,190.00,20900
29-Sep-17,190.00,190.00,188.00,190.00,21800
28-Sep-17,194.00,194.00,194.00,194.00,800
27-Sep-17,195.00,195.00,190.00,194.00,3200
26-Sep-17,191.00,191.00,191.00,191.00,200
25-Sep-17,191.00,191.00,191.00,191.00,500
22-Sep-17,195.00,195.00,194.00,194.00,4600
20-Sep-17,190.00,190.00,190.00,190.00,100
19-Sep-17,195.00,195.00,195.00,195.00,500
18-Sep-17,194.00,194.00,194.00,194.00,40000
15-Sep-17,190.00,195.00,190.00,194.00,49900
14-Sep-17,195.00,195.00,195.00,195.00,50000
13-Sep-17,195.00,195.00,195.00,195.00,1000
12-Sep-17,191.00,198.00,190.00,198.00,40300
11-Sep-17,195.00,195.00,195.00,195.00,4100
8-Sep-17,200.00,200.00,196.00,196.00,1700
7-Sep-17,191.00,199.00,191.00,199.00,104600
6-Sep-17,191.00,199.00,191.00,199.00,105100
5-Sep-17,206.00,206.00,199.00,199.00,128600
4-Sep-17,208.00,208.00,200.00,206.00,174600
31-Aug-17,206.00,206.00,204.00,206.00,160700
30-Aug-17,208.00,208.00,206.00,206.00,24200
29-Aug-17,206.00,208.00,206.00,208.00,151900
28-Aug-17,197.00,206.00,197.00,206.00,171900
25-Aug-17,192.00,197.00,192.00,197.00,50300
24-Aug-17,197.00,197.00,191.00,197.00,140600
23-Aug-17,197.00,197.00,197.00,197.00,5900
22-Aug-17,197.00,197.00,190.00,197.00,53600
21-Aug-17,197.00,197.00,197.00,197.00,59700
18-Aug-17,197.00,197.00,195.00,197.00,88600
16-Aug-17,197.00,197.00,197.00,197.00,50100
15-Aug-17,191.00,200.00,191.00,197.00,2960500
14-Aug-17,195.00,195.00,195.00,195.00,50400
11-Aug-17,195.00,195.00,194.00,195.00,50500
10-Aug-17,195.00,195.00,195.00,195.00,50300
9-Aug-17,195.00,195.00,195.00,195.00,100300
8-Aug-17,195.00,195.00,192.00,195.00,515700
7-Aug-17,199.00,199.00,195.00,195.00,233400
4-Aug-17,204.00,204.00,191.00,199.00,2113700
3-Aug-17,191.00,204.00,190.00,202.00,501600
2-Aug-17,202.00,202.00,192.00,192.00,25100
1-Aug-17,202.00,202.00,184.00,199.00,1307500
31-Jul-17,180.00,200.00,177.00,200.00,240600
28-Jul-17,190.00,190.00,178.00,180.00,1332300
27-Jul-17,195.00,196.00,188.00,190.00,9600
26-Jul-17,194.00,195.00,189.00,195.00,764900
25-Jul-17,200.00,202.00,194.00,194.00,453900
24-Jul-17,197.00,200.00,196.00,200.00,760300
21-Jul-17,199.00,202.00,196.00,202.00,247400
20-Jul-17,208.00,208.00,199.00,200.00,785700
19-Jul-17,212.00,216.00,204.00,208.00,101100
18-Jul-17,214.00,218.00,206.00,210.00,624900
17-Jul-17,214.00,216.00,214.00,216.00,100100
14-Jul-17,220.00,220.00,200.00,214.00,1132000
13-Jul-17,220.00,220.00,210.00,218.00,212400
12-Jul-17,216.00,220.00,214.00,220.00,310300
11-Jul-17,212.00,220.00,204.00,220.00,293600
10-Jul-17,220.00,220.00,220.00,220.00,51900
7-Jul-17,220.00,220.00,206.00,220.00,282700
6-Jul-17,212.00,220.00,204.00,220.00,96400
5-Jul-17,220.00,220.00,210.00,218.00,92900
4-Jul-17,220.00,220.00,212.00,220.00,191200
3-Jul-17,222.00,230.00,210.00,220.00,456200
22-Jun-17,214.00,226.00,214.00,222.00,926800
21-Jun-17,232.00,232.00,212.00,230.00,641400
20-Jun-17,218.00,238.00,214.00,232.00,2927000
19-Jun-17,246.00,250.00,200.00,250.00,2969300
16-Jun-17,230.00,256.00,190.00,246.00,7560900
15-Jun-17,190.00,190.00,190.00,190.00,2000
14-Jun-17,190.00,190.00,190.00,190.00,52000
13-Jun-17,190.00,190.00,190.00,190.00,502000
12-Jun-17,190.00,190.00,190.00,190.00,2000
9-Jun-17,190.00,190.00,188.00,190.00,4000
8-Jun-17,190.00,190.00,190.00,190.00,2000
7-Jun-17,190.00,190.00,190.00,190.00,3022000
6-Jun-17,190.00,190.00,190.00,190.00,3000
5-Jun-17,189.00,190.00,189.00,190.00,92000
2-Jun-17,190.00,190.00,190.00,190.00,2000
31-May-17,190.00,190.00,190.00,190.00,2000
30-May-17,190.00,190.00,190.00,190.00,2000
