Date,Open,High,Low,Close,Volume
29-Dec-17,3200.00,3340.00,3000.00,3340.00,3200
28-Dec-17,2920.00,3270.00,2920.00,3270.00,1900
27-Dec-17,-,-,-,2970.00,0
22-Dec-17,2970.00,2970.00,2970.00,2970.00,300
21-Dec-17,2900.00,2900.00,2900.00,2900.00,100
20-Dec-17,2900.00,2900.00,2800.00,2800.00,200
19-Dec-17,2850.00,3000.00,2800.00,2850.00,1700
18-Dec-17,2800.00,2850.00,2800.00,2810.00,4600
15-Dec-17,2900.00,2900.00,2900.00,2900.00,100
14-Dec-17,2850.00,2900.00,2850.00,2850.00,400
13-Dec-17,-,-,-,2800.00,0
12-Dec-17,2800.00,2800.00,2800.00,2800.00,100
11-Dec-17,-,-,-,2850.00,0
8-Dec-17,2800.00,2850.00,2800.00,2850.00,600
7-Dec-17,2800.00,2800.00,2800.00,2800.00,100
6-Dec-17,2710.00,2800.00,2710.00,2800.00,200
5-Dec-17,-,-,-,2710.00,0
4-Dec-17,2920.00,3000.00,2700.00,2710.00,2300
30-Nov-17,2980.00,3000.00,2780.00,2850.00,1300
29-Nov-17,2800.00,2900.00,2610.00,2900.00,600
28-Nov-17,2850.00,2930.00,2850.00,2850.00,400
27-Nov-17,2700.00,2980.00,2700.00,2930.00,3300
24-Nov-17,2950.00,2950.00,2650.00,2700.00,4900
23-Nov-17,2950.00,3000.00,2950.00,3000.00,200
22-Nov-17,2950.00,3020.00,2950.00,3020.00,600
21-Nov-17,2970.00,2970.00,2970.00,2970.00,100
20-Nov-17,2990.00,2990.00,2970.00,2970.00,5300
17-Nov-17,3100.00,3100.00,2990.00,2990.00,500
16-Nov-17,3070.00,3070.00,3070.00,3070.00,200
15-Nov-17,-,-,-,3000.00,0
14-Nov-17,3000.00,3000.00,3000.00,3000.00,600
13-Nov-17,-,-,-,3000.00,0
10-Nov-17,-,-,-,3000.00,0
9-Nov-17,-,-,-,3000.00,0
8-Nov-17,3000.00,3000.00,3000.00,3000.00,200
7-Nov-17,3150.00,3150.00,3150.00,3150.00,300
6-Nov-17,-,-,-,3100.00,0
3-Nov-17,-,-,-,3100.00,0
2-Nov-17,-,-,-,3100.00,0
1-Nov-17,3000.00,3100.00,3000.00,3100.00,400
31-Oct-17,-,-,-,2950.00,0
30-Oct-17,2950.00,2950.00,2950.00,2950.00,100
27-Oct-17,-,-,-,2950.00,0
26-Oct-17,2950.00,2950.00,2950.00,2950.00,100
25-Oct-17,2990.00,2990.00,2950.00,2950.00,200
24-Oct-17,-,-,-,2970.00,0
23-Oct-17,2950.00,3040.00,2950.00,2970.00,500
20-Oct-17,-,-,-,2980.00,0
19-Oct-17,2980.00,2980.00,2980.00,2980.00,500
18-Oct-17,3000.00,3000.00,2980.00,3000.00,1700
17-Oct-17,3040.00,3040.00,3000.00,3000.00,200
16-Oct-17,-,-,-,2970.00,0
13-Oct-17,-,-,-,2970.00,0
12-Oct-17,3000.00,3150.00,2900.00,2970.00,8200
11-Oct-17,3000.00,3000.00,2970.00,2970.00,800
10-Oct-17,-,-,-,3000.00,0
9-Oct-17,-,-,-,3000.00,0
6-Oct-17,3000.00,3050.00,2900.00,3000.00,4600
5-Oct-17,3010.00,3140.00,2990.00,2990.00,4900
4-Oct-17,3080.00,3150.00,3080.00,3150.00,1600
3-Oct-17,3000.00,3000.00,2990.00,2990.00,600
2-Oct-17,-,-,-,3000.00,0
29-Sep-17,3000.00,3000.00,3000.00,3000.00,100
28-Sep-17,3000.00,3000.00,3000.00,3000.00,100
27-Sep-17,-,-,-,3000.00,0
26-Sep-17,3000.00,3100.00,2990.00,3000.00,7900
25-Sep-17,3000.00,3000.00,2990.00,3000.00,400
22-Sep-17,3050.00,3050.00,3000.00,3000.00,500
20-Sep-17,3000.00,3000.00,3000.00,3000.00,200
19-Sep-17,-,-,-,3000.00,400
18-Sep-17,3000.00,3000.00,3000.00,3000.00,100
15-Sep-17,3050.00,3050.00,3000.00,3050.00,1300
14-Sep-17,-,-,-,3050.00,0
13-Sep-17,-,-,-,3050.00,0
12-Sep-17,3000.00,3050.00,3000.00,3050.00,500
11-Sep-17,3000.00,3000.00,2980.00,2980.00,1500
8-Sep-17,3000.00,3000.00,3000.00,3000.00,100
7-Sep-17,-,-,-,3000.00,0
6-Sep-17,3000.00,3000.00,3000.00,3000.00,1000
5-Sep-17,-,-,-,2980.00,0
4-Sep-17,2980.00,2980.00,2980.00,2980.00,100
31-Aug-17,2950.00,3020.00,2940.00,2950.00,3400
30-Aug-17,2950.00,2950.00,2950.00,2950.00,200
29-Aug-17,2950.00,2950.00,2950.00,2950.00,100
28-Aug-17,3000.00,3000.00,2950.00,2950.00,7700
25-Aug-17,3000.00,3020.00,2960.00,3020.00,600
24-Aug-17,3000.00,3010.00,2950.00,3010.00,6200
23-Aug-17,-,-,-,3000.00,0
22-Aug-17,-,-,-,3000.00,0
21-Aug-17,-,-,-,3000.00,0
18-Aug-17,-,-,-,3000.00,0
16-Aug-17,-,-,-,3000.00,0
15-Aug-17,-,-,-,3000.00,0
14-Aug-17,-,-,-,3000.00,0
11-Aug-17,3000.00,3000.00,3000.00,3000.00,13400
10-Aug-17,-,-,-,3000.00,0
9-Aug-17,3000.00,3000.00,3000.00,3000.00,500
8-Aug-17,-,-,-,3000.00,0
7-Aug-17,-,-,-,3000.00,0
4-Aug-17,-,-,-,3000.00,0
3-Aug-17,-,-,-,3000.00,0
2-Aug-17,-,-,-,3000.00,0
1-Aug-17,-,-,-,3000.00,0
31-Jul-17,3000.00,3000.00,3000.00,3000.00,100
28-Jul-17,3000.00,3000.00,2930.00,3000.00,1400
27-Jul-17,-,-,-,3050.00,0
26-Jul-17,-,-,-,3050.00,0
25-Jul-17,-,-,-,3050.00,0
24-Jul-17,3000.00,3050.00,2900.00,3050.00,13200
21-Jul-17,3000.00,3000.00,2950.00,3000.00,2300
20-Jul-17,3000.00,3000.00,3000.00,3000.00,300
19-Jul-17,3000.00,3010.00,2900.00,3010.00,11100
18-Jul-17,2900.00,3000.00,2900.00,3000.00,1600
17-Jul-17,-,-,-,2820.00,0
14-Jul-17,2820.00,2820.00,2820.00,2820.00,100
13-Jul-17,2900.00,2900.00,2900.00,2900.00,800
12-Jul-17,2900.00,2900.00,2900.00,2900.00,100
11-Jul-17,2800.00,2800.00,2800.00,2800.00,1100
10-Jul-17,-,-,-,2900.00,0
7-Jul-17,2900.00,2900.00,2900.00,2900.00,100
6-Jul-17,-,-,-,2950.00,0
5-Jul-17,-,-,-,2950.00,0
4-Jul-17,2950.00,2950.00,2950.00,2950.00,200
3-Jul-17,-,-,-,3000.00,0
22-Jun-17,3000.00,3000.00,3000.00,3000.00,200
21-Jun-17,-,-,-,3000.00,0
20-Jun-17,2900.00,3000.00,2900.00,3000.00,2200
19-Jun-17,2900.00,2900.00,2800.00,2900.00,3600
16-Jun-17,2900.00,2900.00,2850.00,2850.00,700
15-Jun-17,2900.00,2900.00,2900.00,2900.00,100
14-Jun-17,2910.00,2910.00,2910.00,2910.00,100
13-Jun-17,-,-,-,3000.00,0
12-Jun-17,3000.00,3000.00,3000.00,3000.00,100
9-Jun-17,3000.00,3000.00,3000.00,3000.00,2000
8-Jun-17,2900.00,2900.00,2900.00,2900.00,200
7-Jun-17,-,-,-,3000.00,0
6-Jun-17,-,-,-,3000.00,0
5-Jun-17,-,-,-,3000.00,0
2-Jun-17,-,-,-,3000.00,0
31-May-17,-,-,-,3000.00,0
30-May-17,-,-,-,3000.00,0
29-May-17,2900.00,3000.00,2900.00,3000.00,20700
26-May-17,2900.00,2900.00,2900.00,2900.00,100
24-May-17,2910.00,2910.00,2870.00,2870.00,1000
23-May-17,-,-,-,3000.00,0
22-May-17,2910.00,3000.00,2900.00,3000.00,1100
19-May-17,3000.00,3000.00,3000.00,3000.00,100
18-May-17,3000.00,3000.00,3000.00,3000.00,700
17-May-17,-,-,-,3030.00,0
16-May-17,-,-,-,3030.00,0
15-May-17,-,-,-,3030.00,0
12-May-17,3030.00,3030.00,3030.00,3030.00,500
10-May-17,-,-,-,3000.00,0
9-May-17,3000.00,3000.00,3000.00,3000.00,500
8-May-17,-,-,-,3040.00,0
5-May-17,3000.00,3040.00,3000.00,3040.00,4400
4-May-17,3000.00,3010.00,3000.00,3000.00,800
3-May-17,3000.00,3000.00,3000.00,3000.00,3100
2-May-17,3000.00,3000.00,3000.00,3000.00,500
28-Apr-17,3010.00,3010.00,3010.00,3010.00,1500
27-Apr-17,3010.00,3010.00,3010.00,3010.00,300
26-Apr-17,3000.00,3050.00,3000.00,3050.00,2700
25-Apr-17,3000.00,3000.00,3000.00,3000.00,1700
21-Apr-17,3000.00,3000.00,3000.00,3000.00,400
20-Apr-17,3000.00,3000.00,3000.00,3000.00,500
18-Apr-17,3000.00,3010.00,3000.00,3000.00,2400
17-Apr-17,3000.00,3010.00,2980.00,3010.00,1900
13-Apr-17,3000.00,3050.00,2990.00,3050.00,2600
12-Apr-17,3000.00,3000.00,3000.00,3000.00,300
11-Apr-17,3000.00,3020.00,3000.00,3020.00,1100
