Date,Open,High,Low,Close,Volume
29-Dec-17,8500.00,8500.00,8475.00,8500.00,2900
28-Dec-17,-,-,-,8500.00,0
27-Dec-17,8500.00,8500.00,8500.00,8500.00,500
22-Dec-17,-,-,-,8400.00,0
21-Dec-17,-,-,-,8400.00,0
20-Dec-17,8400.00,8400.00,8400.00,8400.00,8700
19-Dec-17,8350.00,8400.00,8350.00,8400.00,3100
18-Dec-17,8400.00,8400.00,8400.00,8400.00,300
15-Dec-17,8400.00,8400.00,8400.00,8400.00,11700
14-Dec-17,-,-,-,8400.00,0
13-Dec-17,-,-,-,8400.00,0
12-Dec-17,8400.00,8400.00,8400.00,8400.00,2200
11-Dec-17,8400.00,8400.00,8400.00,8400.00,20000
8-Dec-17,-,-,-,8400.00,0
7-Dec-17,8600.00,8700.00,8400.00,8400.00,10900
6-Dec-17,8500.00,8500.00,8400.00,8400.00,4600
5-Dec-17,8400.00,8500.00,8400.00,8500.00,1500
4-Dec-17,8400.00,8450.00,8400.00,8450.00,4000
30-Nov-17,-,-,-,8450.00,0
29-Nov-17,-,-,-,8450.00,0
28-Nov-17,8450.00,8450.00,8450.00,8450.00,6700
27-Nov-17,-,-,-,8450.00,0
24-Nov-17,-,-,-,8450.00,0
23-Nov-17,8450.00,8450.00,8450.00,8450.00,2000
22-Nov-17,8400.00,8400.00,8400.00,8400.00,500
21-Nov-17,8450.00,8450.00,8400.00,8400.00,500
20-Nov-17,-,-,-,8400.00,0
17-Nov-17,-,-,-,8400.00,0
16-Nov-17,-,-,-,8400.00,0
15-Nov-17,-,-,-,8400.00,0
14-Nov-17,-,-,-,8400.00,0
13-Nov-17,8400.00,8400.00,8400.00,8400.00,600
10-Nov-17,-,-,-,8575.00,0
9-Nov-17,-,-,-,8575.00,0
8-Nov-17,8525.00,8575.00,8525.00,8575.00,300
7-Nov-17,-,-,-,8500.00,0
6-Nov-17,-,-,-,8500.00,0
3-Nov-17,-,-,-,8500.00,0
2-Nov-17,8500.00,8500.00,8425.00,8500.00,5100
1-Nov-17,8500.00,8500.00,8500.00,8500.00,700
31-Oct-17,-,-,-,8425.00,0
30-Oct-17,8425.00,8425.00,8425.00,8425.00,100
27-Oct-17,8400.00,8500.00,8400.00,8500.00,1100
26-Oct-17,8500.00,8500.00,8500.00,8500.00,800
25-Oct-17,8500.00,8500.00,8500.00,8500.00,400
24-Oct-17,8500.00,8500.00,8400.00,8400.00,3300
23-Oct-17,8500.00,8500.00,8400.00,8400.00,2400
20-Oct-17,8500.00,8500.00,8400.00,8450.00,3700
19-Oct-17,-,-,-,8450.00,0
18-Oct-17,-,-,-,8450.00,0
17-Oct-17,-,-,-,8450.00,0
16-Oct-17,8500.00,8500.00,8450.00,8450.00,300
12-Oct-17,8600.00,8600.00,8400.00,8600.00,10900
11-Oct-17,8600.00,8600.00,8600.00,8600.00,4300
10-Oct-17,8700.00,8700.00,8700.00,8700.00,100
9-Oct-17,-,-,-,8875.00,0
6-Oct-17,8500.00,8875.00,8425.00,8875.00,3300
5-Oct-17,-,-,-,8650.00,0
4-Oct-17,-,-,-,8650.00,0
3-Oct-17,8650.00,8650.00,8650.00,8650.00,3100
2-Oct-17,-,-,-,8700.00,0
29-Sep-17,8700.00,8700.00,8700.00,8700.00,4100
28-Sep-17,-,-,-,8750.00,0
27-Sep-17,8750.00,8750.00,8750.00,8750.00,1700
26-Sep-17,8800.00,8800.00,8600.00,8750.00,7500
25-Sep-17,-,-,-,8850.00,0
22-Sep-17,8850.00,8850.00,8850.00,8850.00,300
20-Sep-17,8850.00,8850.00,8850.00,8850.00,2700
19-Sep-17,8400.00,9000.00,8400.00,8850.00,8100
18-Sep-17,8850.00,8850.00,8800.00,8850.00,21100
15-Sep-17,-,-,-,9000.00,0
14-Sep-17,9000.00,9000.00,9000.00,9000.00,200
13-Sep-17,-,-,-,8850.00,0
12-Sep-17,8900.00,8900.00,8850.00,8850.00,25300
11-Sep-17,8900.00,8900.00,8900.00,8900.00,42500
8-Sep-17,9100.00,9100.00,9000.00,9000.00,6400
7-Sep-17,9100.00,9100.00,9000.00,9000.00,4000
6-Sep-17,9100.00,9100.00,9000.00,9000.00,7000
5-Sep-17,9050.00,9050.00,9000.00,9000.00,3800
4-Sep-17,9100.00,9100.00,9000.00,9000.00,6700
31-Aug-17,9100.00,9100.00,9100.00,9100.00,1500
30-Aug-17,9000.00,9100.00,9000.00,9100.00,7400
29-Aug-17,9100.00,9100.00,9100.00,9100.00,100
28-Aug-17,9050.00,9050.00,9050.00,9050.00,12600
25-Aug-17,9000.00,9125.00,9000.00,9050.00,13300
24-Aug-17,9100.00,9100.00,9000.00,9000.00,21200
23-Aug-17,9100.00,9100.00,9050.00,9100.00,8000
22-Aug-17,9000.00,9100.00,9000.00,9100.00,13300
21-Aug-17,-,-,-,9100.00,0
18-Aug-17,-,-,-,9100.00,0
16-Aug-17,9100.00,9100.00,9100.00,9100.00,14300
15-Aug-17,-,-,-,9175.00,0
14-Aug-17,9100.00,9175.00,9100.00,9175.00,5100
11-Aug-17,9000.00,9125.00,9000.00,9100.00,8200
10-Aug-17,9000.00,9100.00,9000.00,9100.00,900
9-Aug-17,-,-,-,9100.00,0
8-Aug-17,9025.00,9200.00,9000.00,9100.00,17300
7-Aug-17,-,-,-,9100.00,0
4-Aug-17,-,-,-,9100.00,0
3-Aug-17,-,-,-,9100.00,0
2-Aug-17,-,-,-,9100.00,0
1-Aug-17,9100.00,9100.00,9100.00,9100.00,100000
31-Jul-17,9150.00,9150.00,9100.00,9100.00,1900
28-Jul-17,9250.00,9250.00,9200.00,9250.00,58900
27-Jul-17,9100.00,9250.00,9100.00,9200.00,173200
26-Jul-17,-,-,-,9400.00,0
25-Jul-17,9400.00,9400.00,9400.00,9400.00,700
24-Jul-17,9400.00,9400.00,9100.00,9400.00,33000
21-Jul-17,9400.00,9400.00,9400.00,9400.00,9000
20-Jul-17,9500.00,9500.00,9500.00,9500.00,1400
19-Jul-17,-,-,-,9300.00,0
18-Jul-17,9300.00,9325.00,9300.00,9300.00,1100
17-Jul-17,9300.00,9300.00,9300.00,9300.00,1000
14-Jul-17,9300.00,9300.00,9300.00,9300.00,100
13-Jul-17,-,-,-,9450.00,0
12-Jul-17,9450.00,9450.00,9450.00,9450.00,100
11-Jul-17,-,-,-,9150.00,0
10-Jul-17,-,-,-,9150.00,0
7-Jul-17,9150.00,9150.00,9150.00,9150.00,400
6-Jul-17,9125.00,9125.00,9125.00,9125.00,200
5-Jul-17,9125.00,9125.00,9125.00,9125.00,5000
4-Jul-17,9125.00,9150.00,9000.00,9000.00,5800
3-Jul-17,9125.00,9125.00,9125.00,9125.00,5000
22-Jun-17,-,-,-,9125.00,0
21-Jun-17,9125.00,9125.00,9125.00,9125.00,17000
20-Jun-17,-,-,-,9250.00,0
19-Jun-17,9250.00,9250.00,9250.00,9250.00,2500
16-Jun-17,9325.00,9325.00,9300.00,9300.00,15300
15-Jun-17,9300.00,9300.00,9300.00,9300.00,1200
14-Jun-17,-,-,-,9300.00,0
13-Jun-17,9300.00,9300.00,9050.00,9300.00,6200
12-Jun-17,9600.00,9600.00,9300.00,9300.00,5400
9-Jun-17,9375.00,9375.00,9375.00,9375.00,1000
8-Jun-17,-,-,-,9375.00,0
7-Jun-17,9375.00,9375.00,9375.00,9375.00,10100
6-Jun-17,-,-,-,9350.00,0
5-Jun-17,9450.00,9500.00,9350.00,9350.00,700
2-Jun-17,9350.00,9450.00,9350.00,9450.00,500
31-May-17,9350.00,9350.00,9350.00,9350.00,7500
30-May-17,-,-,-,9350.00,0
29-May-17,9350.00,9350.00,9350.00,9350.00,100
26-May-17,9350.00,9350.00,9350.00,9350.00,300
24-May-17,9175.00,9350.00,9175.00,9300.00,5500
23-May-17,9150.00,9150.00,9150.00,9150.00,6000
22-May-17,9225.00,9500.00,9125.00,9125.00,13800
19-May-17,9100.00,9100.00,9100.00,9100.00,200
18-May-17,-,-,-,9100.00,0
17-May-17,9225.00,9225.00,9000.00,9100.00,2900
16-May-17,-,-,-,9000.00,0
15-May-17,9050.00,9050.00,9000.00,9000.00,2900
12-May-17,9000.00,9050.00,8850.00,9050.00,13900
10-May-17,9200.00,9200.00,9025.00,9050.00,12600
9-May-17,9200.00,9200.00,9200.00,9200.00,500
8-May-17,9200.00,9200.00,9200.00,9200.00,500
5-May-17,9050.00,9200.00,9050.00,9200.00,19800
4-May-17,9100.00,9125.00,9050.00,9050.00,7000
3-May-17,9175.00,9175.00,9175.00,9175.00,100
2-May-17,-,-,-,9125.00,0
28-Apr-17,9050.00,9200.00,9025.00,9125.00,2000
27-Apr-17,-,-,-,9200.00,0
26-Apr-17,9200.00,9200.00,9100.00,9200.00,12100
25-Apr-17,9100.00,9100.00,9050.00,9100.00,3900
21-Apr-17,9250.00,9300.00,9100.00,9300.00,5100
20-Apr-17,9300.00,9400.00,9300.00,9300.00,1700
18-Apr-17,9200.00,9200.00,9150.00,9200.00,6400
17-Apr-17,9250.00,9300.00,9200.00,9200.00,4000
13-Apr-17,9200.00,9250.00,9125.00,9150.00,11200
12-Apr-17,9000.00,9025.00,9000.00,9025.00,400
11-Apr-17,9250.00,9250.00,9000.00,9025.00,1200
10-Apr-17,9250.00,9250.00,9250.00,9250.00,300
7-Apr-17,-,-,-,9300.00,0
6-Apr-17,9200.00,9300.00,9000.00,9300.00,11300
5-Apr-17,9000.00,9000.00,9000.00,9000.00,2000
4-Apr-17,-,-,-,9000.00,0
3-Apr-17,9200.00,9200.00,9000.00,9000.00,9000
31-Mar-17,-,-,-,9200.00,0
30-Mar-17,9250.00,9250.00,9200.00,9200.00,900
29-Mar-17,9400.00,9400.00,9300.00,9300.00,400
27-Mar-17,-,-,-,9250.00,0
24-Mar-17,9250.00,9250.00,9250.00,9250.00,400
23-Mar-17,9250.00,9250.00,9250.00,9250.00,300
22-Mar-17,-,-,-,9150.00,0
21-Mar-17,9350.00,9350.00,9150.00,9150.00,3900
20-Mar-17,9300.00,9300.00,9175.00,9175.00,2500
