Date,Open,High,Low,Close,Volume
29-Dec-17,1405.00,1460.00,1405.00,1460.00,671300
28-Dec-17,1400.00,1440.00,1400.00,1440.00,573100
27-Dec-17,1410.00,1440.00,1365.00,1440.00,435200
22-Dec-17,1405.00,1440.00,1405.00,1440.00,70000
21-Dec-17,1430.00,1440.00,1430.00,1440.00,347800
20-Dec-17,1410.00,1440.00,1405.00,1405.00,151200
19-Dec-17,1430.00,1440.00,1430.00,1440.00,480600
18-Dec-17,1420.00,1440.00,1420.00,1440.00,62500
15-Dec-17,1400.00,1435.00,1400.00,1435.00,131700
14-Dec-17,1440.00,1440.00,1440.00,1440.00,210000
13-Dec-17,1400.00,1425.00,1400.00,1425.00,132400
12-Dec-17,1410.00,1430.00,1365.00,1430.00,112200
11-Dec-17,1420.00,1430.00,1400.00,1430.00,188300
8-Dec-17,1400.00,1400.00,1355.00,1400.00,178500
7-Dec-17,1400.00,1410.00,1350.00,1400.00,388200
6-Dec-17,1350.00,1400.00,1320.00,1400.00,342600
5-Dec-17,1350.00,1350.00,1325.00,1340.00,176300
4-Dec-17,1290.00,1350.00,1285.00,1350.00,165600
30-Nov-17,1275.00,1310.00,1275.00,1310.00,274600
29-Nov-17,1300.00,1310.00,1300.00,1310.00,155000
28-Nov-17,1310.00,1310.00,1295.00,1310.00,254400
27-Nov-17,1300.00,1310.00,1290.00,1310.00,418800
24-Nov-17,1310.00,1310.00,1310.00,1310.00,200000
23-Nov-17,1310.00,1310.00,1300.00,1310.00,148100
22-Nov-17,1295.00,1310.00,1290.00,1310.00,153200
21-Nov-17,1290.00,1310.00,1290.00,1310.00,217300
20-Nov-17,1310.00,1310.00,1305.00,1310.00,52600
17-Nov-17,1290.00,1310.00,1290.00,1310.00,418900
16-Nov-17,1260.00,1310.00,1260.00,1310.00,446600
15-Nov-17,1290.00,1290.00,1290.00,1290.00,30200
14-Nov-17,1290.00,1290.00,1270.00,1290.00,84700
13-Nov-17,1300.00,1300.00,1270.00,1290.00,402700
10-Nov-17,1280.00,1290.00,1280.00,1290.00,73000
9-Nov-17,1295.00,1300.00,1260.00,1300.00,190600
8-Nov-17,1290.00,1290.00,1290.00,1290.00,89900
7-Nov-17,1285.00,1300.00,1250.00,1300.00,55300
6-Nov-17,1290.00,1290.00,1285.00,1290.00,86800
3-Nov-17,1275.00,1290.00,1275.00,1290.00,84100
2-Nov-17,1290.00,1290.00,1285.00,1290.00,4253500
1-Nov-17,1295.00,1295.00,1285.00,1295.00,136800
31-Oct-17,1300.00,1315.00,1285.00,1295.00,290400
30-Oct-17,1295.00,1295.00,1285.00,1295.00,53800
27-Oct-17,1300.00,1300.00,1285.00,1295.00,1660000
26-Oct-17,1300.00,1305.00,1285.00,1305.00,375200
25-Oct-17,1305.00,1325.00,1305.00,1325.00,390100
24-Oct-17,1305.00,1325.00,1305.00,1325.00,215100
23-Oct-17,1325.00,1325.00,1300.00,1325.00,139900
20-Oct-17,1300.00,1325.00,1300.00,1325.00,119900
19-Oct-17,1295.00,1325.00,1295.00,1325.00,71500
18-Oct-17,1280.00,1300.00,1280.00,1300.00,171800
17-Oct-17,1265.00,1295.00,1265.00,1295.00,242700
16-Oct-17,1300.00,1300.00,1285.00,1300.00,184300
13-Oct-17,1305.00,1305.00,1300.00,1300.00,651600
12-Oct-17,1295.00,1320.00,1295.00,1320.00,297400
11-Oct-17,1325.00,1325.00,1280.00,1320.00,996800
10-Oct-17,1300.00,1325.00,1295.00,1325.00,473400
9-Oct-17,1310.00,1330.00,1285.00,1300.00,143500
6-Oct-17,1300.00,1330.00,1285.00,1330.00,147800
5-Oct-17,1295.00,1300.00,1275.00,1300.00,380800
4-Oct-17,1300.00,1300.00,1290.00,1300.00,195400
3-Oct-17,1280.00,1300.00,1270.00,1300.00,118000
2-Oct-17,1300.00,1300.00,1275.00,1290.00,88000
29-Sep-17,1295.00,1300.00,1255.00,1300.00,385600
