Date,Open,High,Low,Close,Volume
29-Dec-17,73.00,81.00,73.00,77.00,1179400
28-Dec-17,82.00,85.00,77.00,79.00,1640700
27-Dec-17,82.00,95.00,77.00,83.00,9065100
22-Dec-17,83.00,83.00,76.00,78.00,1702100
21-Dec-17,73.00,91.00,71.00,79.00,11324800
20-Dec-17,73.00,77.00,72.00,74.00,1113700
19-Dec-17,85.00,90.00,76.00,76.00,4338200
18-Dec-17,84.00,88.00,80.00,84.00,1575000
15-Dec-17,85.00,86.00,82.00,83.00,2360000
14-Dec-17,84.00,90.00,82.00,86.00,937600
13-Dec-17,79.00,91.00,79.00,85.00,584700
12-Dec-17,78.00,94.00,78.00,86.00,3064300
11-Dec-17,84.00,96.00,84.00,86.00,1243700
8-Dec-17,95.00,99.00,90.00,91.00,2458100
7-Dec-17,97.00,113.00,93.00,95.00,3824200
6-Dec-17,86.00,110.00,78.00,105.00,14869400
5-Dec-17,88.00,100.00,77.00,82.00,2096000
4-Dec-17,102.00,102.00,85.00,86.00,3401600
30-Nov-17,102.00,109.00,96.00,100.00,2859500
29-Nov-17,104.00,113.00,97.00,101.00,5103700
28-Nov-17,104.00,116.00,92.00,101.00,6893900
27-Nov-17,118.00,135.00,103.00,104.00,17514900
24-Nov-17,145.00,158.00,112.00,118.00,14601800
23-Nov-17,125.00,161.00,124.00,144.00,35406300
22-Nov-17,93.00,121.00,91.00,121.00,30745200
21-Nov-17,84.00,90.00,63.00,90.00,6850300
14-Jun-17,76.00,77.00,67.00,67.00,1107300
13-Jun-17,78.00,79.00,74.00,75.00,54800
12-Jun-17,77.00,79.00,73.00,77.00,27600
9-Jun-17,79.00,79.00,75.00,75.00,349400
8-Jun-17,82.00,83.00,75.00,75.00,661100
7-Jun-17,77.00,89.00,76.00,81.00,1627200
6-Jun-17,81.00,81.00,77.00,77.00,80300
5-Jun-17,81.00,81.00,78.00,81.00,6400
2-Jun-17,80.00,83.00,77.00,81.00,340700
31-May-17,80.00,83.00,78.00,81.00,356900
30-May-17,81.00,83.00,77.00,80.00,397100
29-May-17,78.00,83.00,76.00,80.00,1567800
26-May-17,85.00,91.00,78.00,78.00,2532000
24-May-17,74.00,91.00,73.00,80.00,4436000
23-May-17,76.00,76.00,70.00,74.00,4900
22-May-17,65.00,75.00,65.00,73.00,7100
19-May-17,74.00,74.00,74.00,74.00,200
18-May-17,77.00,77.00,69.00,73.00,52900
17-May-17,76.00,78.00,70.00,71.00,16000
16-May-17,78.00,78.00,73.00,76.00,2700
15-May-17,76.00,78.00,72.00,76.00,39000
12-May-17,75.00,77.00,65.00,76.00,40100
10-May-17,78.00,79.00,73.00,74.00,70600
9-May-17,79.00,79.00,74.00,78.00,36400
8-May-17,77.00,81.00,75.00,78.00,88000
5-May-17,83.00,85.00,77.00,77.00,573000
4-May-17,-,-,-,82.00,0
3-May-17,82.00,84.00,80.00,82.00,148600
2-May-17,86.00,86.00,85.00,85.00,50300
28-Apr-17,84.00,85.00,84.00,85.00,15100
27-Apr-17,84.00,87.00,82.00,86.00,265400
26-Apr-17,87.00,90.00,82.00,82.00,792700
25-Apr-17,88.00,95.00,88.00,95.00,11000
21-Apr-17,90.00,95.00,90.00,95.00,400
20-Apr-17,90.00,95.00,90.00,95.00,11100
18-Apr-17,88.00,93.00,85.00,93.00,1400
17-Apr-17,95.00,95.00,95.00,95.00,200
13-Apr-17,95.00,95.00,94.00,94.00,1300
12-Apr-17,92.00,92.00,90.00,90.00,9400
11-Apr-17,95.00,99.00,89.00,92.00,36800
10-Apr-17,98.00,99.00,95.00,99.00,111900
7-Apr-17,92.00,105.00,89.00,98.00,155300
6-Apr-17,92.00,92.00,85.00,92.00,150200
5-Apr-17,88.00,93.00,86.00,92.00,15500
4-Apr-17,89.00,95.00,88.00,89.00,46400
3-Apr-17,90.00,90.00,89.00,89.00,3200
31-Mar-17,89.00,90.00,89.00,90.00,1700
30-Mar-17,97.00,97.00,89.00,89.00,358300
29-Mar-17,-,-,-,95.00,0
27-Mar-17,93.00,96.00,88.00,95.00,39800
24-Mar-17,98.00,98.00,97.00,97.00,2800
23-Mar-17,95.00,98.00,95.00,95.00,18600
22-Mar-17,95.00,96.00,93.00,96.00,131300
21-Mar-17,95.00,95.00,95.00,95.00,3200
20-Mar-17,97.00,99.00,95.00,95.00,16800
17-Mar-17,99.00,99.00,95.00,98.00,69300
16-Mar-17,98.00,98.00,95.00,98.00,10400
15-Mar-17,99.00,99.00,95.00,98.00,11100
14-Mar-17,106.00,106.00,106.00,106.00,100
13-Mar-17,98.00,102.00,98.00,98.00,9000
10-Mar-17,102.00,102.00,98.00,98.00,23500
9-Mar-17,105.00,105.00,98.00,102.00,186300
8-Mar-17,110.00,113.00,98.00,98.00,186100
7-Mar-17,102.00,110.00,100.00,106.00,41200
6-Mar-17,112.00,112.00,98.00,106.00,55100
3-Mar-17,-,-,-,105.00,0
2-Mar-17,106.00,106.00,105.00,105.00,300
1-Mar-17,107.00,108.00,99.00,108.00,5300
28-Feb-17,110.00,110.00,107.00,108.00,2400
27-Feb-17,114.00,114.00,110.00,114.00,14000
24-Feb-17,112.00,117.00,102.00,114.00,1200
23-Feb-17,102.00,102.00,102.00,102.00,9000
22-Feb-17,104.00,113.00,101.00,109.00,48700
21-Feb-17,110.00,124.00,104.00,104.00,572300
20-Feb-17,119.00,121.00,112.00,115.00,60500
17-Feb-17,120.00,124.00,115.00,118.00,158400
16-Feb-17,121.00,121.00,120.00,120.00,25300
14-Feb-17,128.00,128.00,110.00,122.00,462600
13-Feb-17,128.00,128.00,118.00,128.00,212200
10-Feb-17,120.00,128.00,120.00,128.00,29400
9-Feb-17,116.00,120.00,116.00,120.00,13200
8-Feb-17,117.00,123.00,117.00,123.00,319400
7-Feb-17,129.00,129.00,120.00,121.00,311100
6-Feb-17,135.00,135.00,122.00,130.00,82300
3-Feb-17,139.00,144.00,130.00,134.00,462500
2-Feb-17,136.00,152.00,130.00,139.00,1292900
1-Feb-17,150.00,155.00,130.00,136.00,1389800
31-Jan-17,153.00,165.00,145.00,150.00,779500
30-Jan-17,134.00,180.00,134.00,151.00,3583600
27-Jan-17,152.00,152.00,130.00,134.00,767300
26-Jan-17,150.00,173.00,133.00,149.00,5620900
25-Jan-17,100.00,133.00,100.00,133.00,1541700
24-Jan-17,105.00,105.00,84.00,99.00,243500
23-Jan-17,111.00,111.00,100.00,100.00,878400
20-Jan-17,121.00,131.00,106.00,110.00,430700
19-Jan-17,145.00,160.00,120.00,121.00,3342700
18-Jan-17,135.00,175.00,130.00,139.00,5284000
17-Jan-17,129.00,142.00,128.00,131.00,1231200
16-Jan-17,146.00,146.00,120.00,125.00,1368500
13-Jan-17,151.00,185.00,118.00,146.00,10361300
12-Jan-17,111.00,141.00,110.00,141.00,3212300
11-Jan-17,89.00,105.00,84.00,105.00,1802600
10-Jan-17,60.00,78.00,59.00,78.00,1182100
9-Jan-17,-,-,-,58.00,0
6-Jan-17,75.00,75.00,58.00,58.00,2500
5-Jan-17,66.00,66.00,66.00,66.00,200
4-Jan-17,65.00,65.00,65.00,65.00,100
3-Jan-17,-,-,-,65.00,0
30-Dec-16,-,-,-,65.00,0
29-Dec-16,-,-,-,65.00,0
28-Dec-16,65.00,65.00,65.00,65.00,100
27-Dec-16,-,-,-,64.00,0
23-Dec-16,64.00,64.00,64.00,64.00,200
22-Dec-16,69.00,69.00,69.00,69.00,2000
21-Dec-16,71.00,71.00,69.00,69.00,600
20-Dec-16,80.00,80.00,69.00,69.00,15200
19-Dec-16,75.00,75.00,75.00,75.00,100
16-Dec-16,-,-,-,75.00,0
15-Dec-16,-,-,-,75.00,0
14-Dec-16,-,-,-,75.00,0
13-Dec-16,75.00,75.00,75.00,75.00,100
9-Dec-16,68.00,68.00,68.00,68.00,18500
8-Dec-16,-,-,-,75.00,0
7-Dec-16,80.00,80.00,68.00,75.00,1900
6-Dec-16,80.00,80.00,72.00,72.00,28600
5-Dec-16,62.00,80.00,62.00,80.00,36500
2-Dec-16,-,-,-,61.00,0
1-Dec-16,-,-,-,61.00,0
30-Nov-16,-,-,-,61.00,0
29-Nov-16,66.00,66.00,61.00,61.00,2400
28-Nov-16,65.00,66.00,65.00,66.00,900
25-Nov-16,79.00,79.00,65.00,65.00,11000
24-Nov-16,82.00,82.00,72.00,72.00,500
23-Nov-16,63.00,72.00,63.00,72.00,263300
22-Nov-16,-,-,-,63.00,0
21-Nov-16,63.00,63.00,63.00,63.00,5100
18-Nov-16,63.00,64.00,63.00,64.00,5800
17-Nov-16,-,-,-,63.00,0
16-Nov-16,-,-,-,63.00,0
15-Nov-16,63.00,63.00,63.00,63.00,700
14-Nov-16,63.00,63.00,63.00,63.00,35300
11-Nov-16,-,-,-,63.00,0
10-Nov-16,-,-,-,63.00,0
9-Nov-16,-,-,-,63.00,0
8-Nov-16,63.00,63.00,63.00,63.00,100
7-Nov-16,-,-,-,70.00,0
4-Nov-16,-,-,-,70.00,0
3-Nov-16,70.00,70.00,70.00,70.00,6200
2-Nov-16,70.00,70.00,70.00,70.00,200
1-Nov-16,-,-,-,72.00,0
