Date,Open,High,Low,Close,Volume
29-Dec-17,350.00,350.00,350.00,350.00,300
28-Dec-17,358.00,382.00,350.00,350.00,8100
27-Dec-17,348.00,350.00,348.00,350.00,2800
22-Dec-17,368.00,368.00,348.00,348.00,6400
21-Dec-17,350.00,350.00,350.00,350.00,5000
20-Dec-17,350.00,350.00,350.00,350.00,100
19-Dec-17,350.00,350.00,350.00,350.00,4600
18-Dec-17,-,-,-,352.00,0
15-Dec-17,366.00,384.00,352.00,352.00,17200
14-Dec-17,360.00,362.00,330.00,340.00,6300
13-Dec-17,350.00,350.00,350.00,350.00,40300
12-Dec-17,350.00,350.00,350.00,350.00,8600
11-Dec-17,352.00,352.00,352.00,352.00,1600
8-Dec-17,362.00,362.00,362.00,362.00,100
7-Dec-17,362.00,362.00,352.00,354.00,900
6-Dec-17,350.00,352.00,350.00,352.00,2000
5-Dec-17,360.00,360.00,350.00,352.00,43200
4-Dec-17,356.00,356.00,356.00,356.00,100500
30-Nov-17,356.00,388.00,352.00,356.00,90900
29-Nov-17,360.00,360.00,356.00,356.00,54000
28-Nov-17,380.00,380.00,360.00,360.00,29200
27-Nov-17,-,-,-,370.00,0
24-Nov-17,394.00,394.00,368.00,370.00,37900
23-Nov-17,390.00,390.00,390.00,390.00,100
22-Nov-17,390.00,390.00,380.00,390.00,32900
21-Nov-17,382.00,390.00,382.00,382.00,13100
20-Nov-17,380.00,380.00,380.00,380.00,4500
17-Nov-17,388.00,388.00,352.00,380.00,4700
16-Nov-17,390.00,390.00,390.00,390.00,20100
15-Nov-17,398.00,398.00,390.00,390.00,2700
14-Nov-17,398.00,400.00,388.00,390.00,8900
13-Nov-17,400.00,430.00,390.00,390.00,164400
10-Nov-17,400.00,400.00,400.00,400.00,100
9-Nov-17,382.00,390.00,380.00,380.00,8700
8-Nov-17,400.00,400.00,388.00,388.00,3100
7-Nov-17,400.00,400.00,400.00,400.00,22100
6-Nov-17,-,-,-,400.00,0
3-Nov-17,-,-,-,400.00,0
2-Nov-17,400.00,400.00,400.00,400.00,2500
1-Nov-17,400.00,440.00,400.00,400.00,26300
31-Oct-17,-,-,-,400.00,0
30-Oct-17,-,-,-,400.00,0
27-Oct-17,-,-,-,400.00,0
26-Oct-17,400.00,400.00,400.00,400.00,131600
25-Oct-17,400.00,400.00,400.00,400.00,100000
24-Oct-17,400.00,400.00,400.00,400.00,71000
23-Oct-17,400.00,400.00,400.00,400.00,6700
20-Oct-17,-,-,-,400.00,0
19-Oct-17,398.00,400.00,398.00,400.00,2100
18-Oct-17,400.00,400.00,400.00,400.00,38700
17-Oct-17,398.00,398.00,398.00,398.00,100
16-Oct-17,400.00,400.00,400.00,400.00,1100
13-Oct-17,400.00,400.00,400.00,400.00,500
12-Oct-17,-,-,-,400.00,0
11-Oct-17,-,-,-,400.00,0
10-Oct-17,400.00,400.00,400.00,400.00,1000
9-Oct-17,398.00,400.00,398.00,400.00,1000
6-Oct-17,-,-,-,400.00,0
5-Oct-17,398.00,400.00,398.00,400.00,5000
4-Oct-17,394.00,400.00,394.00,400.00,44300
3-Oct-17,380.00,390.00,380.00,390.00,1500
2-Oct-17,388.00,388.00,388.00,388.00,100
29-Sep-17,352.00,352.00,352.00,352.00,100
28-Sep-17,-,-,-,356.00,0
27-Sep-17,-,-,-,356.00,0
26-Sep-17,356.00,356.00,356.00,356.00,100
25-Sep-17,368.00,368.00,368.00,368.00,67000
22-Sep-17,-,-,-,368.00,0
20-Sep-17,-,-,-,368.00,0
19-Sep-17,-,-,366.00,368.00,4500
18-Sep-17,-,-,-,400.00,0
15-Sep-17,388.00,400.00,388.00,400.00,13700
14-Sep-17,388.00,390.00,388.00,388.00,1400
13-Sep-17,396.00,396.00,350.00,390.00,4600
12-Sep-17,398.00,400.00,398.00,400.00,200
11-Sep-17,394.00,396.00,354.00,362.00,1036600
8-Sep-17,-,-,-,398.00,0
7-Sep-17,398.00,398.00,398.00,398.00,100
6-Sep-17,382.00,390.00,382.00,390.00,9500
5-Sep-17,400.00,400.00,400.00,400.00,1000
4-Sep-17,-,-,-,400.00,0
31-Aug-17,-,-,-,400.00,0
30-Aug-17,-,-,-,400.00,0
29-Aug-17,-,-,-,400.00,0
28-Aug-17,-,-,-,400.00,0
25-Aug-17,-,-,-,400.00,0
24-Aug-17,380.00,400.00,380.00,400.00,500
23-Aug-17,-,-,-,390.00,0
22-Aug-17,390.00,390.00,390.00,390.00,12500
21-Aug-17,-,-,-,390.00,0
18-Aug-17,400.00,400.00,390.00,390.00,1000
16-Aug-17,-,-,-,400.00,0
15-Aug-17,400.00,400.00,400.00,400.00,12000
14-Aug-17,390.00,390.00,390.00,390.00,800
11-Aug-17,-,-,-,396.00,0
10-Aug-17,396.00,396.00,396.00,396.00,100
9-Aug-17,-,-,-,396.00,0
8-Aug-17,396.00,396.00,396.00,396.00,500
7-Aug-17,396.00,396.00,396.00,396.00,2000
4-Aug-17,398.00,398.00,398.00,398.00,700
3-Aug-17,400.00,400.00,380.00,380.00,10100
2-Aug-17,430.00,460.00,402.00,402.00,2600
1-Aug-17,398.00,398.00,398.00,398.00,210500
31-Jul-17,448.00,448.00,400.00,400.00,300
28-Jul-17,450.00,450.00,366.00,366.00,1100
27-Jul-17,460.00,460.00,460.00,460.00,100
26-Jul-17,-,-,-,460.00,0
25-Jul-17,460.00,460.00,460.00,460.00,200
24-Jul-17,440.00,440.00,440.00,440.00,100
21-Jul-17,418.00,440.00,418.00,440.00,200
20-Jul-17,418.00,418.00,418.00,418.00,2000
19-Jul-17,418.00,418.00,418.00,418.00,800
18-Jul-17,398.00,418.00,398.00,418.00,14000
17-Jul-17,460.00,460.00,360.00,398.00,26800
14-Jul-17,-,-,-,460.00,0
13-Jul-17,470.00,470.00,440.00,460.00,12300
12-Jul-17,-,-,-,500.00,0
11-Jul-17,-,-,-,500.00,0
10-Jul-17,520.00,520.00,364.00,500.00,700
7-Jul-17,450.00,450.00,450.00,450.00,100
6-Jul-17,-,-,-,480.00,0
5-Jul-17,-,-,-,480.00,0
4-Jul-17,-,-,-,480.00,0
3-Jul-17,490.00,490.00,480.00,480.00,60200
22-Jun-17,-,-,-,480.00,0
21-Jun-17,380.00,480.00,370.00,480.00,59900
20-Jun-17,440.00,440.00,400.00,400.00,3100
19-Jun-17,440.00,440.00,420.00,420.00,500
16-Jun-17,-,-,-,460.00,0
15-Jun-17,460.00,460.00,460.00,460.00,500
14-Jun-17,460.00,460.00,460.00,460.00,100
13-Jun-17,-,-,-,470.00,0
12-Jun-17,470.00,470.00,470.00,470.00,100
9-Jun-17,-,-,-,478.00,0
8-Jun-17,-,-,-,478.00,0
7-Jun-17,-,-,-,478.00,0
