Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,1050.00,0
28-Dec-17,1050.00,1050.00,1050.00,1050.00,600
27-Dec-17,-,-,-,1050.00,0
22-Dec-17,-,-,-,1050.00,0
21-Dec-17,-,-,-,1050.00,0
20-Dec-17,-,-,-,1050.00,0
19-Dec-17,-,-,-,1050.00,0
18-Dec-17,-,-,-,1050.00,0
15-Dec-17,-,-,-,1050.00,0
14-Dec-17,980.00,1050.00,980.00,1050.00,16000
13-Dec-17,-,-,-,950.00,0
12-Dec-17,-,-,-,950.00,0
11-Dec-17,-,-,-,950.00,0
8-Dec-17,950.00,950.00,950.00,950.00,100
7-Dec-17,-,-,-,910.00,0
6-Dec-17,-,-,-,910.00,0
5-Dec-17,-,-,-,910.00,0
4-Dec-17,910.00,910.00,910.00,910.00,100
30-Nov-17,910.00,910.00,910.00,910.00,100
29-Nov-17,-,-,-,915.00,0
28-Nov-17,-,-,-,915.00,0
27-Nov-17,915.00,915.00,915.00,915.00,100
24-Nov-17,-,-,-,910.00,0
23-Nov-17,910.00,910.00,910.00,910.00,500
22-Nov-17,910.00,910.00,910.00,910.00,400
21-Nov-17,910.00,910.00,910.00,910.00,100
20-Nov-17,-,-,-,990.00,0
17-Nov-17,-,-,-,990.00,0
16-Nov-17,-,-,-,990.00,0
15-Nov-17,-,-,-,990.00,0
14-Nov-17,990.00,990.00,990.00,990.00,200
13-Nov-17,-,-,-,990.00,0
10-Nov-17,-,-,-,990.00,0
9-Nov-17,-,-,-,990.00,0
8-Nov-17,950.00,990.00,950.00,990.00,300
7-Nov-17,-,-,-,1040.00,0
6-Nov-17,1040.00,1040.00,1040.00,1040.00,200
3-Nov-17,1040.00,1040.00,1040.00,1040.00,400
2-Nov-17,1060.00,1125.00,1060.00,1100.00,4202200
1-Nov-17,1050.00,1100.00,1050.00,1075.00,7399700
31-Oct-17,-,-,-,1100.00,0
30-Oct-17,1100.00,1100.00,1100.00,1100.00,500000
27-Oct-17,1100.00,1100.00,1100.00,1100.00,500000
26-Oct-17,1080.00,1100.00,1080.00,1100.00,3065700
25-Oct-17,-,-,-,1075.00,0
24-Oct-17,1075.00,1075.00,1050.00,1075.00,1861500
23-Oct-17,1050.00,1075.00,1050.00,1050.00,1562300
20-Oct-17,1000.00,1000.00,1000.00,1000.00,19700
19-Oct-17,1050.00,1050.00,1050.00,1050.00,130000
18-Oct-17,-,-,-,1050.00,0
17-Oct-17,1050.00,1050.00,1050.00,1050.00,1000000
16-Oct-17,1050.00,1050.00,1050.00,1050.00,100
12-Oct-17,-,-,-,1075.00,0
11-Oct-17,1075.00,1075.00,1075.00,1075.00,10000
10-Oct-17,1050.00,1050.00,1050.00,1050.00,500200
9-Oct-17,1050.00,1050.00,1050.00,1050.00,500200
6-Oct-17,1000.00,1050.00,1000.00,1050.00,556300
5-Oct-17,925.00,925.00,905.00,905.00,3900
4-Oct-17,950.00,975.00,900.00,975.00,22400
3-Oct-17,975.00,975.00,975.00,975.00,10000
2-Oct-17,-,-,-,975.00,0
29-Sep-17,975.00,975.00,975.00,975.00,100
28-Sep-17,950.00,950.00,950.00,950.00,400
27-Sep-17,-,-,-,1000.00,0
26-Sep-17,-,-,-,1000.00,0
25-Sep-17,-,-,-,1000.00,0
22-Sep-17,-,-,-,1000.00,0
20-Sep-17,1000.00,1000.00,1000.00,1000.00,10000
