Date,Open,High,Low,Close,Volume
29-Dec-17,1820.00,1840.00,1810.00,1810.00,3149800
28-Dec-17,1840.00,1860.00,1790.00,1800.00,3040100
27-Dec-17,1820.00,1845.00,1815.00,1840.00,1666500
22-Dec-17,1795.00,1825.00,1785.00,1820.00,1962600
21-Dec-17,1810.00,1835.00,1795.00,1795.00,3346300
20-Dec-17,1810.00,1845.00,1760.00,1820.00,4681600
19-Dec-17,1820.00,1860.00,1810.00,1810.00,2444700
18-Dec-17,1835.00,1865.00,1810.00,1810.00,2391200
15-Dec-17,1785.00,1850.00,1785.00,1825.00,4420300
14-Dec-17,1740.00,1795.00,1740.00,1770.00,3628000
13-Dec-17,1755.00,1755.00,1735.00,1735.00,2835700
12-Dec-17,1740.00,1755.00,1735.00,1755.00,4834800
11-Dec-17,1730.00,1745.00,1730.00,1740.00,2745600
8-Dec-17,1745.00,1745.00,1730.00,1730.00,6240200
7-Dec-17,1700.00,1750.00,1700.00,1740.00,6097900
6-Dec-17,1725.00,1755.00,1725.00,1740.00,9525900
5-Dec-17,1820.00,1820.00,1745.00,1745.00,5297800
4-Dec-17,1835.00,1850.00,1805.00,1810.00,6071100
30-Nov-17,1875.00,1880.00,1835.00,1835.00,5907000
29-Nov-17,1860.00,1880.00,1835.00,1875.00,5073500
28-Nov-17,1860.00,1865.00,1830.00,1860.00,4146600
27-Nov-17,1780.00,1870.00,1780.00,1870.00,5416400
24-Nov-17,1815.00,1865.00,1815.00,1825.00,4091300
23-Nov-17,1870.00,1870.00,1840.00,1840.00,4825800
22-Nov-17,1815.00,1875.00,1815.00,1855.00,5237700
21-Nov-17,1855.00,1875.00,1830.00,1835.00,5896800
20-Nov-17,1870.00,1875.00,1850.00,1850.00,6837400
17-Nov-17,1870.00,1885.00,1860.00,1860.00,4356200
16-Nov-17,1870.00,1890.00,1860.00,1865.00,5629800
15-Nov-17,1910.00,1925.00,1865.00,1870.00,5482800
14-Nov-17,1860.00,1915.00,1860.00,1910.00,8853600
13-Nov-17,1875.00,1890.00,1850.00,1860.00,6620500
10-Nov-17,1880.00,1900.00,1855.00,1870.00,8348200
9-Nov-17,1940.00,1940.00,1865.00,1875.00,10088400
8-Nov-17,1920.00,1945.00,1900.00,1900.00,6911600
7-Nov-17,1960.00,1960.00,1895.00,1905.00,7149100
6-Nov-17,1960.00,1970.00,1915.00,1950.00,7438200
3-Nov-17,1940.00,1985.00,1940.00,1960.00,7976900
2-Nov-17,1905.00,1965.00,1895.00,1950.00,11218700
1-Nov-17,1900.00,1910.00,1850.00,1905.00,7145500
31-Oct-17,1890.00,1890.00,1850.00,1860.00,9061000
30-Oct-17,1885.00,1900.00,1855.00,1860.00,8299000
27-Oct-17,1885.00,1905.00,1880.00,1885.00,4840200
26-Oct-17,1865.00,1895.00,1860.00,1885.00,7436300
25-Oct-17,1900.00,1900.00,1845.00,1860.00,10807000
24-Oct-17,1900.00,1900.00,1840.00,1855.00,34981000
23-Oct-17,1875.00,1885.00,1845.00,1870.00,19082300
20-Oct-17,1950.00,1950.00,1860.00,1865.00,18799500
19-Oct-17,1955.00,1970.00,1935.00,1945.00,5936700
18-Oct-17,1970.00,1975.00,1950.00,1955.00,5608400
17-Oct-17,1985.00,2000.00,1970.00,1970.00,4827200
16-Oct-17,1950.00,2000.00,1950.00,1980.00,5092600
13-Oct-17,1950.00,2020.00,1950.00,1990.00,7513800
12-Oct-17,2050.00,2050.00,1990.00,2000.00,11435600
11-Oct-17,2020.00,2050.00,1995.00,2050.00,9535300
10-Oct-17,1950.00,2020.00,1950.00,2020.00,6255300
9-Oct-17,1970.00,2000.00,1965.00,1990.00,4594200
6-Oct-17,2010.00,2040.00,1960.00,1960.00,9949000
5-Oct-17,2130.00,2150.00,2000.00,2000.00,7734300
4-Oct-17,2100.00,2200.00,2100.00,2130.00,6687500
3-Oct-17,2090.00,2200.00,2090.00,2160.00,6946800
2-Oct-17,2060.00,2100.00,2050.00,2100.00,4435700
29-Sep-17,2100.00,2100.00,2020.00,2030.00,4521900
28-Sep-17,2020.00,2060.00,2020.00,2030.00,5067200
27-Sep-17,2030.00,2070.00,2010.00,2020.00,5020200
26-Sep-17,2080.00,2110.00,1995.00,2010.00,7618600
25-Sep-17,2240.00,2270.00,2070.00,2080.00,8790200
22-Sep-17,2230.00,2280.00,2210.00,2240.00,7072000
20-Sep-17,2270.00,2300.00,2210.00,2230.00,7515900
19-Sep-17,2200.00,2260.00,2190.00,2250.00,6350300
18-Sep-17,2170.00,2200.00,2170.00,2190.00,7423400
15-Sep-17,2050.00,2200.00,2050.00,2160.00,7282100
