Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,50.00,0
28-Dec-17,-,-,-,50.00,0
27-Dec-17,50.00,50.00,50.00,50.00,12500
22-Dec-17,50.00,50.00,50.00,50.00,100
21-Dec-17,50.00,50.00,50.00,50.00,100
20-Dec-17,-,-,-,50.00,0
19-Dec-17,50.00,50.00,50.00,50.00,100
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,50.00,50.00,50.00,50.00,100
13-Dec-17,-,-,-,50.00,0
12-Dec-17,50.00,50.00,50.00,50.00,100
11-Dec-17,50.00,50.00,50.00,50.00,200
8-Dec-17,50.00,50.00,50.00,50.00,100
7-Dec-17,50.00,50.00,50.00,50.00,100
6-Dec-17,50.00,50.00,50.00,50.00,100
5-Dec-17,-,-,-,50.00,0
4-Dec-17,-,-,-,50.00,0
30-Nov-17,-,-,-,50.00,0
29-Nov-17,-,-,-,50.00,0
28-Nov-17,-,-,-,50.00,0
27-Nov-17,50.00,50.00,50.00,50.00,200
24-Nov-17,50.00,50.00,50.00,50.00,100
23-Nov-17,-,-,-,50.00,0
22-Nov-17,50.00,50.00,50.00,50.00,100
21-Nov-17,-,-,-,50.00,0
20-Nov-17,-,-,-,50.00,0
17-Nov-17,-,-,-,50.00,0
16-Nov-17,-,-,-,50.00,0
15-Nov-17,-,-,-,50.00,0
14-Nov-17,-,-,-,50.00,0
13-Nov-17,50.00,50.00,50.00,50.00,100
10-Nov-17,-,-,-,50.00,0
9-Nov-17,-,-,-,50.00,0
8-Nov-17,-,-,-,50.00,0
7-Nov-17,-,-,-,50.00,0
6-Nov-17,-,-,-,50.00,0
3-Nov-17,-,-,-,50.00,0
2-Nov-17,-,-,-,50.00,0
1-Nov-17,-,-,-,50.00,0
31-Oct-17,-,-,-,50.00,0
30-Oct-17,50.00,50.00,50.00,50.00,100
27-Oct-17,-,-,-,50.00,0
26-Oct-17,-,-,-,50.00,0
25-Oct-17,-,-,-,50.00,0
24-Oct-17,50.00,50.00,50.00,50.00,600
23-Oct-17,50.00,50.00,50.00,50.00,400
20-Oct-17,50.00,50.00,50.00,50.00,100
19-Oct-17,-,-,-,50.00,0
18-Oct-17,-,-,-,50.00,0
17-Oct-17,-,-,-,50.00,0
16-Oct-17,-,-,-,50.00,0
13-Oct-17,50.00,50.00,50.00,50.00,400
12-Oct-17,-,-,-,50.00,0
11-Oct-17,-,-,-,50.00,0
10-Oct-17,-,-,-,50.00,0
9-Oct-17,-,-,-,50.00,0
6-Oct-17,-,-,-,50.00,0
5-Oct-17,-,-,-,50.00,0
4-Oct-17,-,-,-,50.00,0
3-Oct-17,50.00,50.00,50.00,50.00,100
2-Oct-17,-,-,-,50.00,0
29-Sep-17,-,-,-,50.00,0
28-Sep-17,50.00,50.00,50.00,50.00,5400
27-Sep-17,50.00,50.00,50.00,50.00,2000
26-Sep-17,-,-,-,50.00,0
25-Sep-17,50.00,50.00,50.00,50.00,100
22-Sep-17,50.00,50.00,50.00,50.00,500
20-Sep-17,-,-,-,50.00,0
19-Sep-17,-,-,-,50.00,0
18-Sep-17,-,-,-,50.00,0
15-Sep-17,-,-,-,50.00,0
14-Sep-17,-,-,-,50.00,0
