Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,50.00,0
28-Dec-17,50.00,50.00,50.00,50.00,700
27-Dec-17,50.00,50.00,50.00,50.00,238700
22-Dec-17,50.00,50.00,50.00,50.00,100
21-Dec-17,50.00,50.00,50.00,50.00,84900
20-Dec-17,-,-,-,50.00,0
19-Dec-17,50.00,50.00,50.00,50.00,6700
18-Dec-17,-,-,-,50.00,0
15-Dec-17,50.00,50.00,50.00,50.00,100
14-Dec-17,50.00,50.00,50.00,50.00,2800
13-Dec-17,-,-,-,50.00,0
12-Dec-17,-,-,-,50.00,0
11-Dec-17,50.00,50.00,50.00,50.00,600
8-Dec-17,50.00,50.00,50.00,50.00,100
7-Dec-17,50.00,50.00,50.00,50.00,10400
6-Dec-17,50.00,50.00,50.00,50.00,100
5-Dec-17,-,-,-,50.00,0
4-Dec-17,50.00,50.00,50.00,50.00,2200
30-Nov-17,50.00,50.00,50.00,50.00,100
29-Nov-17,50.00,50.00,50.00,50.00,900
28-Nov-17,50.00,50.00,50.00,50.00,500
27-Nov-17,-,-,-,50.00,0
24-Nov-17,-,-,-,50.00,0
23-Nov-17,-,-,-,50.00,0
22-Nov-17,50.00,50.00,50.00,50.00,100
21-Nov-17,50.00,50.00,50.00,50.00,400
20-Nov-17,-,-,-,50.00,0
17-Nov-17,50.00,50.00,50.00,50.00,400
16-Nov-17,50.00,50.00,50.00,50.00,300
15-Nov-17,-,-,-,50.00,0
14-Nov-17,50.00,50.00,50.00,50.00,100
13-Nov-17,50.00,50.00,50.00,50.00,1700
10-Nov-17,50.00,50.00,50.00,50.00,1100
9-Nov-17,50.00,50.00,50.00,50.00,1300
8-Nov-17,50.00,50.00,50.00,50.00,1500
7-Nov-17,50.00,50.00,50.00,50.00,17000
6-Nov-17,50.00,50.00,50.00,50.00,5000
3-Nov-17,50.00,50.00,50.00,50.00,400
2-Nov-17,50.00,50.00,50.00,50.00,10000
1-Nov-17,-,-,-,50.00,0
31-Oct-17,50.00,50.00,50.00,50.00,1400
30-Oct-17,50.00,50.00,50.00,50.00,5300
27-Oct-17,50.00,50.00,50.00,50.00,8000
26-Oct-17,50.00,50.00,50.00,50.00,291700
25-Oct-17,50.00,50.00,50.00,50.00,2241300
24-Oct-17,50.00,50.00,50.00,50.00,17000
23-Oct-17,50.00,50.00,50.00,50.00,4000
20-Oct-17,-,-,-,50.00,0
19-Oct-17,-,-,-,50.00,0
18-Oct-17,-,-,-,50.00,0
17-Oct-17,50.00,50.00,50.00,50.00,300
16-Oct-17,-,-,-,50.00,0
13-Oct-17,50.00,50.00,50.00,50.00,110400
12-Oct-17,-,-,-,50.00,0
11-Oct-17,50.00,50.00,50.00,50.00,10300
10-Oct-17,50.00,50.00,50.00,50.00,60300
9-Oct-17,-,-,-,50.00,0
6-Oct-17,50.00,50.00,50.00,50.00,1800
5-Oct-17,50.00,50.00,50.00,50.00,49400
4-Oct-17,50.00,50.00,50.00,50.00,500
3-Oct-17,50.00,50.00,50.00,50.00,46100
2-Oct-17,50.00,53.00,50.00,50.00,2621600
29-Sep-17,50.00,50.00,50.00,50.00,25200
28-Sep-17,50.00,50.00,50.00,50.00,6600
27-Sep-17,50.00,52.00,50.00,50.00,797800
26-Sep-17,-,-,-,50.00,0
25-Sep-17,50.00,50.00,50.00,50.00,300
22-Sep-17,50.00,50.00,50.00,50.00,500
20-Sep-17,50.00,50.00,50.00,50.00,39000
19-Sep-17,50.00,50.00,50.00,50.00,11200
18-Sep-17,50.00,50.00,50.00,50.00,1100
15-Sep-17,50.00,50.00,50.00,50.00,200
14-Sep-17,50.00,50.00,50.00,50.00,10700
13-Sep-17,-,-,-,50.00,0
12-Sep-17,50.00,50.00,50.00,50.00,3500
11-Sep-17,50.00,51.00,50.00,50.00,131200
8-Sep-17,51.00,51.00,50.00,51.00,98500
7-Sep-17,50.00,51.00,50.00,50.00,117900
6-Sep-17,50.00,51.00,50.00,50.00,436500
5-Sep-17,-,-,-,50.00,0
4-Sep-17,50.00,50.00,50.00,50.00,116100
31-Aug-17,50.00,50.00,50.00,50.00,61200
30-Aug-17,50.00,51.00,50.00,50.00,394000
29-Aug-17,50.00,51.00,50.00,51.00,141000
28-Aug-17,50.00,51.00,50.00,50.00,58000
25-Aug-17,50.00,51.00,50.00,50.00,256800
24-Aug-17,50.00,51.00,50.00,50.00,90100
23-Aug-17,50.00,52.00,50.00,50.00,2349000
22-Aug-17,50.00,50.00,50.00,50.00,215600
21-Aug-17,50.00,50.00,50.00,50.00,13600
18-Aug-17,50.00,50.00,50.00,50.00,11900
16-Aug-17,50.00,50.00,50.00,50.00,100
15-Aug-17,50.00,50.00,50.00,50.00,26500
14-Aug-17,50.00,50.00,50.00,50.00,100000
11-Aug-17,50.00,50.00,50.00,50.00,5600
10-Aug-17,50.00,50.00,50.00,50.00,5200
9-Aug-17,50.00,50.00,50.00,50.00,7200
8-Aug-17,50.00,51.00,50.00,50.00,1372100
7-Aug-17,50.00,51.00,50.00,50.00,895000
4-Aug-17,51.00,53.00,50.00,50.00,4304900
3-Aug-17,50.00,61.00,50.00,50.00,22228300
2-Aug-17,50.00,50.00,50.00,50.00,10000
1-Aug-17,50.00,50.00,50.00,50.00,15000
31-Jul-17,-,-,-,50.00,0
28-Jul-17,50.00,50.00,50.00,50.00,600
27-Jul-17,50.00,50.00,50.00,50.00,700
26-Jul-17,-,-,-,50.00,0
25-Jul-17,50.00,50.00,50.00,50.00,200
24-Jul-17,50.00,50.00,50.00,50.00,200
21-Jul-17,50.00,50.00,50.00,50.00,8300
20-Jul-17,50.00,50.00,50.00,50.00,10000
19-Jul-17,50.00,50.00,50.00,50.00,85900
18-Jul-17,-,-,-,50.00,0
17-Jul-17,-,-,-,50.00,0
14-Jul-17,50.00,50.00,50.00,50.00,21800
13-Jul-17,50.00,50.00,50.00,50.00,10000
12-Jul-17,50.00,50.00,50.00,50.00,290200
11-Jul-17,50.00,51.00,50.00,50.00,330600
10-Jul-17,55.00,67.00,50.00,50.00,100800
7-Jul-17,50.00,50.00,50.00,50.00,1005700
6-Jul-17,50.00,50.00,50.00,50.00,500
5-Jul-17,51.00,51.00,50.00,50.00,800
4-Jul-17,50.00,51.00,50.00,50.00,31600
3-Jul-17,51.00,51.00,50.00,50.00,74600
22-Jun-17,50.00,50.00,50.00,50.00,20000
21-Jun-17,50.00,50.00,50.00,50.00,284200
20-Jun-17,50.00,51.00,50.00,51.00,13300
19-Jun-17,50.00,51.00,50.00,50.00,1027600
16-Jun-17,51.00,51.00,50.00,51.00,343300
15-Jun-17,51.00,53.00,50.00,51.00,1114700
14-Jun-17,53.00,54.00,50.00,51.00,1408600
13-Jun-17,53.00,53.00,53.00,53.00,20900
12-Jun-17,51.00,54.00,51.00,51.00,683000
9-Jun-17,52.00,52.00,51.00,52.00,119300
8-Jun-17,54.00,54.00,51.00,52.00,2651300
7-Jun-17,54.00,55.00,53.00,55.00,54300
6-Jun-17,54.00,55.00,54.00,55.00,1000
5-Jun-17,54.00,56.00,54.00,56.00,11900
2-Jun-17,55.00,55.00,54.00,55.00,7200
31-May-17,54.00,55.00,54.00,55.00,1700
30-May-17,54.00,56.00,53.00,54.00,53100
29-May-17,55.00,57.00,54.00,54.00,42200
26-May-17,54.00,57.00,53.00,55.00,1104700
24-May-17,56.00,57.00,55.00,57.00,41100
23-May-17,58.00,58.00,55.00,57.00,3700
22-May-17,56.00,58.00,55.00,58.00,5800
19-May-17,56.00,58.00,56.00,56.00,14700
18-May-17,55.00,57.00,55.00,56.00,1400
17-May-17,55.00,59.00,54.00,58.00,50400
16-May-17,55.00,56.00,53.00,56.00,40400
15-May-17,56.00,56.00,54.00,56.00,10100
12-May-17,55.00,56.00,54.00,56.00,10500
10-May-17,56.00,57.00,54.00,55.00,1684100
9-May-17,56.00,56.00,56.00,56.00,5000
8-May-17,59.00,59.00,55.00,59.00,84900
5-May-17,60.00,61.00,55.00,59.00,70400
4-May-17,55.00,61.00,54.00,60.00,14200
3-May-17,60.00,60.00,57.00,57.00,265100
2-May-17,62.00,62.00,60.00,60.00,1693300
28-Apr-17,63.00,63.00,59.00,62.00,59600
27-Apr-17,62.00,62.00,60.00,60.00,192900
26-Apr-17,65.00,67.00,62.00,63.00,721400
25-Apr-17,69.00,75.00,64.00,66.00,181000
21-Apr-17,65.00,70.00,65.00,69.00,363400
20-Apr-17,64.00,70.00,63.00,67.00,158500
18-Apr-17,64.00,66.00,62.00,65.00,83400
17-Apr-17,63.00,68.00,63.00,68.00,26900
13-Apr-17,64.00,64.00,62.00,64.00,36200
12-Apr-17,60.00,64.00,60.00,63.00,100400
11-Apr-17,61.00,62.00,60.00,62.00,2900
10-Apr-17,62.00,62.00,53.00,61.00,55600
7-Apr-17,63.00,64.00,62.00,63.00,103800
6-Apr-17,62.00,63.00,61.00,63.00,49100
5-Apr-17,63.00,64.00,62.00,64.00,6700
4-Apr-17,63.00,64.00,61.00,64.00,67300
3-Apr-17,64.00,64.00,62.00,63.00,1800
31-Mar-17,63.00,64.00,62.00,64.00,89400
30-Mar-17,61.00,63.00,60.00,63.00,40100
29-Mar-17,63.00,63.00,60.00,62.00,2600
27-Mar-17,61.00,62.00,60.00,60.00,9800
24-Mar-17,64.00,66.00,61.00,61.00,284300
23-Mar-17,61.00,64.00,61.00,62.00,246200
22-Mar-17,63.00,63.00,62.00,63.00,244100
21-Mar-17,63.00,65.00,62.00,63.00,578700
20-Mar-17,63.00,64.00,61.00,63.00,59200
17-Mar-17,61.00,65.00,58.00,62.00,700100
16-Mar-17,61.00,62.00,55.00,61.00,341600
15-Mar-17,63.00,64.00,61.00,62.00,222700
14-Mar-17,62.00,64.00,61.00,62.00,287500
13-Mar-17,64.00,70.00,62.00,62.00,389500
10-Mar-17,63.00,66.00,62.00,66.00,588300
9-Mar-17,67.00,67.00,60.00,64.00,214800
8-Mar-17,66.00,66.00,65.00,66.00,27300
7-Mar-17,68.00,68.00,63.00,66.00,123800
6-Mar-17,62.00,72.00,62.00,64.00,674000
3-Mar-17,63.00,70.00,62.00,62.00,805200
2-Mar-17,64.00,64.00,61.00,63.00,203500
1-Mar-17,64.00,65.00,63.00,64.00,71600
28-Feb-17,64.00,66.00,63.00,65.00,467400
27-Feb-17,65.00,66.00,62.00,65.00,44400
24-Feb-17,64.00,67.00,64.00,66.00,294100
23-Feb-17,62.00,66.00,62.00,64.00,331900
22-Feb-17,60.00,67.00,55.00,65.00,687900
21-Feb-17,63.00,63.00,50.00,62.00,652000
20-Feb-17,68.00,68.00,61.00,63.00,191200
