Date,Open,High,Low,Close,Volume
29-Dec-17,260.00,264.00,260.00,262.00,4571000
28-Dec-17,262.00,270.00,256.00,260.00,4240400
27-Dec-17,266.00,266.00,252.00,260.00,3947600
22-Dec-17,260.00,260.00,250.00,260.00,4129900
21-Dec-17,250.00,268.00,250.00,254.00,4149300
20-Dec-17,250.00,254.00,246.00,248.00,4469100
19-Dec-17,246.00,260.00,244.00,252.00,5047800
18-Dec-17,252.00,254.00,246.00,248.00,4380000
15-Dec-17,254.00,256.00,246.00,250.00,4435900
14-Dec-17,254.00,256.00,246.00,256.00,4312100
13-Dec-17,250.00,258.00,250.00,254.00,4384500
12-Dec-17,246.00,260.00,246.00,250.00,4455300
11-Dec-17,246.00,256.00,242.00,242.00,4568000
8-Dec-17,242.00,250.00,238.00,244.00,5013400
7-Dec-17,248.00,248.00,238.00,240.00,4191300
6-Dec-17,242.00,244.00,234.00,244.00,4485000
5-Dec-17,242.00,250.00,240.00,242.00,4798400
4-Dec-17,248.00,250.00,242.00,246.00,4274400
30-Nov-17,250.00,252.00,242.00,246.00,4484400
29-Nov-17,248.00,256.00,240.00,250.00,5606100
28-Nov-17,242.00,248.00,230.00,248.00,4522000
27-Nov-17,246.00,246.00,240.00,242.00,4539600
24-Nov-17,252.00,252.00,244.00,248.00,4084900
23-Nov-17,246.00,256.00,246.00,252.00,4324400
22-Nov-17,248.00,252.00,240.00,246.00,4202000
21-Nov-17,256.00,256.00,244.00,250.00,4613900
20-Nov-17,258.00,258.00,240.00,254.00,4721900
17-Nov-17,264.00,268.00,250.00,254.00,4168400
16-Nov-17,258.00,264.00,250.00,258.00,4551600
15-Nov-17,250.00,270.00,246.00,258.00,4887000
14-Nov-17,254.00,261.00,250.00,250.00,15472500
13-Nov-17,258.00,266.00,240.00,254.00,8239000
10-Nov-17,260.00,260.00,253.00,254.00,6924000
9-Nov-17,260.00,263.00,258.00,260.00,6495000
8-Nov-17,264.00,265.00,258.00,260.00,5809500
7-Nov-17,267.00,268.00,260.00,263.00,5987000
6-Nov-17,280.00,284.00,266.00,267.00,7706500
3-Nov-17,283.00,283.00,270.00,281.00,5498000
2-Nov-17,284.00,284.00,275.00,281.00,6086500
1-Nov-17,283.00,285.00,271.00,282.00,5574500
31-Oct-17,280.00,286.00,275.00,284.00,5532500
30-Oct-17,282.00,284.00,271.00,280.00,5669500
27-Oct-17,282.00,283.00,275.00,283.00,5799500
26-Oct-17,284.00,286.00,275.00,283.00,6903500
25-Oct-17,284.00,287.00,281.00,284.00,5724500
24-Oct-17,286.00,290.00,283.00,284.00,5619000
23-Oct-17,285.00,287.00,266.00,282.00,5912500
20-Oct-17,287.00,287.00,283.00,284.00,6067000
19-Oct-17,280.00,289.00,280.00,286.00,8471500
18-Oct-17,285.00,287.00,277.00,284.00,5592000
17-Oct-17,284.00,289.00,280.00,284.00,5789000
16-Oct-17,287.00,287.00,256.00,283.00,5612500
12-Oct-17,290.00,290.00,287.00,289.00,5453000
11-Oct-17,289.00,292.00,287.00,290.00,5401500
10-Oct-17,292.00,296.00,287.00,291.00,5230500
9-Oct-17,289.00,294.00,282.00,292.00,4206500
6-Oct-17,292.00,295.00,288.00,289.00,4630500
5-Oct-17,291.00,293.00,285.00,292.00,3889500
4-Oct-17,289.00,293.00,287.00,291.00,4332000
3-Oct-17,290.00,297.00,284.00,289.00,4270500
2-Oct-17,285.00,296.00,285.00,290.00,3914000
29-Sep-17,283.00,286.00,279.00,285.00,4386500
28-Sep-17,280.00,293.00,277.00,283.00,3600000
27-Sep-17,280.00,289.00,275.00,280.00,2541500
26-Sep-17,289.00,290.00,270.00,280.00,1822500
25-Sep-17,284.00,293.00,284.00,289.00,1164500
22-Sep-17,288.00,289.00,280.00,284.00,2545500
20-Sep-17,289.00,291.00,282.00,282.00,2607500
19-Sep-17,284.00,299.00,284.00,287.00,2307000
18-Sep-17,288.00,290.00,281.00,284.00,2587500
15-Sep-17,290.00,294.00,280.00,287.00,2568500
14-Sep-17,283.00,296.00,273.00,285.00,2853500
13-Sep-17,294.00,299.00,280.00,284.00,4912000
12-Sep-17,298.00,299.00,288.00,293.00,2671000
11-Sep-17,293.00,300.00,289.00,300.00,4898500
8-Sep-17,290.00,300.00,282.00,293.00,3624500
7-Sep-17,291.00,292.00,280.00,292.00,3311000
6-Sep-17,287.00,292.00,275.00,291.00,3104000
5-Sep-17,290.00,294.00,289.00,290.00,2440500
4-Sep-17,290.00,296.00,285.00,290.00,2619500
31-Aug-17,281.00,288.00,275.00,284.00,2445000
30-Aug-17,282.00,285.00,278.00,280.00,1921000
29-Aug-17,281.00,287.00,278.00,282.00,2530500
28-Aug-17,273.00,291.00,272.00,281.00,1918500
