Date,Open,High,Low,Close,Volume
29-Dec-17,35450.00,36500.00,35400.00,36500.00,113300
28-Dec-17,35400.00,35400.00,35375.00,35400.00,107000
27-Dec-17,35400.00,35400.00,35375.00,35400.00,113700
22-Dec-17,36200.00,36200.00,35300.00,35375.00,53700
21-Dec-17,36150.00,36200.00,36150.00,36200.00,90500
20-Dec-17,36150.00,36150.00,36150.00,36150.00,112300
19-Dec-17,36100.00,36150.00,36100.00,36150.00,89700
18-Dec-17,36400.00,36550.00,36100.00,36100.00,102700
15-Dec-17,35950.00,36400.00,35950.00,36400.00,105900
14-Dec-17,36000.00,36000.00,36000.00,36000.00,99900
13-Dec-17,35950.00,36000.00,35950.00,35950.00,111400
12-Dec-17,35625.00,35950.00,35500.00,35950.00,105900
11-Dec-17,35600.00,35625.00,35575.00,35625.00,98200
8-Dec-17,35600.00,35600.00,35500.00,35600.00,121000
7-Dec-17,35700.00,35700.00,35700.00,35700.00,94300
6-Dec-17,35700.00,35700.00,35650.00,35700.00,101900
5-Dec-17,35400.00,35750.00,35400.00,35725.00,111200
4-Dec-17,35450.00,35500.00,35300.00,35375.00,103400
30-Nov-17,35150.00,35450.00,35125.00,35450.00,111100
29-Nov-17,34750.00,35200.00,34750.00,35150.00,115300
28-Nov-17,34800.00,34800.00,34600.00,34700.00,95300
27-Nov-17,34900.00,34950.00,34900.00,34950.00,105200
24-Nov-17,35250.00,35300.00,35250.00,35250.00,108800
23-Nov-17,35125.00,35300.00,35125.00,35250.00,125400
22-Nov-17,34950.00,35125.00,34950.00,35125.00,112100
21-Nov-17,35000.00,35050.00,34750.00,34950.00,108600
20-Nov-17,35050.00,35150.00,35000.00,35000.00,101300
17-Nov-17,35025.00,35050.00,35025.00,35050.00,100100
16-Nov-17,35000.00,35100.00,35000.00,35025.00,96500
15-Nov-17,34950.00,34975.00,34950.00,34975.00,107500
14-Nov-17,34975.00,34975.00,34950.00,34950.00,122300
13-Nov-17,35000.00,35000.00,34950.00,35000.00,115600
10-Nov-17,34900.00,34950.00,34900.00,34950.00,94100
9-Nov-17,34850.00,34900.00,34850.00,34900.00,104200
8-Nov-17,34925.00,34950.00,34500.00,34850.00,93300
7-Nov-17,34925.00,34950.00,34900.00,34900.00,117500
6-Nov-17,34450.00,34900.00,34450.00,34900.00,106900
3-Nov-17,33975.00,34400.00,33550.00,34400.00,101100
2-Nov-17,34600.00,34600.00,33700.00,33975.00,83100
1-Nov-17,35600.00,35600.00,34150.00,34600.00,89200
31-Oct-17,35550.00,35575.00,34975.00,35525.00,94900
