Date,Open,High,Low,Close,Volume
29-Dec-17,645.00,645.00,580.00,590.00,700
28-Dec-17,605.00,650.00,595.00,650.00,9100
27-Dec-17,645.00,680.00,575.00,580.00,15300
22-Dec-17,555.00,555.00,555.00,555.00,5100
21-Dec-17,575.00,690.00,570.00,690.00,4700
20-Dec-17,565.00,565.00,565.00,565.00,100
19-Dec-17,700.00,700.00,700.00,700.00,100
18-Dec-17,650.00,655.00,650.00,655.00,600
15-Dec-17,700.00,700.00,700.00,700.00,100
14-Dec-17,-,-,-,650.00,0
13-Dec-17,-,-,-,650.00,0
12-Dec-17,-,-,-,650.00,0
11-Dec-17,-,-,-,650.00,0
8-Dec-17,-,-,-,650.00,0
7-Dec-17,-,-,-,650.00,0
6-Dec-17,650.00,650.00,650.00,650.00,100
5-Dec-17,550.00,650.00,550.00,650.00,300
4-Dec-17,-,-,-,650.00,0
30-Nov-17,-,-,-,650.00,0
29-Nov-17,-,-,-,650.00,0
28-Nov-17,650.00,650.00,650.00,650.00,5000
27-Nov-17,-,-,-,650.00,0
24-Nov-17,650.00,650.00,650.00,650.00,7600
23-Nov-17,-,-,-,650.00,0
22-Nov-17,-,-,-,650.00,0
21-Nov-17,-,-,-,650.00,0
20-Nov-17,-,-,-,650.00,0
17-Nov-17,-,-,-,650.00,0
16-Nov-17,650.00,650.00,650.00,650.00,100
15-Nov-17,600.00,600.00,600.00,600.00,200
14-Nov-17,-,-,-,650.00,0
13-Nov-17,650.00,650.00,650.00,650.00,900
10-Nov-17,650.00,650.00,650.00,650.00,10000
9-Nov-17,630.00,630.00,630.00,630.00,1000
8-Nov-17,600.00,630.00,600.00,630.00,5500
7-Nov-17,630.00,630.00,630.00,630.00,500
6-Nov-17,-,-,-,630.00,0
3-Nov-17,630.00,630.00,630.00,630.00,100
2-Nov-17,550.00,630.00,550.00,630.00,26200
1-Nov-17,630.00,630.00,630.00,630.00,5100
31-Oct-17,-,-,-,630.00,0
30-Oct-17,560.00,630.00,560.00,630.00,51600
27-Oct-17,630.00,630.00,600.00,600.00,5900
26-Oct-17,650.00,650.00,560.00,560.00,13100
25-Oct-17,630.00,630.00,550.00,600.00,20300
24-Oct-17,615.00,615.00,540.00,560.00,9500
23-Oct-17,600.00,600.00,560.00,590.00,6600
20-Oct-17,580.00,600.00,540.00,600.00,25500
19-Oct-17,650.00,650.00,590.00,590.00,7600
18-Oct-17,580.00,670.00,580.00,650.00,1300
17-Oct-17,565.00,565.00,540.00,550.00,29600
16-Oct-17,590.00,590.00,565.00,565.00,1300
12-Oct-17,590.00,590.00,525.00,585.00,500
11-Oct-17,540.00,560.00,540.00,545.00,30700
10-Oct-17,-,-,-,600.00,0
9-Oct-17,600.00,600.00,525.00,600.00,10900
6-Oct-17,615.00,615.00,550.00,550.00,3400
5-Oct-17,575.00,610.00,535.00,550.00,5300
4-Oct-17,520.00,575.00,520.00,575.00,6200
3-Oct-17,550.00,600.00,530.00,550.00,39800
2-Oct-17,515.00,515.00,515.00,515.00,100
29-Sep-17,610.00,610.00,610.00,610.00,100
28-Sep-17,555.00,585.00,555.00,585.00,6300
27-Sep-17,-,-,-,610.00,0
26-Sep-17,610.00,610.00,610.00,610.00,21100
25-Sep-17,610.00,610.00,610.00,610.00,13900
22-Sep-17,610.00,700.00,610.00,610.00,29100
20-Sep-17,590.00,650.00,590.00,610.00,54200
19-Sep-17,555.00,605.00,550.00,550.00,5400
18-Sep-17,595.00,595.00,540.00,545.00,29800
15-Sep-17,560.00,560.00,500.00,530.00,41400
14-Sep-17,520.00,580.00,520.00,570.00,2700
13-Sep-17,484.00,500.00,484.00,500.00,2000
12-Sep-17,550.00,550.00,520.00,520.00,2300
11-Sep-17,570.00,570.00,520.00,520.00,2900
8-Sep-17,565.00,565.00,510.00,510.00,1100
7-Sep-17,555.00,585.00,510.00,510.00,49600
6-Sep-17,510.00,510.00,500.00,505.00,16400
5-Sep-17,-,-,-,550.00,0
4-Sep-17,550.00,565.00,550.00,550.00,2600
31-Aug-17,484.00,500.00,482.00,500.00,3500
30-Aug-17,484.00,486.00,484.00,486.00,4100
29-Aug-17,-,-,-,482.00,0
28-Aug-17,482.00,482.00,482.00,482.00,100
25-Aug-17,-,-,-,520.00,0
24-Aug-17,515.00,520.00,515.00,520.00,4200
23-Aug-17,-,-,-,515.00,0
22-Aug-17,530.00,580.00,515.00,515.00,3000
21-Aug-17,510.00,510.00,505.00,505.00,5500
18-Aug-17,525.00,525.00,525.00,525.00,200
16-Aug-17,510.00,545.00,510.00,530.00,1300
15-Aug-17,575.00,575.00,500.00,510.00,8100
14-Aug-17,575.00,575.00,575.00,575.00,100
11-Aug-17,580.00,580.00,570.00,570.00,200
10-Aug-17,575.00,575.00,575.00,575.00,100
9-Aug-17,500.00,525.00,500.00,525.00,400
8-Aug-17,525.00,525.00,525.00,525.00,200
7-Aug-17,575.00,575.00,525.00,525.00,200
4-Aug-17,540.00,540.00,525.00,525.00,2400
3-Aug-17,590.00,590.00,480.00,480.00,10600
2-Aug-17,590.00,590.00,590.00,590.00,100
1-Aug-17,590.00,590.00,590.00,590.00,100
31-Jul-17,-,-,-,570.00,0
28-Jul-17,-,-,-,570.00,0
27-Jul-17,565.00,575.00,520.00,570.00,7000
26-Jul-17,492.00,580.00,492.00,565.00,111000
25-Jul-17,560.00,580.00,470.00,494.00,14800
24-Jul-17,570.00,570.00,472.00,530.00,700
21-Jul-17,580.00,580.00,480.00,570.00,6200
20-Jul-17,560.00,560.00,560.00,560.00,500
19-Jul-17,530.00,530.00,488.00,525.00,7300
18-Jul-17,-,-,-,525.00,0
17-Jul-17,496.00,530.00,496.00,525.00,700
14-Jul-17,510.00,525.00,470.00,486.00,5600
13-Jul-17,480.00,550.00,480.00,490.00,112100
12-Jul-17,470.00,472.00,470.00,472.00,300
