Date,Open,High,Low,Close,Volume
29-Dec-17,1280.00,1285.00,1270.00,1285.00,16523300
28-Dec-17,1255.00,1280.00,1245.00,1265.00,18269600
27-Dec-17,1245.00,1260.00,1235.00,1250.00,16680700
22-Dec-17,1255.00,1275.00,1250.00,1250.00,9847000
21-Dec-17,1255.00,1265.00,1250.00,1265.00,9214500
20-Dec-17,1255.00,1280.00,1255.00,1255.00,13380300
19-Dec-17,1250.00,1275.00,1240.00,1255.00,30289600
18-Dec-17,1305.00,1305.00,1250.00,1255.00,18579600
15-Dec-17,1280.00,1335.00,1280.00,1295.00,60606800
13-Dec-17,1230.00,1280.00,1225.00,1280.00,29324400
12-Dec-17,1280.00,1285.00,1230.00,1230.00,34441400
11-Dec-17,1340.00,1360.00,1280.00,1280.00,38457500
8-Dec-17,1325.00,1340.00,1305.00,1340.00,29874800
7-Dec-17,1345.00,1360.00,1305.00,1325.00,31559100
6-Dec-17,1280.00,1355.00,1280.00,1345.00,36780800
5-Dec-17,1300.00,1305.00,1255.00,1290.00,30839200
4-Dec-17,1320.00,1335.00,1270.00,1300.00,84015800
30-Nov-17,1355.00,1375.00,1300.00,1300.00,425671300
29-Nov-17,1330.00,1380.00,1320.00,1370.00,33824900
28-Nov-17,1435.00,1435.00,1330.00,1330.00,32552700
27-Nov-17,1465.00,1475.00,1435.00,1435.00,20708600
24-Nov-17,1490.00,1500.00,1455.00,1470.00,16843000
23-Nov-17,1460.00,1485.00,1455.00,1485.00,28387100
22-Nov-17,1470.00,1485.00,1440.00,1445.00,22457400
21-Nov-17,1500.00,1520.00,1465.00,1465.00,6253000
20-Nov-17,1460.00,1525.00,1460.00,1505.00,28809200
17-Nov-17,1465.00,1495.00,1455.00,1475.00,39261300
16-Nov-17,1440.00,1490.00,1440.00,1460.00,38630200
15-Nov-17,1400.00,1500.00,1400.00,1440.00,36186400
14-Nov-17,1630.00,1630.00,1385.00,1445.00,62666200
13-Nov-17,1645.00,1665.00,1640.00,1650.00,14058400
10-Nov-17,1660.00,1690.00,1635.00,1650.00,27761900
9-Nov-17,1545.00,1665.00,1545.00,1655.00,53773800
8-Nov-17,1480.00,1535.00,1475.00,1535.00,21068900
7-Nov-17,1445.00,1480.00,1440.00,1480.00,11162800
6-Nov-17,1505.00,1505.00,1480.00,1490.00,10645200
3-Nov-17,1550.00,1550.00,1505.00,1505.00,10919100
2-Nov-17,1530.00,1545.00,1520.00,1540.00,12026300
1-Nov-17,1555.00,1575.00,1520.00,1540.00,12184300
31-Oct-17,1585.00,1585.00,1545.00,1560.00,11035400
30-Oct-17,1575.00,1585.00,1540.00,1580.00,6837200
27-Oct-17,1585.00,1585.00,1545.00,1575.00,15854700
26-Oct-17,1530.00,1595.00,1520.00,1585.00,23920000
25-Oct-17,1520.00,1530.00,1480.00,1530.00,10046900
24-Oct-17,1510.00,1515.00,1500.00,1510.00,9888300
23-Oct-17,1545.00,1545.00,1495.00,1510.00,8877300
20-Oct-17,1485.00,1545.00,1480.00,1545.00,16367500
19-Oct-17,1540.00,1565.00,1470.00,1470.00,23608200
18-Oct-17,1475.00,1570.00,1470.00,1535.00,30048500
17-Oct-17,1480.00,1490.00,1450.00,1460.00,9217400
16-Oct-17,1470.00,1480.00,1455.00,1475.00,6685900
13-Oct-17,1485.00,1490.00,1470.00,1475.00,5360600
12-Oct-17,1460.00,1495.00,1455.00,1485.00,10131100
11-Oct-17,1450.00,1480.00,1425.00,1450.00,10281700
10-Oct-17,1465.00,1475.00,1425.00,1450.00,11049700
9-Oct-17,1495.00,1495.00,1450.00,1480.00,7823500
6-Oct-17,1480.00,1495.00,1455.00,1490.00,10479800
5-Oct-17,1470.00,1480.00,1435.00,1480.00,11818300
4-Oct-17,1420.00,1485.00,1415.00,1470.00,17728000
3-Oct-17,1410.00,1475.00,1410.00,1440.00,23811700
2-Oct-17,1310.00,1425.00,1310.00,1410.00,19736800
29-Sep-17,1330.00,1350.00,1310.00,1320.00,19743700
28-Sep-17,1335.00,1335.00,1300.00,1330.00,12293600
27-Sep-17,1335.00,1340.00,1305.00,1335.00,11439500
26-Sep-17,1355.00,1355.00,1320.00,1340.00,16144300
25-Sep-17,1340.00,1380.00,1340.00,1355.00,16385200
22-Sep-17,1330.00,1355.00,1330.00,1335.00,16613600
20-Sep-17,1340.00,1350.00,1320.00,1330.00,14748400
19-Sep-17,1360.00,1365.00,1330.00,1340.00,15542500
18-Sep-17,1410.00,1415.00,1335.00,1360.00,13776500
15-Sep-17,1310.00,1410.00,1300.00,1410.00,21705600
14-Sep-17,1310.00,1320.00,1300.00,1310.00,14215500
13-Sep-17,1300.00,1345.00,1285.00,1310.00,36340700
12-Sep-17,1330.00,1330.00,1290.00,1310.00,16785800
11-Sep-17,1350.00,1365.00,1310.00,1330.00,14246500
8-Sep-17,1370.00,1370.00,1320.00,1355.00,19055100
7-Sep-17,1380.00,1385.00,1335.00,1375.00,19981200
6-Sep-17,1410.00,1410.00,1355.00,1380.00,21442900
5-Sep-17,1440.00,1455.00,1380.00,1420.00,23757300
