Date,Open,High,Low,Close,Volume
29-Dec-17,200.00,206.00,200.00,206.00,33300
28-Dec-17,199.00,204.00,199.00,200.00,12300
27-Dec-17,206.00,206.00,199.00,199.00,24800
22-Dec-17,206.00,206.00,206.00,206.00,300
21-Dec-17,204.00,204.00,204.00,204.00,300
20-Dec-17,-,-,-,196.00,0
19-Dec-17,-,-,-,196.00,0
18-Dec-17,196.00,196.00,196.00,196.00,9500
15-Dec-17,195.00,195.00,195.00,195.00,200
14-Dec-17,-,-,-,194.00,0
13-Dec-17,210.00,210.00,191.00,194.00,10400
12-Dec-17,-,-,-,204.00,0
11-Dec-17,204.00,204.00,204.00,204.00,200
8-Dec-17,204.00,204.00,204.00,204.00,300
7-Dec-17,-,-,-,204.00,0
6-Dec-17,204.00,204.00,204.00,204.00,200
5-Dec-17,214.00,214.00,198.00,202.00,116000
4-Dec-17,212.00,212.00,212.00,212.00,500
30-Nov-17,214.00,214.00,214.00,214.00,100
29-Nov-17,208.00,210.00,208.00,208.00,90400
28-Nov-17,208.00,212.00,208.00,208.00,321500
27-Nov-17,200.00,212.00,200.00,208.00,4300
24-Nov-17,-,-,-,202.00,0
23-Nov-17,210.00,212.00,200.00,202.00,9800
22-Nov-17,199.00,206.00,199.00,206.00,4200
21-Nov-17,199.00,199.00,199.00,199.00,200
20-Nov-17,197.00,204.00,197.00,199.00,7900
17-Nov-17,199.00,202.00,199.00,202.00,1000
16-Nov-17,199.00,206.00,199.00,199.00,35300
15-Nov-17,200.00,204.00,199.00,199.00,58800
14-Nov-17,199.00,199.00,199.00,199.00,100
13-Nov-17,200.00,200.00,200.00,200.00,100
10-Nov-17,-,-,-,200.00,0
9-Nov-17,200.00,200.00,200.00,200.00,2600
8-Nov-17,200.00,200.00,200.00,200.00,100
7-Nov-17,195.00,200.00,195.00,200.00,2500
6-Nov-17,200.00,200.00,196.00,200.00,54300
3-Nov-17,196.00,200.00,196.00,200.00,2500
2-Nov-17,200.00,200.00,200.00,200.00,200
1-Nov-17,196.00,196.00,196.00,196.00,20000
31-Oct-17,195.00,200.00,195.00,200.00,1600
30-Oct-17,-,-,-,202.00,0
27-Oct-17,202.00,202.00,202.00,202.00,500
26-Oct-17,200.00,200.00,198.00,198.00,79700
25-Oct-17,198.00,198.00,198.00,198.00,300
24-Oct-17,196.00,199.00,196.00,199.00,400
23-Oct-17,199.00,199.00,199.00,199.00,2200
20-Oct-17,199.00,200.00,199.00,199.00,5200
19-Oct-17,199.00,199.00,199.00,199.00,3100
18-Oct-17,200.00,200.00,200.00,200.00,100
17-Oct-17,199.00,200.00,199.00,200.00,500
16-Oct-17,200.00,200.00,199.00,199.00,600
13-Oct-17,198.00,200.00,198.00,199.00,600
12-Oct-17,197.00,199.00,195.00,199.00,3600
11-Oct-17,-,-,-,198.00,0
10-Oct-17,-,-,-,198.00,0
9-Oct-17,192.00,198.00,192.00,198.00,53200
6-Oct-17,200.00,200.00,189.00,192.00,25000
5-Oct-17,206.00,206.00,196.00,196.00,15300
4-Oct-17,196.00,200.00,195.00,199.00,2200
3-Oct-17,199.00,199.00,196.00,196.00,3100
2-Oct-17,197.00,197.00,195.00,195.00,900
29-Sep-17,195.00,198.00,191.00,198.00,11100
28-Sep-17,200.00,200.00,198.00,198.00,300
27-Sep-17,198.00,200.00,198.00,200.00,1200
26-Sep-17,193.00,200.00,193.00,200.00,600
25-Sep-17,220.00,220.00,192.00,197.00,48700
22-Sep-17,206.00,220.00,206.00,216.00,800
20-Sep-17,208.00,208.00,188.00,206.00,56100
19-Sep-17,216.00,216.00,208.00,208.00,3000
18-Sep-17,204.00,204.00,204.00,204.00,3700
15-Sep-17,202.00,202.00,202.00,202.00,100
14-Sep-17,192.00,200.00,192.00,200.00,1000
13-Sep-17,210.00,210.00,191.00,191.00,20100
12-Sep-17,-,-,-,210.00,0
11-Sep-17,210.00,212.00,210.00,210.00,15600
8-Sep-17,-,-,-,210.00,0
7-Sep-17,210.00,210.00,210.00,210.00,1600
6-Sep-17,-,-,-,208.00,0
5-Sep-17,-,-,-,208.00,0
4-Sep-17,210.00,210.00,208.00,208.00,30100
31-Aug-17,206.00,216.00,206.00,216.00,2700
30-Aug-17,210.00,210.00,208.00,208.00,1100
29-Aug-17,204.00,204.00,204.00,204.00,20200
28-Aug-17,204.00,204.00,204.00,204.00,10600
25-Aug-17,208.00,208.00,208.00,208.00,200
24-Aug-17,206.00,206.00,204.00,206.00,800
23-Aug-17,210.00,210.00,204.00,204.00,200
22-Aug-17,206.00,206.00,204.00,204.00,22100
21-Aug-17,204.00,204.00,204.00,204.00,800
18-Aug-17,204.00,206.00,204.00,206.00,900
16-Aug-17,210.00,210.00,200.00,206.00,6300
15-Aug-17,212.00,212.00,210.00,210.00,400
14-Aug-17,204.00,204.00,202.00,202.00,2600
11-Aug-17,204.00,204.00,204.00,204.00,300
10-Aug-17,204.00,204.00,204.00,204.00,2100
9-Aug-17,204.00,204.00,204.00,204.00,400
8-Aug-17,206.00,206.00,202.00,202.00,24200
7-Aug-17,204.00,206.00,200.00,206.00,18200
4-Aug-17,204.00,204.00,204.00,204.00,100
3-Aug-17,199.00,199.00,197.00,197.00,14300
2-Aug-17,202.00,202.00,199.00,199.00,700
1-Aug-17,204.00,204.00,204.00,204.00,2100
31-Jul-17,-,-,-,210.00,0
28-Jul-17,-,-,-,210.00,0
27-Jul-17,-,-,-,210.00,0
26-Jul-17,210.00,210.00,210.00,210.00,300
25-Jul-17,200.00,210.00,200.00,210.00,300
24-Jul-17,188.00,202.00,188.00,202.00,18200
21-Jul-17,186.00,190.00,186.00,190.00,10200
20-Jul-17,197.00,197.00,187.00,192.00,6800
19-Jul-17,181.00,200.00,181.00,200.00,400
18-Jul-17,181.00,181.00,181.00,181.00,100
17-Jul-17,160.00,175.00,159.00,175.00,300
14-Jul-17,208.00,208.00,208.00,208.00,100
13-Jul-17,210.00,210.00,208.00,208.00,4100
12-Jul-17,-,-,-,218.00,0
11-Jul-17,-,-,-,218.00,0
10-Jul-17,218.00,218.00,210.00,218.00,18900
7-Jul-17,210.00,218.00,210.00,218.00,300
6-Jul-17,-,-,-,210.00,0
5-Jul-17,210.00,210.00,210.00,210.00,1200
4-Jul-17,208.00,208.00,204.00,204.00,900
3-Jul-17,204.00,204.00,204.00,204.00,3200
22-Jun-17,204.00,204.00,204.00,204.00,13100
21-Jun-17,-,-,-,204.00,0
20-Jun-17,200.00,204.00,200.00,204.00,3000
19-Jun-17,210.00,210.00,200.00,200.00,23500
16-Jun-17,212.00,214.00,204.00,210.00,4700
15-Jun-17,202.00,216.00,202.00,212.00,62600
14-Jun-17,214.00,216.00,202.00,204.00,83600
13-Jun-17,212.00,216.00,212.00,216.00,6800
12-Jun-17,214.00,214.00,214.00,214.00,100
9-Jun-17,202.00,212.00,202.00,208.00,6100
8-Jun-17,-,-,-,208.00,0
7-Jun-17,200.00,210.00,200.00,208.00,3500
6-Jun-17,204.00,214.00,204.00,214.00,58600
5-Jun-17,204.00,204.00,204.00,204.00,600
2-Jun-17,216.00,216.00,210.00,216.00,67000
31-May-17,218.00,222.00,202.00,204.00,107800
30-May-17,200.00,202.00,200.00,202.00,200
29-May-17,210.00,210.00,200.00,200.00,21400
26-May-17,200.00,210.00,200.00,210.00,20400
24-May-17,210.00,210.00,210.00,210.00,600
23-May-17,202.00,210.00,200.00,200.00,10100
22-May-17,200.00,202.00,200.00,202.00,600
19-May-17,-,-,-,200.00,0
