Date,Open,High,Low,Close,Volume
22-Jun-17,50.00,50.00,50.00,50.00,2300
21-Jun-17,50.00,50.00,50.00,50.00,100
20-Jun-17,50.00,50.00,50.00,50.00,200
19-Jun-17,50.00,50.00,50.00,50.00,1000
16-Jun-17,50.00,50.00,50.00,50.00,800
15-Jun-17,50.00,50.00,50.00,50.00,100
14-Jun-17,50.00,50.00,50.00,50.00,1100
13-Jun-17,-,-,-,50.00,0
12-Jun-17,50.00,50.00,50.00,50.00,1500
9-Jun-17,-,-,-,50.00,0
8-Jun-17,-,-,-,50.00,0
7-Jun-17,50.00,50.00,50.00,50.00,600
6-Jun-17,50.00,50.00,50.00,50.00,500
5-Jun-17,50.00,50.00,50.00,50.00,100
2-Jun-17,50.00,50.00,50.00,50.00,32000
31-May-17,50.00,50.00,50.00,50.00,100
30-May-17,50.00,50.00,50.00,50.00,2500
29-May-17,50.00,50.00,50.00,50.00,100
26-May-17,50.00,50.00,50.00,50.00,30000
24-May-17,50.00,50.00,50.00,50.00,100
23-May-17,-,-,-,50.00,0
22-May-17,50.00,50.00,50.00,50.00,100
19-May-17,50.00,50.00,50.00,50.00,100
18-May-17,50.00,50.00,50.00,50.00,10200
17-May-17,50.00,50.00,50.00,50.00,300
16-May-17,50.00,50.00,50.00,50.00,22000
15-May-17,50.00,50.00,50.00,50.00,400
12-May-17,50.00,50.00,50.00,50.00,105500
10-May-17,-,-,-,50.00,0
9-May-17,50.00,50.00,50.00,50.00,50600
8-May-17,50.00,50.00,50.00,50.00,10000
5-May-17,50.00,50.00,50.00,50.00,700
4-May-17,50.00,50.00,50.00,50.00,300
3-May-17,50.00,50.00,50.00,50.00,9100
2-May-17,50.00,50.00,50.00,50.00,118300
28-Apr-17,50.00,50.00,50.00,50.00,10000
27-Apr-17,50.00,50.00,50.00,50.00,605100
26-Apr-17,50.00,50.00,50.00,50.00,100
25-Apr-17,50.00,50.00,50.00,50.00,200
21-Apr-17,50.00,50.00,50.00,50.00,100200
20-Apr-17,50.00,50.00,50.00,50.00,63100
18-Apr-17,50.00,50.00,50.00,50.00,20000
17-Apr-17,50.00,50.00,50.00,50.00,300
13-Apr-17,50.00,50.00,50.00,50.00,61800
12-Apr-17,50.00,50.00,50.00,50.00,339300
11-Apr-17,50.00,50.00,50.00,50.00,900
10-Apr-17,50.00,50.00,50.00,50.00,1800
7-Apr-17,50.00,50.00,50.00,50.00,300
6-Apr-17,50.00,50.00,50.00,50.00,530100
5-Apr-17,50.00,50.00,50.00,50.00,429700
4-Apr-17,50.00,50.00,50.00,50.00,66200
3-Apr-17,50.00,50.00,50.00,50.00,8700
31-Mar-17,50.00,50.00,50.00,50.00,19200
30-Mar-17,50.00,50.00,50.00,50.00,400
29-Mar-17,50.00,50.00,50.00,50.00,23200
27-Mar-17,50.00,50.00,50.00,50.00,800
24-Mar-17,50.00,50.00,50.00,50.00,200
23-Mar-17,50.00,50.00,50.00,50.00,600
22-Mar-17,50.00,50.00,50.00,50.00,1300
21-Mar-17,50.00,50.00,50.00,50.00,3800
20-Mar-17,50.00,50.00,50.00,50.00,6900
17-Mar-17,50.00,50.00,50.00,50.00,9500
16-Mar-17,50.00,50.00,50.00,50.00,6000
15-Mar-17,50.00,50.00,50.00,50.00,451000
14-Mar-17,50.00,50.00,50.00,50.00,180300
13-Mar-17,50.00,50.00,50.00,50.00,182300
10-Mar-17,50.00,50.00,50.00,50.00,100000
9-Mar-17,51.00,51.00,50.00,50.00,3388800
8-Mar-17,51.00,52.00,50.00,50.00,23518300
7-Mar-17,50.00,53.00,50.00,50.00,94470800
6-Mar-17,50.00,50.00,50.00,50.00,301700
3-Mar-17,50.00,50.00,50.00,50.00,4700
2-Mar-17,50.00,50.00,50.00,50.00,20900
1-Mar-17,50.00,50.00,50.00,50.00,72000
28-Feb-17,50.00,50.00,50.00,50.00,238800
27-Feb-17,50.00,50.00,50.00,50.00,995400
24-Feb-17,50.00,50.00,50.00,50.00,792100
23-Feb-17,50.00,53.00,50.00,50.00,61972200
22-Feb-17,50.00,51.00,50.00,50.00,62156900
21-Feb-17,51.00,55.00,50.00,50.00,77825200
20-Feb-17,50.00,56.00,50.00,52.00,189650500
17-Feb-17,53.00,56.00,50.00,50.00,92782400
16-Feb-17,64.00,64.00,51.00,52.00,143273200
14-Feb-17,67.00,70.00,62.00,63.00,102838100
13-Feb-17,71.00,71.00,64.00,64.00,86027700
10-Feb-17,70.00,73.00,66.00,67.00,271441700
9-Feb-17,59.00,74.00,57.00,69.00,899040600
8-Feb-17,60.00,62.00,54.00,58.00,312679000
7-Feb-17,60.00,67.00,57.00,57.00,434896400
6-Feb-17,55.00,65.00,55.00,59.00,746903500
3-Feb-17,50.00,67.00,50.00,54.00,1485810900
2-Feb-17,50.00,55.00,50.00,50.00,450781100
1-Feb-17,50.00,50.00,50.00,50.00,260100
31-Jan-17,50.00,50.00,50.00,50.00,131600
30-Jan-17,50.00,50.00,50.00,50.00,73200
27-Jan-17,50.00,50.00,50.00,50.00,122700
26-Jan-17,50.00,50.00,50.00,50.00,197600
25-Jan-17,50.00,50.00,50.00,50.00,481800
24-Jan-17,50.00,50.00,50.00,50.00,14500
23-Jan-17,50.00,50.00,50.00,50.00,50100
20-Jan-17,50.00,50.00,50.00,50.00,1014900
19-Jan-17,50.00,50.00,50.00,50.00,100
18-Jan-17,-,-,-,50.00,0
17-Jan-17,50.00,50.00,50.00,50.00,200
16-Jan-17,-,-,-,50.00,0
13-Jan-17,-,-,-,50.00,0
12-Jan-17,50.00,50.00,50.00,50.00,10100
11-Jan-17,50.00,50.00,50.00,50.00,100
10-Jan-17,-,-,-,50.00,0
9-Jan-17,-,-,-,50.00,0
6-Jan-17,-,-,-,50.00,0
5-Jan-17,50.00,50.00,50.00,50.00,200
4-Jan-17,-,-,-,50.00,0
3-Jan-17,50.00,50.00,50.00,50.00,200
30-Dec-16,50.00,50.00,50.00,50.00,100
29-Dec-16,50.00,50.00,50.00,50.00,127700
28-Dec-16,53.00,53.00,50.00,50.00,4489300
30-Jun-16,-,-,-,50.00,0
29-Jun-16,50.00,50.00,50.00,50.00,1002600
28-Jun-16,50.00,50.00,50.00,50.00,100
27-Jun-16,50.00,50.00,50.00,50.00,100
24-Jun-16,-,-,-,50.00,0
23-Jun-16,50.00,50.00,50.00,50.00,100
22-Jun-16,50.00,50.00,50.00,50.00,20000
21-Jun-16,50.00,50.00,50.00,50.00,122500
20-Jun-16,50.00,50.00,50.00,50.00,70000
17-Jun-16,50.00,50.00,50.00,50.00,10000
16-Jun-16,50.00,50.00,50.00,50.00,100
15-Jun-16,50.00,50.00,50.00,50.00,100
14-Jun-16,50.00,50.00,50.00,50.00,100
13-Jun-16,50.00,50.00,50.00,50.00,100
10-Jun-16,50.00,50.00,50.00,50.00,10200
9-Jun-16,50.00,50.00,50.00,50.00,2000
8-Jun-16,-,-,-,50.00,0
7-Jun-16,50.00,50.00,50.00,50.00,100
6-Jun-16,50.00,50.00,50.00,50.00,100
3-Jun-16,50.00,50.00,50.00,50.00,1000
2-Jun-16,50.00,50.00,50.00,50.00,70000
1-Jun-16,50.00,50.00,50.00,50.00,100
31-May-16,50.00,50.00,50.00,50.00,48100
30-May-16,50.00,50.00,50.00,50.00,33100
27-May-16,50.00,50.00,50.00,50.00,100
26-May-16,50.00,50.00,50.00,50.00,3000
25-May-16,50.00,50.00,50.00,50.00,100
24-May-16,-,-,-,50.00,0
23-May-16,50.00,50.00,50.00,50.00,100
20-May-16,50.00,50.00,50.00,50.00,100
19-May-16,50.00,50.00,50.00,50.00,20000
18-May-16,50.00,50.00,50.00,50.00,100
17-May-16,50.00,50.00,50.00,50.00,100
16-May-16,50.00,50.00,50.00,50.00,100
13-May-16,-,-,-,50.00,0
12-May-16,-,-,-,50.00,0
11-May-16,-,-,-,50.00,0
10-May-16,-,-,-,50.00,0
9-May-16,-,-,-,50.00,0
4-May-16,-,-,-,50.00,0
3-May-16,-,-,-,50.00,0
2-May-16,-,-,-,50.00,0
29-Apr-16,-,-,-,50.00,0
28-Apr-16,-,-,-,50.00,0
27-Apr-16,-,-,-,50.00,0
26-Apr-16,-,-,-,50.00,0
25-Apr-16,50.00,50.00,50.00,50.00,100
22-Apr-16,50.00,50.00,50.00,50.00,16100
21-Apr-16,50.00,50.00,50.00,50.00,1000000
20-Apr-16,-,-,-,50.00,0
19-Apr-16,50.00,50.00,50.00,50.00,100
18-Apr-16,-,-,-,50.00,0
15-Apr-16,50.00,50.00,50.00,50.00,20000
14-Apr-16,50.00,50.00,50.00,50.00,100
13-Apr-16,50.00,50.00,50.00,50.00,40200
12-Apr-16,50.00,50.00,50.00,50.00,40100
11-Apr-16,50.00,50.00,50.00,50.00,60000
8-Apr-16,50.00,50.00,50.00,50.00,30100
7-Apr-16,50.00,50.00,50.00,50.00,40000
6-Apr-16,50.00,50.00,50.00,50.00,392300
5-Apr-16,50.00,50.00,50.00,50.00,160000
4-Apr-16,-,-,-,50.00,0
1-Apr-16,-,-,-,50.00,0
31-Mar-16,50.00,50.00,50.00,50.00,100
30-Mar-16,50.00,50.00,50.00,50.00,100
29-Mar-16,50.00,50.00,50.00,50.00,100
28-Mar-16,-,-,-,50.00,0
24-Mar-16,50.00,50.00,50.00,50.00,100
