Date,Open,High,Low,Close,Volume
29-Dec-17,368.00,400.00,368.00,398.00,2275900
28-Dec-17,358.00,360.00,358.00,360.00,1126100
27-Dec-17,356.00,358.00,356.00,358.00,2188000
22-Dec-17,356.00,356.00,356.00,356.00,25000
21-Dec-17,356.00,360.00,356.00,356.00,3009100
20-Dec-17,356.00,356.00,356.00,356.00,200000
19-Dec-17,360.00,360.00,356.00,356.00,100200
18-Dec-17,-,-,-,356.00,0
15-Dec-17,356.00,356.00,356.00,356.00,499000
14-Dec-17,-,-,-,356.00,0
13-Dec-17,356.00,356.00,356.00,356.00,100
12-Dec-17,356.00,356.00,356.00,356.00,99900
11-Dec-17,356.00,356.00,356.00,356.00,50000
8-Dec-17,356.00,356.00,356.00,356.00,100100
7-Dec-17,356.00,356.00,356.00,356.00,9726200
6-Dec-17,356.00,356.00,356.00,356.00,1400
5-Dec-17,356.00,356.00,356.00,356.00,4033000
4-Dec-17,-,-,-,356.00,0
30-Nov-17,356.00,370.00,356.00,356.00,1674700
29-Nov-17,356.00,356.00,356.00,356.00,1876800
28-Nov-17,356.00,358.00,356.00,358.00,875000
27-Nov-17,356.00,356.00,356.00,356.00,2310000
24-Nov-17,356.00,356.00,356.00,356.00,574900
23-Nov-17,356.00,360.00,354.00,356.00,5257200
22-Nov-17,356.00,356.00,356.00,356.00,1261900
21-Nov-17,356.00,356.00,356.00,356.00,4406700
20-Nov-17,358.00,366.00,356.00,356.00,2100400
17-Nov-17,362.00,362.00,356.00,358.00,539500
16-Nov-17,356.00,356.00,356.00,356.00,100000
15-Nov-17,356.00,356.00,356.00,356.00,2760200
14-Nov-17,356.00,356.00,356.00,356.00,1000000
13-Nov-17,356.00,356.00,356.00,356.00,100
10-Nov-17,356.00,356.00,356.00,356.00,157600
9-Nov-17,358.00,358.00,356.00,356.00,89600
8-Nov-17,-,-,-,368.00,0
7-Nov-17,370.00,370.00,368.00,368.00,800
6-Nov-17,368.00,368.00,368.00,368.00,100
3-Nov-17,370.00,370.00,356.00,356.00,557600
2-Nov-17,370.00,372.00,370.00,372.00,18100
1-Nov-17,358.00,370.00,356.00,370.00,2000000
31-Oct-17,356.00,356.00,356.00,356.00,3744000
30-Oct-17,350.00,356.00,350.00,356.00,623700
27-Oct-17,356.00,356.00,356.00,356.00,5810600
26-Oct-17,356.00,356.00,356.00,356.00,3650000
25-Oct-17,356.00,356.00,356.00,356.00,6669100
24-Oct-17,356.00,356.00,356.00,356.00,3500000
23-Oct-17,356.00,356.00,356.00,356.00,4600900
20-Oct-17,352.00,356.00,340.00,354.00,1650300
19-Oct-17,354.00,356.00,348.00,352.00,5632000
18-Oct-17,350.00,350.00,350.00,350.00,34900
17-Oct-17,354.00,354.00,350.00,350.00,130700
16-Oct-17,354.00,354.00,348.00,350.00,132400
13-Oct-17,350.00,352.00,332.00,350.00,505700
12-Oct-17,350.00,350.00,348.00,350.00,120000
11-Oct-17,350.00,350.00,350.00,350.00,9400
10-Oct-17,350.00,350.00,350.00,350.00,8100
9-Oct-17,-,-,-,350.00,0
6-Oct-17,350.00,356.00,348.00,350.00,6259700
5-Oct-17,356.00,356.00,336.00,336.00,5008000
4-Oct-17,344.00,356.00,344.00,350.00,681800
3-Oct-17,330.00,342.00,330.00,330.00,128300
2-Oct-17,348.00,348.00,330.00,330.00,22800
29-Sep-17,352.00,352.00,344.00,344.00,534800
28-Sep-17,350.00,370.00,350.00,356.00,6930800
27-Sep-17,356.00,356.00,350.00,354.00,2504800
26-Sep-17,352.00,356.00,330.00,354.00,6856300
25-Sep-17,360.00,360.00,344.00,352.00,1702600
22-Sep-17,350.00,350.00,350.00,350.00,100
20-Sep-17,-,-,-,356.00,0
19-Sep-17,-,-,-,356.00,0
18-Sep-17,-,-,-,356.00,0
15-Sep-17,-,-,-,356.00,0
14-Sep-17,-,-,-,356.00,0
13-Sep-17,-,-,-,356.00,0
12-Sep-17,-,-,-,356.00,0
11-Sep-17,-,-,-,356.00,0
8-Sep-17,-,-,-,356.00,0
7-Sep-17,-,-,-,356.00,0
6-Sep-17,-,-,-,356.00,0
5-Sep-17,-,-,-,356.00,0
4-Sep-17,356.00,356.00,356.00,356.00,5000
31-Aug-17,-,-,-,356.00,0
30-Aug-17,358.00,358.00,356.00,356.00,1700
29-Aug-17,344.00,344.00,342.00,342.00,6600
28-Aug-17,356.00,356.00,356.00,356.00,143800
25-Aug-17,358.00,358.00,358.00,358.00,15000
24-Aug-17,344.00,358.00,344.00,358.00,1000
23-Aug-17,-,-,-,348.00,0
22-Aug-17,342.00,348.00,342.00,348.00,900
21-Aug-17,-,-,-,364.00,0
18-Aug-17,-,-,-,364.00,0
16-Aug-17,360.00,364.00,340.00,364.00,900
15-Aug-17,366.00,366.00,366.00,366.00,200
14-Aug-17,360.00,366.00,360.00,366.00,1010100
11-Aug-17,368.00,368.00,368.00,368.00,500
10-Aug-17,360.00,368.00,360.00,368.00,3200
9-Aug-17,360.00,360.00,360.00,360.00,4000
8-Aug-17,360.00,360.00,360.00,360.00,100
7-Aug-17,360.00,360.00,360.00,360.00,38200
4-Aug-17,350.00,350.00,348.00,350.00,503200
3-Aug-17,350.00,350.00,350.00,350.00,100
2-Aug-17,350.00,366.00,350.00,366.00,50600
1-Aug-17,350.00,368.00,350.00,368.00,507500
31-Jul-17,360.00,360.00,360.00,360.00,100
28-Jul-17,370.00,370.00,360.00,360.00,11100
27-Jul-17,356.00,370.00,356.00,370.00,116400
26-Jul-17,350.00,350.00,350.00,350.00,400
25-Jul-17,358.00,360.00,358.00,360.00,1250200
24-Jul-17,340.00,360.00,340.00,360.00,292500
21-Jul-17,360.00,360.00,340.00,358.00,2589300
20-Jul-17,360.00,360.00,340.00,360.00,1450800
19-Jul-17,360.00,370.00,350.00,360.00,39400
18-Jul-17,338.00,370.00,320.00,360.00,4605900
17-Jul-17,320.00,338.00,320.00,338.00,1110800
14-Jul-17,348.00,348.00,320.00,320.00,1700
13-Jul-17,312.00,348.00,312.00,348.00,109100
12-Jul-17,312.00,312.00,312.00,312.00,2500
11-Jul-17,-,-,-,312.00,0
10-Jul-17,312.00,312.00,312.00,312.00,133300
7-Jul-17,324.00,324.00,310.00,312.00,102900
6-Jul-17,318.00,326.00,312.00,326.00,126100
5-Jul-17,-,-,-,318.00,0
4-Jul-17,318.00,318.00,318.00,318.00,5500
3-Jul-17,332.00,332.00,330.00,330.00,6300
22-Jun-17,332.00,332.00,312.00,312.00,10100
21-Jun-17,-,-,-,320.00,0
20-Jun-17,-,-,-,320.00,0
