Date,Open,High,Low,Close,Volume
29-Dec-17,306.00,310.00,294.00,310.00,361600
28-Dec-17,308.00,308.00,298.00,308.00,300100
27-Dec-17,304.00,308.00,300.00,308.00,373700
22-Dec-17,302.00,306.00,294.00,304.00,282800
21-Dec-17,292.00,302.00,292.00,302.00,361200
20-Dec-17,272.00,292.00,272.00,292.00,420500
19-Dec-17,260.00,272.00,260.00,272.00,326100
18-Dec-17,258.00,262.00,258.00,260.00,214300
15-Dec-17,256.00,258.00,254.00,258.00,199700
14-Dec-17,256.00,258.00,256.00,256.00,164100
13-Dec-17,254.00,256.00,250.00,256.00,182600
12-Dec-17,246.00,254.00,246.00,254.00,288000
11-Dec-17,252.00,252.00,246.00,246.00,59500
8-Dec-17,252.00,254.00,252.00,252.00,231500
7-Dec-17,254.00,258.00,252.00,252.00,195800
6-Dec-17,252.00,254.00,250.00,254.00,226900
5-Dec-17,254.00,256.00,252.00,252.00,203000
4-Dec-17,256.00,258.00,254.00,256.00,150200
30-Nov-17,256.00,258.00,254.00,256.00,232100
29-Nov-17,256.00,256.00,256.00,256.00,222300
28-Nov-17,254.00,256.00,252.00,256.00,215400
27-Nov-17,262.00,262.00,252.00,254.00,172800
24-Nov-17,252.00,252.00,252.00,252.00,191700
23-Nov-17,252.00,252.00,250.00,250.00,125400
22-Nov-17,252.00,252.00,252.00,252.00,128900
21-Nov-17,252.00,254.00,252.00,252.00,183900
20-Nov-17,252.00,254.00,252.00,254.00,161300
17-Nov-17,254.00,256.00,254.00,254.00,129000
16-Nov-17,256.00,256.00,254.00,254.00,169800
15-Nov-17,254.00,256.00,252.00,256.00,164400
14-Nov-17,252.00,254.00,252.00,254.00,156300
13-Nov-17,252.00,252.00,252.00,252.00,215800
10-Nov-17,258.00,258.00,252.00,252.00,210200
9-Nov-17,262.00,262.00,258.00,258.00,173300
8-Nov-17,266.00,266.00,260.00,262.00,157300
7-Nov-17,268.00,268.00,266.00,266.00,253900
6-Nov-17,262.00,268.00,262.00,268.00,214600
3-Nov-17,266.00,266.00,262.00,262.00,130300
2-Nov-17,264.00,266.00,264.00,266.00,264400
1-Nov-17,264.00,264.00,260.00,264.00,218800
31-Oct-17,264.00,266.00,262.00,264.00,132400
30-Oct-17,262.00,266.00,262.00,264.00,274600
27-Oct-17,266.00,266.00,260.00,262.00,284900
26-Oct-17,262.00,266.00,262.00,266.00,284900
25-Oct-17,258.00,262.00,258.00,262.00,291900
24-Oct-17,258.00,258.00,258.00,258.00,314700
23-Oct-17,256.00,258.00,256.00,258.00,282000
20-Oct-17,268.00,268.00,256.00,256.00,210300
19-Oct-17,272.00,272.00,268.00,268.00,270900
18-Oct-17,278.00,278.00,274.00,274.00,283600
17-Oct-17,280.00,280.00,278.00,280.00,268000
16-Oct-17,284.00,284.00,280.00,280.00,304700
12-Oct-17,284.00,288.00,284.00,284.00,245200
11-Oct-17,282.00,284.00,280.00,284.00,218300
10-Oct-17,286.00,286.00,282.00,282.00,189300
9-Oct-17,282.00,286.00,282.00,286.00,199000
6-Oct-17,284.00,286.00,282.00,284.00,186300
5-Oct-17,284.00,286.00,284.00,284.00,178600
4-Oct-17,282.00,284.00,282.00,284.00,172000
3-Oct-17,284.00,284.00,280.00,282.00,103300
2-Oct-17,288.00,288.00,282.00,284.00,158600
29-Sep-17,286.00,288.00,286.00,288.00,90800
28-Sep-17,286.00,290.00,284.00,286.00,86500
27-Sep-17,290.00,290.00,286.00,286.00,65300
26-Sep-17,298.00,298.00,288.00,290.00,59000
25-Sep-17,296.00,296.00,296.00,296.00,41200
22-Sep-17,296.00,296.00,290.00,296.00,100700
20-Sep-17,298.00,298.00,290.00,294.00,50400
19-Sep-17,296.00,300.00,296.00,300.00,23600
18-Sep-17,286.00,288.00,286.00,288.00,73500
15-Sep-17,290.00,290.00,290.00,290.00,50300
14-Sep-17,298.00,298.00,298.00,298.00,42500
13-Sep-17,298.00,298.00,298.00,298.00,61000
12-Sep-17,298.00,302.00,298.00,300.00,107400
11-Sep-17,306.00,306.00,300.00,300.00,74500
8-Sep-17,306.00,310.00,290.00,308.00,79100
7-Sep-17,304.00,306.00,300.00,306.00,20000
6-Sep-17,-,-,-,300.00,0
5-Sep-17,300.00,300.00,300.00,300.00,32000
4-Sep-17,304.00,304.00,304.00,304.00,10000
31-Aug-17,308.00,308.00,302.00,308.00,5100
