Date,Open,High,Low,Close,Volume
29-Dec-17,690.00,725.00,690.00,700.00,688400
28-Dec-17,690.00,690.00,685.00,690.00,189600
27-Dec-17,685.00,690.00,685.00,690.00,153000
22-Dec-17,680.00,690.00,680.00,685.00,179200
21-Dec-17,670.00,685.00,670.00,685.00,150600
20-Dec-17,675.00,690.00,670.00,680.00,128300
19-Dec-17,665.00,675.00,665.00,675.00,118600
18-Dec-17,675.00,675.00,665.00,670.00,364200
15-Dec-17,680.00,680.00,665.00,675.00,661700
14-Dec-17,670.00,680.00,670.00,680.00,517900
13-Dec-17,670.00,680.00,665.00,680.00,536200
12-Dec-17,665.00,670.00,660.00,670.00,141500
11-Dec-17,670.00,670.00,660.00,665.00,410900
8-Dec-17,670.00,675.00,665.00,670.00,278800
7-Dec-17,660.00,670.00,660.00,670.00,96100
6-Dec-17,665.00,670.00,665.00,670.00,341400
5-Dec-17,675.00,675.00,655.00,675.00,599500
4-Dec-17,670.00,680.00,655.00,675.00,1329100
30-Nov-17,655.00,670.00,655.00,665.00,284000
29-Nov-17,670.00,670.00,650.00,670.00,208700
28-Nov-17,655.00,680.00,645.00,670.00,694100
27-Nov-17,655.00,660.00,655.00,660.00,73700
24-Nov-17,650.00,655.00,650.00,655.00,93100
23-Nov-17,650.00,660.00,650.00,660.00,239500
22-Nov-17,660.00,660.00,650.00,660.00,86500
21-Nov-17,665.00,670.00,645.00,660.00,368300
20-Nov-17,655.00,660.00,645.00,660.00,122100
17-Nov-17,650.00,655.00,645.00,655.00,247400
16-Nov-17,650.00,655.00,640.00,655.00,200900
15-Nov-17,650.00,660.00,640.00,640.00,228600
14-Nov-17,655.00,655.00,650.00,655.00,47200
13-Nov-17,665.00,665.00,645.00,665.00,41500
10-Nov-17,650.00,665.00,645.00,665.00,57000
9-Nov-17,655.00,660.00,650.00,660.00,61800
8-Nov-17,650.00,655.00,645.00,655.00,14900
7-Nov-17,650.00,650.00,650.00,650.00,5900
6-Nov-17,655.00,660.00,645.00,645.00,181400
3-Nov-17,650.00,655.00,640.00,650.00,344500
2-Nov-17,650.00,660.00,645.00,660.00,230700
1-Nov-17,655.00,660.00,645.00,645.00,488800
31-Oct-17,660.00,665.00,655.00,665.00,517500
30-Oct-17,665.00,670.00,655.00,670.00,103500
27-Oct-17,670.00,670.00,660.00,665.00,260400
26-Oct-17,680.00,680.00,655.00,670.00,223200
25-Oct-17,665.00,680.00,655.00,680.00,881900
24-Oct-17,665.00,675.00,660.00,675.00,170300
23-Oct-17,675.00,680.00,665.00,670.00,195800
20-Oct-17,665.00,675.00,660.00,675.00,250500
19-Oct-17,670.00,675.00,665.00,670.00,173300
18-Oct-17,680.00,680.00,665.00,665.00,201400
17-Oct-17,680.00,680.00,665.00,670.00,109700
16-Oct-17,675.00,685.00,660.00,685.00,217400
13-Oct-17,680.00,680.00,675.00,675.00,82600
12-Oct-17,675.00,680.00,660.00,680.00,537600
11-Oct-17,690.00,690.00,665.00,675.00,162300
10-Oct-17,670.00,685.00,665.00,685.00,556700
9-Oct-17,670.00,670.00,660.00,670.00,4700
6-Oct-17,675.00,675.00,660.00,670.00,298100
5-Oct-17,660.00,675.00,650.00,675.00,212400
4-Oct-17,660.00,670.00,645.00,660.00,214100
3-Oct-17,660.00,660.00,635.00,660.00,344600
2-Oct-17,660.00,660.00,630.00,660.00,136100
29-Sep-17,630.00,660.00,625.00,660.00,412500
28-Sep-17,640.00,645.00,615.00,630.00,137200
27-Sep-17,650.00,650.00,610.00,640.00,810200
26-Sep-17,660.00,665.00,650.00,655.00,499700
25-Sep-17,685.00,685.00,660.00,660.00,335400
22-Sep-17,670.00,685.00,665.00,685.00,343300
20-Sep-17,670.00,675.00,660.00,675.00,409400
19-Sep-17,670.00,670.00,660.00,670.00,400600
18-Sep-17,655.00,670.00,650.00,670.00,377100
15-Sep-17,655.00,665.00,655.00,665.00,175500
14-Sep-17,665.00,665.00,655.00,665.00,213200
13-Sep-17,655.00,675.00,650.00,665.00,727100
12-Sep-17,675.00,675.00,665.00,665.00,1475700
11-Sep-17,665.00,675.00,665.00,675.00,411500
8-Sep-17,665.00,675.00,660.00,675.00,276800
7-Sep-17,670.00,675.00,660.00,675.00,548300
6-Sep-17,685.00,685.00,670.00,675.00,292200
5-Sep-17,670.00,685.00,670.00,685.00,367200
4-Sep-17,675.00,690.00,670.00,685.00,238800
31-Aug-17,685.00,685.00,670.00,685.00,336800
30-Aug-17,685.00,685.00,670.00,685.00,558400
29-Aug-17,705.00,705.00,670.00,680.00,2872700
28-Aug-17,720.00,720.00,705.00,720.00,187500
25-Aug-17,715.00,720.00,705.00,720.00,338400
24-Aug-17,705.00,720.00,705.00,720.00,579100
23-Aug-17,715.00,720.00,690.00,720.00,865500
22-Aug-17,685.00,730.00,680.00,710.00,824800
21-Aug-17,675.00,685.00,675.00,685.00,399100
18-Aug-17,680.00,685.00,670.00,685.00,335600
16-Aug-17,675.00,680.00,670.00,680.00,177100
15-Aug-17,680.00,680.00,670.00,680.00,261200
14-Aug-17,670.00,680.00,660.00,680.00,834900
11-Aug-17,670.00,670.00,665.00,670.00,460300
10-Aug-17,680.00,680.00,665.00,675.00,291100
9-Aug-17,680.00,680.00,670.00,675.00,297900
8-Aug-17,680.00,685.00,670.00,685.00,620000
7-Aug-17,670.00,680.00,660.00,680.00,618700
4-Aug-17,675.00,675.00,660.00,665.00,443200
3-Aug-17,675.00,680.00,670.00,680.00,162800
2-Aug-17,685.00,685.00,670.00,675.00,1473000
1-Aug-17,680.00,700.00,675.00,685.00,1189200
31-Jul-17,680.00,680.00,665.00,675.00,254800
28-Jul-17,675.00,680.00,665.00,680.00,230600
27-Jul-17,690.00,700.00,675.00,675.00,1158400
26-Jul-17,660.00,700.00,660.00,675.00,1978500
25-Jul-17,675.00,675.00,655.00,655.00,551000
24-Jul-17,670.00,675.00,660.00,675.00,1094900
21-Jul-17,665.00,675.00,655.00,670.00,652600
20-Jul-17,670.00,670.00,655.00,665.00,871300
19-Jul-17,675.00,690.00,660.00,670.00,2285500
18-Jul-17,660.00,695.00,660.00,670.00,825900
17-Jul-17,660.00,665.00,655.00,660.00,591300
14-Jul-17,660.00,660.00,655.00,660.00,2126900
13-Jul-17,660.00,665.00,655.00,660.00,859800
12-Jul-17,660.00,660.00,650.00,660.00,1754300
11-Jul-17,660.00,665.00,655.00,660.00,242700
10-Jul-17,655.00,660.00,610.00,660.00,235300
7-Jul-17,665.00,665.00,650.00,655.00,435100
6-Jul-17,660.00,670.00,655.00,665.00,428300
5-Jul-17,670.00,670.00,660.00,660.00,100200
