Date,Open,High,Low,Close,Volume
29-Dec-17,450.00,510.00,432.00,500.00,9244000
28-Dec-17,390.00,456.00,380.00,432.00,2009600
27-Dec-17,312.00,380.00,312.00,370.00,2734500
22-Dec-17,360.00,374.00,304.00,304.00,281400
21-Dec-17,360.00,360.00,358.00,358.00,1600
20-Dec-17,-,-,-,352.00,0
19-Dec-17,352.00,352.00,352.00,352.00,300
18-Dec-17,356.00,356.00,350.00,350.00,229700
15-Dec-17,380.00,380.00,352.00,354.00,118200
14-Dec-17,370.00,372.00,356.00,356.00,523100
13-Dec-17,400.00,400.00,370.00,370.00,20000
12-Dec-17,-,-,-,400.00,0
11-Dec-17,400.00,400.00,400.00,400.00,125000
8-Dec-17,402.00,410.00,394.00,394.00,702500
7-Dec-17,402.00,402.00,402.00,402.00,2500
6-Dec-17,420.00,436.00,420.00,420.00,59000
5-Dec-17,408.00,440.00,392.00,436.00,571900
4-Dec-17,418.00,450.00,398.00,410.00,198900
30-Nov-17,410.00,410.00,410.00,410.00,10000
29-Nov-17,416.00,416.00,416.00,416.00,10000
28-Nov-17,408.00,426.00,408.00,420.00,1800
27-Nov-17,404.00,430.00,400.00,408.00,197200
24-Nov-17,400.00,444.00,400.00,402.00,412900
23-Nov-17,434.00,448.00,420.00,446.00,42100
22-Nov-17,440.00,448.00,422.00,434.00,29400
21-Nov-17,444.00,444.00,420.00,442.00,3300
20-Nov-17,448.00,448.00,448.00,448.00,100
17-Nov-17,422.00,448.00,422.00,448.00,4100
16-Nov-17,450.00,450.00,422.00,436.00,10400
15-Nov-17,440.00,440.00,440.00,440.00,10000
14-Nov-17,448.00,448.00,442.00,442.00,24200
13-Nov-17,450.00,450.00,446.00,446.00,1100
10-Nov-17,434.00,448.00,416.00,444.00,78400
9-Nov-17,438.00,438.00,418.00,434.00,24100
8-Nov-17,412.00,446.00,412.00,438.00,18700
7-Nov-17,446.00,448.00,400.00,400.00,21200
6-Nov-17,446.00,446.00,420.00,446.00,22000
3-Nov-17,448.00,448.00,446.00,446.00,2000
2-Nov-17,-,-,-,448.00,0
1-Nov-17,454.00,470.00,402.00,448.00,13300
31-Oct-17,438.00,458.00,438.00,444.00,30300
30-Oct-17,450.00,454.00,428.00,428.00,21800
27-Oct-17,456.00,460.00,416.00,454.00,54600
26-Oct-17,426.00,460.00,422.00,460.00,44800
25-Oct-17,454.00,454.00,412.00,426.00,21400
24-Oct-17,436.00,466.00,436.00,458.00,34400
23-Oct-17,470.00,470.00,390.00,456.00,128700
20-Oct-17,470.00,470.00,470.00,470.00,7000
19-Oct-17,424.00,432.00,390.00,428.00,674200
18-Oct-17,430.00,438.00,408.00,438.00,13800
17-Oct-17,444.00,450.00,400.00,438.00,3300
16-Oct-17,440.00,440.00,384.00,436.00,8600
13-Oct-17,430.00,476.00,384.00,448.00,39200
12-Oct-17,-,-,-,430.00,0
11-Oct-17,400.00,430.00,400.00,430.00,52400
10-Oct-17,408.00,440.00,384.00,408.00,33200
9-Oct-17,388.00,408.00,388.00,400.00,12300
6-Oct-17,420.00,420.00,374.00,398.00,6800
5-Oct-17,390.00,430.00,388.00,404.00,17900
4-Oct-17,406.00,426.00,370.00,370.00,40000
3-Oct-17,-,-,-,394.00,0
2-Oct-17,402.00,410.00,388.00,394.00,7300
29-Sep-17,400.00,400.00,396.00,396.00,9300
28-Sep-17,390.00,398.00,388.00,392.00,35400
27-Sep-17,380.00,398.00,380.00,396.00,10500
26-Sep-17,378.00,430.00,378.00,380.00,132100
25-Sep-17,374.00,374.00,374.00,374.00,100
22-Sep-17,-,-,-,374.00,0
20-Sep-17,374.00,374.00,374.00,374.00,14400
19-Sep-17,-,-,-,374.00,9400
18-Sep-17,-,-,-,374.00,0
15-Sep-17,390.00,394.00,366.00,374.00,18900
14-Sep-17,386.00,388.00,384.00,384.00,38900
13-Sep-17,380.00,384.00,380.00,384.00,400
12-Sep-17,382.00,382.00,380.00,380.00,5100
11-Sep-17,380.00,384.00,380.00,382.00,2700
8-Sep-17,374.00,380.00,372.00,376.00,3600
7-Sep-17,372.00,396.00,372.00,374.00,85100
6-Sep-17,366.00,368.00,366.00,368.00,5500
5-Sep-17,358.00,362.00,356.00,362.00,5500
4-Sep-17,372.00,372.00,352.00,356.00,65500
31-Aug-17,394.00,398.00,370.00,372.00,137700
30-Aug-17,374.00,398.00,374.00,392.00,426000
29-Aug-17,374.00,374.00,370.00,370.00,205000
28-Aug-17,366.00,374.00,360.00,374.00,26200
25-Aug-17,374.00,374.00,360.00,360.00,3000
24-Aug-17,380.00,380.00,358.00,378.00,15300
23-Aug-17,368.00,384.00,350.00,362.00,16700
22-Aug-17,370.00,370.00,368.00,368.00,27200
21-Aug-17,380.00,386.00,368.00,368.00,35200
18-Aug-17,360.00,388.00,360.00,380.00,7400
16-Aug-17,392.00,392.00,380.00,380.00,36000
15-Aug-17,402.00,402.00,380.00,380.00,93100
14-Aug-17,406.00,406.00,392.00,392.00,1000
11-Aug-17,414.00,414.00,382.00,402.00,79300
10-Aug-17,406.00,406.00,384.00,404.00,28300
9-Aug-17,390.00,392.00,384.00,390.00,35800
8-Aug-17,390.00,396.00,382.00,390.00,66700
7-Aug-17,402.00,402.00,382.00,382.00,8500
4-Aug-17,392.00,404.00,388.00,398.00,33700
3-Aug-17,394.00,402.00,390.00,402.00,21800
2-Aug-17,406.00,406.00,394.00,396.00,1100
1-Aug-17,406.00,406.00,394.00,394.00,1500
31-Jul-17,404.00,404.00,392.00,400.00,1800
28-Jul-17,-,-,-,404.00,0
27-Jul-17,388.00,406.00,388.00,404.00,7600
26-Jul-17,412.00,412.00,408.00,408.00,200
25-Jul-17,-,-,-,410.00,0
24-Jul-17,400.00,424.00,390.00,410.00,23700
21-Jul-17,446.00,446.00,400.00,400.00,11400
20-Jul-17,408.00,428.00,402.00,404.00,19700
19-Jul-17,416.00,416.00,404.00,406.00,2000
18-Jul-17,404.00,420.00,400.00,402.00,72300
17-Jul-17,450.00,460.00,396.00,404.00,105500
14-Jul-17,424.00,450.00,424.00,450.00,200
13-Jul-17,450.00,450.00,422.00,424.00,2400
