Date,Open,High,Low,Close,Volume
29-Dec-17,1875.00,1875.00,1875.00,1875.00,100
28-Dec-17,1875.00,1925.00,1875.00,1925.00,200
27-Dec-17,1900.00,1925.00,1850.00,1925.00,1400
22-Dec-17,-,-,-,1935.00,0
21-Dec-17,1935.00,1935.00,1935.00,1935.00,200
20-Dec-17,1935.00,1985.00,1925.00,1985.00,800
19-Dec-17,1935.00,1985.00,1925.00,1985.00,300
18-Dec-17,-,-,-,1995.00,0
15-Dec-17,1855.00,1995.00,1855.00,1995.00,200
14-Dec-17,-,-,-,1900.00,0
13-Dec-17,1900.00,1900.00,1900.00,1900.00,100
12-Dec-17,1950.00,1950.00,1925.00,1925.00,1500
11-Dec-17,-,-,-,2000.00,0
8-Dec-17,2000.00,2000.00,2000.00,2000.00,100
7-Dec-17,-,-,-,1990.00,0
6-Dec-17,-,-,-,1990.00,0
5-Dec-17,-,-,-,1990.00,0
4-Dec-17,2000.00,2000.00,1990.00,1990.00,200
30-Nov-17,1960.00,2000.00,1960.00,2000.00,22953700
29-Nov-17,-,-,-,2000.00,0
28-Nov-17,-,-,-,2000.00,0
27-Nov-17,2000.00,2000.00,2000.00,2000.00,4000
24-Nov-17,-,-,-,1995.00,0
23-Nov-17,-,-,-,1995.00,0
22-Nov-17,1925.00,1995.00,1925.00,1995.00,500
21-Nov-17,1995.00,2060.00,1995.00,2060.00,300
20-Nov-17,1900.00,1985.00,1900.00,1985.00,400
17-Nov-17,-,-,-,1995.00,0
16-Nov-17,-,-,-,1995.00,0
15-Nov-17,-,-,-,1995.00,0
14-Nov-17,1900.00,1995.00,1900.00,1995.00,200
13-Nov-17,-,-,-,2000.00,0
10-Nov-17,1990.00,2000.00,1990.00,2000.00,10100
9-Nov-17,1900.00,1990.00,1900.00,1990.00,200
8-Nov-17,2000.00,2000.00,2000.00,2000.00,15000
7-Nov-17,1935.00,2080.00,1935.00,2000.00,500
6-Nov-17,-,-,-,1900.00,0
3-Nov-17,1915.00,1915.00,1900.00,1900.00,800
2-Nov-17,1900.00,1910.00,1900.00,1900.00,280700
1-Nov-17,-,-,-,1915.00,0
31-Oct-17,1900.00,1915.00,1875.00,1915.00,2100
30-Oct-17,-,-,-,1900.00,0
27-Oct-17,-,-,-,1900.00,0
26-Oct-17,1880.00,2320.00,1880.00,1900.00,1800
25-Oct-17,1830.00,1875.00,1830.00,1860.00,21800
24-Oct-17,1805.00,1820.00,1805.00,1820.00,81800
23-Oct-17,1805.00,1840.00,1800.00,1840.00,458600
20-Oct-17,1860.00,1860.00,1860.00,1860.00,300
19-Oct-17,-,-,-,1860.00,0
18-Oct-17,1840.00,1860.00,1815.00,1860.00,3300
17-Oct-17,1860.00,1875.00,1850.00,1875.00,4263700
16-Oct-17,1840.00,1875.00,1840.00,1870.00,3246700
13-Oct-17,-,-,-,1840.00,0
12-Oct-17,-,-,-,1840.00,0
11-Oct-17,-,-,-,1840.00,0
10-Oct-17,-,-,-,1840.00,0
9-Oct-17,1805.00,1840.00,1805.00,1840.00,1200
6-Oct-17,1840.00,1840.00,1840.00,1840.00,1100
5-Oct-17,1850.00,1850.00,1840.00,1840.00,2000
4-Oct-17,1850.00,1875.00,1850.00,1875.00,500
3-Oct-17,1870.00,1870.00,1850.00,1850.00,200
2-Oct-17,1910.00,1910.00,1825.00,1825.00,200
29-Sep-17,1845.00,1870.00,1845.00,1865.00,400
28-Sep-17,-,-,-,1815.00,0
27-Sep-17,1805.00,1850.00,1805.00,1815.00,400
26-Sep-17,1835.00,1835.00,1835.00,1835.00,100
25-Sep-17,-,-,-,1835.00,0
22-Sep-17,-,-,-,1835.00,0
20-Sep-17,1835.00,1835.00,1835.00,1835.00,100
19-Sep-17,1935.00,1935.00,1850.00,1850.00,900
18-Sep-17,1890.00,1890.00,1890.00,1890.00,100
15-Sep-17,-,-,-,1840.00,0
14-Sep-17,1840.00,1840.00,1840.00,1840.00,6300
13-Sep-17,1830.00,1830.00,1830.00,1830.00,100
12-Sep-17,-,-,-,1835.00,0
11-Sep-17,1805.00,1860.00,1805.00,1835.00,101100
8-Sep-17,1850.00,1850.00,1850.00,1850.00,2000
7-Sep-17,1890.00,1900.00,1890.00,1900.00,1532200
6-Sep-17,1880.00,1890.00,1875.00,1890.00,1294100
5-Sep-17,1865.00,1865.00,1855.00,1855.00,500
4-Sep-17,1940.00,1940.00,1875.00,1875.00,2800
31-Aug-17,2290.00,2290.00,1875.00,1875.00,1900
30-Aug-17,1835.00,1835.00,1835.00,1835.00,7900
29-Aug-17,1800.00,1870.00,1800.00,1870.00,900
28-Aug-17,-,-,-,1870.00,0
25-Aug-17,1850.00,1870.00,1850.00,1870.00,1000
24-Aug-17,-,-,-,1870.00,0
23-Aug-17,-,-,-,1870.00,0
22-Aug-17,-,-,-,1870.00,0
21-Aug-17,-,-,-,1870.00,0
18-Aug-17,1810.00,1870.00,1810.00,1870.00,2900
16-Aug-17,1810.00,1810.00,1810.00,1810.00,500
15-Aug-17,1890.00,1890.00,1855.00,1855.00,1000
14-Aug-17,-,-,-,1860.00,0
11-Aug-17,1865.00,1865.00,1860.00,1860.00,5600
10-Aug-17,1860.00,1890.00,1850.00,1890.00,82000
9-Aug-17,1855.00,1895.00,1855.00,1895.00,1000
8-Aug-17,1855.00,1855.00,1855.00,1855.00,1800
7-Aug-17,1900.00,1900.00,1855.00,1855.00,6900
4-Aug-17,1800.00,1900.00,1800.00,1900.00,2000
3-Aug-17,1755.00,1755.00,1755.00,1755.00,400
2-Aug-17,-,-,-,1800.00,0
1-Aug-17,1800.00,1800.00,1800.00,1800.00,13000
31-Jul-17,1900.00,1900.00,1900.00,1900.00,1100
28-Jul-17,1950.00,1950.00,1875.00,1890.00,800
27-Jul-17,-,-,-,1865.00,0
26-Jul-17,1790.00,1865.00,1790.00,1865.00,1100
25-Jul-17,1780.00,1780.00,1780.00,1780.00,100
24-Jul-17,1760.00,1770.00,1760.00,1770.00,4500
21-Jul-17,1765.00,1765.00,1765.00,1765.00,3200000
20-Jul-17,1790.00,1790.00,1760.00,1760.00,500
19-Jul-17,1795.00,1795.00,1795.00,1795.00,100
18-Jul-17,1755.00,1770.00,1740.00,1765.00,1000
