Date,Open,High,Low,Close,Volume
29-Dec-17,960.00,960.00,960.00,960.00,200
28-Dec-17,960.00,960.00,960.00,960.00,204300
27-Dec-17,950.00,960.00,950.00,960.00,1876100
22-Dec-17,950.00,960.00,950.00,955.00,1970500
21-Dec-17,945.00,955.00,940.00,955.00,2208100
20-Dec-17,950.00,955.00,945.00,945.00,2118200
19-Dec-17,940.00,950.00,940.00,950.00,2435800
18-Dec-17,935.00,940.00,930.00,940.00,2048500
15-Dec-17,940.00,940.00,930.00,930.00,2242600
14-Dec-17,935.00,945.00,935.00,945.00,1908500
13-Dec-17,940.00,945.00,935.00,940.00,2008300
12-Dec-17,935.00,945.00,930.00,940.00,1931800
11-Dec-17,925.00,940.00,920.00,935.00,2187500
8-Dec-17,930.00,935.00,925.00,925.00,2072300
7-Dec-17,935.00,940.00,930.00,930.00,1934600
6-Dec-17,935.00,940.00,930.00,935.00,2139200
5-Dec-17,930.00,940.00,930.00,935.00,2277300
4-Dec-17,930.00,935.00,925.00,935.00,2717200
30-Nov-17,920.00,930.00,915.00,925.00,2351500
29-Nov-17,920.00,925.00,915.00,920.00,2007700
28-Nov-17,915.00,920.00,910.00,920.00,2135200
27-Nov-17,920.00,925.00,915.00,915.00,1982700
24-Nov-17,915.00,925.00,910.00,925.00,2663600
23-Nov-17,895.00,920.00,890.00,915.00,3033900
22-Nov-17,900.00,905.00,895.00,895.00,1961400
21-Nov-17,900.00,900.00,890.00,900.00,2091300
20-Nov-17,905.00,905.00,895.00,900.00,1850400
17-Nov-17,900.00,905.00,895.00,905.00,1950400
16-Nov-17,890.00,905.00,890.00,900.00,2223800
15-Nov-17,885.00,895.00,885.00,890.00,2152100
14-Nov-17,890.00,890.00,880.00,885.00,1909200
13-Nov-17,890.00,895.00,885.00,885.00,1959200
10-Nov-17,895.00,895.00,885.00,890.00,1998500
9-Nov-17,890.00,900.00,890.00,895.00,2066400
8-Nov-17,890.00,895.00,885.00,890.00,1970800
7-Nov-17,900.00,905.00,890.00,890.00,2324200
6-Nov-17,900.00,900.00,895.00,900.00,2154100
3-Nov-17,905.00,910.00,900.00,900.00,2059700
2-Nov-17,905.00,910.00,900.00,910.00,1962200
1-Nov-17,910.00,910.00,900.00,905.00,1833800
31-Oct-17,895.00,905.00,895.00,905.00,2413000
30-Oct-17,900.00,900.00,885.00,900.00,2166300
27-Oct-17,895.00,900.00,890.00,890.00,2039400
26-Oct-17,895.00,900.00,890.00,895.00,1968200
25-Oct-17,890.00,895.00,885.00,890.00,2073700
24-Oct-17,890.00,895.00,885.00,885.00,1856000
23-Oct-17,895.00,900.00,890.00,890.00,1930400
20-Oct-17,890.00,895.00,885.00,895.00,2088000
19-Oct-17,895.00,900.00,890.00,890.00,1928900
18-Oct-17,900.00,905.00,890.00,895.00,1950300
17-Oct-17,895.00,900.00,890.00,900.00,2075100
16-Oct-17,900.00,905.00,895.00,895.00,2030500
13-Oct-17,900.00,905.00,895.00,900.00,1909700
12-Oct-17,885.00,900.00,885.00,900.00,2456300
11-Oct-17,890.00,895.00,885.00,885.00,2271500
10-Oct-17,885.00,895.00,885.00,890.00,2023300
9-Oct-17,880.00,890.00,880.00,885.00,2083100
6-Oct-17,880.00,885.00,875.00,880.00,1964200
5-Oct-17,885.00,890.00,875.00,875.00,2165400
4-Oct-17,885.00,895.00,885.00,885.00,1913400
3-Oct-17,885.00,890.00,880.00,890.00,2023800
2-Oct-17,885.00,890.00,880.00,885.00,1873200
29-Sep-17,875.00,895.00,875.00,890.00,2226200
