Date,Open,High,Low,Close,Volume
29-Dec-17,392.00,400.00,380.00,380.00,2063100
28-Dec-17,390.00,402.00,390.00,390.00,1520400
27-Dec-17,380.00,396.00,378.00,390.00,1169800
22-Dec-17,370.00,384.00,368.00,376.00,1123900
21-Dec-17,366.00,374.00,366.00,370.00,213700
20-Dec-17,376.00,376.00,366.00,366.00,1432200
19-Dec-17,378.00,378.00,374.00,376.00,528800
18-Dec-17,380.00,382.00,376.00,378.00,429100
15-Dec-17,380.00,386.00,380.00,380.00,427200
14-Dec-17,378.00,384.00,378.00,380.00,382100
13-Dec-17,382.00,382.00,378.00,378.00,328200
12-Dec-17,388.00,388.00,380.00,382.00,299500
11-Dec-17,400.00,404.00,388.00,388.00,171100
8-Dec-17,402.00,406.00,398.00,400.00,333400
7-Dec-17,414.00,414.00,400.00,400.00,161700
6-Dec-17,412.00,412.00,400.00,400.00,199000
5-Dec-17,420.00,420.00,404.00,412.00,876900
4-Dec-17,414.00,418.00,412.00,412.00,221100
30-Nov-17,412.00,420.00,412.00,414.00,370500
29-Nov-17,412.00,418.00,412.00,414.00,226400
28-Nov-17,424.00,430.00,408.00,412.00,906000
27-Nov-17,428.00,430.00,422.00,426.00,189900
24-Nov-17,424.00,428.00,422.00,428.00,25500
23-Nov-17,422.00,428.00,422.00,422.00,153800
22-Nov-17,426.00,426.00,420.00,422.00,679600
21-Nov-17,428.00,430.00,426.00,426.00,464000
20-Nov-17,430.00,434.00,428.00,428.00,218500
17-Nov-17,434.00,436.00,428.00,430.00,1247500
16-Nov-17,436.00,436.00,432.00,434.00,1036200
15-Nov-17,430.00,442.00,430.00,434.00,360900
14-Nov-17,438.00,438.00,430.00,434.00,597400
13-Nov-17,440.00,440.00,434.00,438.00,324100
10-Nov-17,438.00,442.00,436.00,440.00,221900
9-Nov-17,442.00,444.00,438.00,438.00,1181800
8-Nov-17,438.00,440.00,436.00,438.00,1079200
7-Nov-17,436.00,442.00,434.00,438.00,1404400
6-Nov-17,434.00,440.00,434.00,436.00,1009100
3-Nov-17,428.00,430.00,424.00,430.00,450300
2-Nov-17,426.00,434.00,424.00,426.00,1407800
1-Nov-17,434.00,434.00,426.00,428.00,1125100
31-Oct-17,440.00,442.00,434.00,434.00,1340500
30-Oct-17,436.00,446.00,436.00,440.00,1452200
27-Oct-17,438.00,442.00,436.00,436.00,1752700
26-Oct-17,446.00,446.00,438.00,438.00,1762600
25-Oct-17,440.00,446.00,440.00,444.00,1119700
24-Oct-17,438.00,446.00,434.00,440.00,7782900
23-Oct-17,426.00,438.00,426.00,432.00,1607900
20-Oct-17,422.00,426.00,420.00,426.00,205100
19-Oct-17,426.00,426.00,418.00,420.00,835200
18-Oct-17,422.00,426.00,422.00,422.00,287200
17-Oct-17,422.00,428.00,420.00,422.00,745400
