Date,Open,High,Low,Close,Volume
29-Dec-17,406.00,406.00,380.00,388.00,778200
28-Dec-17,434.00,444.00,408.00,408.00,4118100
27-Dec-17,340.00,424.00,336.00,424.00,4774700
22-Dec-17,338.00,348.00,330.00,340.00,281000
21-Dec-17,340.00,340.00,324.00,336.00,508400
20-Dec-17,360.00,364.00,338.00,338.00,908100
19-Dec-17,374.00,376.00,350.00,360.00,1070400
18-Dec-17,380.00,380.00,370.00,374.00,167600
15-Dec-17,376.00,384.00,374.00,378.00,333100
14-Dec-17,364.00,400.00,362.00,374.00,498000
13-Dec-17,386.00,386.00,360.00,360.00,430800
12-Dec-17,374.00,386.00,374.00,386.00,545400
11-Dec-17,404.00,408.00,368.00,376.00,880700
8-Dec-17,410.00,412.00,400.00,404.00,270600
7-Dec-17,422.00,430.00,404.00,406.00,768800
6-Dec-17,440.00,440.00,394.00,404.00,590700
5-Dec-17,450.00,456.00,410.00,434.00,642400
4-Dec-17,472.00,472.00,450.00,450.00,681100
30-Nov-17,484.00,484.00,462.00,464.00,83700
29-Nov-17,490.00,490.00,470.00,470.00,295300
28-Nov-17,494.00,494.00,470.00,472.00,547200
27-Nov-17,496.00,496.00,480.00,480.00,652900
24-Nov-17,480.00,505.00,468.00,496.00,752200
23-Nov-17,488.00,488.00,468.00,480.00,364600
22-Nov-17,484.00,488.00,478.00,484.00,337400
21-Nov-17,490.00,496.00,484.00,490.00,124200
20-Nov-17,494.00,505.00,484.00,490.00,556000
17-Nov-17,525.00,530.00,494.00,494.00,822300
16-Nov-17,492.00,540.00,492.00,525.00,2239700
15-Nov-17,500.00,515.00,492.00,510.00,1181300
14-Nov-17,496.00,525.00,478.00,498.00,2174600
13-Nov-17,525.00,595.00,488.00,494.00,9999400
10-Nov-17,412.00,525.00,412.00,525.00,10970400
9-Nov-17,416.00,430.00,416.00,424.00,1051000
8-Nov-17,432.00,434.00,414.00,420.00,3160200
7-Nov-17,434.00,442.00,418.00,420.00,4957700
6-Nov-17,454.00,458.00,420.00,426.00,2366700
3-Nov-17,428.00,476.00,416.00,442.00,6081000
2-Nov-17,434.00,440.00,412.00,418.00,2219800
1-Nov-17,452.00,452.00,432.00,432.00,994200
31-Oct-17,448.00,476.00,438.00,440.00,3508200
30-Oct-17,480.00,490.00,434.00,440.00,4750100
27-Oct-17,496.00,515.00,450.00,480.00,3744500
26-Oct-17,444.00,550.00,440.00,490.00,14861600
25-Oct-17,430.00,458.00,390.00,440.00,3569500
24-Oct-17,420.00,436.00,392.00,416.00,1646500
23-Oct-17,446.00,454.00,420.00,420.00,1343500
20-Oct-17,468.00,478.00,430.00,446.00,1644300
19-Oct-17,470.00,486.00,456.00,468.00,1115500
18-Oct-17,476.00,494.00,470.00,476.00,767700
17-Oct-17,490.00,500.00,470.00,476.00,954800
16-Oct-17,505.00,510.00,488.00,490.00,1320100
13-Oct-17,500.00,530.00,484.00,498.00,2735200
12-Oct-17,515.00,540.00,492.00,496.00,2537000
11-Oct-17,500.00,580.00,470.00,520.00,9464800
10-Oct-17,570.00,620.00,505.00,525.00,16966900
9-Oct-17,440.00,530.00,434.00,530.00,13527200
6-Oct-17,342.00,426.00,328.00,426.00,6545700
5-Oct-17,346.00,358.00,334.00,342.00,1477700
4-Oct-17,318.00,378.00,300.00,342.00,4292500
3-Oct-17,350.00,354.00,312.00,318.00,1210200
2-Oct-17,390.00,390.00,342.00,350.00,1451400
29-Sep-17,440.00,446.00,380.00,390.00,1582300
28-Sep-17,450.00,470.00,434.00,438.00,3827100
27-Sep-17,440.00,510.00,430.00,444.00,7217100
26-Sep-17,440.00,540.00,338.00,440.00,19901300
25-Sep-17,610.00,615.00,450.00,450.00,12539700
