Date,Open,High,Low,Close,Volume
29-Dec-17,815.00,890.00,790.00,890.00,516300
28-Dec-17,865.00,880.00,765.00,790.00,693000
27-Dec-17,1040.00,1040.00,840.00,855.00,1413900
22-Dec-17,930.00,1080.00,800.00,1020.00,1939600
21-Dec-17,970.00,970.00,895.00,940.00,1183300
20-Dec-17,980.00,1010.00,960.00,980.00,367000
19-Dec-17,1015.00,1020.00,980.00,980.00,319000
18-Dec-17,1025.00,1025.00,1005.00,1015.00,238200
15-Dec-17,1030.00,1040.00,1020.00,1025.00,145300
14-Dec-17,1030.00,1060.00,1025.00,1035.00,455300
13-Dec-17,1020.00,1040.00,1020.00,1030.00,1167600
12-Dec-17,1030.00,1040.00,1015.00,1020.00,262800
11-Dec-17,1060.00,1060.00,1020.00,1040.00,605600
8-Dec-17,1080.00,1090.00,1050.00,1060.00,884800
7-Dec-17,1080.00,1100.00,1080.00,1090.00,128300
6-Dec-17,1090.00,1110.00,1090.00,1090.00,482000
5-Dec-17,1115.00,1125.00,1090.00,1090.00,741300
4-Dec-17,1070.00,1180.00,1070.00,1115.00,4054200
30-Nov-17,1045.00,1210.00,1045.00,1070.00,4137100
29-Nov-17,1035.00,1050.00,1030.00,1040.00,222400
28-Nov-17,1030.00,1060.00,1005.00,1035.00,1631900
27-Nov-17,1040.00,1045.00,1010.00,1030.00,792900
24-Nov-17,1130.00,1135.00,990.00,1040.00,1618200
23-Nov-17,1170.00,1170.00,1020.00,1130.00,3152500
22-Nov-17,1180.00,1180.00,1120.00,1170.00,730800
21-Nov-17,1215.00,1215.00,1175.00,1180.00,583300
20-Nov-17,1230.00,1230.00,1185.00,1210.00,646400
17-Nov-17,1235.00,1240.00,1215.00,1225.00,231800
16-Nov-17,1225.00,1240.00,1210.00,1230.00,413900
15-Nov-17,1220.00,1245.00,1200.00,1225.00,364400
14-Nov-17,1215.00,1240.00,1190.00,1235.00,328700
13-Nov-17,1250.00,1250.00,1185.00,1210.00,1018600
10-Nov-17,1265.00,1270.00,1215.00,1235.00,3111100
9-Nov-17,1265.00,1270.00,1250.00,1265.00,169600
8-Nov-17,1250.00,1290.00,1250.00,1265.00,491800
7-Nov-17,1265.00,1295.00,1220.00,1250.00,1699100
6-Nov-17,1330.00,1355.00,1270.00,1285.00,301700
3-Nov-17,1345.00,1375.00,1330.00,1330.00,113200
2-Nov-17,1395.00,1405.00,1350.00,1350.00,428100
1-Nov-17,1390.00,1410.00,1385.00,1385.00,268100
31-Oct-17,1435.00,1445.00,1345.00,1395.00,898500
30-Oct-17,1230.00,1460.00,1220.00,1435.00,5764600
27-Oct-17,1255.00,1255.00,1200.00,1205.00,119200
26-Oct-17,1220.00,1260.00,1185.00,1245.00,193800
25-Oct-17,1220.00,1260.00,1170.00,1220.00,838900
24-Oct-17,1245.00,1260.00,1210.00,1210.00,565000
23-Oct-17,1265.00,1265.00,1215.00,1220.00,490800
20-Oct-17,1230.00,1275.00,1225.00,1230.00,309600
19-Oct-17,1220.00,1295.00,1205.00,1230.00,561700
18-Oct-17,1250.00,1300.00,1180.00,1220.00,707800
17-Oct-17,1440.00,1445.00,1170.00,1250.00,5308700
16-Oct-17,1405.00,1440.00,1400.00,1410.00,501900
13-Oct-17,1440.00,1450.00,1400.00,1410.00,557000
12-Oct-17,1480.00,1485.00,1400.00,1445.00,1216400
11-Oct-17,1550.00,1555.00,1475.00,1485.00,2789200
10-Oct-17,1600.00,1605.00,1555.00,1555.00,720700
9-Oct-17,1600.00,1610.00,1550.00,1595.00,679900
6-Oct-17,1605.00,1610.00,1590.00,1605.00,315400
5-Oct-17,1600.00,1640.00,1600.00,1600.00,1064000
4-Oct-17,1580.00,1600.00,1565.00,1600.00,1224700
3-Oct-17,1510.00,1595.00,1495.00,1575.00,4403400
2-Oct-17,1525.00,1530.00,1425.00,1510.00,8905600
29-Sep-17,1530.00,1555.00,1500.00,1525.00,1383100
28-Sep-17,1550.00,1650.00,1500.00,1525.00,6972000
27-Sep-17,1410.00,1530.00,1395.00,1520.00,6832100
26-Sep-17,1350.00,1430.00,1350.00,1405.00,3682500
25-Sep-17,1350.00,1355.00,1345.00,1350.00,249900
22-Sep-17,1305.00,1460.00,1305.00,1350.00,1848800
20-Sep-17,1300.00,1300.00,1270.00,1300.00,344300
19-Sep-17,1320.00,1330.00,1285.00,1300.00,450200
18-Sep-17,1385.00,1385.00,1260.00,1310.00,1998300
15-Sep-17,1395.00,1395.00,1385.00,1390.00,221900
14-Sep-17,1410.00,1410.00,1395.00,1395.00,691400
13-Sep-17,1410.00,1410.00,1395.00,1410.00,595600
12-Sep-17,1420.00,1420.00,1400.00,1410.00,438900
11-Sep-17,1430.00,1430.00,1405.00,1425.00,1275100
8-Sep-17,1440.00,1445.00,1415.00,1430.00,1056300
7-Sep-17,1425.00,1450.00,1405.00,1440.00,766100
6-Sep-17,1405.00,1445.00,1400.00,1425.00,1739100
5-Sep-17,1285.00,1500.00,1285.00,1410.00,4728000
4-Sep-17,1335.00,1365.00,1270.00,1285.00,1838200
31-Aug-17,1360.00,1450.00,1300.00,1335.00,8403100
30-Aug-17,1120.00,1390.00,1105.00,1350.00,14879200
29-Aug-17,1120.00,1125.00,1115.00,1115.00,260500
28-Aug-17,1125.00,1130.00,1120.00,1120.00,319700
25-Aug-17,1115.00,1130.00,1115.00,1125.00,828700
24-Aug-17,1110.00,1125.00,1105.00,1120.00,1097100
23-Aug-17,1115.00,1120.00,1105.00,1105.00,662500
22-Aug-17,1120.00,1120.00,1110.00,1115.00,567900
21-Aug-17,1115.00,1135.00,1115.00,1120.00,1625200
18-Aug-17,1105.00,1130.00,1095.00,1120.00,2647000
16-Aug-17,1120.00,1120.00,1100.00,1105.00,780900
15-Aug-17,1100.00,1145.00,1100.00,1125.00,2189100
14-Aug-17,1100.00,1175.00,1035.00,1100.00,9372300
11-Aug-17,1250.00,1250.00,1035.00,1100.00,21759300
10-Aug-17,1500.00,1605.00,1305.00,1375.00,17554300
9-Aug-17,1490.00,1490.00,1250.00,1430.00,17487400
8-Aug-17,1150.00,1230.00,1090.00,1195.00,22308500
31-Jul-17,985.00,985.00,985.00,985.00,1727800
27-Jul-17,790.00,790.00,790.00,790.00,4866500
26-Jul-17,550.00,635.00,540.00,635.00,7060700
25-Jul-17,408.00,510.00,400.00,510.00,15834000
24-Jul-17,400.00,450.00,390.00,408.00,822400
21-Jul-17,350.00,390.00,350.00,390.00,50100
20-Jul-17,350.00,368.00,326.00,340.00,148300
19-Jul-17,352.00,370.00,350.00,350.00,202100
18-Jul-17,-,-,-,390.00,0
17-Jul-17,400.00,400.00,390.00,390.00,101500
14-Jul-17,392.00,400.00,382.00,382.00,899900
13-Jul-17,392.00,400.00,382.00,400.00,1003000
12-Jul-17,396.00,400.00,396.00,400.00,54200
11-Jul-17,394.00,394.00,392.00,392.00,90000
10-Jul-17,-,-,-,396.00,0
7-Jul-17,-,-,-,396.00,0
6-Jul-17,-,-,-,396.00,0
5-Jul-17,-,-,-,396.00,0
4-Jul-17,-,-,-,396.00,0
3-Jul-17,-,-,-,396.00,0
22-Jun-17,396.00,396.00,396.00,396.00,1000
21-Jun-17,396.00,396.00,396.00,396.00,37000
20-Jun-17,-,-,-,396.00,0
19-Jun-17,396.00,396.00,396.00,396.00,2100
16-Jun-17,396.00,396.00,396.00,396.00,2100
15-Jun-17,-,-,-,396.00,0
14-Jun-17,410.00,410.00,396.00,396.00,50100
13-Jun-17,396.00,410.00,396.00,410.00,17100
12-Jun-17,396.00,400.00,394.00,400.00,171100
9-Jun-17,398.00,398.00,398.00,398.00,44400
8-Jun-17,400.00,420.00,398.00,400.00,397300
7-Jun-17,400.00,440.00,400.00,400.00,98900
6-Jun-17,-,-,-,460.00,0
5-Jun-17,-,-,-,460.00,0
2-Jun-17,-,-,-,460.00,0
31-May-17,492.00,492.00,460.00,460.00,9000
30-May-17,486.00,510.00,462.00,492.00,2145000
29-May-17,408.00,486.00,408.00,486.00,2027400
26-May-17,410.00,410.00,400.00,408.00,43600
24-May-17,402.00,408.00,400.00,408.00,13200
23-May-17,414.00,414.00,400.00,410.00,28800
22-May-17,400.00,424.00,400.00,414.00,1745300
19-May-17,396.00,400.00,396.00,400.00,6500
18-May-17,400.00,400.00,400.00,400.00,100
17-May-17,400.00,400.00,400.00,400.00,500
16-May-17,-,-,-,400.00,0
15-May-17,398.00,400.00,398.00,400.00,1900
12-May-17,398.00,400.00,398.00,400.00,1100
10-May-17,-,-,-,400.00,0
9-May-17,400.00,400.00,400.00,400.00,900
8-May-17,398.00,398.00,398.00,398.00,169300
5-May-17,400.00,400.00,400.00,400.00,100
4-May-17,-,-,-,398.00,0
3-May-17,398.00,398.00,398.00,398.00,4300
2-May-17,398.00,398.00,390.00,398.00,785500
28-Apr-17,-,-,-,400.00,0
27-Apr-17,398.00,406.00,396.00,400.00,548400
26-Apr-17,400.00,400.00,398.00,400.00,15600
25-Apr-17,398.00,400.00,392.00,400.00,879800
21-Apr-17,400.00,400.00,400.00,400.00,184800
20-Apr-17,402.00,402.00,390.00,402.00,1391500
18-Apr-17,402.00,402.00,392.00,402.00,1189000
17-Apr-17,406.00,408.00,392.00,402.00,1802900
13-Apr-17,420.00,420.00,398.00,408.00,1884800
12-Apr-17,426.00,426.00,420.00,420.00,21600
11-Apr-17,434.00,434.00,424.00,424.00,20700
10-Apr-17,428.00,432.00,428.00,432.00,17700
7-Apr-17,428.00,428.00,428.00,428.00,100
6-Apr-17,-,-,-,428.00,0
5-Apr-17,428.00,428.00,428.00,428.00,1500
4-Apr-17,426.00,426.00,426.00,426.00,20000
3-Apr-17,442.00,442.00,434.00,434.00,32300
31-Mar-17,450.00,450.00,444.00,444.00,16000
30-Mar-17,448.00,450.00,446.00,450.00,15800
29-Mar-17,438.00,452.00,438.00,448.00,128800
27-Mar-17,434.00,450.00,434.00,440.00,66900
24-Mar-17,-,-,-,432.00,0
23-Mar-17,-,-,-,432.00,0
22-Mar-17,432.00,432.00,432.00,432.00,100
21-Mar-17,-,-,-,434.00,0
20-Mar-17,-,-,-,434.00,0
17-Mar-17,436.00,436.00,434.00,434.00,2000
16-Mar-17,-,-,-,436.00,0
15-Mar-17,436.00,436.00,436.00,436.00,100
14-Mar-17,-,-,-,438.00,0
13-Mar-17,438.00,438.00,438.00,438.00,600
10-Mar-17,440.00,440.00,438.00,438.00,600
9-Mar-17,-,-,-,440.00,0
8-Mar-17,438.00,440.00,438.00,440.00,700
7-Mar-17,-,-,-,438.00,0
6-Mar-17,-,-,-,438.00,0
3-Mar-17,438.00,438.00,438.00,438.00,7600
2-Mar-17,-,-,-,438.00,0
1-Mar-17,422.00,438.00,422.00,438.00,7400
