Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,328.00,0
28-Dec-17,328.00,328.00,328.00,328.00,600
27-Dec-17,342.00,342.00,330.00,330.00,1400
22-Dec-17,330.00,344.00,322.00,322.00,700
21-Dec-17,310.00,328.00,308.00,328.00,1800
20-Dec-17,332.00,332.00,308.00,308.00,3300
19-Dec-17,-,-,-,324.00,0
18-Dec-17,324.00,324.00,324.00,324.00,800
15-Dec-17,-,-,-,326.00,0
14-Dec-17,-,-,-,326.00,0
13-Dec-17,302.00,326.00,302.00,326.00,200
12-Dec-17,-,-,-,328.00,0
11-Dec-17,-,-,-,328.00,0
8-Dec-17,330.00,330.00,318.00,328.00,700
7-Dec-17,322.00,324.00,322.00,324.00,200
6-Dec-17,320.00,320.00,320.00,320.00,200
5-Dec-17,350.00,350.00,322.00,334.00,3500
4-Dec-17,322.00,322.00,320.00,320.00,12600
30-Nov-17,326.00,326.00,326.00,326.00,100
29-Nov-17,330.00,330.00,330.00,330.00,100
28-Nov-17,330.00,330.00,330.00,330.00,100
27-Nov-17,310.00,350.00,310.00,330.00,900
24-Nov-17,330.00,330.00,330.00,330.00,1000
23-Nov-17,336.00,346.00,332.00,332.00,400
22-Nov-17,344.00,344.00,330.00,330.00,1000
21-Nov-17,324.00,336.00,322.00,336.00,8200
20-Nov-17,328.00,330.00,328.00,328.00,3700
17-Nov-17,338.00,338.00,328.00,330.00,500
16-Nov-17,-,-,-,332.00,0
15-Nov-17,332.00,332.00,332.00,332.00,300
14-Nov-17,330.00,338.00,330.00,338.00,3300
13-Nov-17,354.00,354.00,330.00,330.00,300
10-Nov-17,350.00,350.00,336.00,340.00,6300
9-Nov-17,334.00,342.00,334.00,342.00,4500
8-Nov-17,346.00,346.00,328.00,344.00,12400
7-Nov-17,330.00,330.00,330.00,330.00,900
6-Nov-17,338.00,340.00,318.00,332.00,5500
3-Nov-17,330.00,338.00,330.00,338.00,4100
2-Nov-17,348.00,348.00,330.00,330.00,3700
1-Nov-17,330.00,330.00,330.00,330.00,3000
31-Oct-17,342.00,350.00,336.00,336.00,900
30-Oct-17,332.00,344.00,330.00,336.00,24000
27-Oct-17,334.00,334.00,332.00,332.00,30700
26-Oct-17,350.00,350.00,330.00,336.00,1900
25-Oct-17,344.00,350.00,340.00,340.00,6700
24-Oct-17,338.00,338.00,336.00,336.00,3300
23-Oct-17,350.00,358.00,314.00,338.00,70900
20-Oct-17,352.00,352.00,334.00,338.00,46700
19-Oct-17,366.00,366.00,340.00,352.00,11600
18-Oct-17,376.00,376.00,340.00,354.00,9300
17-Oct-17,378.00,378.00,340.00,340.00,4800
16-Oct-17,378.00,378.00,344.00,360.00,105500
13-Oct-17,396.00,396.00,394.00,396.00,184900
12-Oct-17,400.00,400.00,396.00,396.00,103400
11-Oct-17,398.00,398.00,394.00,398.00,47100
10-Oct-17,-,-,-,370.00,0
9-Oct-17,-,-,-,370.00,0
6-Oct-17,-,-,-,370.00,0
5-Oct-17,-,-,-,370.00,0
4-Oct-17,-,-,-,370.00,0
3-Oct-17,370.00,370.00,370.00,370.00,100
2-Oct-17,390.00,400.00,390.00,390.00,2325300
29-Sep-17,376.00,390.00,374.00,390.00,16400
28-Sep-17,338.00,354.00,338.00,354.00,200
27-Sep-17,352.00,352.00,352.00,352.00,2000
26-Sep-17,374.00,374.00,374.00,374.00,100
25-Sep-17,354.00,354.00,354.00,354.00,3100
22-Sep-17,330.00,354.00,330.00,354.00,1200
20-Sep-17,370.00,370.00,368.00,368.00,2900
19-Sep-17,332.00,344.00,332.00,376.00,1300
18-Sep-17,368.00,378.00,350.00,378.00,55200
15-Sep-17,374.00,374.00,328.00,360.00,51800
14-Sep-17,380.00,380.00,340.00,342.00,24100
13-Sep-17,388.00,388.00,350.00,380.00,56900
12-Sep-17,374.00,386.00,350.00,382.00,4200
11-Sep-17,390.00,390.00,390.00,390.00,200
8-Sep-17,390.00,390.00,386.00,386.00,700
7-Sep-17,392.00,438.00,388.00,390.00,2300
6-Sep-17,390.00,390.00,388.00,388.00,200
5-Sep-17,392.00,392.00,368.00,390.00,10400
4-Sep-17,368.00,394.00,368.00,394.00,17300
31-Aug-17,398.00,398.00,360.00,368.00,4700
30-Aug-17,382.00,396.00,364.00,394.00,5400
29-Aug-17,398.00,398.00,396.00,396.00,5400
28-Aug-17,388.00,398.00,388.00,398.00,500
25-Aug-17,376.00,378.00,352.00,376.00,4300
24-Aug-17,360.00,378.00,360.00,378.00,2500
23-Aug-17,354.00,388.00,354.00,380.00,2600
22-Aug-17,-,-,-,390.00,0
21-Aug-17,374.00,398.00,374.00,390.00,3000
18-Aug-17,374.00,374.00,374.00,374.00,8600
16-Aug-17,388.00,388.00,358.00,374.00,8100
15-Aug-17,386.00,398.00,366.00,368.00,22700
14-Aug-17,390.00,390.00,390.00,390.00,100
11-Aug-17,398.00,398.00,380.00,380.00,800
10-Aug-17,390.00,398.00,390.00,398.00,200
9-Aug-17,376.00,390.00,370.00,378.00,600
8-Aug-17,356.00,380.00,356.00,356.00,390300
7-Aug-17,390.00,390.00,390.00,390.00,200100
4-Aug-17,392.00,392.00,392.00,392.00,213000
3-Aug-17,400.00,400.00,350.00,392.00,465600
2-Aug-17,350.00,400.00,310.00,400.00,62500
1-Aug-17,390.00,390.00,346.00,346.00,1500
31-Jul-17,402.00,402.00,402.00,402.00,500
28-Jul-17,402.00,402.00,402.00,402.00,95700
27-Jul-17,402.00,402.00,402.00,402.00,400
26-Jul-17,394.00,402.00,394.00,402.00,24300
25-Jul-17,418.00,426.00,330.00,394.00,13400
24-Jul-17,384.00,400.00,382.00,400.00,52500
21-Jul-17,440.00,480.00,364.00,370.00,4773400
20-Jul-17,360.00,420.00,360.00,420.00,3400
19-Jul-17,400.00,430.00,352.00,352.00,2700
18-Jul-17,-,-,-,400.00,0
17-Jul-17,400.00,400.00,400.00,400.00,200
14-Jul-17,-,-,-,428.00,0
13-Jul-17,428.00,428.00,428.00,428.00,10000
12-Jul-17,428.00,428.00,428.00,428.00,100
11-Jul-17,-,-,-,400.00,0
10-Jul-17,430.00,430.00,400.00,400.00,20200
7-Jul-17,-,-,-,410.00,0
6-Jul-17,410.00,410.00,410.00,410.00,1700
5-Jul-17,-,-,-,430.00,0
4-Jul-17,-,-,-,430.00,0
3-Jul-17,-,-,-,430.00,0
22-Jun-17,-,-,-,430.00,0
21-Jun-17,430.00,430.00,430.00,430.00,1500
20-Jun-17,438.00,438.00,438.00,438.00,100
19-Jun-17,400.00,428.00,400.00,400.00,408900
16-Jun-17,400.00,400.00,400.00,400.00,76600
15-Jun-17,430.00,430.00,390.00,390.00,23000
14-Jun-17,448.00,448.00,400.00,424.00,52100
13-Jun-17,424.00,424.00,398.00,398.00,419300
12-Jun-17,410.00,448.00,410.00,444.00,105400
9-Jun-17,410.00,410.00,410.00,410.00,500
8-Jun-17,410.00,410.00,410.00,410.00,3200
7-Jun-17,400.00,400.00,400.00,400.00,400
6-Jun-17,400.00,400.00,400.00,400.00,10000
5-Jun-17,-,-,-,400.00,0
2-Jun-17,400.00,400.00,400.00,400.00,200
31-May-17,420.00,450.00,400.00,400.00,4616500
30-May-17,400.00,400.00,400.00,400.00,10000
29-May-17,400.00,420.00,400.00,400.00,5300
26-May-17,420.00,420.00,400.00,400.00,6400
24-May-17,420.00,420.00,420.00,420.00,11200
23-May-17,440.00,440.00,404.00,404.00,2700
22-May-17,440.00,450.00,440.00,450.00,4348500
19-May-17,390.00,390.00,390.00,390.00,900
18-May-17,-,-,-,400.00,0
17-May-17,410.00,450.00,400.00,400.00,3337700
16-May-17,400.00,400.00,398.00,398.00,2900
15-May-17,400.00,400.00,390.00,400.00,80000
12-May-17,-,-,-,416.00,0
10-May-17,-,-,-,416.00,0
9-May-17,384.00,442.00,384.00,416.00,4600
8-May-17,382.00,384.00,382.00,384.00,800
5-May-17,410.00,410.00,382.00,382.00,220100
4-May-17,410.00,410.00,410.00,410.00,1000
3-May-17,416.00,416.00,414.00,414.00,800
2-May-17,426.00,426.00,418.00,426.00,10900
28-Apr-17,418.00,432.00,416.00,416.00,2700
27-Apr-17,-,-,-,404.00,0
26-Apr-17,-,-,-,404.00,0
25-Apr-17,404.00,404.00,402.00,404.00,5400
21-Apr-17,410.00,420.00,400.00,400.00,80100
20-Apr-17,380.00,456.00,380.00,392.00,904500
18-Apr-17,352.00,380.00,352.00,380.00,498600
17-Apr-17,350.00,350.00,350.00,350.00,20000
13-Apr-17,360.00,360.00,350.00,350.00,28500
12-Apr-17,380.00,380.00,360.00,360.00,20600
11-Apr-17,390.00,390.00,370.00,370.00,36500
10-Apr-17,390.00,398.00,340.00,380.00,10700
7-Apr-17,360.00,388.00,360.00,388.00,11300
6-Apr-17,384.00,384.00,370.00,370.00,25700
5-Apr-17,388.00,388.00,370.00,384.00,22300
4-Apr-17,450.00,450.00,380.00,400.00,120200
3-Apr-17,398.00,398.00,396.00,396.00,300
31-Mar-17,400.00,400.00,400.00,400.00,14000
30-Mar-17,374.00,400.00,374.00,400.00,120500
29-Mar-17,374.00,374.00,374.00,374.00,10000
27-Mar-17,460.00,460.00,460.00,460.00,150200
24-Mar-17,460.00,460.00,450.00,460.00,26100
23-Mar-17,460.00,460.00,460.00,460.00,50600
22-Mar-17,460.00,460.00,460.00,460.00,40100
21-Mar-17,-,-,-,460.00,0
20-Mar-17,460.00,460.00,440.00,460.00,404700
17-Mar-17,460.00,460.00,460.00,460.00,5000
16-Mar-17,456.00,456.00,456.00,456.00,6600
15-Mar-17,-,-,-,456.00,0
14-Mar-17,-,-,-,456.00,0
13-Mar-17,-,-,-,456.00,0
10-Mar-17,-,-,-,456.00,0
9-Mar-17,-,-,-,456.00,0
8-Mar-17,340.00,456.00,340.00,456.00,600
7-Mar-17,-,-,-,450.00,0
6-Mar-17,-,-,-,450.00,0
3-Mar-17,450.00,450.00,450.00,450.00,10000
2-Mar-17,450.00,450.00,450.00,450.00,94100
1-Mar-17,460.00,460.00,460.00,460.00,100000
28-Feb-17,458.00,458.00,458.00,458.00,1600
27-Feb-17,458.00,458.00,458.00,458.00,10000
24-Feb-17,-,-,-,458.00,0
23-Feb-17,456.00,458.00,456.00,458.00,2200
22-Feb-17,450.00,450.00,450.00,450.00,11800
21-Feb-17,-,-,-,460.00,0
20-Feb-17,460.00,460.00,450.00,460.00,66200
17-Feb-17,432.00,432.00,432.00,432.00,1900
16-Feb-17,400.00,400.00,400.00,400.00,100
14-Feb-17,-,-,-,420.00,0
13-Feb-17,420.00,420.00,420.00,420.00,1100
10-Feb-17,440.00,440.00,420.00,420.00,1900
9-Feb-17,-,-,-,460.00,0
8-Feb-17,-,-,-,460.00,0
7-Feb-17,-,-,-,460.00,0
6-Feb-17,-,-,-,460.00,0
3-Feb-17,-,-,-,460.00,0
