Date,Open,High,Low,Close,Volume
29-Dec-17,545.00,555.00,545.00,550.00,1477600
28-Dec-17,540.00,545.00,535.00,545.00,1426500
27-Dec-17,535.00,545.00,535.00,540.00,1112800
22-Dec-17,540.00,540.00,530.00,535.00,1312100
21-Dec-17,545.00,545.00,535.00,540.00,1167900
20-Dec-17,545.00,545.00,530.00,545.00,1935400
19-Dec-17,540.00,545.00,535.00,545.00,1237900
18-Dec-17,540.00,545.00,535.00,540.00,1043100
15-Dec-17,540.00,540.00,535.00,540.00,1104300
14-Dec-17,535.00,540.00,535.00,540.00,1326200
13-Dec-17,535.00,540.00,525.00,530.00,1551300
12-Dec-17,530.00,530.00,525.00,530.00,1388200
11-Dec-17,545.00,560.00,525.00,525.00,1534700
8-Dec-17,545.00,550.00,530.00,540.00,1321800
7-Dec-17,550.00,555.00,530.00,540.00,1096800
6-Dec-17,550.00,555.00,550.00,550.00,1341900
5-Dec-17,560.00,560.00,545.00,545.00,1112100
4-Dec-17,570.00,570.00,560.00,560.00,1198100
30-Nov-17,575.00,575.00,565.00,570.00,1241800
29-Nov-17,570.00,570.00,565.00,570.00,1330900
28-Nov-17,575.00,575.00,565.00,570.00,1166500
27-Nov-17,555.00,580.00,550.00,575.00,1021600
24-Nov-17,550.00,555.00,550.00,555.00,1238700
23-Nov-17,535.00,575.00,535.00,555.00,1147100
22-Nov-17,520.00,535.00,520.00,535.00,1139700
21-Nov-17,565.00,565.00,520.00,520.00,880500
20-Nov-17,570.00,570.00,560.00,565.00,1118800
17-Nov-17,570.00,575.00,565.00,570.00,1118000
16-Nov-17,565.00,575.00,565.00,570.00,1347700
15-Nov-17,565.00,570.00,565.00,565.00,1219800
14-Nov-17,555.00,565.00,555.00,565.00,1087100
13-Nov-17,545.00,555.00,545.00,555.00,1114500
10-Nov-17,545.00,550.00,530.00,545.00,1050900
9-Nov-17,545.00,545.00,540.00,545.00,1168200
8-Nov-17,550.00,555.00,540.00,540.00,1194700
7-Nov-17,590.00,600.00,540.00,545.00,1362900
