Date,Open,High,Low,Close,Volume
29-Dec-17,149.00,159.00,149.00,155.00,19500
28-Dec-17,140.00,149.00,140.00,149.00,700
27-Dec-17,140.00,140.00,140.00,140.00,100
22-Dec-17,-,-,-,140.00,0
21-Dec-17,144.00,147.00,140.00,140.00,10200
20-Dec-17,137.00,138.00,137.00,138.00,15900
19-Dec-17,157.00,157.00,112.00,138.00,81900
18-Dec-17,154.00,156.00,152.00,156.00,25200
15-Dec-17,-,-,-,156.00,0
14-Dec-17,156.00,156.00,156.00,156.00,100
13-Dec-17,156.00,156.00,156.00,156.00,10100
12-Dec-17,156.00,156.00,156.00,156.00,12000
11-Dec-17,156.00,156.00,156.00,156.00,4300
8-Dec-17,156.00,156.00,155.00,156.00,24900
7-Dec-17,144.00,180.00,130.00,155.00,10600
6-Dec-17,156.00,156.00,144.00,144.00,700
5-Dec-17,153.00,153.00,153.00,153.00,100
4-Dec-17,155.00,155.00,155.00,155.00,36000
30-Nov-17,154.00,155.00,154.00,155.00,10500
29-Nov-17,155.00,155.00,155.00,155.00,20600
28-Nov-17,158.00,158.00,154.00,155.00,16700
27-Nov-17,155.00,155.00,154.00,154.00,31200
24-Nov-17,155.00,155.00,155.00,155.00,200
23-Nov-17,155.00,155.00,155.00,155.00,1000
22-Nov-17,155.00,157.00,155.00,157.00,600
21-Nov-17,155.00,157.00,154.00,157.00,60000
20-Nov-17,143.00,143.00,143.00,143.00,100
17-Nov-17,155.00,155.00,152.00,153.00,20400
16-Nov-17,152.00,155.00,152.00,155.00,20000
15-Nov-17,153.00,153.00,153.00,153.00,300
14-Nov-17,155.00,155.00,153.00,153.00,55800
13-Nov-17,160.00,160.00,155.00,155.00,300
10-Nov-17,154.00,155.00,154.00,154.00,20100
9-Nov-17,164.00,164.00,154.00,154.00,32200
8-Nov-17,155.00,155.00,154.00,154.00,29800
7-Nov-17,-,-,-,159.00,0
6-Nov-17,154.00,160.00,154.00,159.00,900
3-Nov-17,152.00,152.00,152.00,152.00,25000
2-Nov-17,158.00,158.00,152.00,152.00,36600
1-Nov-17,151.00,155.00,151.00,155.00,2200
31-Oct-17,148.00,160.00,148.00,151.00,30300
30-Oct-17,146.00,152.00,146.00,152.00,15300
27-Oct-17,151.00,151.00,151.00,151.00,20600
26-Oct-17,150.00,151.00,150.00,150.00,188100
25-Oct-17,150.00,150.00,149.00,150.00,108500
24-Oct-17,150.00,150.00,149.00,149.00,154400
23-Oct-17,148.00,151.00,148.00,151.00,75200
20-Oct-17,150.00,150.00,141.00,148.00,800
19-Oct-17,150.00,155.00,149.00,149.00,37200
18-Oct-17,149.00,154.00,149.00,154.00,21100
17-Oct-17,150.00,150.00,149.00,149.00,37700
16-Oct-17,160.00,160.00,150.00,150.00,189500
13-Oct-17,151.00,154.00,150.00,150.00,330400
12-Oct-17,152.00,152.00,151.00,151.00,5300
11-Oct-17,151.00,153.00,149.00,150.00,117800
10-Oct-17,149.00,154.00,149.00,153.00,155700
9-Oct-17,149.00,160.00,149.00,149.00,112100
6-Oct-17,151.00,153.00,149.00,149.00,150500
5-Oct-17,151.00,151.00,142.00,149.00,65300
4-Oct-17,150.00,153.00,144.00,147.00,203300
3-Oct-17,143.00,148.00,143.00,143.00,8600
2-Oct-17,144.00,151.00,138.00,144.00,2641000
29-Sep-17,150.00,154.00,144.00,144.00,124400
28-Sep-17,156.00,156.00,144.00,153.00,439000
27-Sep-17,139.00,154.00,135.00,154.00,677700
26-Sep-17,136.00,165.00,133.00,139.00,970000
25-Sep-17,135.00,141.00,130.00,135.00,182500
22-Sep-17,146.00,146.00,139.00,139.00,186900
20-Sep-17,135.00,161.00,133.00,143.00,1960200
19-Sep-17,136.00,145.00,134.00,135.00,316200
18-Sep-17,135.00,153.00,133.00,136.00,649300
15-Sep-17,143.00,145.00,134.00,134.00,355000
14-Sep-17,144.00,154.00,139.00,143.00,1466300
13-Sep-17,145.00,157.00,138.00,144.00,732200
12-Sep-17,163.00,171.00,145.00,145.00,1405400
11-Sep-17,131.00,172.00,110.00,160.00,5796900
8-Sep-17,143.00,149.00,125.00,130.00,1915600
7-Sep-17,147.00,152.00,142.00,143.00,313100
6-Sep-17,145.00,160.00,143.00,146.00,2384200
5-Sep-17,148.00,159.00,135.00,143.00,964100
4-Sep-17,160.00,186.00,148.00,148.00,8130800
31-Aug-17,110.00,153.00,110.00,153.00,2982600
30-Aug-17,112.00,123.00,112.00,114.00,1011400
29-Aug-17,98.00,129.00,95.00,112.00,2643000
28-Aug-17,110.00,110.00,91.00,100.00,2079600
25-Aug-17,101.00,111.00,98.00,110.00,647600
24-Aug-17,111.00,125.00,91.00,101.00,2895000
23-Aug-17,100.00,121.00,90.00,110.00,7575700
22-Aug-17,67.00,90.00,66.00,90.00,5287500
21-Aug-17,72.00,75.00,65.00,67.00,1417300
18-Aug-17,67.00,70.00,64.00,70.00,889600
16-Aug-17,68.00,70.00,66.00,67.00,149000
15-Aug-17,67.00,68.00,65.00,67.00,44100
14-Aug-17,67.00,75.00,64.00,66.00,3908700
11-Aug-17,67.00,67.00,61.00,63.00,487200
10-Aug-17,66.00,68.00,63.00,66.00,299400
9-Aug-17,66.00,68.00,61.00,65.00,392600
8-Aug-17,67.00,67.00,63.00,65.00,144800
7-Aug-17,67.00,70.00,62.00,64.00,437100
4-Aug-17,72.00,81.00,68.00,69.00,1828500
3-Aug-17,67.00,79.00,65.00,71.00,4789900
2-Aug-17,60.00,74.00,59.00,66.00,544300
1-Aug-17,63.00,64.00,59.00,59.00,22200
31-Jul-17,60.00,66.00,60.00,63.00,203100
28-Jul-17,63.00,63.00,59.00,59.00,3600
27-Jul-17,63.00,64.00,63.00,64.00,4400
26-Jul-17,61.00,64.00,59.00,63.00,105400
25-Jul-17,60.00,62.00,59.00,62.00,18700
24-Jul-17,61.00,62.00,59.00,62.00,71800
21-Jul-17,62.00,66.00,61.00,62.00,148200
20-Jul-17,66.00,69.00,61.00,66.00,534200
19-Jul-17,61.00,79.00,60.00,66.00,2505000
18-Jul-17,60.00,61.00,60.00,60.00,41400
17-Jul-17,61.00,62.00,60.00,60.00,91500
14-Jul-17,61.00,61.00,60.00,61.00,388500
13-Jul-17,60.00,63.00,60.00,61.00,229100
12-Jul-17,60.00,63.00,60.00,60.00,142600
11-Jul-17,56.00,59.00,56.00,58.00,276600
10-Jul-17,54.00,63.00,52.00,59.00,61500
7-Jul-17,55.00,57.00,55.00,56.00,33700
6-Jul-17,53.00,56.00,50.00,55.00,18200
5-Jul-17,56.00,57.00,55.00,56.00,23900
4-Jul-17,57.00,58.00,57.00,57.00,25700
3-Jul-17,53.00,57.00,53.00,57.00,20500
22-Jun-17,55.00,56.00,55.00,55.00,40200
21-Jun-17,56.00,57.00,56.00,57.00,500
20-Jun-17,55.00,57.00,54.00,55.00,261200
19-Jun-17,56.00,58.00,56.00,58.00,85600
16-Jun-17,56.00,58.00,56.00,58.00,2700
15-Jun-17,58.00,58.00,56.00,57.00,169100
14-Jun-17,61.00,61.00,56.00,57.00,116000
13-Jun-17,61.00,66.00,61.00,61.00,530400
12-Jun-17,57.00,61.00,57.00,60.00,326700
9-Jun-17,55.00,58.00,55.00,57.00,53700
8-Jun-17,57.00,59.00,57.00,58.00,12300
7-Jun-17,57.00,57.00,56.00,56.00,23300
6-Jun-17,59.00,59.00,56.00,56.00,63600
5-Jun-17,59.00,59.00,55.00,59.00,215100
2-Jun-17,59.00,64.00,58.00,59.00,375100
