Date,Open,High,Low,Close,Volume
29-Dec-17,1320.00,1330.00,1320.00,1320.00,9200
28-Dec-17,1320.00,1320.00,1320.00,1320.00,4100
27-Dec-17,1320.00,1320.00,1320.00,1320.00,1600
22-Dec-17,1320.00,1390.00,1320.00,1320.00,3700
21-Dec-17,1350.00,1380.00,1320.00,1320.00,4200
20-Dec-17,1320.00,1320.00,1310.00,1310.00,9100
19-Dec-17,-,-,-,1320.00,0
18-Dec-17,1320.00,1320.00,1320.00,1320.00,300
15-Dec-17,1330.00,1330.00,1320.00,1320.00,4500
14-Dec-17,1340.00,1380.00,1320.00,1320.00,32000
13-Dec-17,1345.00,1400.00,1345.00,1400.00,3300
12-Dec-17,1350.00,1450.00,1350.00,1410.00,4700
11-Dec-17,1425.00,1425.00,1425.00,1425.00,700
8-Dec-17,1450.00,1450.00,1405.00,1450.00,10300
7-Dec-17,-,-,-,1475.00,0
6-Dec-17,1475.00,1475.00,1475.00,1475.00,200
5-Dec-17,1495.00,1500.00,1495.00,1500.00,500
4-Dec-17,1500.00,1500.00,1495.00,1495.00,1300
30-Nov-17,1495.00,1495.00,1495.00,1495.00,100
29-Nov-17,1495.00,1520.00,1470.00,1470.00,23900
28-Nov-17,1480.00,1500.00,1470.00,1470.00,15200
27-Nov-17,1505.00,1505.00,1480.00,1480.00,8100
24-Nov-17,1520.00,1520.00,1520.00,1520.00,20000
23-Nov-17,1520.00,1520.00,1510.00,1510.00,1900
22-Nov-17,1515.00,1520.00,1515.00,1520.00,3500
21-Nov-17,1520.00,1520.00,1510.00,1520.00,2100
20-Nov-17,1520.00,1520.00,1520.00,1520.00,2500
17-Nov-17,1545.00,1545.00,1510.00,1520.00,4700
16-Nov-17,1530.00,1555.00,1530.00,1545.00,600
15-Nov-17,1565.00,1565.00,1515.00,1540.00,6200
14-Nov-17,1510.00,1565.00,1510.00,1565.00,2900
13-Nov-17,1610.00,1610.00,1575.00,1575.00,3800
10-Nov-17,1570.00,1620.00,1570.00,1600.00,8400
9-Nov-17,-,-,-,1720.00,0
8-Nov-17,1580.00,1720.00,1530.00,1720.00,2800
7-Nov-17,1555.00,1590.00,1555.00,1580.00,1000
6-Nov-17,1540.00,1555.00,1540.00,1555.00,800
3-Nov-17,1550.00,1550.00,1540.00,1540.00,2400
2-Nov-17,1600.00,1600.00,1560.00,1560.00,1100
1-Nov-17,1600.00,1600.00,1600.00,1600.00,2100
31-Oct-17,1610.00,1610.00,1610.00,1610.00,4000
30-Oct-17,1610.00,1700.00,1610.00,1700.00,4200
27-Oct-17,-,-,-,1610.00,0
26-Oct-17,-,-,-,1610.00,0
25-Oct-17,-,-,-,1610.00,0
24-Oct-17,1600.00,1610.00,1600.00,1610.00,1200
23-Oct-17,1600.00,1600.00,1600.00,1600.00,100
20-Oct-17,1610.00,1610.00,1610.00,1610.00,100
19-Oct-17,1610.00,1610.00,1610.00,1610.00,100
18-Oct-17,1565.00,1565.00,1550.00,1550.00,300
17-Oct-17,1610.00,1610.00,1610.00,1610.00,100
16-Oct-17,-,-,-,1610.00,0
13-Oct-17,1610.00,1610.00,1610.00,1610.00,200
12-Oct-17,1600.00,1600.00,1600.00,1600.00,800
11-Oct-17,1650.00,1650.00,1640.00,1640.00,600
10-Oct-17,1650.00,1650.00,1650.00,1650.00,900
9-Oct-17,-,-,-,1650.00,0
6-Oct-17,-,-,-,1650.00,0
5-Oct-17,-,-,-,1650.00,0
4-Oct-17,-,-,-,1650.00,0
3-Oct-17,-,-,-,1650.00,0
2-Oct-17,-,-,-,1650.00,0
29-Sep-17,1525.00,1650.00,1500.00,1650.00,1100
28-Sep-17,1530.00,1750.00,1530.00,1570.00,1300
27-Sep-17,1535.00,1535.00,1535.00,1535.00,100
26-Sep-17,-,-,-,1585.00,0
25-Sep-17,1575.00,1590.00,1575.00,1585.00,300
22-Sep-17,-,-,-,1600.00,0
20-Sep-17,1560.00,1600.00,1560.00,1600.00,13200
19-Sep-17,1580.00,1645.00,1580.00,1645.00,400
18-Sep-17,1590.00,1590.00,1590.00,1590.00,100
15-Sep-17,-,-,-,1550.00,0
14-Sep-17,1550.00,1550.00,1550.00,1550.00,1800
13-Sep-17,-,-,-,1580.00,0
12-Sep-17,-,-,-,1580.00,0
11-Sep-17,-,-,-,1580.00,0
8-Sep-17,-,-,-,1580.00,0
7-Sep-17,1580.00,1580.00,1580.00,1580.00,100
6-Sep-17,-,-,-,1585.00,0
5-Sep-17,-,-,-,1585.00,0
4-Sep-17,1550.00,1585.00,1500.00,1585.00,9500
31-Aug-17,1570.00,1570.00,1550.00,1550.00,102000
30-Aug-17,1575.00,1575.00,1575.00,1575.00,100
29-Aug-17,1580.00,1580.00,1580.00,1580.00,1000
28-Aug-17,1580.00,1580.00,1580.00,1580.00,100
25-Aug-17,1580.00,1580.00,1580.00,1580.00,100
24-Aug-17,1620.00,1620.00,1620.00,1620.00,100
23-Aug-17,1585.00,1585.00,1580.00,1580.00,500
22-Aug-17,1605.00,1605.00,1605.00,1605.00,700
21-Aug-17,1640.00,1650.00,1640.00,1650.00,5900
18-Aug-17,1610.00,1640.00,1610.00,1640.00,200
16-Aug-17,1610.00,1610.00,1610.00,1610.00,100
15-Aug-17,1625.00,1670.00,1610.00,1610.00,3200
14-Aug-17,1580.00,1640.00,1580.00,1640.00,200
11-Aug-17,1590.00,1660.00,1590.00,1625.00,400
10-Aug-17,-,-,-,1640.00,0
9-Aug-17,1670.00,1670.00,1640.00,1640.00,200
8-Aug-17,1610.00,1615.00,1600.00,1600.00,10400
7-Aug-17,1675.00,1675.00,1600.00,1600.00,441100
4-Aug-17,1670.00,1715.00,1670.00,1715.00,200
3-Aug-17,1675.00,1710.00,1675.00,1700.00,900
2-Aug-17,1675.00,1715.00,1675.00,1710.00,400
1-Aug-17,1710.00,1715.00,1675.00,1715.00,2600
31-Jul-17,1710.00,1710.00,1675.00,1675.00,200
28-Jul-17,-,-,-,1700.00,0
27-Jul-17,1680.00,1700.00,1670.00,1700.00,400
26-Jul-17,1740.00,1775.00,1710.00,1710.00,1800
25-Jul-17,1650.00,1650.00,1650.00,1650.00,100
24-Jul-17,1670.00,1710.00,1670.00,1670.00,1100
21-Jul-17,1700.00,1720.00,1695.00,1695.00,600
20-Jul-17,1670.00,1720.00,1670.00,1715.00,500
19-Jul-17,1675.00,1715.00,1675.00,1700.00,1400
18-Jul-17,1670.00,1730.00,1670.00,1710.00,800
17-Jul-17,-,-,-,1720.00,0
14-Jul-17,1720.00,1720.00,1720.00,1720.00,100
13-Jul-17,1720.00,1725.00,1700.00,1700.00,400
12-Jul-17,1720.00,1720.00,1700.00,1700.00,200
11-Jul-17,1700.00,1700.00,1700.00,1700.00,1000
10-Jul-17,-,-,-,1700.00,0
7-Jul-17,-,-,-,1700.00,0
6-Jul-17,1705.00,1725.00,1700.00,1700.00,700
5-Jul-17,1700.00,1750.00,1700.00,1750.00,700
4-Jul-17,-,-,-,1740.00,0
3-Jul-17,-,-,-,1740.00,0
22-Jun-17,-,-,-,1740.00,0
21-Jun-17,1740.00,1740.00,1740.00,1740.00,500
20-Jun-17,1700.00,1750.00,1670.00,1750.00,300
19-Jun-17,-,-,-,1750.00,0
16-Jun-17,-,-,-,1750.00,0
15-Jun-17,1750.00,1750.00,1590.00,1750.00,300
14-Jun-17,1750.00,1750.00,1550.00,1720.00,1100
13-Jun-17,-,-,-,1720.00,0
12-Jun-17,-,-,-,1720.00,0
9-Jun-17,-,-,-,1720.00,0
8-Jun-17,-,-,-,1720.00,0
7-Jun-17,-,-,-,1720.00,0
6-Jun-17,-,-,-,1720.00,0
5-Jun-17,1650.00,1720.00,1650.00,1720.00,53100
2-Jun-17,1740.00,1740.00,1740.00,1740.00,500
31-May-17,1725.00,1750.00,1725.00,1750.00,20000
