Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,8000
28-Dec-17,50.00,50.00,50.00,50.00,5600
27-Dec-17,50.00,50.00,50.00,50.00,10000
22-Dec-17,50.00,50.00,50.00,50.00,1100
21-Dec-17,50.00,50.00,50.00,50.00,100
20-Dec-17,50.00,50.00,50.00,50.00,2100
19-Dec-17,50.00,50.00,50.00,50.00,100
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,-,-,-,50.00,0
13-Dec-17,-,-,-,50.00,0
12-Dec-17,-,-,-,50.00,0
11-Dec-17,-,-,-,50.00,0
8-Dec-17,-,-,-,50.00,0
7-Dec-17,-,-,-,50.00,0
6-Dec-17,-,-,-,50.00,0
5-Dec-17,-,-,-,50.00,0
4-Dec-17,50.00,50.00,50.00,50.00,200
30-Nov-17,50.00,50.00,50.00,50.00,100
29-Nov-17,50.00,50.00,50.00,50.00,100
28-Nov-17,50.00,50.00,50.00,50.00,300
27-Nov-17,50.00,50.00,50.00,50.00,280100
24-Nov-17,-,-,-,50.00,0
23-Nov-17,-,-,-,50.00,0
22-Nov-17,-,-,-,50.00,0
21-Nov-17,-,-,-,50.00,0
20-Nov-17,50.00,50.00,50.00,50.00,200
17-Nov-17,50.00,50.00,50.00,50.00,100
16-Nov-17,-,-,-,50.00,0
15-Nov-17,-,-,-,50.00,0
14-Nov-17,-,-,-,50.00,0
13-Nov-17,-,-,-,50.00,0
10-Nov-17,50.00,50.00,50.00,50.00,100
9-Nov-17,50.00,50.00,50.00,50.00,20100
8-Nov-17,50.00,50.00,50.00,50.00,100
7-Nov-17,50.00,50.00,50.00,50.00,600
6-Nov-17,50.00,50.00,50.00,50.00,100
3-Nov-17,-,-,-,50.00,0
2-Nov-17,50.00,50.00,50.00,50.00,100
1-Nov-17,50.00,50.00,50.00,50.00,200
31-Oct-17,50.00,50.00,50.00,50.00,100
30-Oct-17,50.00,50.00,50.00,50.00,100
27-Oct-17,50.00,50.00,50.00,50.00,100
26-Oct-17,50.00,50.00,50.00,50.00,60400
25-Oct-17,50.00,50.00,50.00,50.00,100
24-Oct-17,50.00,50.00,50.00,50.00,100
23-Oct-17,50.00,50.00,50.00,50.00,100
20-Oct-17,-,-,-,50.00,0
19-Oct-17,-,-,-,50.00,0
18-Oct-17,50.00,50.00,50.00,50.00,100
17-Oct-17,50.00,50.00,50.00,50.00,100
16-Oct-17,50.00,50.00,50.00,50.00,200
13-Oct-17,50.00,50.00,50.00,50.00,2100
12-Oct-17,50.00,50.00,50.00,50.00,100
11-Oct-17,50.00,50.00,50.00,50.00,40000
10-Oct-17,50.00,50.00,50.00,50.00,100
9-Oct-17,50.00,50.00,50.00,50.00,100
6-Oct-17,50.00,50.00,50.00,50.00,600
5-Oct-17,50.00,50.00,50.00,50.00,93200
4-Oct-17,50.00,50.00,50.00,50.00,4600
3-Oct-17,50.00,50.00,50.00,50.00,1600
2-Oct-17,50.00,50.00,50.00,50.00,1500
29-Sep-17,50.00,50.00,50.00,50.00,3400
28-Sep-17,50.00,50.00,50.00,50.00,16300
27-Sep-17,50.00,50.00,50.00,50.00,2100
26-Sep-17,50.00,50.00,50.00,50.00,500
25-Sep-17,50.00,50.00,50.00,50.00,200100
22-Sep-17,50.00,50.00,50.00,50.00,350200
20-Sep-17,-,-,-,50.00,0
19-Sep-17,50.00,50.00,50.00,50.00,100
18-Sep-17,-,-,-,50.00,0
15-Sep-17,-,-,-,50.00,0
14-Sep-17,-,-,-,50.00,0
13-Sep-17,-,-,-,50.00,0
12-Sep-17,50.00,50.00,50.00,50.00,600
11-Sep-17,50.00,50.00,50.00,50.00,19600
8-Sep-17,50.00,50.00,50.00,50.00,1300
7-Sep-17,50.00,50.00,50.00,50.00,100
6-Sep-17,50.00,50.00,50.00,50.00,42000
5-Sep-17,-,-,-,50.00,0
4-Sep-17,50.00,50.00,50.00,50.00,100
31-Aug-17,50.00,50.00,50.00,50.00,100
30-Aug-17,50.00,50.00,50.00,50.00,1500
29-Aug-17,-,-,-,50.00,0
28-Aug-17,50.00,50.00,50.00,50.00,2400
25-Aug-17,50.00,50.00,50.00,50.00,500
