Date,Open,High,Low,Close,Volume
29-Dec-17,1155.00,1160.00,1135.00,1140.00,3228600
28-Dec-17,1160.00,1160.00,1150.00,1160.00,1039700
27-Dec-17,1185.00,1185.00,1160.00,1160.00,1324800
22-Dec-17,1170.00,1180.00,1165.00,1165.00,221800
21-Dec-17,1150.00,1180.00,1150.00,1175.00,2822300
20-Dec-17,1185.00,1185.00,1145.00,1150.00,4770700
19-Dec-17,1170.00,1185.00,1160.00,1185.00,2515700
18-Dec-17,1165.00,1170.00,1155.00,1160.00,1479700
15-Dec-17,1160.00,1165.00,1150.00,1165.00,275500
14-Dec-17,1155.00,1170.00,1155.00,1160.00,1166500
13-Dec-17,1140.00,1160.00,1140.00,1150.00,354600
12-Dec-17,1120.00,1170.00,1110.00,1140.00,4840200
11-Dec-17,1175.00,1175.00,1110.00,1115.00,4459300
8-Dec-17,1185.00,1195.00,1165.00,1175.00,1660600
7-Dec-17,1185.00,1200.00,1185.00,1185.00,1961000
6-Dec-17,1190.00,1200.00,1175.00,1185.00,1207200
5-Dec-17,1195.00,1205.00,1170.00,1190.00,3035700
4-Dec-17,1230.00,1280.00,1185.00,1190.00,4095900
30-Nov-17,1170.00,1330.00,1170.00,1330.00,5489200
29-Nov-17,1150.00,1180.00,1150.00,1170.00,2114500
28-Nov-17,1165.00,1175.00,1150.00,1150.00,1097000
27-Nov-17,1185.00,1190.00,1160.00,1165.00,2718700
24-Nov-17,1170.00,1190.00,1165.00,1175.00,1276500
23-Nov-17,1170.00,1180.00,1165.00,1165.00,845100
22-Nov-17,1215.00,1220.00,1155.00,1170.00,4010800
21-Nov-17,1230.00,1240.00,1205.00,1215.00,1233000
20-Nov-17,1235.00,1240.00,1230.00,1230.00,412600
17-Nov-17,1235.00,1240.00,1230.00,1235.00,1186100
16-Nov-17,1240.00,1245.00,1230.00,1235.00,7978000
15-Nov-17,1240.00,1255.00,1230.00,1240.00,7239000
14-Nov-17,1225.00,1240.00,1215.00,1230.00,5516900
13-Nov-17,1230.00,1245.00,1220.00,1230.00,2447100
10-Nov-17,1240.00,1255.00,1220.00,1230.00,4744600
9-Nov-17,1250.00,1260.00,1230.00,1240.00,9573800
8-Nov-17,1160.00,1255.00,1160.00,1250.00,21723200
7-Nov-17,1150.00,1160.00,1140.00,1160.00,6176700
6-Nov-17,1120.00,1155.00,1120.00,1150.00,9125100
3-Nov-17,1115.00,1115.00,1090.00,1115.00,1815300
2-Nov-17,1040.00,1110.00,1040.00,1110.00,1393000
1-Nov-17,1090.00,1105.00,1085.00,1090.00,2907400
31-Oct-17,1085.00,1105.00,1085.00,1090.00,2768300
30-Oct-17,1120.00,1130.00,1075.00,1085.00,6713000
27-Oct-17,1110.00,1120.00,1095.00,1105.00,2358800
26-Oct-17,1115.00,1130.00,1110.00,1110.00,1982600
25-Oct-17,1105.00,1130.00,1105.00,1110.00,6325800
24-Oct-17,1100.00,1115.00,1080.00,1105.00,5307700
23-Oct-17,1105.00,1120.00,1100.00,1105.00,6839000
20-Oct-17,1110.00,1125.00,1100.00,1105.00,2547300
19-Oct-17,1120.00,1125.00,1105.00,1105.00,1584500
18-Oct-17,1120.00,1135.00,1105.00,1120.00,1453600
17-Oct-17,1140.00,1140.00,1110.00,1110.00,2286400
16-Oct-17,1145.00,1145.00,1120.00,1140.00,4086700
12-Oct-17,1170.00,1170.00,1140.00,1145.00,1383900
11-Oct-17,1155.00,1165.00,1145.00,1160.00,1583000
10-Oct-17,1150.00,1160.00,1140.00,1145.00,1258300
9-Oct-17,1150.00,1165.00,1140.00,1150.00,3176900
6-Oct-17,1170.00,1170.00,1125.00,1140.00,6757600
5-Oct-17,1200.00,1215.00,1160.00,1170.00,1276200
4-Oct-17,1185.00,1220.00,1185.00,1200.00,11260300
3-Oct-17,1130.00,1195.00,1115.00,1185.00,5855400
2-Oct-17,1130.00,1140.00,1115.00,1130.00,2141500
29-Sep-17,1120.00,1150.00,1100.00,1140.00,1711400
28-Sep-17,1135.00,1140.00,1110.00,1120.00,844500
27-Sep-17,1155.00,1170.00,1125.00,1140.00,1800600
26-Sep-17,1150.00,1180.00,1140.00,1155.00,2348500
25-Sep-17,1195.00,1195.00,1125.00,1155.00,7578300
22-Sep-17,1095.00,1225.00,1095.00,1195.00,25764100
20-Sep-17,1030.00,1105.00,1030.00,1095.00,23605900
19-Sep-17,1035.00,1050.00,1035.00,1040.00,804300
18-Sep-17,1025.00,1045.00,1020.00,1035.00,2190600
15-Sep-17,1020.00,1070.00,1020.00,1025.00,3999600
14-Sep-17,1030.00,1035.00,1020.00,1020.00,2009100
13-Sep-17,1030.00,1035.00,1020.00,1020.00,264800
12-Sep-17,1050.00,1050.00,1020.00,1025.00,1584200
11-Sep-17,1045.00,1060.00,1045.00,1050.00,2784800
8-Sep-17,1025.00,1060.00,1025.00,1045.00,3157800
7-Sep-17,1015.00,1025.00,1015.00,1025.00,440600
6-Sep-17,1020.00,1030.00,1010.00,1015.00,1174400
5-Sep-17,1045.00,1045.00,1010.00,1020.00,2954600
4-Sep-17,1070.00,1070.00,1045.00,1045.00,5508300
31-Aug-17,1070.00,1070.00,1065.00,1070.00,388700
30-Aug-17,1070.00,1070.00,1060.00,1070.00,397500
29-Aug-17,1060.00,1075.00,1055.00,1060.00,4161000
28-Aug-17,1060.00,1065.00,1055.00,1060.00,493600
25-Aug-17,1060.00,1075.00,1055.00,1060.00,1404200
24-Aug-17,1060.00,1065.00,1055.00,1060.00,4984400
23-Aug-17,1060.00,1070.00,1055.00,1060.00,825300
22-Aug-17,1055.00,1065.00,1050.00,1050.00,1529700
21-Aug-17,1070.00,1070.00,1050.00,1055.00,3942600
18-Aug-17,1065.00,1080.00,1060.00,1070.00,735200
16-Aug-17,1065.00,1070.00,1060.00,1065.00,643100
15-Aug-17,1070.00,1075.00,1055.00,1070.00,626100
14-Aug-17,1060.00,1075.00,1050.00,1065.00,709900
11-Aug-17,1085.00,1100.00,1045.00,1055.00,5410700
10-Aug-17,1060.00,1090.00,1060.00,1085.00,2738200
9-Aug-17,1040.00,1065.00,1030.00,1060.00,8654500
8-Aug-17,1055.00,1060.00,1035.00,1040.00,4316100
7-Aug-17,1065.00,1065.00,1040.00,1040.00,5123100
4-Aug-17,1065.00,1065.00,1050.00,1065.00,125200
3-Aug-17,1075.00,1075.00,1040.00,1065.00,7874400
2-Aug-17,1090.00,1090.00,1080.00,1080.00,1781200
1-Aug-17,1085.00,1115.00,1080.00,1090.00,2683800
31-Jul-17,1085.00,1090.00,1080.00,1085.00,2505300
28-Jul-17,1105.00,1120.00,1085.00,1085.00,2079000
