Date,Open,High,Low,Close,Volume
29-Dec-17,880.00,895.00,880.00,880.00,194100
28-Dec-17,890.00,890.00,880.00,880.00,395500
27-Dec-17,885.00,900.00,880.00,885.00,40400
22-Dec-17,890.00,895.00,885.00,885.00,38300
21-Dec-17,885.00,895.00,880.00,890.00,84400
20-Dec-17,885.00,895.00,880.00,885.00,257900
19-Dec-17,900.00,900.00,885.00,885.00,58000
18-Dec-17,885.00,895.00,880.00,885.00,830800
15-Dec-17,880.00,885.00,880.00,880.00,72000
14-Dec-17,880.00,885.00,870.00,880.00,324800
13-Dec-17,875.00,875.00,860.00,870.00,62800
12-Dec-17,870.00,870.00,855.00,860.00,232900
11-Dec-17,875.00,875.00,865.00,870.00,18500
8-Dec-17,880.00,880.00,865.00,865.00,60300
7-Dec-17,880.00,895.00,860.00,880.00,67200
6-Dec-17,860.00,915.00,860.00,880.00,3599500
5-Dec-17,870.00,870.00,850.00,860.00,72700
4-Dec-17,870.00,870.00,865.00,865.00,20200
30-Nov-17,870.00,870.00,860.00,865.00,35700
29-Nov-17,870.00,870.00,860.00,860.00,38600
28-Nov-17,870.00,870.00,860.00,870.00,332000
27-Nov-17,865.00,880.00,855.00,870.00,187500
24-Nov-17,860.00,875.00,860.00,865.00,34700
23-Nov-17,860.00,870.00,845.00,870.00,156300
22-Nov-17,845.00,870.00,840.00,860.00,42300
21-Nov-17,870.00,875.00,845.00,850.00,78900
20-Nov-17,875.00,875.00,855.00,860.00,273800
17-Nov-17,865.00,885.00,865.00,875.00,32800
16-Nov-17,875.00,890.00,865.00,865.00,267100
15-Nov-17,875.00,890.00,870.00,875.00,884900
14-Nov-17,875.00,880.00,870.00,875.00,189800
13-Nov-17,875.00,880.00,860.00,880.00,217000
10-Nov-17,875.00,875.00,870.00,875.00,78500
9-Nov-17,870.00,880.00,855.00,875.00,95200
8-Nov-17,855.00,885.00,855.00,870.00,347200
7-Nov-17,850.00,865.00,850.00,850.00,1071400
6-Nov-17,850.00,870.00,845.00,855.00,995100
3-Nov-17,850.00,850.00,830.00,850.00,112200
2-Nov-17,850.00,865.00,830.00,860.00,916700
1-Nov-17,840.00,845.00,835.00,840.00,85600
31-Oct-17,835.00,840.00,830.00,840.00,44200
30-Oct-17,835.00,835.00,835.00,835.00,200
27-Oct-17,830.00,840.00,830.00,830.00,325600
26-Oct-17,830.00,830.00,820.00,830.00,23400
25-Oct-17,830.00,835.00,830.00,835.00,322100
24-Oct-17,830.00,840.00,830.00,835.00,53900
23-Oct-17,840.00,840.00,830.00,835.00,3100
20-Oct-17,825.00,835.00,825.00,835.00,4100
19-Oct-17,835.00,835.00,825.00,830.00,72200
18-Oct-17,830.00,840.00,830.00,830.00,45500
17-Oct-17,830.00,845.00,825.00,830.00,1991100
16-Oct-17,820.00,830.00,820.00,825.00,46900
13-Oct-17,820.00,825.00,815.00,825.00,4800
12-Oct-17,815.00,825.00,815.00,815.00,24300
11-Oct-17,815.00,825.00,815.00,820.00,57000
10-Oct-17,820.00,830.00,815.00,815.00,50200
9-Oct-17,835.00,840.00,820.00,820.00,108400
6-Oct-17,830.00,835.00,815.00,835.00,46100
5-Oct-17,830.00,840.00,825.00,830.00,131900
4-Oct-17,825.00,835.00,810.00,835.00,31700
3-Oct-17,825.00,830.00,815.00,830.00,40800
2-Oct-17,815.00,830.00,810.00,815.00,26500
