Date,Open,High,Low,Close,Volume
29-Dec-17,4100.00,4170.00,4050.00,4050.00,16102200
28-Dec-17,3970.00,4100.00,3970.00,4100.00,23295800
27-Dec-17,3970.00,4010.00,3960.00,3960.00,18574500
22-Dec-17,3900.00,3960.00,3900.00,3960.00,15297800
21-Dec-17,3910.00,3910.00,3880.00,3890.00,23840300
20-Dec-17,3910.00,3920.00,3900.00,3910.00,22608300
19-Dec-17,3820.00,3910.00,3780.00,3900.00,21468600
18-Dec-17,3810.00,3830.00,3800.00,3820.00,26512100
15-Dec-17,3810.00,3820.00,3800.00,3800.00,21343500
14-Dec-17,3810.00,3810.00,3790.00,3800.00,34154200
13-Dec-17,3790.00,3820.00,3780.00,3810.00,31111600
12-Dec-17,3810.00,3810.00,3770.00,3780.00,24841200
11-Dec-17,3720.00,3800.00,3720.00,3800.00,29760400
8-Dec-17,3700.00,3730.00,3690.00,3720.00,26202100
7-Dec-17,3600.00,3690.00,3600.00,3690.00,30386600
6-Dec-17,3590.00,3590.00,3570.00,3590.00,21493900
5-Dec-17,3620.00,3620.00,3580.00,3590.00,19188600
4-Dec-17,3650.00,3650.00,3600.00,3620.00,25737500
30-Nov-17,3330.00,3750.00,3300.00,3750.00,26204300
29-Nov-17,3340.00,3350.00,3330.00,3330.00,19703600
28-Nov-17,3320.00,3350.00,3310.00,3330.00,27071300
27-Nov-17,3340.00,3340.00,3310.00,3320.00,25439200
24-Nov-17,3340.00,3340.00,3320.00,3340.00,20479600
23-Nov-17,3340.00,3350.00,3330.00,3340.00,24916300
22-Nov-17,3340.00,3350.00,3330.00,3340.00,28598800
21-Nov-17,3360.00,3360.00,3340.00,3340.00,26286900
20-Nov-17,3410.00,3410.00,3350.00,3350.00,21400000
17-Nov-17,3370.00,3410.00,3370.00,3400.00,29455600
16-Nov-17,3300.00,3360.00,3300.00,3360.00,24985300
15-Nov-17,3280.00,3310.00,3270.00,3290.00,26910200
14-Nov-17,3290.00,3290.00,3270.00,3280.00,36713000
13-Nov-17,3260.00,3280.00,3250.00,3280.00,26135700
10-Nov-17,3260.00,3280.00,3250.00,3260.00,23285100
9-Nov-17,3270.00,3280.00,3260.00,3260.00,22340000
8-Nov-17,3270.00,3280.00,3240.00,3260.00,31364400
7-Nov-17,3300.00,3300.00,3260.00,3270.00,28697600
6-Nov-17,3310.00,3330.00,3280.00,3290.00,29783000
3-Nov-17,3300.00,3320.00,3290.00,3320.00,27427100
2-Nov-17,3340.00,3340.00,3280.00,3290.00,29862100
1-Nov-17,3360.00,3360.00,3320.00,3330.00,31077600
31-Oct-17,3290.00,3360.00,3270.00,3350.00,37177300
30-Oct-17,3260.00,3290.00,3260.00,3280.00,29290000
27-Oct-17,3270.00,3270.00,3240.00,3250.00,33545600
26-Oct-17,3270.00,3280.00,3260.00,3260.00,33234200
25-Oct-17,3240.00,3270.00,3240.00,3260.00,32801800
24-Oct-17,3230.00,3240.00,3230.00,3230.00,27200500
23-Oct-17,3250.00,3250.00,3230.00,3230.00,33767200
20-Oct-17,3230.00,3260.00,3230.00,3240.00,29409000
19-Oct-17,3220.00,3240.00,3220.00,3230.00,31280200
18-Oct-17,3230.00,3240.00,3210.00,3210.00,32207100
17-Oct-17,3230.00,3250.00,3220.00,3220.00,35349100
