Date,Open,High,Low,Close,Volume
29-Dec-17,1295.00,1305.00,1270.00,1300.00,838400
28-Dec-17,1255.00,1320.00,1255.00,1295.00,2507500
27-Dec-17,1240.00,1250.00,1200.00,1250.00,38100
22-Dec-17,1235.00,1240.00,1230.00,1240.00,67300
21-Dec-17,1240.00,1240.00,1200.00,1230.00,119900
20-Dec-17,1280.00,1305.00,1200.00,1210.00,256700
19-Dec-17,1250.00,1320.00,1250.00,1280.00,597700
18-Dec-17,1360.00,1360.00,1295.00,1295.00,814300
15-Dec-17,1375.00,1375.00,1315.00,1350.00,159800
14-Dec-17,1315.00,1390.00,1300.00,1375.00,977400
13-Dec-17,1300.00,1310.00,1250.00,1310.00,1439400
12-Dec-17,1310.00,1310.00,1295.00,1310.00,780600
11-Dec-17,1260.00,1335.00,1260.00,1310.00,1190400
8-Dec-17,1270.00,1275.00,1255.00,1260.00,822300
7-Dec-17,1285.00,1285.00,1255.00,1265.00,1840700
6-Dec-17,1300.00,1300.00,1280.00,1285.00,3710500
5-Dec-17,1240.00,1305.00,1235.00,1300.00,3104900
4-Dec-17,1150.00,1240.00,1150.00,1240.00,1850100
30-Nov-17,1160.00,1165.00,1150.00,1160.00,800300
29-Nov-17,1150.00,1200.00,1145.00,1165.00,1879900
28-Nov-17,1150.00,1150.00,1145.00,1145.00,2841600
27-Nov-17,1160.00,1160.00,1135.00,1155.00,1437000
24-Nov-17,1145.00,1170.00,1130.00,1145.00,624300
23-Nov-17,1135.00,1150.00,1115.00,1130.00,2900
22-Nov-17,1160.00,1160.00,1135.00,1135.00,16500
21-Nov-17,1160.00,1170.00,1090.00,1160.00,372900
20-Nov-17,1150.00,1165.00,1150.00,1155.00,302500
17-Nov-17,1105.00,1155.00,1105.00,1150.00,78000
16-Nov-17,1080.00,1170.00,1080.00,1155.00,1188100
15-Nov-17,1105.00,1130.00,1100.00,1125.00,45400
14-Nov-17,1100.00,1160.00,1085.00,1130.00,941600
13-Nov-17,1100.00,1100.00,1080.00,1085.00,1036100
10-Nov-17,1085.00,1100.00,1085.00,1090.00,18100
9-Nov-17,1100.00,1100.00,1080.00,1085.00,599200
8-Nov-17,1095.00,1100.00,1090.00,1090.00,422900
7-Nov-17,1090.00,1100.00,1080.00,1100.00,1530500
6-Nov-17,1100.00,1100.00,1085.00,1095.00,92000
3-Nov-17,1090.00,1100.00,1085.00,1100.00,113800
2-Nov-17,1125.00,1125.00,1100.00,1100.00,8300
1-Nov-17,1125.00,1135.00,1090.00,1120.00,31800
31-Oct-17,1125.00,1125.00,1080.00,1095.00,214000
30-Oct-17,1090.00,1100.00,1080.00,1090.00,1728900
27-Oct-17,1090.00,1100.00,1090.00,1095.00,1798500
26-Oct-17,1085.00,1095.00,1080.00,1095.00,233300
25-Oct-17,1095.00,1095.00,1080.00,1095.00,1024500
24-Oct-17,1080.00,1115.00,1080.00,1095.00,841500
