Date,Open,High,Low,Close,Volume
29-Dec-17,242.00,260.00,240.00,256.00,26400
28-Dec-17,260.00,262.00,242.00,244.00,56200
27-Dec-17,252.00,252.00,232.00,242.00,19200
22-Dec-17,250.00,266.00,250.00,252.00,36400
21-Dec-17,270.00,290.00,252.00,258.00,109100
20-Dec-17,310.00,320.00,276.00,276.00,758300
19-Dec-17,240.00,300.00,230.00,300.00,532300
18-Dec-17,250.00,260.00,230.00,240.00,128800
15-Dec-17,270.00,270.00,246.00,260.00,109600
14-Dec-17,270.00,282.00,270.00,270.00,49300
13-Dec-17,300.00,300.00,270.00,284.00,179300
12-Dec-17,304.00,324.00,290.00,304.00,572200
11-Dec-17,258.00,322.00,254.00,306.00,502400
8-Dec-17,266.00,272.00,250.00,258.00,194500
7-Dec-17,348.00,356.00,276.00,278.00,488000
6-Dec-17,374.00,400.00,316.00,348.00,845300
5-Dec-17,420.00,420.00,350.00,374.00,357300
4-Dec-17,400.00,436.00,390.00,410.00,338200
30-Nov-17,416.00,450.00,380.00,396.00,1274400
29-Nov-17,352.00,436.00,352.00,416.00,1236800
28-Nov-17,418.00,418.00,350.00,350.00,534500
27-Nov-17,428.00,500.00,350.00,418.00,1112800
24-Nov-17,330.00,400.00,308.00,400.00,1548100
23-Nov-17,320.00,340.00,274.00,320.00,441500
22-Nov-17,336.00,402.00,320.00,320.00,1544800
21-Nov-17,268.00,324.00,268.00,324.00,790600
20-Nov-17,195.00,260.00,195.00,260.00,1111600
17-Nov-17,193.00,194.00,192.00,194.00,20100
16-Nov-17,193.00,193.00,193.00,193.00,3700
15-Nov-17,194.00,194.00,194.00,194.00,200
14-Nov-17,-,-,-,191.00,0
13-Nov-17,191.00,191.00,191.00,191.00,70700
10-Nov-17,191.00,191.00,191.00,191.00,100
9-Nov-17,-,-,-,191.00,0
8-Nov-17,-,-,-,191.00,0
7-Nov-17,200.00,200.00,180.00,191.00,6000
6-Nov-17,200.00,200.00,200.00,200.00,2100
3-Nov-17,-,-,-,199.00,0
2-Nov-17,-,-,-,199.00,0
1-Nov-17,-,-,-,199.00,0
31-Oct-17,199.00,199.00,199.00,199.00,3700
30-Oct-17,210.00,210.00,190.00,199.00,9400
27-Oct-17,228.00,232.00,210.00,210.00,2000
26-Oct-17,-,-,-,228.00,0
25-Oct-17,226.00,228.00,226.00,228.00,8900
24-Oct-17,198.00,228.00,198.00,228.00,62400
23-Oct-17,-,-,-,198.00,0
20-Oct-17,198.00,198.00,198.00,198.00,700
19-Oct-17,193.00,193.00,193.00,193.00,600
18-Oct-17,193.00,193.00,193.00,193.00,1000
17-Oct-17,193.00,193.00,193.00,193.00,1000
16-Oct-17,195.00,195.00,195.00,195.00,100
13-Oct-17,199.00,199.00,199.00,199.00,1200
12-Oct-17,195.00,195.00,194.00,194.00,500
11-Oct-17,195.00,195.00,195.00,195.00,29000
10-Oct-17,195.00,195.00,185.00,195.00,56500
9-Oct-17,199.00,199.00,199.00,199.00,200
6-Oct-17,-,-,-,199.00,0
5-Oct-17,200.00,200.00,199.00,199.00,2700
4-Oct-17,190.00,202.00,190.00,202.00,1100
3-Oct-17,200.00,200.00,192.00,192.00,600
2-Oct-17,195.00,200.00,190.00,200.00,1300
29-Sep-17,210.00,210.00,195.00,195.00,300
28-Sep-17,206.00,206.00,190.00,202.00,21800
27-Sep-17,204.00,204.00,200.00,204.00,1500
26-Sep-17,-,-,-,214.00,0
25-Sep-17,-,-,-,214.00,0
22-Sep-17,-,-,-,214.00,0
20-Sep-17,216.00,216.00,214.00,214.00,700
19-Sep-17,200.00,218.00,200.00,216.00,8100
18-Sep-17,220.00,220.00,180.00,200.00,6000
15-Sep-17,220.00,220.00,220.00,220.00,300
14-Sep-17,194.00,194.00,194.00,194.00,200
13-Sep-17,185.00,189.00,185.00,188.00,4600
12-Sep-17,202.00,202.00,195.00,195.00,30600
11-Sep-17,218.00,218.00,204.00,204.00,2400
8-Sep-17,202.00,210.00,202.00,202.00,3500
7-Sep-17,216.00,216.00,202.00,202.00,36900
6-Sep-17,210.00,218.00,200.00,212.00,4100
5-Sep-17,-,-,-,210.00,0
4-Sep-17,-,-,-,210.00,0
31-Aug-17,226.00,226.00,210.00,210.00,6300
30-Aug-17,220.00,226.00,214.00,218.00,40100
29-Aug-17,218.00,220.00,214.00,220.00,47100
28-Aug-17,216.00,228.00,216.00,220.00,28600
25-Aug-17,206.00,230.00,206.00,230.00,42400
24-Aug-17,216.00,216.00,202.00,206.00,46900
23-Aug-17,230.00,230.00,202.00,206.00,121300
22-Aug-17,220.00,246.00,206.00,230.00,1063500
21-Aug-17,170.00,218.00,170.00,218.00,802700
18-Aug-17,160.00,179.00,158.00,170.00,140600
16-Aug-17,158.00,159.00,156.00,158.00,86600
15-Aug-17,148.00,152.00,148.00,148.00,164700
14-Aug-17,149.00,152.00,147.00,152.00,40600
11-Aug-17,-,-,-,144.00,0
10-Aug-17,150.00,150.00,144.00,144.00,7300
9-Aug-17,140.00,148.00,140.00,148.00,27200
8-Aug-17,140.00,148.00,140.00,148.00,400
7-Aug-17,150.00,150.00,145.00,150.00,151100
