Date,Open,High,Low,Close,Volume
29-Dec-17,2510.00,2510.00,2450.00,2460.00,16900100
28-Dec-17,2520.00,2540.00,2490.00,2500.00,13912700
27-Dec-17,2520.00,2580.00,2500.00,2510.00,20194800
22-Dec-17,2540.00,2590.00,2520.00,2520.00,25920200
21-Dec-17,2440.00,2570.00,2440.00,2550.00,59619100
20-Dec-17,2460.00,2490.00,2410.00,2460.00,46183200
19-Dec-17,2260.00,2490.00,2260.00,2460.00,79232400
18-Dec-17,2290.00,2290.00,2240.00,2260.00,10645100
15-Dec-17,2250.00,2290.00,2240.00,2280.00,12516000
14-Dec-17,2260.00,2290.00,2230.00,2240.00,17020600
13-Dec-17,2220.00,2255.00,2220.00,2240.00,24227500
12-Dec-17,2185.00,2210.00,2185.00,2200.00,10400000
11-Dec-17,2220.00,2225.00,2160.00,2185.00,10623000
8-Dec-17,2200.00,2235.00,2175.00,2210.00,9609000
7-Dec-17,2220.00,2250.00,2185.00,2190.00,7092000
6-Dec-17,2255.00,2260.00,2220.00,2220.00,6521500
5-Dec-17,2315.00,2315.00,2205.00,2240.00,18458000
4-Dec-17,2260.00,2315.00,2250.00,2295.00,26462500
30-Nov-17,2270.00,2290.00,2250.00,2250.00,20424000
29-Nov-17,2200.00,2295.00,2195.00,2250.00,29830500
28-Nov-17,2210.00,2210.00,2160.00,2170.00,12267000
27-Nov-17,2180.00,2220.00,2180.00,2180.00,11467500
24-Nov-17,2180.00,2190.00,2145.00,2160.00,9817500
23-Nov-17,2200.00,2230.00,2175.00,2180.00,6401500
22-Nov-17,2155.00,2240.00,2155.00,2210.00,14066500
21-Nov-17,2235.00,2235.00,2135.00,2155.00,22291500
20-Nov-17,2240.00,2265.00,2230.00,2235.00,7342000
17-Nov-17,2225.00,2260.00,2225.00,2240.00,15407500
16-Nov-17,2220.00,2260.00,2195.00,2225.00,27644000
15-Nov-17,2350.00,2350.00,2160.00,2245.00,50945500
14-Nov-17,2400.00,2410.00,2350.00,2360.00,13632000
13-Nov-17,2370.00,2400.00,2360.00,2400.00,6301500
10-Nov-17,2360.00,2395.00,2360.00,2375.00,6614500
9-Nov-17,2350.00,2410.00,2350.00,2360.00,14260500
8-Nov-17,2420.00,2420.00,2350.00,2350.00,21642500
7-Nov-17,2310.00,2415.00,2295.00,2410.00,40732500
6-Nov-17,2310.00,2320.00,2265.00,2280.00,14087000
3-Nov-17,2270.00,2320.00,2270.00,2310.00,7655000
2-Nov-17,2350.00,2350.00,2285.00,2315.00,9622500
1-Nov-17,2310.00,2345.00,2290.00,2335.00,15759500
31-Oct-17,2290.00,2325.00,2275.00,2295.00,42394000
30-Oct-17,2210.00,2285.00,2190.00,2285.00,38236000
27-Oct-17,2220.00,2230.00,2150.00,2185.00,15542500
26-Oct-17,2165.00,2225.00,2155.00,2205.00,29502000
25-Oct-17,2170.00,2170.00,2135.00,2145.00,7113500
24-Oct-17,2120.00,2170.00,2090.00,2160.00,23769500
23-Oct-17,2130.00,2190.00,2130.00,2140.00,17635500
20-Oct-17,2230.00,2235.00,2120.00,2120.00,36807000
19-Oct-17,2240.00,2260.00,2190.00,2200.00,18423500
18-Oct-17,2150.00,2205.00,2140.00,2185.00,21116500
17-Oct-17,2140.00,2165.00,2125.00,2150.00,15796000
16-Oct-17,2225.00,2235.00,2125.00,2130.00,21777500
13-Oct-17,2255.00,2265.00,2205.00,2215.00,14420500
12-Oct-17,2250.00,2275.00,2230.00,2240.00,12056000
11-Oct-17,2180.00,2255.00,2165.00,2255.00,27816500
10-Oct-17,2230.00,2230.00,2170.00,2170.00,10635000
9-Oct-17,2220.00,2235.00,2170.00,2205.00,12238000
6-Oct-17,2180.00,2240.00,2180.00,2220.00,34677500
5-Oct-17,2160.00,2200.00,2135.00,2165.00,37973500
4-Oct-17,2120.00,2155.00,2115.00,2130.00,24009000
3-Oct-17,2030.00,2130.00,2000.00,2120.00,42329500
2-Oct-17,2095.00,2130.00,2000.00,2010.00,24891500
29-Sep-17,2000.00,2100.00,1980.00,2090.00,49633500
28-Sep-17,1830.00,2075.00,1810.00,2000.00,109677000
27-Sep-17,1920.00,1920.00,1840.00,1845.00,53720500
26-Sep-17,1995.00,2020.00,1980.00,1980.00,6123500
25-Sep-17,2060.00,2065.00,1990.00,1995.00,15406500
22-Sep-17,2080.00,2085.00,2030.00,2055.00,9854000
20-Sep-17,2090.00,2105.00,2070.00,2085.00,17656000
19-Sep-17,2095.00,2095.00,2055.00,2090.00,20837500
18-Sep-17,1975.00,2085.00,1930.00,2075.00,67341000
15-Sep-17,2020.00,2030.00,1860.00,1925.00,107659500
14-Sep-17,2080.00,2165.00,1985.00,1995.00,89501500
13-Sep-17,2430.00,2430.00,2005.00,2015.00,100979500
12-Sep-17,2500.00,2515.00,2435.00,2435.00,5538500
11-Sep-17,2480.00,2505.00,2465.00,2470.00,6431500
8-Sep-17,2460.00,2495.00,2435.00,2475.00,6928500
7-Sep-17,2460.00,2475.00,2420.00,2420.00,8758500
6-Sep-17,2435.00,2465.00,2410.00,2455.00,6202000
5-Sep-17,2345.00,2435.00,2320.00,2430.00,12236500
4-Sep-17,2470.00,2475.00,2340.00,2340.00,17044000
31-Aug-17,2495.00,2495.00,2410.00,2475.00,23050500
30-Aug-17,2620.00,2620.00,2470.00,2485.00,24084500
29-Aug-17,2580.00,2610.00,2580.00,2595.00,4295500
28-Aug-17,2640.00,2640.00,2570.00,2575.00,6194500
25-Aug-17,2655.00,2655.00,2605.00,2620.00,4241000
24-Aug-17,2630.00,2660.00,2620.00,2640.00,4306500
23-Aug-17,2640.00,2670.00,2615.00,2630.00,6942500
22-Aug-17,2580.00,2635.00,2550.00,2620.00,12526500
21-Aug-17,2635.00,2640.00,2575.00,2580.00,11180000
18-Aug-17,2650.00,2660.00,2630.00,2630.00,6786000
16-Aug-17,2630.00,2640.00,2610.00,2630.00,7653000
15-Aug-17,2660.00,2670.00,2625.00,2630.00,6951500
14-Aug-17,2690.00,2690.00,2635.00,2645.00,8144500
11-Aug-17,2695.00,2695.00,2640.00,2660.00,4082500
10-Aug-17,2640.00,2700.00,2640.00,2695.00,6608000
9-Aug-17,2735.00,2735.00,2620.00,2620.00,10169000
8-Aug-17,2775.00,2795.00,2695.00,2710.00,9774000
7-Aug-17,2705.00,2775.00,2705.00,2750.00,13476000
4-Aug-17,2685.00,2720.00,2675.00,2705.00,8172500
3-Aug-17,2700.00,2705.00,2660.00,2665.00,3998000
2-Aug-17,2680.00,2710.00,2660.00,2690.00,9006000
1-Aug-17,2680.00,2725.00,2670.00,2675.00,21720000
31-Jul-17,2635.00,2670.00,2620.00,2620.00,15087500
28-Jul-17,2620.00,2640.00,2605.00,2635.00,11724000
27-Jul-17,2620.00,2620.00,2585.00,2595.00,5992500
26-Jul-17,2640.00,2655.00,2580.00,2590.00,9902000
25-Jul-17,2600.00,2620.00,2545.00,2620.00,8530500
24-Jul-17,2620.00,2620.00,2570.00,2600.00,13681000
21-Jul-17,2660.00,2665.00,2605.00,2630.00,11479500
20-Jul-17,2640.00,2675.00,2625.00,2660.00,15483000
19-Jul-17,2575.00,2650.00,2575.00,2640.00,17960500
18-Jul-17,2590.00,2590.00,2555.00,2575.00,4421500
17-Jul-17,2530.00,2600.00,2515.00,2590.00,11377000
14-Jul-17,2480.00,2500.00,2470.00,2500.00,3600500
13-Jul-17,2500.00,2515.00,2470.00,2480.00,7574500
12-Jul-17,2425.00,2500.00,2425.00,2500.00,10080500
11-Jul-17,2415.00,2445.00,2405.00,2410.00,7705500
10-Jul-17,2475.00,2475.00,2410.00,2415.00,6116500
7-Jul-17,2450.00,2490.00,2450.00,2480.00,12074000
6-Jul-17,2460.00,2475.00,2425.00,2450.00,11993500
5-Jul-17,2480.00,2515.00,2410.00,2420.00,22350500
4-Jul-17,2420.00,2490.00,2410.00,2480.00,20594000
3-Jul-17,2360.00,2420.00,2350.00,2410.00,19096500
22-Jun-17,2380.00,2395.00,2340.00,2390.00,30466000
21-Jun-17,2370.00,2370.00,2335.00,2370.00,14777000
20-Jun-17,2310.00,2375.00,2300.00,2370.00,27016000
19-Jun-17,2300.00,2300.00,2265.00,2285.00,5843500
16-Jun-17,2300.00,2320.00,2265.00,2280.00,28463000
15-Jun-17,2300.00,2310.00,2265.00,2280.00,8396500
14-Jun-17,2245.00,2345.00,2245.00,2310.00,31954000
13-Jun-17,2210.00,2245.00,2170.00,2240.00,12987500
12-Jun-17,2250.00,2260.00,2205.00,2210.00,6182500
9-Jun-17,2265.00,2280.00,2235.00,2250.00,11187000
8-Jun-17,2290.00,2300.00,2240.00,2240.00,17213000
7-Jun-17,2235.00,2280.00,2235.00,2275.00,22255000
6-Jun-17,2195.00,2270.00,2180.00,2210.00,52055000
5-Jun-17,2200.00,2205.00,2165.00,2165.00,19864000
2-Jun-17,2185.00,2235.00,2145.00,2160.00,24168000
31-May-17,2140.00,2180.00,2135.00,2180.00,16184500
30-May-17,2130.00,2155.00,2130.00,2130.00,7135500
29-May-17,2170.00,2170.00,2140.00,2145.00,5313000
26-May-17,2125.00,2170.00,2125.00,2150.00,12392500
24-May-17,2160.00,2170.00,2135.00,2150.00,10371000
23-May-17,2180.00,2195.00,2150.00,2155.00,14630500
22-May-17,2200.00,2210.00,2105.00,2150.00,35480000
19-May-17,2140.00,2185.00,2120.00,2160.00,14071000
18-May-17,2115.00,2200.00,2105.00,2120.00,19956500
17-May-17,2180.00,2190.00,2115.00,2115.00,15937500
16-May-17,2200.00,2230.00,2160.00,2170.00,17976000
15-May-17,2205.00,2230.00,2115.00,2175.00,11926500
12-May-17,2210.00,2210.00,2140.00,2195.00,19784500
10-May-17,2275.00,2280.00,2165.00,2170.00,17358000
9-May-17,2320.00,2340.00,2215.00,2275.00,24410000
8-May-17,2330.00,2370.00,2310.00,2330.00,17490500
5-May-17,2380.00,2395.00,2290.00,2300.00,25187500
4-May-17,2500.00,2500.00,2375.00,2375.00,23483500
3-May-17,2470.00,2510.00,2460.00,2475.00,7218500
2-May-17,2485.00,2520.00,2470.00,2470.00,14466500
28-Apr-17,2600.00,2615.00,2535.00,2535.00,27436000
27-Apr-17,2580.00,2585.00,2520.00,2570.00,29942500
26-Apr-17,2540.00,2565.00,2510.00,2535.00,8578500
25-Apr-17,2490.00,2545.00,2465.00,2535.00,17722000
21-Apr-17,2520.00,2545.00,2460.00,2490.00,12470500
20-Apr-17,2520.00,2575.00,2480.00,2520.00,7348000
18-Apr-17,2595.00,2595.00,2485.00,2520.00,15032500
17-Apr-17,2540.00,2595.00,2510.00,2565.00,7094000
13-Apr-17,2470.00,2515.00,2455.00,2500.00,12261500
12-Apr-17,2600.00,2600.00,2395.00,2395.00,16578500
11-Apr-17,2600.00,2640.00,2590.00,2595.00,9105500
10-Apr-17,2620.00,2655.00,2565.00,2605.00,16101500
7-Apr-17,2570.00,2645.00,2570.00,2620.00,13751000
6-Apr-17,2740.00,2740.00,2545.00,2570.00,57325000
5-Apr-17,2795.00,2815.00,2720.00,2750.00,15731500
4-Apr-17,2700.00,2840.00,2700.00,2770.00,33451500
3-Apr-17,2660.00,2695.00,2615.00,2640.00,16592500
31-Mar-17,2600.00,2670.00,2595.00,2640.00,41582500
30-Mar-17,2460.00,2590.00,2460.00,2585.00,36077000
29-Mar-17,2360.00,2470.00,2355.00,2450.00,28844500
27-Mar-17,2365.00,2385.00,2315.00,2350.00,13445000
24-Mar-17,2345.00,2365.00,2340.00,2365.00,13620500
23-Mar-17,2330.00,2370.00,2315.00,2325.00,22271000
22-Mar-17,2250.00,2315.00,2230.00,2315.00,17527000
21-Mar-17,2265.00,2295.00,2265.00,2295.00,10242500
20-Mar-17,2290.00,2315.00,2250.00,2265.00,8506000
17-Mar-17,2290.00,2320.00,2250.00,2285.00,23633000
16-Mar-17,2240.00,2295.00,2220.00,2280.00,46393000
15-Mar-17,2160.00,2190.00,2140.00,2190.00,12552000
14-Mar-17,2110.00,2185.00,2110.00,2160.00,24621000
13-Mar-17,2075.00,2090.00,2040.00,2080.00,16383500
10-Mar-17,2155.00,2155.00,2065.00,2075.00,16143000
9-Mar-17,2150.00,2170.00,2145.00,2170.00,4326000
8-Mar-17,2205.00,2215.00,2160.00,2160.00,7004500
7-Mar-17,2160.00,2220.00,2160.00,2190.00,13180000
6-Mar-17,2195.00,2205.00,2150.00,2150.00,9060500
3-Mar-17,2250.00,2250.00,2175.00,2195.00,11695000
2-Mar-17,2220.00,2255.00,2220.00,2240.00,5842500
