Date,Open,High,Low,Close,Volume
29-Dec-17,1690.00,1690.00,1650.00,1660.00,1079600
28-Dec-17,1725.00,1735.00,1675.00,1685.00,945300
27-Dec-17,1625.00,1725.00,1625.00,1695.00,1994700
22-Dec-17,1685.00,1690.00,1620.00,1625.00,1376800
21-Dec-17,1710.00,1720.00,1680.00,1690.00,1335100
20-Dec-17,1760.00,1760.00,1700.00,1700.00,1628900
19-Dec-17,1770.00,1790.00,1730.00,1760.00,1816700
18-Dec-17,1795.00,1810.00,1760.00,1760.00,1110100
15-Dec-17,1760.00,1810.00,1760.00,1795.00,2931300
14-Dec-17,1800.00,1830.00,1740.00,1755.00,2829600
13-Dec-17,1760.00,1870.00,1760.00,1810.00,5341700
12-Dec-17,1660.00,1760.00,1660.00,1755.00,5173900
11-Dec-17,1580.00,1685.00,1580.00,1660.00,4038900
8-Dec-17,1505.00,1580.00,1505.00,1570.00,1053800
7-Dec-17,1555.00,1555.00,1500.00,1505.00,2103300
6-Dec-17,1600.00,1625.00,1520.00,1560.00,3241700
5-Dec-17,1680.00,1710.00,1540.00,1565.00,3295500
4-Dec-17,1760.00,1780.00,1675.00,1680.00,2462900
30-Nov-17,1775.00,1800.00,1755.00,1760.00,2225300
29-Nov-17,1710.00,1795.00,1710.00,1760.00,3249600
28-Nov-17,1790.00,1840.00,1600.00,1705.00,11769400
27-Nov-17,1880.00,1910.00,1755.00,1780.00,7300900
24-Nov-17,1900.00,1915.00,1870.00,1880.00,2714700
23-Nov-17,1955.00,1975.00,1895.00,1905.00,5436800
22-Nov-17,2000.00,2000.00,1950.00,1955.00,3621600
21-Nov-17,1965.00,1990.00,1945.00,1965.00,4160800
20-Nov-17,1965.00,2000.00,1935.00,1965.00,6427700
17-Nov-17,1865.00,1980.00,1855.00,1955.00,13018900
16-Nov-17,1865.00,1865.00,1800.00,1860.00,7427500
15-Nov-17,1700.00,1860.00,1700.00,1820.00,15847000
14-Nov-17,1730.00,1770.00,1685.00,1700.00,6950700
13-Nov-17,1635.00,1835.00,1625.00,1730.00,28346900
10-Nov-17,1360.00,1660.00,1350.00,1635.00,48914500
9-Nov-17,1295.00,1355.00,1295.00,1355.00,3839700
8-Nov-17,1325.00,1325.00,1295.00,1295.00,1909500
7-Nov-17,1335.00,1355.00,1315.00,1320.00,2725800
6-Nov-17,1310.00,1340.00,1305.00,1315.00,2782200
3-Nov-17,1310.00,1315.00,1290.00,1305.00,1357800
2-Nov-17,1310.00,1360.00,1300.00,1305.00,4803800
1-Nov-17,1330.00,1335.00,1300.00,1305.00,2966800
31-Oct-17,1280.00,1370.00,1270.00,1325.00,4930000
30-Oct-17,1290.00,1290.00,1255.00,1270.00,2394400
27-Oct-17,1270.00,1300.00,1260.00,1265.00,1262200
26-Oct-17,1280.00,1315.00,1260.00,1280.00,4263100
25-Oct-17,1260.00,1280.00,1255.00,1265.00,1532100
24-Oct-17,1270.00,1280.00,1245.00,1260.00,4197500
23-Oct-17,1300.00,1300.00,1255.00,1270.00,2113200
20-Oct-17,1320.00,1325.00,1290.00,1300.00,2577700
19-Oct-17,1380.00,1400.00,1315.00,1320.00,4501800
18-Oct-17,1335.00,1420.00,1305.00,1380.00,8735400
17-Oct-17,1210.00,1320.00,1210.00,1320.00,6614500
16-Oct-17,1215.00,1250.00,1195.00,1210.00,1651300
12-Oct-17,1150.00,1185.00,1135.00,1180.00,1625300
11-Oct-17,1145.00,1155.00,1130.00,1135.00,574900
10-Oct-17,1130.00,1170.00,1125.00,1140.00,830400
9-Oct-17,1155.00,1155.00,1125.00,1135.00,480600
6-Oct-17,1175.00,1190.00,1155.00,1155.00,857500
5-Oct-17,1120.00,1175.00,1120.00,1165.00,2101000
4-Oct-17,1110.00,1140.00,1110.00,1110.00,754400
3-Oct-17,1160.00,1160.00,1090.00,1090.00,1584400
2-Oct-17,1135.00,1150.00,1110.00,1130.00,817700
29-Sep-17,1160.00,1160.00,1130.00,1130.00,1673200
28-Sep-17,1150.00,1175.00,1130.00,1150.00,2087400
27-Sep-17,1180.00,1180.00,1120.00,1150.00,1295300
26-Sep-17,1220.00,1230.00,1160.00,1180.00,1559500
25-Sep-17,1200.00,1285.00,1190.00,1210.00,4379600
22-Sep-17,1200.00,1225.00,1190.00,1195.00,651600
20-Sep-17,1225.00,1270.00,1190.00,1195.00,2236100
19-Sep-17,1125.00,1165.00,1125.00,1215.00,3257700
18-Sep-17,1130.00,1165.00,1125.00,1125.00,2092400
15-Sep-17,1135.00,1165.00,1105.00,1125.00,1164500
14-Sep-17,1195.00,1220.00,1090.00,1135.00,3996900
13-Sep-17,1260.00,1305.00,1150.00,1195.00,4677500
12-Sep-17,1370.00,1380.00,1250.00,1260.00,6872600
11-Sep-17,1310.00,1430.00,1305.00,1345.00,15675600
