Date,Open,High,Low,Close,Volume
29-Dec-17,195.00,195.00,184.00,187.00,61600
28-Dec-17,193.00,193.00,182.00,187.00,159500
27-Dec-17,197.00,197.00,182.00,188.00,484200
22-Dec-17,197.00,197.00,189.00,194.00,90100
21-Dec-17,195.00,195.00,186.00,193.00,91000
20-Dec-17,194.00,195.00,188.00,188.00,257000
19-Dec-17,204.00,204.00,189.00,196.00,440100
18-Dec-17,204.00,208.00,195.00,199.00,487200
15-Dec-17,193.00,210.00,193.00,200.00,815000
14-Dec-17,195.00,197.00,190.00,193.00,205300
13-Dec-17,199.00,200.00,190.00,196.00,219900
12-Dec-17,198.00,198.00,185.00,185.00,207400
11-Dec-17,202.00,204.00,194.00,198.00,189200
8-Dec-17,200.00,204.00,194.00,196.00,359100
7-Dec-17,202.00,202.00,197.00,200.00,21200
6-Dec-17,204.00,208.00,197.00,198.00,667000
5-Dec-17,200.00,208.00,194.00,195.00,325800
4-Dec-17,218.00,218.00,200.00,200.00,429000
30-Nov-17,210.00,234.00,204.00,204.00,1618200
29-Nov-17,210.00,212.00,202.00,206.00,392200
28-Nov-17,212.00,220.00,204.00,204.00,1019500
27-Nov-17,198.00,242.00,198.00,212.00,5703800
24-Nov-17,199.00,204.00,198.00,198.00,129600
23-Nov-17,210.00,210.00,199.00,199.00,347900
22-Nov-17,210.00,210.00,198.00,204.00,859200
21-Nov-17,192.00,216.00,181.00,212.00,1305900
20-Nov-17,212.00,214.00,193.00,204.00,838800
17-Nov-17,258.00,266.00,208.00,210.00,6395600
16-Nov-17,181.00,242.00,181.00,242.00,8061100
15-Nov-17,185.00,185.00,175.00,180.00,598800
14-Nov-17,195.00,195.00,188.00,189.00,38700
13-Nov-17,200.00,200.00,195.00,195.00,45300
10-Nov-17,197.00,197.00,195.00,195.00,49500
9-Nov-17,197.00,197.00,197.00,197.00,28600
8-Nov-17,208.00,208.00,198.00,198.00,112400
7-Nov-17,200.00,200.00,194.00,198.00,15400
6-Nov-17,200.00,200.00,198.00,198.00,71900
3-Nov-17,200.00,200.00,195.00,200.00,8000
2-Nov-17,202.00,202.00,192.00,202.00,211900
1-Nov-17,208.00,208.00,190.00,202.00,225500
31-Oct-17,206.00,206.00,202.00,202.00,80100
30-Oct-17,208.00,212.00,206.00,206.00,345800
27-Oct-17,208.00,212.00,204.00,208.00,168600
26-Oct-17,204.00,220.00,200.00,208.00,330400
25-Oct-17,200.00,208.00,200.00,204.00,109900
24-Oct-17,210.00,214.00,204.00,208.00,92100
23-Oct-17,222.00,222.00,210.00,210.00,95600
20-Oct-17,220.00,222.00,214.00,214.00,163800
19-Oct-17,220.00,224.00,208.00,214.00,182100
18-Oct-17,218.00,226.00,218.00,220.00,572000
17-Oct-17,212.00,218.00,212.00,216.00,90900
16-Oct-17,230.00,230.00,200.00,216.00,299900
13-Oct-17,232.00,240.00,220.00,220.00,745200
12-Oct-17,238.00,242.00,232.00,234.00,209900
11-Oct-17,242.00,250.00,234.00,238.00,313200
10-Oct-17,246.00,256.00,232.00,242.00,963400
9-Oct-17,250.00,254.00,232.00,246.00,664300
6-Oct-17,238.00,268.00,232.00,250.00,2439500
5-Oct-17,214.00,250.00,195.00,238.00,2328200
4-Oct-17,183.00,246.00,173.00,216.00,4804200
3-Oct-17,200.00,218.00,179.00,183.00,870700
2-Oct-17,206.00,238.00,183.00,200.00,3774600
29-Sep-17,148.00,194.00,146.00,194.00,2998300
28-Sep-17,150.00,157.00,141.00,144.00,530500
27-Sep-17,165.00,169.00,140.00,140.00,360000
26-Sep-17,173.00,173.00,161.00,162.00,189800
25-Sep-17,172.00,190.00,170.00,173.00,563800
22-Sep-17,179.00,188.00,167.00,172.00,240000
20-Sep-17,190.00,198.00,175.00,179.00,555900
19-Sep-17,195.00,214.00,188.00,189.00,674100
18-Sep-17,206.00,206.00,187.00,194.00,709400
15-Sep-17,214.00,220.00,202.00,206.00,765700
14-Sep-17,208.00,228.00,204.00,210.00,916000
13-Sep-17,216.00,240.00,206.00,208.00,2485500
12-Sep-17,200.00,250.00,200.00,216.00,3535900
11-Sep-17,258.00,262.00,199.00,204.00,2340000
8-Sep-17,220.00,268.00,210.00,252.00,7632600
7-Sep-17,153.00,199.00,153.00,199.00,2087700
6-Sep-17,126.00,160.00,126.00,148.00,3440900
5-Sep-17,126.00,126.00,124.00,126.00,26600
4-Sep-17,126.00,126.00,124.00,124.00,20900
31-Aug-17,129.00,129.00,127.00,127.00,42700
30-Aug-17,136.00,136.00,115.00,130.00,31800
29-Aug-17,148.00,148.00,130.00,137.00,52500
28-Aug-17,94.00,133.00,94.00,132.00,10700
25-Aug-17,128.00,134.00,128.00,133.00,181100
24-Aug-17,140.00,140.00,125.00,132.00,83900
23-Aug-17,140.00,146.00,130.00,141.00,114100
22-Aug-17,130.00,130.00,129.00,129.00,52800
21-Aug-17,-,-,-,135.00,0
18-Aug-17,133.00,135.00,133.00,135.00,300
16-Aug-17,132.00,132.00,128.00,128.00,16300
15-Aug-17,-,-,-,136.00,0
14-Aug-17,134.00,136.00,129.00,136.00,25800
11-Aug-17,130.00,141.00,129.00,136.00,18500
10-Aug-17,124.00,131.00,124.00,129.00,11100
9-Aug-17,133.00,133.00,125.00,125.00,5200
8-Aug-17,129.00,129.00,129.00,129.00,2000
7-Aug-17,137.00,137.00,130.00,133.00,2700
4-Aug-17,131.00,145.00,131.00,137.00,11700
3-Aug-17,131.00,131.00,130.00,131.00,76300
2-Aug-17,129.00,130.00,129.00,130.00,24900
1-Aug-17,124.00,125.00,124.00,124.00,10300
31-Jul-17,125.00,127.00,124.00,125.00,10900
28-Jul-17,128.00,128.00,128.00,128.00,100
27-Jul-17,128.00,128.00,128.00,128.00,1300
26-Jul-17,126.00,126.00,124.00,124.00,1900
25-Jul-17,130.00,131.00,130.00,131.00,400
24-Jul-17,130.00,131.00,130.00,130.00,1400
21-Jul-17,128.00,131.00,128.00,131.00,1100
20-Jul-17,127.00,127.00,124.00,124.00,7100
19-Jul-17,127.00,130.00,120.00,130.00,3300
18-Jul-17,132.00,132.00,123.00,125.00,6000
17-Jul-17,129.00,135.00,129.00,135.00,2200
14-Jul-17,128.00,129.00,125.00,129.00,11000
13-Jul-17,131.00,131.00,131.00,131.00,1000
12-Jul-17,132.00,135.00,127.00,128.00,390400
11-Jul-17,134.00,135.00,130.00,135.00,20700
10-Jul-17,129.00,135.00,129.00,135.00,3400
7-Jul-17,126.00,129.00,125.00,126.00,9900
6-Jul-17,131.00,131.00,129.00,129.00,18400
5-Jul-17,132.00,132.00,129.00,129.00,3200
4-Jul-17,135.00,142.00,124.00,133.00,1478500
3-Jul-17,135.00,135.00,130.00,130.00,500
22-Jun-17,123.00,135.00,120.00,135.00,27900
21-Jun-17,124.00,132.00,121.00,121.00,20800
20-Jun-17,126.00,126.00,124.00,126.00,21300
19-Jun-17,135.00,135.00,122.00,126.00,20600
16-Jun-17,133.00,135.00,123.00,129.00,10000
15-Jun-17,134.00,135.00,134.00,134.00,13200
14-Jun-17,135.00,135.00,124.00,134.00,87600
13-Jun-17,143.00,143.00,134.00,134.00,36600
12-Jun-17,135.00,144.00,127.00,143.00,427100
9-Jun-17,110.00,146.00,105.00,140.00,1847200
8-Jun-17,110.00,111.00,109.00,109.00,60100
7-Jun-17,120.00,120.00,103.00,110.00,65400
6-Jun-17,118.00,121.00,115.00,115.00,175400
5-Jun-17,118.00,119.00,115.00,118.00,36800
