Date,Open,High,Low,Close,Volume
29-Dec-17,670.00,685.00,665.00,685.00,21523300
28-Dec-17,670.00,680.00,660.00,680.00,18461800
27-Dec-17,675.00,675.00,660.00,670.00,7520700
22-Dec-17,645.00,675.00,645.00,675.00,33276900
21-Dec-17,635.00,650.00,635.00,645.00,12943000
20-Dec-17,645.00,650.00,625.00,635.00,23571300
19-Dec-17,645.00,655.00,645.00,650.00,13657100
18-Dec-17,640.00,650.00,635.00,645.00,9709300
15-Dec-17,655.00,655.00,640.00,640.00,22208000
14-Dec-17,650.00,665.00,645.00,655.00,19799600
13-Dec-17,650.00,660.00,640.00,655.00,18221200
12-Dec-17,640.00,650.00,635.00,645.00,11212500
11-Dec-17,640.00,655.00,635.00,640.00,14501100
8-Dec-17,635.00,655.00,635.00,640.00,28265200
7-Dec-17,640.00,640.00,635.00,635.00,10249200
6-Dec-17,630.00,645.00,630.00,640.00,22603400
5-Dec-17,635.00,640.00,625.00,630.00,16477900
4-Dec-17,620.00,640.00,620.00,635.00,28510800
30-Nov-17,630.00,635.00,620.00,620.00,45871900
29-Nov-17,620.00,635.00,620.00,630.00,18170000
28-Nov-17,635.00,640.00,620.00,625.00,19350000
27-Nov-17,640.00,645.00,625.00,640.00,13942000
24-Nov-17,630.00,645.00,625.00,635.00,27534300
23-Nov-17,630.00,635.00,625.00,630.00,14728300
22-Nov-17,620.00,625.00,615.00,625.00,15706700
21-Nov-17,610.00,620.00,600.00,620.00,16139100
20-Nov-17,615.00,625.00,610.00,615.00,17396700
17-Nov-17,625.00,630.00,615.00,615.00,16329800
16-Nov-17,630.00,635.00,620.00,625.00,28422500
15-Nov-17,635.00,640.00,625.00,625.00,12120600
14-Nov-17,620.00,650.00,620.00,635.00,51942800
13-Nov-17,620.00,630.00,615.00,615.00,12468300
10-Nov-17,625.00,640.00,620.00,620.00,23263900
9-Nov-17,635.00,640.00,625.00,625.00,14973900
8-Nov-17,640.00,645.00,630.00,640.00,8912300
7-Nov-17,645.00,645.00,625.00,645.00,20296700
6-Nov-17,640.00,645.00,630.00,645.00,10032900
3-Nov-17,625.00,640.00,625.00,635.00,20546500
2-Nov-17,635.00,640.00,620.00,625.00,12739800
1-Nov-17,630.00,645.00,625.00,640.00,17989100
31-Oct-17,630.00,635.00,620.00,630.00,21786100
30-Oct-17,635.00,635.00,620.00,620.00,42562500
27-Oct-17,650.00,650.00,620.00,635.00,50455100
26-Oct-17,660.00,660.00,640.00,640.00,31579400
25-Oct-17,630.00,660.00,630.00,660.00,39182500
24-Oct-17,635.00,645.00,625.00,630.00,24287900
23-Oct-17,625.00,635.00,620.00,635.00,8922300
20-Oct-17,620.00,635.00,620.00,620.00,22591200
19-Oct-17,625.00,630.00,615.00,615.00,24095900
18-Oct-17,630.00,630.00,615.00,630.00,15706700
17-Oct-17,640.00,640.00,620.00,625.00,19019200
16-Oct-17,605.00,635.00,605.00,635.00,75138000
13-Oct-17,600.00,605.00,590.00,600.00,58858500
12-Oct-17,620.00,620.00,580.00,595.00,67482700
11-Oct-17,620.00,620.00,610.00,610.00,27567400
10-Oct-17,615.00,625.00,605.00,620.00,32376900
9-Oct-17,625.00,625.00,610.00,615.00,17928300
6-Oct-17,620.00,625.00,615.00,620.00,15636400
5-Oct-17,620.00,630.00,615.00,620.00,28127900
4-Oct-17,620.00,625.00,615.00,620.00,42130000
3-Oct-17,620.00,630.00,615.00,615.00,27225900
2-Oct-17,610.00,625.00,605.00,615.00,23335500
29-Sep-17,610.00,620.00,605.00,610.00,36646600
28-Sep-17,645.00,645.00,610.00,610.00,32018900
27-Sep-17,620.00,645.00,620.00,630.00,18141300
26-Sep-17,645.00,650.00,630.00,630.00,11516600
25-Sep-17,650.00,650.00,640.00,645.00,15161200
22-Sep-17,650.00,650.00,635.00,635.00,35129600
20-Sep-17,650.00,650.00,645.00,650.00,12559200
19-Sep-17,650.00,655.00,645.00,650.00,28331000
18-Sep-17,635.00,650.00,630.00,645.00,27553600
15-Sep-17,630.00,650.00,620.00,635.00,80625000
14-Sep-17,630.00,635.00,615.00,625.00,71249600
13-Sep-17,655.00,655.00,635.00,640.00,32324600
12-Sep-17,655.00,655.00,650.00,655.00,25292500
11-Sep-17,650.00,655.00,635.00,655.00,31561700
8-Sep-17,650.00,655.00,645.00,650.00,17150500
7-Sep-17,645.00,650.00,640.00,645.00,16334500
6-Sep-17,655.00,660.00,645.00,645.00,32553600
5-Sep-17,665.00,665.00,645.00,660.00,21644500
4-Sep-17,670.00,670.00,650.00,660.00,15763300
31-Aug-17,660.00,670.00,650.00,670.00,40243200
30-Aug-17,690.00,690.00,650.00,670.00,44227100
29-Aug-17,685.00,685.00,670.00,685.00,35794500
28-Aug-17,690.00,700.00,675.00,685.00,16096600
25-Aug-17,665.00,685.00,665.00,685.00,112562500
24-Aug-17,665.00,665.00,655.00,665.00,37661400
23-Aug-17,680.00,680.00,655.00,660.00,54612900
22-Aug-17,670.00,670.00,645.00,655.00,47661200
21-Aug-17,670.00,675.00,655.00,670.00,32346400
18-Aug-17,670.00,675.00,665.00,670.00,8644600
16-Aug-17,690.00,695.00,675.00,680.00,34781300
15-Aug-17,650.00,695.00,645.00,690.00,46669100
14-Aug-17,645.00,660.00,635.00,645.00,32154700
11-Aug-17,675.00,680.00,645.00,645.00,22799900
10-Aug-17,680.00,695.00,675.00,680.00,5209400
9-Aug-17,690.00,705.00,675.00,690.00,23283400
8-Aug-17,690.00,700.00,685.00,690.00,12574600
7-Aug-17,700.00,705.00,690.00,690.00,21754000
4-Aug-17,700.00,705.00,690.00,700.00,16144500
3-Aug-17,690.00,695.00,680.00,690.00,15025800
2-Aug-17,705.00,710.00,680.00,690.00,25538600
1-Aug-17,710.00,720.00,705.00,710.00,57622300
31-Jul-17,695.00,725.00,675.00,710.00,75929900
28-Jul-17,670.00,700.00,660.00,695.00,97370600
27-Jul-17,650.00,665.00,645.00,665.00,28500900
26-Jul-17,640.00,645.00,635.00,645.00,27471700
25-Jul-17,625.00,640.00,615.00,640.00,28607000
24-Jul-17,615.00,625.00,610.00,625.00,23939200
21-Jul-17,615.00,620.00,605.00,615.00,10922400
20-Jul-17,620.00,620.00,615.00,615.00,5110200
19-Jul-17,610.00,620.00,610.00,615.00,21917600
18-Jul-17,615.00,615.00,600.00,610.00,65390500
17-Jul-17,610.00,620.00,605.00,620.00,11438200
14-Jul-17,610.00,615.00,600.00,610.00,22545400
13-Jul-17,620.00,625.00,605.00,610.00,28670400
12-Jul-17,625.00,630.00,615.00,615.00,13208800
11-Jul-17,630.00,635.00,620.00,625.00,17487800
10-Jul-17,635.00,645.00,625.00,625.00,10366100
7-Jul-17,635.00,650.00,635.00,650.00,12772600
6-Jul-17,625.00,650.00,620.00,640.00,29247300
5-Jul-17,640.00,645.00,615.00,630.00,33992000
4-Jul-17,645.00,650.00,635.00,645.00,48934800
3-Jul-17,620.00,645.00,615.00,640.00,81406700
22-Jun-17,615.00,615.00,605.00,615.00,16645000
21-Jun-17,600.00,610.00,600.00,610.00,15949100
20-Jun-17,610.00,610.00,605.00,605.00,16435000
19-Jun-17,605.00,610.00,605.00,610.00,6355700
16-Jun-17,620.00,620.00,605.00,605.00,55851000
15-Jun-17,630.00,630.00,615.00,620.00,18562000
14-Jun-17,610.00,630.00,605.00,630.00,19428500
13-Jun-17,600.00,610.00,600.00,605.00,14209600
12-Jun-17,605.00,610.00,600.00,600.00,12443100
9-Jun-17,615.00,620.00,605.00,605.00,18676600
8-Jun-17,620.00,625.00,615.00,620.00,11341000
7-Jun-17,610.00,630.00,610.00,625.00,48465600
6-Jun-17,635.00,635.00,605.00,605.00,20190100
5-Jun-17,625.00,635.00,615.00,635.00,20306100
2-Jun-17,615.00,620.00,610.00,620.00,20577400
31-May-17,610.00,625.00,600.00,610.00,139081600
30-May-17,625.00,625.00,610.00,610.00,19800400
29-May-17,640.00,640.00,620.00,625.00,12566700
26-May-17,630.00,655.00,630.00,640.00,25873200
24-May-17,615.00,640.00,615.00,630.00,22992900
23-May-17,650.00,660.00,630.00,640.00,41074200
22-May-17,650.00,660.00,640.00,645.00,63666400
19-May-17,585.00,650.00,580.00,635.00,98936100
18-May-17,560.00,590.00,560.00,575.00,101198600
17-May-17,595.00,600.00,570.00,570.00,54599200
16-May-17,625.00,630.00,585.00,600.00,85558500
15-May-17,620.00,630.00,610.00,625.00,29189000
12-May-17,635.00,640.00,600.00,615.00,58435300
10-May-17,660.00,670.00,610.00,630.00,45983100
9-May-17,685.00,685.00,660.00,660.00,31720000
8-May-17,685.00,705.00,660.00,675.00,42258400
5-May-17,650.00,695.00,650.00,685.00,44934100
4-May-17,640.00,685.00,630.00,675.00,79640800
3-May-17,640.00,645.00,630.00,635.00,26772800
2-May-17,625.00,640.00,625.00,635.00,31119000
28-Apr-17,640.00,645.00,625.00,625.00,34709700
27-Apr-17,640.00,650.00,630.00,630.00,40271900
26-Apr-17,635.00,640.00,625.00,640.00,26776900
25-Apr-17,620.00,635.00,615.00,635.00,72796100
21-Apr-17,590.00,610.00,580.00,610.00,43604400
20-Apr-17,590.00,590.00,580.00,580.00,10232800
18-Apr-17,580.00,590.00,580.00,590.00,19426900
17-Apr-17,585.00,590.00,575.00,575.00,13048700
13-Apr-17,585.00,590.00,575.00,585.00,23885000
12-Apr-17,565.00,580.00,565.00,580.00,31567200
11-Apr-17,570.00,585.00,560.00,560.00,59326900
10-Apr-17,595.00,605.00,540.00,540.00,33343600
7-Apr-17,595.00,595.00,580.00,590.00,41775000
6-Apr-17,615.00,615.00,585.00,590.00,28696300
5-Apr-17,610.00,620.00,605.00,610.00,25016400
4-Apr-17,600.00,620.00,600.00,615.00,22432000
3-Apr-17,620.00,620.00,600.00,600.00,19160300
31-Mar-17,600.00,620.00,600.00,615.00,48310400
30-Mar-17,625.00,630.00,590.00,595.00,68778100
29-Mar-17,605.00,630.00,605.00,620.00,62151500
27-Mar-17,600.00,600.00,590.00,600.00,13028800
24-Mar-17,605.00,605.00,595.00,600.00,12178900
23-Mar-17,590.00,605.00,585.00,600.00,38562700
22-Mar-17,590.00,595.00,585.00,590.00,50788800
21-Mar-17,600.00,600.00,585.00,595.00,17929100
20-Mar-17,600.00,600.00,590.00,595.00,20267400
17-Mar-17,595.00,600.00,580.00,600.00,53613500
16-Mar-17,575.00,590.00,575.00,590.00,39405600
15-Mar-17,575.00,575.00,565.00,570.00,14158900
14-Mar-17,570.00,580.00,570.00,570.00,11413600
13-Mar-17,590.00,590.00,570.00,570.00,23471800
10-Mar-17,590.00,590.00,575.00,580.00,37476000
9-Mar-17,585.00,595.00,580.00,585.00,22591500
8-Mar-17,560.00,585.00,560.00,580.00,53222400
7-Mar-17,560.00,570.00,560.00,560.00,37251300
6-Mar-17,565.00,565.00,550.00,555.00,59778400
3-Mar-17,575.00,575.00,560.00,560.00,67100400
2-Mar-17,595.00,595.00,570.00,575.00,41626100
1-Mar-17,595.00,595.00,580.00,590.00,51727800
28-Feb-17,585.00,595.00,580.00,590.00,58193600
27-Feb-17,590.00,600.00,580.00,585.00,14931400
24-Feb-17,605.00,610.00,585.00,590.00,42964300
23-Feb-17,595.00,615.00,580.00,605.00,110334300
22-Feb-17,570.00,595.00,570.00,595.00,96496700
21-Feb-17,565.00,575.00,555.00,570.00,33175400
