Date,Open,High,Low,Close,Volume
29-Dec-17,1080.00,1200.00,1060.00,1200.00,12368800
28-Dec-17,1070.00,1080.00,1030.00,1080.00,5934800
27-Dec-17,1010.00,1110.00,995.00,1110.00,3158200
22-Dec-17,1005.00,1030.00,995.00,1010.00,2220400
21-Dec-17,1000.00,1055.00,990.00,1005.00,7979900
20-Dec-17,1040.00,1060.00,1000.00,1015.00,7842500
19-Dec-17,1005.00,1055.00,1005.00,1055.00,5579900
18-Dec-17,1080.00,1095.00,990.00,1005.00,14912900
15-Dec-17,1100.00,1115.00,1070.00,1080.00,12080200
14-Dec-17,1060.00,1105.00,1055.00,1100.00,19828800
13-Dec-17,1040.00,1080.00,1030.00,1055.00,14838200
12-Dec-17,1025.00,1040.00,1010.00,1040.00,4499200
11-Dec-17,1015.00,1025.00,1000.00,1025.00,6220300
8-Dec-17,1015.00,1025.00,990.00,1015.00,2706500
7-Dec-17,1035.00,1035.00,1005.00,1015.00,3885000
6-Dec-17,950.00,1055.00,950.00,1035.00,17926200
5-Dec-17,975.00,990.00,940.00,950.00,5028800
4-Dec-17,1000.00,1005.00,935.00,970.00,5458900
30-Nov-17,1030.00,1035.00,1000.00,1000.00,6587500
29-Nov-17,975.00,1035.00,975.00,1025.00,11490000
28-Nov-17,960.00,980.00,945.00,975.00,5332100
27-Nov-17,935.00,965.00,930.00,960.00,3155500
24-Nov-17,930.00,950.00,930.00,935.00,1224700
23-Nov-17,965.00,965.00,925.00,925.00,549400
22-Nov-17,925.00,960.00,920.00,960.00,5283500
21-Nov-17,960.00,960.00,920.00,925.00,3025900
20-Nov-17,975.00,975.00,955.00,960.00,6124800
17-Nov-17,935.00,975.00,925.00,975.00,9563200
16-Nov-17,900.00,940.00,895.00,935.00,5339900
15-Nov-17,915.00,920.00,895.00,900.00,10861900
14-Nov-17,910.00,920.00,905.00,915.00,1457300
13-Nov-17,930.00,930.00,910.00,915.00,6501800
10-Nov-17,970.00,975.00,925.00,925.00,4326400
9-Nov-17,955.00,980.00,935.00,965.00,15498700
8-Nov-17,905.00,955.00,895.00,955.00,14131400
7-Nov-17,900.00,910.00,895.00,905.00,7800300
6-Nov-17,895.00,900.00,880.00,900.00,8977800
3-Nov-17,890.00,900.00,890.00,895.00,6374200
2-Nov-17,905.00,905.00,890.00,890.00,7807600
1-Nov-17,915.00,920.00,890.00,905.00,17617400
31-Oct-17,915.00,925.00,905.00,915.00,13681300
30-Oct-17,880.00,920.00,865.00,910.00,9731800
27-Oct-17,895.00,905.00,870.00,880.00,5178800
26-Oct-17,900.00,900.00,885.00,895.00,1669700
25-Oct-17,890.00,900.00,885.00,900.00,4984800
24-Oct-17,890.00,895.00,880.00,890.00,3647600
23-Oct-17,880.00,890.00,880.00,885.00,2453500
20-Oct-17,910.00,920.00,870.00,870.00,11286600
19-Oct-17,925.00,940.00,900.00,910.00,10533700
18-Oct-17,940.00,955.00,925.00,925.00,7756500
