Date,Open,High,Low,Close,Volume
29-Dec-17,182.00,186.00,181.00,181.00,120400
28-Dec-17,177.00,187.00,177.00,182.00,37200
27-Dec-17,177.00,177.00,173.00,177.00,2200
22-Dec-17,178.00,178.00,177.00,177.00,500
21-Dec-17,179.00,179.00,170.00,178.00,5900
20-Dec-17,171.00,180.00,151.00,180.00,3800
19-Dec-17,176.00,176.00,171.00,171.00,18400
18-Dec-17,179.00,179.00,173.00,175.00,20100
15-Dec-17,169.00,179.00,169.00,179.00,800
14-Dec-17,170.00,179.00,170.00,179.00,200
13-Dec-17,171.00,180.00,171.00,179.00,25500
12-Dec-17,180.00,180.00,179.00,180.00,13200
11-Dec-17,176.00,187.00,175.00,181.00,204000
8-Dec-17,183.00,183.00,183.00,183.00,1400
7-Dec-17,189.00,189.00,180.00,181.00,624700
6-Dec-17,190.00,191.00,185.00,189.00,11300
5-Dec-17,186.00,191.00,186.00,191.00,1200
4-Dec-17,192.00,192.00,186.00,190.00,20300
30-Nov-17,192.00,192.00,185.00,191.00,134500
29-Nov-17,192.00,197.00,191.00,193.00,50500
28-Nov-17,191.00,194.00,190.00,192.00,38100
27-Nov-17,193.00,193.00,191.00,192.00,42800
24-Nov-17,191.00,197.00,190.00,191.00,38100
23-Nov-17,197.00,202.00,189.00,191.00,655800
22-Nov-17,195.00,208.00,194.00,197.00,1466200
21-Nov-17,193.00,193.00,188.00,188.00,10400
20-Nov-17,191.00,198.00,185.00,190.00,14600
17-Nov-17,199.00,216.00,193.00,195.00,489400
16-Nov-17,195.00,199.00,190.00,197.00,40100
15-Nov-17,195.00,198.00,191.00,196.00,60700
14-Nov-17,192.00,194.00,187.00,194.00,14000
13-Nov-17,187.00,204.00,187.00,192.00,292500
10-Nov-17,190.00,190.00,188.00,189.00,78400
9-Nov-17,186.00,190.00,184.00,189.00,1500
8-Nov-17,195.00,196.00,180.00,186.00,199700
7-Nov-17,196.00,197.00,186.00,188.00,102800
6-Nov-17,194.00,208.00,189.00,197.00,63200
3-Nov-17,182.00,189.00,182.00,188.00,8200
2-Nov-17,185.00,190.00,185.00,190.00,17700
1-Nov-17,189.00,190.00,186.00,188.00,2300
31-Oct-17,189.00,190.00,185.00,187.00,43800
30-Oct-17,182.00,184.00,180.00,184.00,103500
27-Oct-17,185.00,186.00,180.00,181.00,84400
26-Oct-17,194.00,194.00,183.00,183.00,75000
25-Oct-17,194.00,194.00,182.00,191.00,145800
24-Oct-17,191.00,194.00,187.00,194.00,18700
23-Oct-17,193.00,195.00,187.00,190.00,97200
20-Oct-17,189.00,191.00,185.00,190.00,19800
19-Oct-17,192.00,196.00,186.00,191.00,75900
18-Oct-17,185.00,204.00,182.00,186.00,1069300
17-Oct-17,182.00,194.00,182.00,185.00,12800
16-Oct-17,183.00,184.00,183.00,184.00,20700
13-Oct-17,184.00,185.00,179.00,185.00,22800
12-Oct-17,185.00,185.00,182.00,185.00,12600
11-Oct-17,187.00,187.00,183.00,185.00,12400
10-Oct-17,189.00,189.00,186.00,186.00,16400
9-Oct-17,192.00,192.00,189.00,189.00,5700
6-Oct-17,189.00,193.00,189.00,192.00,1900
5-Oct-17,189.00,191.00,188.00,189.00,4800
4-Oct-17,197.00,197.00,185.00,193.00,66700
3-Oct-17,190.00,194.00,185.00,194.00,42800
2-Oct-17,194.00,197.00,190.00,190.00,29100
29-Sep-17,191.00,193.00,189.00,193.00,16600
