Date,Open,High,Low,Close,Volume
29-Dec-17,165.00,177.00,158.00,158.00,447220600
28-Dec-17,146.00,164.00,144.00,163.00,465330500
27-Dec-17,148.00,148.00,144.00,146.00,572111100
22-Dec-17,151.00,151.00,147.00,148.00,301750300
21-Dec-17,153.00,153.00,149.00,150.00,380482000
20-Dec-17,152.00,154.00,149.00,153.00,460875500
19-Dec-17,155.00,155.00,151.00,152.00,274042500
18-Dec-17,159.00,160.00,154.00,155.00,489602600
15-Dec-17,157.00,160.00,152.00,159.00,358141300
14-Dec-17,154.00,157.00,152.00,154.00,431289000
13-Dec-17,160.00,162.00,150.00,154.00,374962100
12-Dec-17,159.00,165.00,145.00,160.00,283897000
11-Dec-17,175.00,177.00,159.00,159.00,315457900
8-Dec-17,177.00,179.00,165.00,176.00,395902900
7-Dec-17,180.00,182.00,177.00,177.00,439618500
6-Dec-17,183.00,185.00,179.00,180.00,403493500
5-Dec-17,181.00,195.00,178.00,180.00,269212200
4-Dec-17,181.00,188.00,179.00,181.00,268557700
30-Nov-17,181.00,183.00,180.00,181.00,90278300
29-Nov-17,180.00,183.00,179.00,181.00,294895000
28-Nov-17,182.00,185.00,180.00,180.00,221333800
27-Nov-17,186.00,188.00,182.00,182.00,190015600
24-Nov-17,183.00,190.00,180.00,186.00,206438800
23-Nov-17,185.00,185.00,181.00,181.00,138956100
22-Nov-17,189.00,190.00,182.00,184.00,158040900
21-Nov-17,183.00,194.00,183.00,186.00,310977800
20-Nov-17,222.00,226.00,181.00,183.00,526351500
17-Nov-17,204.00,228.00,196.00,224.00,322876100
16-Nov-17,210.00,220.00,199.00,202.00,233939000
15-Nov-17,185.00,236.00,185.00,208.00,329661100
8-Nov-17,230.00,234.00,192.00,192.00,622411800
6-Nov-17,254.00,254.00,254.00,254.00,12788900
3-Nov-17,338.00,338.00,338.00,338.00,3584700
2-Nov-17,450.00,450.00,450.00,450.00,5089900
1-Nov-17,620.00,650.00,560.00,600.00,105846200
31-Oct-17,645.00,650.00,630.00,630.00,269768900
30-Oct-17,685.00,685.00,640.00,640.00,165277800
27-Oct-17,620.00,745.00,620.00,660.00,189869300
26-Oct-17,655.00,770.00,640.00,640.00,310906500
25-Oct-17,645.00,690.00,645.00,660.00,156808000
24-Oct-17,615.00,665.00,610.00,640.00,230328600
23-Oct-17,498.00,615.00,498.00,615.00,246116900
20-Oct-17,472.00,496.00,470.00,496.00,222626100
19-Oct-17,480.00,482.00,470.00,472.00,280367200
18-Oct-17,474.00,488.00,470.00,478.00,175118900
17-Oct-17,478.00,484.00,470.00,474.00,186669500
16-Oct-17,470.00,482.00,468.00,478.00,263184800
13-Oct-17,482.00,488.00,468.00,470.00,247662400
12-Oct-17,488.00,498.00,478.00,482.00,376890700
11-Oct-17,492.00,500.00,482.00,488.00,199172800
10-Oct-17,480.00,496.00,478.00,490.00,244391500
9-Oct-17,472.00,494.00,468.00,480.00,267317700
6-Oct-17,478.00,484.00,472.00,472.00,182276200
5-Oct-17,480.00,486.00,476.00,478.00,227439300
4-Oct-17,468.00,490.00,466.00,480.00,174270600
3-Oct-17,460.00,476.00,458.00,468.00,239275700
2-Oct-17,474.00,476.00,460.00,460.00,139073300
29-Sep-17,468.00,478.00,462.00,472.00,237156300
28-Sep-17,446.00,468.00,446.00,468.00,270041900
27-Sep-17,428.00,448.00,424.00,446.00,172857300
26-Sep-17,426.00,434.00,422.00,428.00,197589200
25-Sep-17,418.00,432.00,416.00,426.00,216611400
22-Sep-17,418.00,420.00,408.00,418.00,235919200
20-Sep-17,420.00,422.00,414.00,418.00,260761600
19-Sep-17,418.00,424.00,414.00,420.00,201458100
18-Sep-17,424.00,448.00,416.00,418.00,295398000
15-Sep-17,420.00,424.00,414.00,424.00,302204300
14-Sep-17,418.00,428.00,414.00,420.00,323217000
13-Sep-17,418.00,436.00,412.00,418.00,292413100
12-Sep-17,416.00,428.00,406.00,414.00,161400200
11-Sep-17,400.00,424.00,398.00,412.00,326552900
8-Sep-17,400.00,404.00,396.00,400.00,321026300
7-Sep-17,394.00,406.00,394.00,400.00,338445600
6-Sep-17,410.00,410.00,396.00,402.00,305650200
5-Sep-17,406.00,410.00,376.00,404.00,229521100
4-Sep-17,400.00,408.00,400.00,404.00,281712200
31-Aug-17,410.00,416.00,400.00,404.00,316233300
30-Aug-17,396.00,412.00,392.00,408.00,336781500
29-Aug-17,402.00,414.00,386.00,396.00,344564600
28-Aug-17,380.00,410.00,376.00,402.00,245952700
25-Aug-17,350.00,400.00,344.00,378.00,332495700
24-Aug-17,350.00,356.00,340.00,350.00,347468000
23-Aug-17,350.00,354.00,344.00,350.00,385348800
22-Aug-17,358.00,358.00,344.00,350.00,377918200
21-Aug-17,360.00,366.00,352.00,358.00,157459700
18-Aug-17,362.00,376.00,358.00,358.00,328482900
16-Aug-17,368.00,388.00,358.00,360.00,354194500
15-Aug-17,340.00,392.00,320.00,368.00,490473200
14-Aug-17,354.00,360.00,340.00,340.00,357341000
11-Aug-17,354.00,378.00,340.00,354.00,299204200
10-Aug-17,350.00,358.00,344.00,354.00,378469200
9-Aug-17,330.00,352.00,328.00,350.00,370256400
8-Aug-17,320.00,330.00,320.00,328.00,367424100
7-Aug-17,308.00,324.00,304.00,320.00,449848900
4-Aug-17,282.00,312.00,278.00,306.00,348995600
3-Aug-17,284.00,284.00,278.00,282.00,351808200
2-Aug-17,280.00,284.00,268.00,284.00,425762400
1-Aug-17,280.00,284.00,276.00,280.00,443483600
31-Jul-17,278.00,286.00,262.00,280.00,414039100
28-Jul-17,288.00,294.00,280.00,280.00,229615400
27-Jul-17,296.00,298.00,286.00,286.00,389120800
26-Jul-17,296.00,300.00,284.00,294.00,436640800
25-Jul-17,298.00,302.00,290.00,296.00,381371300
