Date,Open,High,Low,Close,Volume
29-Dec-17,1280.00,1285.00,1275.00,1275.00,389900
28-Dec-17,1280.00,1285.00,1270.00,1280.00,1434300
27-Dec-17,1255.00,1285.00,1255.00,1280.00,1133800
22-Dec-17,1275.00,1275.00,1255.00,1260.00,909000
21-Dec-17,1260.00,1260.00,1255.00,1255.00,576000
20-Dec-17,1250.00,1260.00,1240.00,1260.00,1003800
19-Dec-17,1260.00,1265.00,1260.00,1265.00,366100
18-Dec-17,1260.00,1260.00,1255.00,1260.00,938500
15-Dec-17,1260.00,1260.00,1255.00,1260.00,1382200
14-Dec-17,1270.00,1270.00,1250.00,1260.00,717200
13-Dec-17,1255.00,1270.00,1255.00,1270.00,2518000
12-Dec-17,1245.00,1260.00,1245.00,1255.00,1314700
11-Dec-17,1245.00,1250.00,1245.00,1245.00,1103000
8-Dec-17,1235.00,1250.00,1230.00,1245.00,2287900
7-Dec-17,1260.00,1270.00,1230.00,1230.00,564800
6-Dec-17,1225.00,1255.00,1225.00,1245.00,409600
5-Dec-17,1260.00,1260.00,1225.00,1225.00,1057700
4-Dec-17,1270.00,1275.00,1240.00,1245.00,752100
30-Nov-17,1270.00,1275.00,1250.00,1270.00,3280100
29-Nov-17,1295.00,1295.00,1265.00,1270.00,762900
28-Nov-17,1290.00,1290.00,1275.00,1275.00,1171100
27-Nov-17,1290.00,1290.00,1285.00,1290.00,3200300
24-Nov-17,1295.00,1300.00,1285.00,1290.00,261100
23-Nov-17,1305.00,1305.00,1285.00,1295.00,596700
22-Nov-17,1295.00,1295.00,1285.00,1295.00,1048700
21-Nov-17,1310.00,1310.00,1295.00,1295.00,11317100
20-Nov-17,1300.00,1310.00,1290.00,1310.00,714600
17-Nov-17,1290.00,1300.00,1280.00,1300.00,612000
16-Nov-17,1295.00,1295.00,1280.00,1290.00,3706000
15-Nov-17,1325.00,1325.00,1280.00,1295.00,3411300
14-Nov-17,1330.00,1340.00,1320.00,1325.00,3836300
13-Nov-17,1295.00,1325.00,1290.00,1320.00,1084700
10-Nov-17,1285.00,1305.00,1280.00,1280.00,363400
9-Nov-17,1285.00,1320.00,1280.00,1285.00,1153300
8-Nov-17,1280.00,1300.00,1275.00,1285.00,434200
7-Nov-17,1280.00,1300.00,1270.00,1300.00,720500
6-Nov-17,1295.00,1295.00,1275.00,1295.00,391600
3-Nov-17,1285.00,1295.00,1275.00,1295.00,258800
2-Nov-17,1285.00,1295.00,1265.00,1295.00,2313000
1-Nov-17,1270.00,1290.00,1270.00,1285.00,1276700
31-Oct-17,1270.00,1270.00,1240.00,1270.00,1881500
30-Oct-17,1320.00,1320.00,1265.00,1270.00,3073600
27-Oct-17,1350.00,1350.00,1320.00,1325.00,1646600
26-Oct-17,1275.00,1370.00,1275.00,1330.00,11873900
25-Oct-17,1270.00,1270.00,1250.00,1270.00,144600
24-Oct-17,1270.00,1275.00,1265.00,1270.00,1981800
23-Oct-17,1275.00,1275.00,1270.00,1270.00,417000
20-Oct-17,1275.00,1285.00,1270.00,1270.00,2065700
19-Oct-17,1275.00,1275.00,1265.00,1270.00,1415100
18-Oct-17,1270.00,1290.00,1255.00,1275.00,1872500
17-Oct-17,1270.00,1275.00,1250.00,1255.00,903700
16-Oct-17,1270.00,1280.00,1255.00,1270.00,694500
13-Oct-17,1275.00,1275.00,1250.00,1270.00,1371300
12-Oct-17,1275.00,1280.00,1250.00,1275.00,1386400
11-Oct-17,1245.00,1280.00,1220.00,1280.00,818800
10-Oct-17,1230.00,1270.00,1230.00,1250.00,1393100
9-Oct-17,1190.00,1225.00,1190.00,1220.00,4128900
6-Oct-17,1220.00,1220.00,1190.00,1190.00,2650400
5-Oct-17,1230.00,1235.00,1220.00,1220.00,4994300
4-Oct-17,1245.00,1250.00,1225.00,1230.00,2741900
3-Oct-17,1225.00,1235.00,1215.00,1230.00,8739300
2-Oct-17,1260.00,1265.00,1220.00,1225.00,6860600
29-Sep-17,1260.00,1260.00,1245.00,1260.00,1369800
28-Sep-17,1245.00,1250.00,1220.00,1245.00,922300
27-Sep-17,1260.00,1260.00,1215.00,1245.00,1328000
26-Sep-17,1275.00,1280.00,1255.00,1265.00,962500
25-Sep-17,1300.00,1300.00,1250.00,1275.00,3859800
22-Sep-17,1300.00,1325.00,1300.00,1300.00,5941200
20-Sep-17,1275.00,1310.00,1275.00,1300.00,5202400
19-Sep-17,1275.00,1300.00,1250.00,1275.00,2425900
18-Sep-17,1290.00,1290.00,1250.00,1275.00,1690300
15-Sep-17,1335.00,1355.00,1285.00,1285.00,3695200
14-Sep-17,1310.00,1345.00,1310.00,1340.00,12311100
13-Sep-17,1285.00,1305.00,1280.00,1305.00,5215100
12-Sep-17,1250.00,1285.00,1250.00,1280.00,5250900
11-Sep-17,1250.00,1255.00,1245.00,1250.00,7274500
8-Sep-17,1245.00,1260.00,1245.00,1245.00,2958700
7-Sep-17,1235.00,1250.00,1235.00,1245.00,3517100
6-Sep-17,1235.00,1240.00,1225.00,1235.00,5995200
5-Sep-17,1230.00,1245.00,1220.00,1235.00,6455800
4-Sep-17,1225.00,1240.00,1220.00,1230.00,5205900
31-Aug-17,1200.00,1250.00,1200.00,1220.00,9950600
30-Aug-17,1195.00,1200.00,1185.00,1200.00,8725200
29-Aug-17,1200.00,1200.00,1180.00,1190.00,3047700
28-Aug-17,1175.00,1200.00,1175.00,1195.00,2686500
25-Aug-17,1175.00,1195.00,1170.00,1175.00,3230100
24-Aug-17,1175.00,1175.00,1170.00,1170.00,4012900
23-Aug-17,1175.00,1175.00,1165.00,1175.00,3060300
22-Aug-17,1185.00,1190.00,1165.00,1175.00,2010300
21-Aug-17,1200.00,1200.00,1180.00,1185.00,749100
18-Aug-17,1200.00,1200.00,1185.00,1190.00,1128500
16-Aug-17,1210.00,1210.00,1180.00,1185.00,3031000
15-Aug-17,1210.00,1210.00,1190.00,1190.00,1751900
14-Aug-17,1215.00,1220.00,1195.00,1200.00,1321000
11-Aug-17,1220.00,1220.00,1190.00,1190.00,739100
10-Aug-17,1225.00,1225.00,1200.00,1220.00,2151200
9-Aug-17,1215.00,1245.00,1190.00,1220.00,7737600
8-Aug-17,1210.00,1225.00,1210.00,1220.00,3858300
7-Aug-17,1225.00,1230.00,1205.00,1210.00,6239500
4-Aug-17,1200.00,1225.00,1190.00,1225.00,6874100
3-Aug-17,1200.00,1205.00,1185.00,1200.00,6961500
2-Aug-17,1220.00,1220.00,1185.00,1200.00,7423100
1-Aug-17,1250.00,1250.00,1220.00,1225.00,7679700
31-Jul-17,1270.00,1270.00,1240.00,1250.00,4388300
28-Jul-17,1230.00,1275.00,1230.00,1270.00,2256600
27-Jul-17,1245.00,1245.00,1230.00,1230.00,4355700
26-Jul-17,1245.00,1265.00,1240.00,1245.00,5861600
25-Jul-17,1245.00,1250.00,1240.00,1240.00,3078900
24-Jul-17,1265.00,1265.00,1235.00,1245.00,3759300
21-Jul-17,1290.00,1295.00,1250.00,1265.00,5159300
20-Jul-17,1280.00,1295.00,1280.00,1290.00,2818100
19-Jul-17,1280.00,1285.00,1270.00,1280.00,5763900
18-Jul-17,1285.00,1285.00,1255.00,1275.00,5270000
17-Jul-17,1290.00,1300.00,1275.00,1285.00,7101900
14-Jul-17,1275.00,1290.00,1265.00,1275.00,9226100
13-Jul-17,1185.00,1275.00,1185.00,1275.00,8350600
12-Jul-17,1150.00,1200.00,1150.00,1185.00,4340400
11-Jul-17,1175.00,1195.00,1145.00,1150.00,7701900
10-Jul-17,1195.00,1200.00,1170.00,1175.00,7335200
7-Jul-17,1225.00,1225.00,1195.00,1195.00,5114100
6-Jul-17,1215.00,1235.00,1210.00,1225.00,3199900
5-Jul-17,1220.00,1260.00,1205.00,1210.00,8988300
4-Jul-17,1215.00,1225.00,1205.00,1220.00,2062300
3-Jul-17,1250.00,1250.00,1205.00,1220.00,4503500
22-Jun-17,1265.00,1270.00,1225.00,1230.00,21198800
21-Jun-17,1265.00,1280.00,1250.00,1255.00,10590900
20-Jun-17,1305.00,1360.00,1265.00,1265.00,39600100
19-Jun-17,1290.00,1310.00,1280.00,1300.00,3984800
16-Jun-17,1300.00,1310.00,1275.00,1280.00,11300900
15-Jun-17,1295.00,1300.00,1280.00,1290.00,10001700
14-Jun-17,1290.00,1315.00,1275.00,1295.00,12352900
13-Jun-17,1280.00,1315.00,1280.00,1290.00,4421400
12-Jun-17,1285.00,1300.00,1275.00,1280.00,4414400
9-Jun-17,1305.00,1320.00,1265.00,1275.00,6480100
8-Jun-17,1320.00,1345.00,1300.00,1300.00,10956800
7-Jun-17,1325.00,1350.00,1275.00,1320.00,15950500
6-Jun-17,1370.00,1380.00,1305.00,1315.00,11239500
5-Jun-17,1390.00,1410.00,1365.00,1370.00,7830800
2-Jun-17,1460.00,1465.00,1380.00,1385.00,12697900
31-May-17,1500.00,1525.00,1415.00,1450.00,14964600
30-May-17,1535.00,1540.00,1495.00,1500.00,1609200
29-May-17,1520.00,1545.00,1505.00,1535.00,1470600
26-May-17,1545.00,1545.00,1510.00,1540.00,1424700
24-May-17,1540.00,1550.00,1535.00,1540.00,349800
23-May-17,1555.00,1570.00,1530.00,1540.00,2508800
22-May-17,1560.00,1570.00,1540.00,1555.00,3044500
19-May-17,1550.00,1570.00,1535.00,1540.00,4753200
18-May-17,1550.00,1550.00,1535.00,1540.00,671900
17-May-17,1550.00,1555.00,1540.00,1550.00,3669300
16-May-17,1600.00,1600.00,1540.00,1540.00,2734200
15-May-17,1675.00,1680.00,1540.00,1600.00,2125100
12-May-17,1650.00,1740.00,1640.00,1675.00,1037500
10-May-17,1675.00,1740.00,1670.00,1670.00,5144900
9-May-17,1650.00,1715.00,1650.00,1675.00,5878500
8-May-17,1640.00,1650.00,1630.00,1650.00,633400
5-May-17,1640.00,1645.00,1620.00,1640.00,3325100
4-May-17,1660.00,1670.00,1630.00,1635.00,1014400
3-May-17,1620.00,1650.00,1620.00,1640.00,2155400
2-May-17,1640.00,1640.00,1610.00,1620.00,571000
28-Apr-17,1670.00,1670.00,1640.00,1640.00,73800
27-Apr-17,1635.00,1670.00,1610.00,1670.00,3589500
26-Apr-17,1640.00,1660.00,1610.00,1640.00,1286400
25-Apr-17,1615.00,1670.00,1615.00,1640.00,2367500
21-Apr-17,1640.00,1655.00,1600.00,1620.00,1038500
20-Apr-17,1605.00,1650.00,1600.00,1640.00,801500
18-Apr-17,1625.00,1635.00,1595.00,1605.00,1812800
17-Apr-17,1620.00,1625.00,1580.00,1625.00,1147900
13-Apr-17,1545.00,1620.00,1545.00,1615.00,1003900
12-Apr-17,1600.00,1600.00,1540.00,1545.00,3475600
11-Apr-17,1625.00,1625.00,1590.00,1600.00,1019200
10-Apr-17,1640.00,1655.00,1620.00,1625.00,3630900
7-Apr-17,1640.00,1650.00,1625.00,1640.00,1160100
6-Apr-17,1565.00,1640.00,1565.00,1640.00,4517400
5-Apr-17,1550.00,1565.00,1545.00,1565.00,1017600
4-Apr-17,1540.00,1555.00,1540.00,1550.00,701200
3-Apr-17,1540.00,1545.00,1540.00,1540.00,394800
31-Mar-17,1535.00,1540.00,1500.00,1540.00,899700
30-Mar-17,1540.00,1560.00,1485.00,1535.00,518800
29-Mar-17,1490.00,1540.00,1485.00,1540.00,3786100
27-Mar-17,1490.00,1500.00,1475.00,1490.00,6987400
24-Mar-17,1460.00,1480.00,1460.00,1470.00,3391000
23-Mar-17,1470.00,1490.00,1460.00,1460.00,4680100
22-Mar-17,1515.00,1520.00,1445.00,1460.00,4176100
21-Mar-17,1525.00,1540.00,1490.00,1510.00,2690300
20-Mar-17,1580.00,1580.00,1520.00,1520.00,287500
17-Mar-17,1565.00,1575.00,1520.00,1540.00,1698500
16-Mar-17,1540.00,1585.00,1540.00,1565.00,2962800
15-Mar-17,1520.00,1540.00,1510.00,1540.00,4556000
14-Mar-17,1485.00,1520.00,1480.00,1510.00,1892900
13-Mar-17,1450.00,1500.00,1450.00,1480.00,4777700
10-Mar-17,1485.00,1495.00,1440.00,1450.00,1736000
9-Mar-17,1520.00,1520.00,1480.00,1485.00,1927100
8-Mar-17,1525.00,1535.00,1525.00,1530.00,1041400
7-Mar-17,1535.00,1550.00,1490.00,1515.00,2288700
6-Mar-17,1550.00,1550.00,1525.00,1535.00,1224300
3-Mar-17,1540.00,1560.00,1540.00,1555.00,1434700
2-Mar-17,1565.00,1570.00,1550.00,1555.00,405700
1-Mar-17,1565.00,1600.00,1555.00,1565.00,1933400
28-Feb-17,1570.00,1575.00,1560.00,1565.00,867900
27-Feb-17,1545.00,1565.00,1535.00,1565.00,497400
24-Feb-17,1545.00,1565.00,1545.00,1545.00,840200
23-Feb-17,1540.00,1550.00,1535.00,1545.00,455100
22-Feb-17,1545.00,1545.00,1530.00,1535.00,507900
21-Feb-17,1525.00,1545.00,1525.00,1545.00,1165500
20-Feb-17,1525.00,1530.00,1525.00,1525.00,806200
17-Feb-17,1535.00,1535.00,1515.00,1520.00,989900
16-Feb-17,1580.00,1580.00,1525.00,1535.00,303700
14-Feb-17,1555.00,1575.00,1545.00,1570.00,722900
13-Feb-17,1580.00,1580.00,1535.00,1555.00,4194300
10-Feb-17,1590.00,1590.00,1555.00,1570.00,1154600
9-Feb-17,1560.00,1590.00,1555.00,1590.00,988900
8-Feb-17,1560.00,1565.00,1550.00,1560.00,174900
7-Feb-17,1560.00,1565.00,1555.00,1555.00,1432700
