Date,Open,High,Low,Close,Volume
28-Jul-17,310.00,310.00,300.00,306.00,93700
27-Jul-17,350.00,350.00,350.00,350.00,8900
26-Jul-17,364.00,364.00,350.00,350.00,6600
25-Jul-17,-,-,-,364.00,0
24-Jul-17,364.00,364.00,364.00,364.00,100
21-Jul-17,364.00,364.00,364.00,364.00,12100
20-Jul-17,380.00,400.00,350.00,352.00,18300
19-Jul-17,400.00,400.00,388.00,388.00,17000
18-Jul-17,414.00,416.00,400.00,400.00,8800
17-Jul-17,422.00,422.00,412.00,414.00,235300
13-Jul-17,360.00,424.00,360.00,422.00,216800
12-Jul-17,320.00,340.00,308.00,340.00,34600
11-Jul-17,326.00,350.00,326.00,332.00,292200
10-Jul-17,340.00,350.00,308.00,308.00,165500
7-Jul-17,310.00,352.00,310.00,330.00,117000
6-Jul-17,360.00,360.00,310.00,310.00,21200
5-Jul-17,360.00,366.00,340.00,362.00,143300
22-Jun-17,350.00,350.00,322.00,350.00,27200
21-Jun-17,314.00,348.00,300.00,324.00,302400
20-Jun-17,312.00,370.00,290.00,314.00,326900
19-Jun-17,244.00,310.00,244.00,310.00,715200
16-Jun-17,195.00,248.00,195.00,248.00,154300
15-Jun-17,-,-,-,185.00,0
14-Jun-17,185.00,185.00,185.00,185.00,10000
13-Jun-17,-,-,-,195.00,0
12-Jun-17,-,-,-,195.00,0
9-Jun-17,-,-,-,195.00,0
8-Jun-17,-,-,-,195.00,0
7-Jun-17,195.00,195.00,195.00,195.00,100
6-Jun-17,-,-,-,195.00,0
5-Jun-17,190.00,195.00,190.00,195.00,263700
2-Jun-17,190.00,190.00,185.00,190.00,122000
31-May-17,204.00,204.00,197.00,204.00,87000
30-May-17,202.00,204.00,202.00,204.00,150000
29-May-17,195.00,202.00,195.00,202.00,271100
26-May-17,200.00,202.00,195.00,195.00,61200
24-May-17,202.00,206.00,202.00,206.00,202000
23-May-17,200.00,200.00,196.00,200.00,8960400
22-May-17,218.00,220.00,218.00,218.00,16200
19-May-17,210.00,218.00,206.00,218.00,210800
18-May-17,208.00,210.00,208.00,210.00,40000
17-May-17,210.00,212.00,210.00,210.00,114100
16-May-17,202.00,210.00,202.00,210.00,70700
15-May-17,204.00,208.00,200.00,202.00,263600
12-May-17,-,-,-,204.00,0
10-May-17,202.00,204.00,202.00,204.00,57400
9-May-17,204.00,204.00,204.00,204.00,15100
8-May-17,200.00,204.00,200.00,204.00,78900
5-May-17,202.00,204.00,202.00,204.00,19700
4-May-17,202.00,202.00,202.00,202.00,10000
3-May-17,200.00,204.00,200.00,200.00,35300
2-May-17,-,-,-,200.00,0
28-Apr-17,-,-,-,200.00,0
27-Apr-17,202.00,202.00,200.00,200.00,28500
26-Apr-17,-,-,-,200.00,0
25-Apr-17,202.00,202.00,200.00,200.00,216300
21-Apr-17,202.00,202.00,202.00,202.00,125000
20-Apr-17,202.00,202.00,200.00,200.00,390500
18-Apr-17,200.00,212.00,200.00,212.00,410600
17-Apr-17,210.00,210.00,200.00,200.00,335500
13-Apr-17,208.00,210.00,200.00,206.00,353700
12-Apr-17,208.00,210.00,200.00,210.00,10386000
11-Apr-17,208.00,212.00,200.00,208.00,1385400
10-Apr-17,208.00,210.00,200.00,208.00,457900
7-Apr-17,216.00,216.00,200.00,208.00,344800
6-Apr-17,220.00,220.00,206.00,208.00,467900
5-Apr-17,190.00,208.00,185.00,208.00,261000
4-Apr-17,180.00,197.00,180.00,190.00,534300
3-Apr-17,208.00,218.00,176.00,176.00,900
31-Mar-17,210.00,222.00,200.00,222.00,72600
30-Mar-17,206.00,220.00,165.00,220.00,25100
29-Mar-17,-,-,-,220.00,0
27-Mar-17,220.00,220.00,208.00,220.00,1300
24-Mar-17,212.00,240.00,208.00,208.00,18800
23-Mar-17,204.00,208.00,204.00,208.00,800
22-Mar-17,-,-,-,155.00,0
21-Mar-17,155.00,155.00,155.00,155.00,500
20-Mar-17,155.00,155.00,155.00,155.00,143000
17-Mar-17,181.00,181.00,181.00,181.00,1400
16-Mar-17,180.00,181.00,170.00,181.00,540800
15-Mar-17,210.00,210.00,180.00,180.00,191000
14-Mar-17,-,-,-,218.00,0
13-Mar-17,220.00,220.00,218.00,218.00,22500
10-Mar-17,210.00,220.00,210.00,220.00,27100
9-Mar-17,200.00,216.00,200.00,216.00,500
8-Mar-17,212.00,212.00,210.00,210.00,10600
