Date,Open,High,Low,Close,Volume
29-Dec-17,2450.00,2490.00,2380.00,2480.00,5474000
28-Dec-17,2530.00,2530.00,2430.00,2460.00,7265600
27-Dec-17,2490.00,2560.00,2470.00,2530.00,11688200
22-Dec-17,2430.00,2490.00,2420.00,2480.00,5389200
21-Dec-17,2460.00,2470.00,2390.00,2430.00,8617800
20-Dec-17,2450.00,2470.00,2380.00,2450.00,7051700
19-Dec-17,2380.00,2470.00,2370.00,2470.00,8550300
18-Dec-17,2390.00,2400.00,2330.00,2380.00,8814800
15-Dec-17,2450.00,2470.00,2370.00,2370.00,25548800
14-Dec-17,2430.00,2480.00,2400.00,2480.00,11760900
13-Dec-17,2390.00,2430.00,2390.00,2400.00,7356600
12-Dec-17,2470.00,2470.00,2360.00,2400.00,15440200
11-Dec-17,2460.00,2470.00,2430.00,2440.00,9043100
8-Dec-17,2510.00,2510.00,2410.00,2450.00,11871100
7-Dec-17,2450.00,2520.00,2370.00,2500.00,22899500
6-Dec-17,2340.00,2450.00,2300.00,2450.00,24161300
5-Dec-17,2210.00,2350.00,2210.00,2330.00,25871500
4-Dec-17,2210.00,2260.00,2180.00,2200.00,23073700
30-Nov-17,2240.00,2260.00,2180.00,2200.00,27745200
29-Nov-17,2290.00,2290.00,2220.00,2260.00,19313700
28-Nov-17,2280.00,2300.00,2240.00,2300.00,15845000
27-Nov-17,2200.00,2290.00,2200.00,2290.00,21726300
24-Nov-17,2170.00,2210.00,2150.00,2200.00,7835800
23-Nov-17,2160.00,2190.00,2150.00,2160.00,6119200
22-Nov-17,2180.00,2200.00,2160.00,2170.00,3687200
21-Nov-17,2200.00,2220.00,2150.00,2160.00,9901700
20-Nov-17,2130.00,2200.00,2130.00,2180.00,17307800
17-Nov-17,2020.00,2140.00,1995.00,2130.00,32141800
16-Nov-17,1985.00,2010.00,1975.00,2000.00,5294200
15-Nov-17,2000.00,2000.00,1980.00,1985.00,6442700
14-Nov-17,1950.00,2020.00,1950.00,2000.00,11924700
13-Nov-17,1975.00,1985.00,1950.00,1950.00,4144100
10-Nov-17,2000.00,2000.00,1965.00,1975.00,7071100
9-Nov-17,1990.00,2050.00,1975.00,1980.00,18019000
8-Nov-17,1970.00,1995.00,1970.00,1970.00,4861300
7-Nov-17,2020.00,2030.00,1970.00,1970.00,12024100
6-Nov-17,1950.00,2010.00,1935.00,2000.00,23312200
3-Nov-17,2020.00,2030.00,1945.00,1950.00,39947200
2-Nov-17,2190.00,2200.00,2030.00,2030.00,30008700
1-Nov-17,2130.00,2200.00,2130.00,2190.00,8096000
31-Oct-17,2170.00,2180.00,2130.00,2150.00,6082800
30-Oct-17,2180.00,2180.00,2130.00,2140.00,9973500
27-Oct-17,2180.00,2180.00,2120.00,2140.00,15835600
26-Oct-17,2160.00,2220.00,2150.00,2180.00,8771000
25-Oct-17,2190.00,2190.00,2150.00,2150.00,7997100
24-Oct-17,2160.00,2220.00,2150.00,2180.00,17719600
23-Oct-17,2140.00,2150.00,2110.00,2140.00,4339200
20-Oct-17,2140.00,2170.00,2120.00,2120.00,15589600
19-Oct-17,2110.00,2160.00,2100.00,2130.00,12417700
18-Oct-17,2130.00,2150.00,2100.00,2120.00,2828400
17-Oct-17,2150.00,2150.00,2100.00,2130.00,47207800
16-Oct-17,2150.00,2180.00,2140.00,2170.00,7908900
13-Oct-17,2150.00,2170.00,2140.00,2170.00,11788400
12-Oct-17,2140.00,2200.00,2140.00,2170.00,7472400
11-Oct-17,2170.00,2180.00,2140.00,2150.00,4008200
10-Oct-17,2200.00,2230.00,2160.00,2160.00,16749800
9-Oct-17,2100.00,2180.00,2090.00,2160.00,12400800
6-Oct-17,2100.00,2110.00,2080.00,2090.00,7655000
5-Oct-17,2100.00,2140.00,2080.00,2090.00,20838000
4-Oct-17,2080.00,2110.00,2050.00,2080.00,14896300
3-Oct-17,2140.00,2150.00,2080.00,2090.00,14163100
2-Oct-17,2190.00,2230.00,2110.00,2140.00,11545100
29-Sep-17,2290.00,2310.00,2170.00,2190.00,24203300
28-Sep-17,2300.00,2320.00,2280.00,2300.00,17506400
27-Sep-17,2300.00,2300.00,2230.00,2300.00,6469700
26-Sep-17,2200.00,2290.00,2190.00,2270.00,19743700
25-Sep-17,2240.00,2250.00,2150.00,2230.00,8074800
22-Sep-17,2360.00,2360.00,2200.00,2200.00,11182400
20-Sep-17,2330.00,2350.00,2290.00,2340.00,14600400
19-Sep-17,2300.00,2330.00,2280.00,2330.00,23052500
18-Sep-17,2310.00,2320.00,2250.00,2280.00,7949400
15-Sep-17,2260.00,2310.00,2230.00,2310.00,25010300
14-Sep-17,2180.00,2270.00,2180.00,2240.00,16555500
13-Sep-17,2050.00,2190.00,2030.00,2170.00,19827200
12-Sep-17,2010.00,2070.00,1960.00,2030.00,14120100
11-Sep-17,2070.00,2070.00,1960.00,1990.00,16105100
8-Sep-17,2140.00,2140.00,2030.00,2050.00,11830500
7-Sep-17,2100.00,2130.00,2080.00,2110.00,14485100
6-Sep-17,2140.00,2150.00,2060.00,2070.00,14460200
5-Sep-17,2130.00,2170.00,2120.00,2140.00,10992500
4-Sep-17,2230.00,2250.00,2120.00,2130.00,24209800
31-Aug-17,2220.00,2220.00,2160.00,2210.00,10012600
30-Aug-17,2220.00,2240.00,2160.00,2200.00,14555600
29-Aug-17,2280.00,2290.00,2220.00,2230.00,16678700
28-Aug-17,2300.00,2300.00,2270.00,2280.00,7099800
25-Aug-17,2310.00,2310.00,2270.00,2280.00,10044200
24-Aug-17,2290.00,2310.00,2250.00,2290.00,6109600
23-Aug-17,2310.00,2340.00,2250.00,2270.00,26876700
22-Aug-17,2300.00,2340.00,2290.00,2300.00,31452000
21-Aug-17,2340.00,2340.00,2290.00,2300.00,11351100
18-Aug-17,2300.00,2330.00,2300.00,2310.00,7613800
16-Aug-17,2350.00,2360.00,2300.00,2300.00,25737900
15-Aug-17,2380.00,2410.00,2340.00,2360.00,10582700
14-Aug-17,2360.00,2390.00,2320.00,2360.00,12416300
11-Aug-17,2410.00,2420.00,2340.00,2350.00,18568000
10-Aug-17,2420.00,2470.00,2400.00,2450.00,28458200
9-Aug-17,2330.00,2390.00,2330.00,2390.00,18613400
8-Aug-17,2330.00,2350.00,2310.00,2330.00,7841600
7-Aug-17,2330.00,2380.00,2300.00,2300.00,16413600
4-Aug-17,2390.00,2400.00,2320.00,2330.00,7562300
3-Aug-17,2430.00,2440.00,2370.00,2390.00,5107300
2-Aug-17,2350.00,2440.00,2330.00,2410.00,48144500
1-Aug-17,2370.00,2370.00,2300.00,2340.00,24797500
31-Jul-17,2270.00,2420.00,2270.00,2360.00,62382300
28-Jul-17,2290.00,2300.00,2240.00,2240.00,14274500
27-Jul-17,2200.00,2290.00,2170.00,2270.00,88465400
26-Jul-17,2300.00,2300.00,2160.00,2170.00,30632100
25-Jul-17,2280.00,2290.00,2250.00,2290.00,16795600
24-Jul-17,2280.00,2290.00,2250.00,2280.00,32894800
21-Jul-17,2270.00,2280.00,2250.00,2250.00,17675900
20-Jul-17,2300.00,2300.00,2270.00,2270.00,16667200
19-Jul-17,2230.00,2310.00,2230.00,2300.00,24237400
18-Jul-17,2230.00,2260.00,2190.00,2220.00,10277900
17-Jul-17,2270.00,2280.00,2240.00,2260.00,8593500
14-Jul-17,2280.00,2280.00,2190.00,2250.00,25735200
13-Jul-17,2360.00,2360.00,2250.00,2280.00,21432600
12-Jul-17,2310.00,2370.00,2290.00,2340.00,16866300
11-Jul-17,2360.00,2370.00,2280.00,2300.00,27132300
10-Jul-17,2450.00,2450.00,2340.00,2350.00,5348100
7-Jul-17,2340.00,2390.00,2340.00,2370.00,18659300
6-Jul-17,2350.00,2380.00,2310.00,2360.00,24320500
5-Jul-17,2510.00,2510.00,2320.00,2350.00,50212800
4-Jul-17,2630.00,2630.00,2520.00,2540.00,8547500
3-Jul-17,2640.00,2680.00,2590.00,2630.00,14912300
22-Jun-17,2650.00,2650.00,2560.00,2590.00,8166500
21-Jun-17,2640.00,2690.00,2590.00,2600.00,9109200
20-Jun-17,2730.00,2730.00,2650.00,2670.00,6626300
19-Jun-17,2730.00,2810.00,2700.00,2700.00,4697100
16-Jun-17,2770.00,2830.00,2750.00,2750.00,18315600
15-Jun-17,2790.00,2820.00,2760.00,2800.00,3768000
14-Jun-17,2740.00,2800.00,2710.00,2790.00,5627400
13-Jun-17,2750.00,2750.00,2670.00,2730.00,4685300
12-Jun-17,2750.00,2750.00,2700.00,2730.00,4799300
9-Jun-17,2650.00,2770.00,2650.00,2740.00,22309600
8-Jun-17,2630.00,2670.00,2610.00,2640.00,6487900
7-Jun-17,2610.00,2650.00,2560.00,2610.00,16950300
6-Jun-17,2700.00,2700.00,2600.00,2610.00,20515100
5-Jun-17,2800.00,2810.00,2680.00,2680.00,19265800
2-Jun-17,2890.00,2910.00,2780.00,2800.00,13874100
31-May-17,2760.00,2910.00,2760.00,2910.00,13460800
30-May-17,2700.00,2810.00,2700.00,2810.00,11183300
29-May-17,2790.00,2790.00,2690.00,2720.00,12406800
26-May-17,2840.00,2840.00,2760.00,2790.00,19995100
24-May-17,2840.00,2850.00,2830.00,2840.00,3544200
23-May-17,2900.00,2920.00,2830.00,2870.00,11607200
22-May-17,2890.00,3010.00,2870.00,2890.00,14122600
19-May-17,2870.00,2930.00,2830.00,2860.00,11834800
18-May-17,2860.00,2950.00,2820.00,2870.00,17378700
17-May-17,2860.00,2880.00,2850.00,2870.00,9969900
16-May-17,2850.00,2870.00,2840.00,2860.00,6069200
15-May-17,2870.00,2890.00,2840.00,2860.00,3463800
12-May-17,2900.00,2900.00,2830.00,2840.00,8312400
10-May-17,2900.00,2900.00,2830.00,2840.00,7002000
9-May-17,2870.00,2880.00,2840.00,2870.00,4209000
8-May-17,2890.00,2890.00,2820.00,2860.00,7235200
5-May-17,2830.00,2870.00,2810.00,2860.00,5757400
4-May-17,2840.00,2840.00,2790.00,2810.00,7488100
3-May-17,2880.00,2880.00,2820.00,2820.00,14408700
2-May-17,2890.00,2890.00,2830.00,2830.00,3223300
28-Apr-17,2860.00,2900.00,2840.00,2860.00,15142500
27-Apr-17,2900.00,2900.00,2850.00,2890.00,7396000
26-Apr-17,2860.00,2900.00,2840.00,2890.00,12629500
25-Apr-17,2900.00,2950.00,2830.00,2890.00,13263100
21-Apr-17,2790.00,2900.00,2790.00,2870.00,8390700
20-Apr-17,2760.00,2820.00,2760.00,2780.00,4898400
18-Apr-17,2820.00,2840.00,2790.00,2790.00,4634900
17-Apr-17,2750.00,2820.00,2750.00,2810.00,10453900
13-Apr-17,2890.00,2900.00,2730.00,2750.00,35027800
12-Apr-17,2890.00,2900.00,2870.00,2900.00,7585800
11-Apr-17,2860.00,2910.00,2830.00,2900.00,8239200
10-Apr-17,2900.00,2900.00,2780.00,2870.00,10659700
7-Apr-17,2880.00,2890.00,2850.00,2870.00,8368600
6-Apr-17,2870.00,2900.00,2870.00,2900.00,7256600
5-Apr-17,2910.00,2930.00,2870.00,2930.00,20229200
4-Apr-17,2850.00,2920.00,2850.00,2910.00,26377200
3-Apr-17,2720.00,2850.00,2720.00,2810.00,20579700
31-Mar-17,2700.00,2710.00,2650.00,2700.00,8000900
30-Mar-17,2650.00,2700.00,2610.00,2700.00,5349500
29-Mar-17,2640.00,2710.00,2640.00,2670.00,8767800
27-Mar-17,2640.00,2670.00,2630.00,2640.00,3958700
24-Mar-17,2700.00,2710.00,2660.00,2670.00,4844300
23-Mar-17,2700.00,2750.00,2680.00,2720.00,11839500
22-Mar-17,2580.00,2710.00,2540.00,2700.00,31717600
21-Mar-17,2680.00,2700.00,2580.00,2600.00,20231500
20-Mar-17,2720.00,2720.00,2630.00,2650.00,11409200
17-Mar-17,2730.00,2740.00,2670.00,2720.00,18245700
16-Mar-17,2710.00,2750.00,2690.00,2710.00,12636400
15-Mar-17,2770.00,2780.00,2700.00,2700.00,8200500
14-Mar-17,2800.00,2800.00,2760.00,2770.00,10300200
13-Mar-17,2710.00,2770.00,2690.00,2770.00,6454400
10-Mar-17,2750.00,2760.00,2680.00,2710.00,6434900
9-Mar-17,2800.00,2800.00,2730.00,2740.00,4485900
8-Mar-17,2790.00,2820.00,2760.00,2800.00,7118800
7-Mar-17,2760.00,2800.00,2740.00,2780.00,13980700
6-Mar-17,2750.00,2780.00,2720.00,2740.00,12890900
3-Mar-17,2860.00,2860.00,2740.00,2740.00,28564200
2-Mar-17,2900.00,2930.00,2880.00,2890.00,5596300
1-Mar-17,2950.00,2950.00,2830.00,2870.00,10625100
28-Feb-17,3050.00,3060.00,2900.00,2950.00,15765800
27-Feb-17,3050.00,3090.00,3050.00,3060.00,4409200
24-Feb-17,3160.00,3180.00,3100.00,3150.00,10205500
23-Feb-17,2950.00,3150.00,2940.00,3120.00,26989400
22-Feb-17,2830.00,2950.00,2830.00,2930.00,12916900
21-Feb-17,2890.00,2950.00,2800.00,2840.00,6034600
20-Feb-17,2820.00,2960.00,2820.00,2890.00,14570200
17-Feb-17,2810.00,2830.00,2780.00,2810.00,8146200
16-Feb-17,2830.00,2910.00,2800.00,2850.00,8996600
14-Feb-17,2860.00,2900.00,2840.00,2870.00,15505600
13-Feb-17,2900.00,2920.00,2850.00,2920.00,9521300
10-Feb-17,2890.00,2920.00,2860.00,2900.00,13524500
9-Feb-17,2950.00,2980.00,2910.00,2930.00,11705900
8-Feb-17,2900.00,2950.00,2900.00,2930.00,6343800
7-Feb-17,2900.00,2950.00,2900.00,2910.00,4279300
6-Feb-17,2950.00,2990.00,2900.00,2960.00,8193300
3-Feb-17,2920.00,2970.00,2920.00,2950.00,11174200
2-Feb-17,2900.00,2950.00,2870.00,2930.00,8700000
1-Feb-17,2870.00,2920.00,2840.00,2900.00,6763300
31-Jan-17,2890.00,2890.00,2820.00,2820.00,7655900
30-Jan-17,2920.00,2930.00,2840.00,2870.00,8371200
27-Jan-17,2860.00,2970.00,2850.00,2900.00,19777200
26-Jan-17,2770.00,2850.00,2770.00,2840.00,17361000
25-Jan-17,2680.00,2820.00,2660.00,2750.00,10293300
24-Jan-17,2620.00,2680.00,2620.00,2670.00,5200100
23-Jan-17,2650.00,2650.00,2560.00,2620.00,3684900
20-Jan-17,2680.00,2680.00,2650.00,2660.00,4074000
19-Jan-17,2670.00,2690.00,2670.00,2680.00,4219800
18-Jan-17,2650.00,2700.00,2650.00,2680.00,11224700
17-Jan-17,2730.00,2740.00,2660.00,2690.00,10458000
16-Jan-17,2800.00,2830.00,2760.00,2760.00,6808600
13-Jan-17,2850.00,2870.00,2760.00,2790.00,11310900
12-Jan-17,2830.00,2870.00,2810.00,2850.00,6560800
11-Jan-17,2830.00,2890.00,2770.00,2800.00,7389300
10-Jan-17,2880.00,2880.00,2790.00,2830.00,10846400
9-Jan-17,2870.00,2940.00,2850.00,2880.00,7426800
6-Jan-17,2840.00,2960.00,2840.00,2940.00,6568200
5-Jan-17,2900.00,2920.00,2850.00,2900.00,8682600
4-Jan-17,2800.00,2890.00,2760.00,2890.00,10421600
3-Jan-17,2810.00,2830.00,2750.00,2800.00,2932900
30-Dec-16,2800.00,2820.00,2790.00,2800.00,8538100
29-Dec-16,2730.00,2810.00,2730.00,2800.00,6065000
28-Dec-16,2800.00,2890.00,2790.00,2800.00,9558500
27-Dec-16,2840.00,2840.00,2770.00,2790.00,9452200
23-Dec-16,2600.00,2760.00,2580.00,2760.00,27486500
22-Dec-16,2510.00,2610.00,2470.00,2560.00,28402000
21-Dec-16,2540.00,2650.00,2460.00,2520.00,44711800
20-Dec-16,2510.00,2550.00,2480.00,2520.00,5837900
19-Dec-16,2590.00,2590.00,2510.00,2510.00,5664900
16-Dec-16,2550.00,2600.00,2510.00,2600.00,11019900
15-Dec-16,2520.00,2560.00,2500.00,2540.00,4866700
14-Dec-16,2560.00,2560.00,2530.00,2550.00,6448500
13-Dec-16,2520.00,2550.00,2500.00,2550.00,8171700
9-Dec-16,2520.00,2560.00,2510.00,2540.00,5313600
8-Dec-16,2500.00,2550.00,2500.00,2540.00,9760900
7-Dec-16,2500.00,2530.00,2470.00,2500.00,14922500
6-Dec-16,2510.00,2520.00,2490.00,2500.00,14431700
5-Dec-16,2550.00,2570.00,2490.00,2500.00,22005600
2-Dec-16,2500.00,2590.00,2500.00,2580.00,33180900
1-Dec-16,2510.00,2540.00,2470.00,2500.00,16866200
30-Nov-16,2510.00,2540.00,2480.00,2510.00,37170800
29-Nov-16,2340.00,2560.00,2320.00,2470.00,42261500
28-Nov-16,2360.00,2360.00,2280.00,2330.00,25111000
25-Nov-16,2300.00,2360.00,2290.00,2340.00,15415900
24-Nov-16,2370.00,2370.00,2280.00,2300.00,11695600
23-Nov-16,2280.00,2380.00,2280.00,2380.00,27469900
22-Nov-16,2220.00,2300.00,2210.00,2280.00,18599300
21-Nov-16,2260.00,2270.00,2210.00,2220.00,16051000
18-Nov-16,2360.00,2360.00,2250.00,2260.00,22242600
17-Nov-16,2280.00,2410.00,2230.00,2350.00,46434300
16-Nov-16,2230.00,2290.00,2130.00,2260.00,67390700
15-Nov-16,2330.00,2350.00,2170.00,2230.00,41973200
14-Nov-16,2320.00,2380.00,2240.00,2330.00,22829900
11-Nov-16,2450.00,2450.00,2260.00,2350.00,27060500
10-Nov-16,2510.00,2550.00,2460.00,2490.00,11773000
9-Nov-16,2520.00,2520.00,2350.00,2480.00,22669900
8-Nov-16,2470.00,2500.00,2400.00,2500.00,13500900
7-Nov-16,2480.00,2500.00,2420.00,2470.00,21593400
4-Nov-16,2350.00,2480.00,2330.00,2470.00,16872800
3-Nov-16,2500.00,2530.00,2370.00,2380.00,13536300
2-Nov-16,2590.00,2600.00,2490.00,2510.00,15697200
1-Nov-16,2650.00,2650.00,2580.00,2590.00,9407200
31-Oct-16,2640.00,2650.00,2590.00,2650.00,4112800
28-Oct-16,2560.00,2640.00,2560.00,2630.00,3668100
27-Oct-16,2610.00,2650.00,2580.00,2600.00,6215400
26-Oct-16,2730.00,2730.00,2650.00,2670.00,12388000
25-Oct-16,2680.00,2720.00,2650.00,2700.00,21346400
24-Oct-16,2650.00,2700.00,2620.00,2680.00,12449300
21-Oct-16,2600.00,2650.00,2550.00,2650.00,11256900
20-Oct-16,2600.00,2620.00,2590.00,2600.00,4323200
19-Oct-16,2600.00,2630.00,2580.00,2600.00,12194700
18-Oct-16,2600.00,2680.00,2580.00,2630.00,11695600
17-Oct-16,2650.00,2650.00,2580.00,2580.00,11929400
14-Oct-16,2580.00,2650.00,2550.00,2650.00,11826500
13-Oct-16,2590.00,2620.00,2540.00,2560.00,26519000
12-Oct-16,2590.00,2650.00,2570.00,2600.00,6509900
11-Oct-16,2650.00,2690.00,2580.00,2620.00,14221900
10-Oct-16,2680.00,2710.00,2650.00,2650.00,5492800
7-Oct-16,2740.00,2750.00,2650.00,2680.00,6742200
6-Oct-16,2900.00,2900.00,2720.00,2720.00,9651700
5-Oct-16,2900.00,2900.00,2820.00,2870.00,6995600
4-Oct-16,2890.00,2900.00,2860.00,2890.00,5823700
3-Oct-16,2800.00,2880.00,2800.00,2880.00,7900500
30-Sep-16,2830.00,2850.00,2780.00,2800.00,8460900
29-Sep-16,2820.00,2870.00,2820.00,2850.00,11715100
28-Sep-16,2790.00,2830.00,2770.00,2810.00,3566400
27-Sep-16,2750.00,2790.00,2710.00,2790.00,9970400
26-Sep-16,2800.00,2800.00,2730.00,2770.00,6403200
23-Sep-16,2790.00,2840.00,2780.00,2820.00,8117800
22-Sep-16,2880.00,2890.00,2770.00,2780.00,6330500
21-Sep-16,2840.00,2870.00,2750.00,2840.00,7121200
20-Sep-16,2880.00,2880.00,2770.00,2820.00,5904600
19-Sep-16,2880.00,2910.00,2820.00,2860.00,5767100
16-Sep-16,2900.00,2950.00,2810.00,2870.00,7861300
15-Sep-16,2720.00,2900.00,2720.00,2900.00,13663100
14-Sep-16,2810.00,2830.00,2680.00,2720.00,17427300
13-Sep-16,2950.00,2960.00,2800.00,2840.00,9445400
9-Sep-16,3020.00,3050.00,2920.00,2940.00,2360200
8-Sep-16,3010.00,3100.00,3000.00,3000.00,8033400
7-Sep-16,2970.00,3010.00,2960.00,3000.00,4404700
6-Sep-16,3000.00,3000.00,2940.00,3000.00,6587800
5-Sep-16,2990.00,3050.00,2950.00,3000.00,3631000
2-Sep-16,2950.00,2990.00,2920.00,2960.00,2289000
1-Sep-16,2950.00,2980.00,2910.00,2930.00,5379800
31-Aug-16,3020.00,3050.00,2900.00,3030.00,17064900
30-Aug-16,3050.00,3070.00,3000.00,3070.00,4524500
29-Aug-16,3040.00,3100.00,3000.00,3100.00,3065400
26-Aug-16,3110.00,3120.00,3010.00,3040.00,8529600
25-Aug-16,3150.00,3180.00,3110.00,3140.00,6376500
24-Aug-16,3190.00,3230.00,3140.00,3150.00,9516400
23-Aug-16,3190.00,3290.00,3180.00,3290.00,3565800
22-Aug-16,3190.00,3240.00,3160.00,3240.00,2831000
19-Aug-16,3220.00,3270.00,3120.00,3120.00,5889500
18-Aug-16,3150.00,3280.00,3140.00,3280.00,12995700
16-Aug-16,3060.00,3170.00,3030.00,3160.00,9300800
15-Aug-16,3100.00,3110.00,3020.00,3040.00,4502100
12-Aug-16,3140.00,3170.00,3050.00,3090.00,4956900
11-Aug-16,3150.00,3210.00,3090.00,3140.00,6678500
10-Aug-16,3150.00,3170.00,3100.00,3160.00,8759100
9-Aug-16,3180.00,3200.00,3100.00,3120.00,9614200
8-Aug-16,3210.00,3220.00,3170.00,3200.00,3725900
5-Aug-16,3240.00,3240.00,3190.00,3220.00,5302900
4-Aug-16,3230.00,3260.00,3160.00,3240.00,7109900
3-Aug-16,3250.00,3290.00,3220.00,3240.00,4894200
2-Aug-16,3300.00,3330.00,3280.00,3300.00,5860900
1-Aug-16,3220.00,3300.00,3210.00,3300.00,11896100
29-Jul-16,3300.00,3300.00,3160.00,3160.00,6782200
28-Jul-16,3230.00,3300.00,3230.00,3300.00,3921600
27-Jul-16,3250.00,3320.00,3230.00,3290.00,4457800
26-Jul-16,3250.00,3280.00,3240.00,3250.00,5660000
25-Jul-16,3200.00,3270.00,3190.00,3270.00,4928700
22-Jul-16,3220.00,3220.00,3130.00,3170.00,5386000
21-Jul-16,3200.00,3280.00,3180.00,3200.00,6059900
20-Jul-16,3210.00,3210.00,3180.00,3190.00,5448300
19-Jul-16,3190.00,3230.00,3180.00,3200.00,8970100
18-Jul-16,3240.00,3240.00,3180.00,3190.00,7395400
15-Jul-16,3250.00,3300.00,3180.00,3200.00,8517100
14-Jul-16,3290.00,3290.00,3250.00,3280.00,6381300
13-Jul-16,3290.00,3300.00,3220.00,3290.00,10942600
12-Jul-16,3290.00,3310.00,3220.00,3290.00,6605900
11-Jul-16,3290.00,3340.00,3220.00,3280.00,12639000
1-Jul-16,3300.00,3300.00,3210.00,3220.00,6331500
30-Jun-16,3340.00,3340.00,3250.00,3300.00,5231500
29-Jun-16,3280.00,3330.00,3280.00,3300.00,10465100
28-Jun-16,3190.00,3250.00,3190.00,3230.00,5663800
27-Jun-16,3220.00,3250.00,3210.00,3240.00,2810300
24-Jun-16,3340.00,3340.00,3170.00,3260.00,6729500
23-Jun-16,3250.00,3360.00,3250.00,3340.00,3409000
22-Jun-16,3350.00,3350.00,3330.00,3340.00,3839600
21-Jun-16,3300.00,3350.00,3280.00,3330.00,12797400
20-Jun-16,3320.00,3320.00,3250.00,3280.00,6849900
17-Jun-16,3210.00,3320.00,3170.00,3320.00,7977800
16-Jun-16,3160.00,3170.00,3130.00,3160.00,6289000
15-Jun-16,3190.00,3210.00,3120.00,3180.00,10042200
14-Jun-16,3170.00,3200.00,3170.00,3180.00,4286800
13-Jun-16,3210.00,3210.00,3160.00,3170.00,8003300
10-Jun-16,3270.00,3290.00,3230.00,3230.00,5038600
9-Jun-16,3350.00,3360.00,3210.00,3230.00,18375900
8-Jun-16,3440.00,3440.00,3270.00,3340.00,14406100
7-Jun-16,3380.00,3450.00,3370.00,3440.00,4366400
6-Jun-16,3380.00,3400.00,3310.00,3360.00,5944600
3-Jun-16,3460.00,3480.00,3370.00,3380.00,7001800
2-Jun-16,3420.00,3550.00,3400.00,3460.00,7373300
1-Jun-16,3340.00,3450.00,3340.00,3410.00,4870700
31-May-16,3380.00,3400.00,3340.00,3350.00,10808500
30-May-16,3410.00,3490.00,3360.00,3380.00,3022400
27-May-16,3400.00,3440.00,3380.00,3440.00,6133000
26-May-16,3480.00,3490.00,3360.00,3400.00,5108100
25-May-16,3320.00,3540.00,3320.00,3500.00,16045600
24-May-16,3290.00,3320.00,3270.00,3280.00,2850900
23-May-16,3240.00,3300.00,3240.00,3300.00,1647300
20-May-16,3350.00,3370.00,3240.00,3260.00,5538600
19-May-16,3260.00,3350.00,3200.00,3350.00,4354800
18-May-16,3330.00,3340.00,3290.00,3310.00,9198900
17-May-16,3240.00,3320.00,3210.00,3320.00,4833100
16-May-16,3300.00,3300.00,3170.00,3270.00,4579400
13-May-16,3150.00,3360.00,3110.00,3360.00,3357700
12-May-16,3090.00,3200.00,3090.00,3100.00,5640700
11-May-16,3150.00,3210.00,3090.00,3090.00,4386800
10-May-16,3200.00,3210.00,3070.00,3120.00,5433500
9-May-16,3390.00,3400.00,3240.00,3240.00,10629900
4-May-16,3240.00,3390.00,3240.00,3390.00,4807200
3-May-16,3300.00,3390.00,3280.00,3320.00,8800800
2-May-16,3140.00,3330.00,3130.00,3280.00,4086100
29-Apr-16,3205.00,3205.00,3150.00,3200.00,2475800
28-Apr-16,3080.00,3200.00,3060.00,3200.00,4839200
27-Apr-16,3100.00,3105.00,3010.00,3090.00,3901000
26-Apr-16,3120.00,3165.00,3110.00,3115.00,2749600
25-Apr-16,3210.00,3210.00,3130.00,3165.00,2283600
22-Apr-16,3200.00,3205.00,3170.00,3200.00,1797400
21-Apr-16,3195.00,3220.00,3185.00,3210.00,3057900
20-Apr-16,3100.00,3215.00,3100.00,3195.00,4908300
19-Apr-16,3100.00,3105.00,3085.00,3105.00,4994500
18-Apr-16,3045.00,3125.00,3035.00,3125.00,2432900
15-Apr-16,3150.00,3150.00,3025.00,3050.00,5129900
14-Apr-16,3255.00,3255.00,3120.00,3125.00,5137400
13-Apr-16,3200.00,3225.00,3155.00,3210.00,3670000
12-Apr-16,3150.00,3200.00,3085.00,3200.00,5777800
11-Apr-16,3200.00,3250.00,3125.00,3165.00,8223700
8-Apr-16,3105.00,3290.00,3105.00,3250.00,7520100
7-Apr-16,3160.00,3245.00,3115.00,3180.00,8115500
6-Apr-16,3200.00,3205.00,3190.00,3195.00,8343700
5-Apr-16,3250.00,3265.00,3185.00,3200.00,7745800
4-Apr-16,3245.00,3295.00,3215.00,3250.00,9722300
1-Apr-16,3160.00,3305.00,3160.00,3245.00,9366200
31-Mar-16,3170.00,3175.00,3080.00,3140.00,7071700
30-Mar-16,3295.00,3295.00,3140.00,3170.00,7989200
29-Mar-16,3190.00,3320.00,3170.00,3250.00,12349000
28-Mar-16,3040.00,3200.00,3040.00,3190.00,3751300
24-Mar-16,3000.00,3100.00,2985.00,3100.00,3249600
23-Mar-16,3150.00,3150.00,2960.00,3030.00,7280700
22-Mar-16,3060.00,3135.00,3060.00,3115.00,6954500
21-Mar-16,3105.00,3185.00,3105.00,3155.00,9289400
18-Mar-16,2995.00,3095.00,2990.00,3095.00,15161000
17-Mar-16,2990.00,2995.00,2950.00,2980.00,6762800
16-Mar-16,2970.00,2985.00,2875.00,2955.00,6483500
15-Mar-16,2950.00,2990.00,2895.00,2965.00,6430000
14-Mar-16,2950.00,2950.00,2910.00,2930.00,4170000
11-Mar-16,2875.00,2920.00,2850.00,2900.00,7039500
