Date,Open,High,Low,Close,Volume
29-Dec-17,790.00,795.00,785.00,790.00,2236100
28-Dec-17,790.00,790.00,780.00,790.00,1811700
27-Dec-17,790.00,790.00,780.00,790.00,2338700
22-Dec-17,790.00,790.00,785.00,790.00,1767300
21-Dec-17,785.00,795.00,780.00,790.00,2350200
20-Dec-17,780.00,790.00,775.00,785.00,1953300
19-Dec-17,765.00,780.00,765.00,780.00,2064700
18-Dec-17,780.00,780.00,765.00,770.00,1163200
15-Dec-17,790.00,790.00,780.00,780.00,668600
14-Dec-17,790.00,795.00,780.00,790.00,1892100
13-Dec-17,790.00,800.00,790.00,795.00,2010600
12-Dec-17,800.00,800.00,790.00,790.00,1326600
11-Dec-17,800.00,800.00,790.00,800.00,5469900
8-Dec-17,800.00,800.00,795.00,800.00,3077800
7-Dec-17,795.00,800.00,790.00,800.00,2799700
6-Dec-17,775.00,795.00,775.00,795.00,3374700
5-Dec-17,770.00,775.00,765.00,775.00,3119300
4-Dec-17,765.00,770.00,760.00,770.00,3190800
30-Nov-17,765.00,765.00,765.00,765.00,3051000
29-Nov-17,760.00,765.00,760.00,765.00,2761400
28-Nov-17,770.00,770.00,745.00,760.00,2708700
27-Nov-17,765.00,770.00,760.00,770.00,2055500
24-Nov-17,765.00,765.00,760.00,765.00,2541400
23-Nov-17,765.00,765.00,760.00,765.00,2727500
22-Nov-17,765.00,770.00,765.00,765.00,2123000
21-Nov-17,765.00,765.00,755.00,765.00,3329100
20-Nov-17,765.00,770.00,760.00,765.00,3225900
17-Nov-17,755.00,765.00,755.00,765.00,2843300
16-Nov-17,755.00,765.00,750.00,755.00,3294400
15-Nov-17,765.00,765.00,755.00,755.00,2773400
14-Nov-17,770.00,770.00,760.00,765.00,3034100
13-Nov-17,765.00,770.00,765.00,770.00,3098300
10-Nov-17,770.00,770.00,765.00,770.00,2972400
9-Nov-17,770.00,775.00,770.00,770.00,2317200
8-Nov-17,775.00,775.00,770.00,770.00,2678400
7-Nov-17,775.00,775.00,770.00,775.00,3658100
6-Nov-17,775.00,780.00,770.00,775.00,3468800
3-Nov-17,775.00,775.00,770.00,775.00,2821500
2-Nov-17,780.00,780.00,770.00,775.00,2973000
1-Nov-17,780.00,780.00,770.00,780.00,3456000
31-Oct-17,785.00,785.00,770.00,780.00,1804200
30-Oct-17,785.00,790.00,780.00,785.00,2957500
27-Oct-17,795.00,795.00,785.00,790.00,2873400
26-Oct-17,795.00,800.00,790.00,795.00,3040500
25-Oct-17,790.00,795.00,785.00,795.00,4345100
24-Oct-17,790.00,790.00,780.00,790.00,4083800
23-Oct-17,785.00,795.00,785.00,790.00,3573900
20-Oct-17,780.00,785.00,780.00,785.00,2835600
19-Oct-17,780.00,780.00,770.00,780.00,3047800
18-Oct-17,775.00,785.00,770.00,780.00,3970500
17-Oct-17,775.00,780.00,775.00,780.00,3876700
16-Oct-17,785.00,785.00,760.00,775.00,3715900
13-Oct-17,785.00,790.00,780.00,785.00,3855700
12-Oct-17,785.00,795.00,785.00,785.00,3488300
11-Oct-17,785.00,790.00,780.00,785.00,3065700
10-Oct-17,785.00,785.00,780.00,785.00,3539700
9-Oct-17,790.00,790.00,775.00,785.00,3214000
6-Oct-17,790.00,795.00,785.00,790.00,2213600
5-Oct-17,785.00,795.00,780.00,795.00,3590300
4-Oct-17,790.00,795.00,780.00,790.00,2432800
3-Oct-17,790.00,795.00,785.00,790.00,2676200
2-Oct-17,790.00,800.00,790.00,795.00,2765900
29-Sep-17,795.00,800.00,785.00,795.00,4208600
28-Sep-17,790.00,800.00,775.00,800.00,4528400
27-Sep-17,740.00,790.00,740.00,790.00,4287800
26-Sep-17,750.00,755.00,735.00,740.00,1827200
25-Sep-17,750.00,765.00,750.00,750.00,2490600
22-Sep-17,760.00,765.00,750.00,755.00,1742700
20-Sep-17,765.00,770.00,760.00,765.00,2299700
19-Sep-17,765.00,770.00,760.00,770.00,1730500
18-Sep-17,765.00,770.00,760.00,770.00,2406700
15-Sep-17,740.00,765.00,740.00,760.00,2149600
14-Sep-17,735.00,735.00,710.00,735.00,1437300
13-Sep-17,795.00,795.00,710.00,730.00,3139100
12-Sep-17,810.00,815.00,790.00,795.00,2376600
11-Sep-17,790.00,815.00,790.00,810.00,4432700
8-Sep-17,785.00,795.00,785.00,790.00,2406400
7-Sep-17,775.00,785.00,775.00,785.00,1978700
6-Sep-17,795.00,795.00,760.00,775.00,1944200
5-Sep-17,795.00,800.00,790.00,795.00,2611800
4-Sep-17,795.00,800.00,795.00,795.00,2430000
31-Aug-17,795.00,795.00,790.00,795.00,1766800
30-Aug-17,800.00,800.00,790.00,795.00,2353600
29-Aug-17,800.00,805.00,790.00,800.00,2413100
28-Aug-17,805.00,810.00,795.00,800.00,1537500
25-Aug-17,815.00,820.00,800.00,810.00,1360100
24-Aug-17,825.00,825.00,810.00,820.00,1325400
23-Aug-17,795.00,825.00,790.00,825.00,5717800
22-Aug-17,820.00,825.00,800.00,800.00,3034000
21-Aug-17,795.00,820.00,785.00,820.00,5052700
18-Aug-17,795.00,805.00,785.00,800.00,3130300
16-Aug-17,775.00,800.00,770.00,795.00,4473200
15-Aug-17,775.00,785.00,770.00,775.00,2962100
14-Aug-17,765.00,785.00,760.00,775.00,4609900
11-Aug-17,770.00,780.00,765.00,765.00,3190600
10-Aug-17,730.00,770.00,720.00,770.00,4357100
9-Aug-17,750.00,750.00,710.00,730.00,2685800
8-Aug-17,760.00,760.00,745.00,750.00,2592200
7-Aug-17,785.00,785.00,765.00,765.00,2333400
4-Aug-17,775.00,790.00,770.00,785.00,4874400
3-Aug-17,805.00,805.00,765.00,780.00,3526100
2-Aug-17,825.00,830.00,805.00,805.00,4389100
1-Aug-17,805.00,830.00,805.00,830.00,6572900
31-Jul-17,790.00,815.00,785.00,805.00,7016300
28-Jul-17,765.00,795.00,745.00,790.00,6093900
27-Jul-17,775.00,785.00,770.00,775.00,5191500
26-Jul-17,780.00,790.00,775.00,780.00,4873200
25-Jul-17,775.00,795.00,775.00,785.00,5914400
24-Jul-17,755.00,780.00,745.00,775.00,6691400
21-Jul-17,760.00,765.00,750.00,755.00,4669200
20-Jul-17,760.00,770.00,760.00,765.00,3933700
19-Jul-17,765.00,775.00,755.00,760.00,6663000
18-Jul-17,740.00,775.00,740.00,765.00,9225400
17-Jul-17,735.00,745.00,735.00,745.00,4766400
14-Jul-17,730.00,740.00,730.00,740.00,5196100
13-Jul-17,730.00,745.00,725.00,740.00,5332900
12-Jul-17,725.00,750.00,720.00,730.00,6318500
11-Jul-17,715.00,725.00,715.00,720.00,5259700
10-Jul-17,725.00,725.00,710.00,715.00,3206900
7-Jul-17,725.00,730.00,715.00,720.00,4422700
