Date,Open,High,Low,Close,Volume
6-Nov-15,83.00,83.00,83.00,83.00,60000
5-Nov-15,92.00,92.00,92.00,92.00,136500
4-Nov-15,102.00,102.00,102.00,102.00,480300
3-Nov-15,113.00,113.00,113.00,113.00,2591700
30-Oct-15,125.00,125.00,125.00,125.00,861600
29-Oct-15,138.00,138.00,138.00,138.00,1043500
28-Oct-15,153.00,153.00,153.00,153.00,1228100
27-Oct-15,178.00,178.00,169.00,169.00,4562700
26-Oct-15,187.00,206.00,187.00,187.00,8728600
23-Oct-15,230.00,231.00,207.00,207.00,193186500
22-Oct-15,227.00,230.00,226.00,230.00,640871800
21-Oct-15,234.00,234.00,221.00,227.00,644940200
20-Oct-15,232.00,236.00,230.00,234.00,549334200
19-Oct-15,235.00,238.00,232.00,232.00,617632700
16-Oct-15,231.00,237.00,227.00,235.00,856846900
15-Oct-15,220.00,232.00,220.00,231.00,584762300
13-Oct-15,224.00,229.00,220.00,220.00,597400400
12-Oct-15,214.00,232.00,214.00,223.00,981783200
9-Oct-15,220.00,220.00,213.00,214.00,647357600
8-Oct-15,217.00,221.00,211.00,220.00,673573500
7-Oct-15,219.00,219.00,213.00,216.00,783871500
6-Oct-15,220.00,222.00,216.00,219.00,521248100
5-Oct-15,217.00,221.00,209.00,219.00,602813700
2-Oct-15,221.00,225.00,216.00,217.00,1006029100
1-Oct-15,212.00,224.00,211.00,221.00,622400200
30-Sep-15,208.00,214.00,205.00,211.00,626859700
29-Sep-15,205.00,209.00,198.00,206.00,902844500
28-Sep-15,197.00,211.00,197.00,205.00,569372800
25-Sep-15,189.00,197.00,188.00,197.00,657489200
23-Sep-15,194.00,194.00,189.00,189.00,1005327300
22-Sep-15,195.00,201.00,192.00,193.00,534146500
21-Sep-15,190.00,195.00,189.00,194.00,660254900
18-Sep-15,185.00,190.00,184.00,190.00,972542000
17-Sep-15,180.00,189.00,180.00,185.00,512338100
16-Sep-15,181.00,186.00,177.00,180.00,756701600
15-Sep-15,184.00,184.00,174.00,183.00,935903300
14-Sep-15,186.00,186.00,182.00,184.00,474091300
11-Sep-15,188.00,188.00,184.00,186.00,640692500
10-Sep-15,189.00,191.00,185.00,188.00,1002711300
9-Sep-15,193.00,193.00,182.00,189.00,588876100
8-Sep-15,193.00,194.00,189.00,193.00,663177300
7-Sep-15,195.00,196.00,188.00,193.00,905226100
4-Sep-15,196.00,199.00,188.00,195.00,610303300
3-Sep-15,189.00,196.00,189.00,195.00,667871100
2-Sep-15,185.00,189.00,167.00,189.00,1037026400
1-Sep-15,179.00,187.00,178.00,185.00,536434100
31-Aug-15,175.00,179.00,166.00,179.00,646705100
28-Aug-15,170.00,175.00,170.00,175.00,886081700
27-Aug-15,170.00,171.00,168.00,170.00,621236200
26-Aug-15,162.00,170.00,159.00,169.00,713547500
25-Aug-15,173.00,173.00,162.00,162.00,936783900
24-Aug-15,182.00,182.00,170.00,173.00,444007400
21-Aug-15,184.00,184.00,180.00,182.00,672262800
20-Aug-15,184.00,185.00,180.00,185.00,936971200
19-Aug-15,175.00,185.00,175.00,184.00,369258700
18-Aug-15,186.00,187.00,180.00,185.00,487984500
14-Aug-15,188.00,188.00,184.00,186.00,428707600
13-Aug-15,187.00,189.00,179.00,188.00,384376400
12-Aug-15,190.00,190.00,184.00,187.00,444635400
11-Aug-15,189.00,191.00,184.00,190.00,481332200
10-Aug-15,189.00,189.00,185.00,188.00,393790200
7-Aug-15,188.00,189.00,186.00,189.00,455465800
6-Aug-15,189.00,190.00,183.00,188.00,428270800
5-Aug-15,189.00,191.00,188.00,189.00,443267500
4-Aug-15,190.00,190.00,187.00,188.00,465333900
3-Aug-15,190.00,192.00,188.00,189.00,344605400
