Date,Open,High,Low,Close,Volume
29-Dec-17,545.00,550.00,540.00,545.00,4722500
28-Dec-17,545.00,550.00,535.00,540.00,5252400
27-Dec-17,530.00,560.00,530.00,545.00,1965500
22-Dec-17,545.00,550.00,545.00,550.00,537700
21-Dec-17,550.00,550.00,540.00,545.00,1383900
20-Dec-17,545.00,555.00,530.00,550.00,3400800
19-Dec-17,530.00,550.00,530.00,550.00,5036200
18-Dec-17,545.00,555.00,515.00,530.00,9172800
15-Dec-17,555.00,560.00,545.00,545.00,2399900
14-Dec-17,545.00,555.00,535.00,550.00,9756800
13-Dec-17,555.00,555.00,540.00,545.00,6492800
12-Dec-17,555.00,560.00,535.00,555.00,6307100
11-Dec-17,555.00,560.00,550.00,555.00,13180300
8-Dec-17,515.00,555.00,515.00,550.00,33473200
7-Dec-17,505.00,515.00,500.00,515.00,4014200
6-Dec-17,498.00,510.00,496.00,505.00,5801400
5-Dec-17,505.00,505.00,494.00,498.00,3531900
4-Dec-17,494.00,510.00,494.00,500.00,2717300
30-Nov-17,498.00,500.00,494.00,500.00,7272200
29-Nov-17,505.00,510.00,498.00,498.00,3379800
28-Nov-17,505.00,510.00,496.00,505.00,3836700
27-Nov-17,505.00,510.00,500.00,505.00,1256500
24-Nov-17,515.00,515.00,505.00,505.00,2420600
23-Nov-17,510.00,515.00,505.00,510.00,2742400
22-Nov-17,515.00,520.00,505.00,510.00,3988700
21-Nov-17,520.00,520.00,510.00,515.00,2119100
20-Nov-17,520.00,525.00,515.00,520.00,2488700
17-Nov-17,525.00,530.00,510.00,510.00,1964600
16-Nov-17,530.00,535.00,520.00,525.00,1460900
15-Nov-17,530.00,540.00,530.00,535.00,6837900
14-Nov-17,530.00,535.00,530.00,530.00,3447100
13-Nov-17,535.00,535.00,525.00,530.00,2621400
10-Nov-17,535.00,535.00,525.00,535.00,3756100
9-Nov-17,525.00,550.00,525.00,535.00,18950900
8-Nov-17,510.00,530.00,510.00,530.00,9958400
7-Nov-17,510.00,515.00,505.00,510.00,3621100
6-Nov-17,500.00,515.00,500.00,505.00,4701900
3-Nov-17,500.00,505.00,498.00,500.00,4543000
2-Nov-17,500.00,505.00,498.00,498.00,669500
1-Nov-17,492.00,500.00,492.00,500.00,2866900
31-Oct-17,500.00,500.00,492.00,492.00,5246900
30-Oct-17,500.00,510.00,496.00,496.00,6424000
27-Oct-17,510.00,510.00,500.00,500.00,1983800
26-Oct-17,510.00,520.00,505.00,510.00,7631400
25-Oct-17,490.00,515.00,490.00,510.00,10848200
24-Oct-17,490.00,498.00,486.00,488.00,3064300
23-Oct-17,494.00,498.00,488.00,488.00,2036000
20-Oct-17,494.00,500.00,488.00,496.00,4540300
19-Oct-17,496.00,505.00,492.00,492.00,13201400
18-Oct-17,482.00,496.00,476.00,496.00,11067900
17-Oct-17,456.00,496.00,450.00,480.00,16212400
16-Oct-17,462.00,470.00,454.00,456.00,1832600
13-Oct-17,438.00,470.00,438.00,462.00,16616400
12-Oct-17,438.00,444.00,436.00,436.00,13276200
11-Oct-17,442.00,452.00,438.00,438.00,10739400
10-Oct-17,448.00,452.00,438.00,442.00,12617800
9-Oct-17,454.00,456.00,446.00,446.00,3419200
6-Oct-17,456.00,458.00,454.00,454.00,4767900
5-Oct-17,462.00,464.00,454.00,456.00,2873600
4-Oct-17,466.00,466.00,460.00,460.00,4126500
3-Oct-17,470.00,470.00,458.00,466.00,1814100
2-Oct-17,472.00,472.00,466.00,466.00,1412500
29-Sep-17,470.00,480.00,470.00,472.00,1230000
28-Sep-17,470.00,480.00,466.00,470.00,3234200
27-Sep-17,476.00,476.00,464.00,468.00,2934300
26-Sep-17,480.00,486.00,476.00,476.00,2356500
25-Sep-17,484.00,484.00,478.00,478.00,2603800
22-Sep-17,488.00,488.00,482.00,484.00,2938400
20-Sep-17,490.00,492.00,486.00,488.00,1462700
19-Sep-17,488.00,494.00,488.00,490.00,896500
18-Sep-17,492.00,492.00,484.00,488.00,1734200
15-Sep-17,492.00,494.00,490.00,492.00,1655800
14-Sep-17,492.00,494.00,490.00,492.00,1787700
13-Sep-17,494.00,494.00,492.00,492.00,884000
12-Sep-17,496.00,496.00,494.00,496.00,317600
11-Sep-17,496.00,496.00,492.00,494.00,554300
8-Sep-17,494.00,498.00,492.00,494.00,600500
7-Sep-17,496.00,496.00,494.00,494.00,641300
6-Sep-17,498.00,498.00,494.00,498.00,572600
5-Sep-17,496.00,498.00,492.00,498.00,886600
4-Sep-17,500.00,500.00,494.00,496.00,668400
31-Aug-17,498.00,500.00,496.00,500.00,2512000
30-Aug-17,498.00,498.00,496.00,496.00,1293400
29-Aug-17,500.00,500.00,496.00,498.00,597300
28-Aug-17,505.00,505.00,500.00,500.00,49000
25-Aug-17,500.00,505.00,500.00,500.00,843200
24-Aug-17,500.00,505.00,500.00,505.00,1052500
23-Aug-17,500.00,505.00,500.00,500.00,682300
22-Aug-17,500.00,505.00,500.00,500.00,565400
21-Aug-17,505.00,510.00,500.00,500.00,2618700
18-Aug-17,505.00,510.00,500.00,500.00,375200
16-Aug-17,500.00,510.00,500.00,505.00,2193500
15-Aug-17,505.00,505.00,498.00,500.00,950900
14-Aug-17,498.00,505.00,498.00,500.00,317600
11-Aug-17,500.00,505.00,496.00,498.00,5636700
10-Aug-17,500.00,505.00,500.00,500.00,694400
9-Aug-17,500.00,510.00,500.00,500.00,2949100
8-Aug-17,500.00,505.00,500.00,500.00,2792800
7-Aug-17,496.00,505.00,496.00,500.00,3593500
4-Aug-17,498.00,500.00,496.00,496.00,784500
3-Aug-17,500.00,500.00,498.00,498.00,327700
2-Aug-17,498.00,500.00,496.00,500.00,891300
1-Aug-17,500.00,500.00,496.00,498.00,836100
31-Jul-17,500.00,500.00,494.00,500.00,697900
28-Jul-17,505.00,505.00,496.00,496.00,1521800
27-Jul-17,500.00,505.00,496.00,500.00,1506400
26-Jul-17,500.00,500.00,498.00,500.00,932900
25-Jul-17,505.00,510.00,500.00,500.00,6464100
24-Jul-17,505.00,505.00,500.00,505.00,4435400
21-Jul-17,510.00,510.00,500.00,505.00,1528800
20-Jul-17,510.00,510.00,505.00,510.00,2361800
19-Jul-17,510.00,515.00,505.00,510.00,1460000
18-Jul-17,505.00,515.00,505.00,510.00,8326200
17-Jul-17,510.00,515.00,505.00,505.00,2156000
14-Jul-17,505.00,515.00,500.00,510.00,6925900
13-Jul-17,510.00,510.00,500.00,505.00,3077100
12-Jul-17,500.00,510.00,500.00,505.00,8019300
11-Jul-17,498.00,505.00,496.00,500.00,9028800
10-Jul-17,490.00,500.00,490.00,498.00,4582300
7-Jul-17,492.00,492.00,484.00,488.00,3912600
6-Jul-17,490.00,494.00,490.00,492.00,2615700
5-Jul-17,494.00,500.00,490.00,492.00,4392400
4-Jul-17,498.00,500.00,492.00,494.00,2755500
3-Jul-17,498.00,505.00,494.00,496.00,3233200
22-Jun-17,498.00,500.00,496.00,498.00,1250700
21-Jun-17,498.00,500.00,494.00,498.00,3193100
20-Jun-17,500.00,505.00,496.00,496.00,3142200
19-Jun-17,498.00,500.00,498.00,500.00,2382600
16-Jun-17,498.00,500.00,496.00,498.00,15127300
15-Jun-17,510.00,510.00,498.00,498.00,7833200
14-Jun-17,510.00,510.00,500.00,500.00,3418200
13-Jun-17,505.00,510.00,500.00,505.00,16284200
12-Jun-17,515.00,515.00,500.00,505.00,10063000
9-Jun-17,505.00,515.00,505.00,510.00,881100
8-Jun-17,515.00,515.00,505.00,510.00,1852500
7-Jun-17,515.00,515.00,510.00,510.00,1120600
6-Jun-17,510.00,515.00,510.00,510.00,902800
5-Jun-17,515.00,515.00,510.00,510.00,1452700
2-Jun-17,510.00,515.00,510.00,515.00,2630300
31-May-17,515.00,515.00,510.00,510.00,2230200
30-May-17,520.00,520.00,510.00,515.00,6558300
29-May-17,535.00,535.00,510.00,515.00,7508800
26-May-17,535.00,545.00,535.00,540.00,6423000
24-May-17,535.00,545.00,530.00,535.00,7315200
23-May-17,545.00,545.00,535.00,535.00,9498600
22-May-17,535.00,555.00,530.00,540.00,16058100
19-May-17,530.00,535.00,525.00,530.00,7431700
18-May-17,530.00,535.00,525.00,530.00,11680400
17-May-17,535.00,535.00,525.00,525.00,4322300
16-May-17,530.00,540.00,530.00,535.00,3764800
15-May-17,530.00,540.00,530.00,530.00,2665800
12-May-17,540.00,550.00,530.00,530.00,6507100
