Date,Open,High,Low,Close,Volume
29-Dec-17,188.00,192.00,186.00,186.00,4559300
28-Dec-17,189.00,189.00,187.00,188.00,3778900
27-Dec-17,190.00,190.00,187.00,189.00,3201800
22-Dec-17,190.00,191.00,186.00,188.00,3128000
21-Dec-17,192.00,193.00,189.00,189.00,5568900
20-Dec-17,188.00,195.00,188.00,191.00,4975900
19-Dec-17,190.00,191.00,188.00,188.00,42121900
18-Dec-17,198.00,206.00,187.00,190.00,16157900
15-Dec-17,202.00,208.00,198.00,198.00,5025900
14-Dec-17,212.00,220.00,204.00,204.00,16104700
13-Dec-17,236.00,246.00,210.00,212.00,21956200
12-Dec-17,214.00,260.00,212.00,234.00,32769500
11-Dec-17,218.00,222.00,210.00,216.00,6289400
8-Dec-17,224.00,230.00,218.00,218.00,1727400
7-Dec-17,236.00,236.00,224.00,226.00,1937900
6-Dec-17,264.00,270.00,236.00,236.00,9579400
5-Dec-17,278.00,308.00,264.00,264.00,24101000
4-Dec-17,302.00,316.00,278.00,278.00,18438200
30-Nov-17,312.00,332.00,300.00,302.00,27153600
29-Nov-17,310.00,320.00,310.00,312.00,14043300
28-Nov-17,312.00,314.00,310.00,310.00,5304800
27-Nov-17,324.00,334.00,288.00,312.00,21020700
24-Nov-17,338.00,348.00,318.00,322.00,10137100
23-Nov-17,340.00,354.00,332.00,338.00,15361700
22-Nov-17,362.00,374.00,332.00,342.00,22620300
21-Nov-17,392.00,398.00,358.00,362.00,16173300
20-Nov-17,400.00,426.00,386.00,392.00,25577900
17-Nov-17,408.00,438.00,398.00,402.00,20649700
16-Nov-17,404.00,414.00,402.00,408.00,4266200
15-Nov-17,408.00,412.00,402.00,406.00,57167000
14-Nov-17,400.00,410.00,398.00,408.00,12737600
13-Nov-17,392.00,400.00,390.00,400.00,7716200
10-Nov-17,388.00,394.00,382.00,392.00,22347300
9-Nov-17,384.00,390.00,378.00,388.00,10142500
8-Nov-17,444.00,444.00,344.00,384.00,30757200
7-Nov-17,605.00,615.00,458.00,458.00,7101200
6-Nov-17,540.00,615.00,540.00,610.00,23624000
3-Nov-17,560.00,570.00,540.00,540.00,4434400
2-Nov-17,570.00,580.00,560.00,565.00,5390700
1-Nov-17,575.00,585.00,570.00,575.00,6391700
31-Oct-17,565.00,580.00,560.00,570.00,7429700
30-Oct-17,570.00,575.00,565.00,565.00,6679800
27-Oct-17,570.00,595.00,560.00,565.00,10911900
26-Oct-17,595.00,605.00,535.00,565.00,23399000
25-Oct-17,545.00,610.00,540.00,600.00,30537500
24-Oct-17,505.00,545.00,505.00,545.00,20587500
23-Oct-17,494.00,520.00,494.00,500.00,4901200
20-Oct-17,486.00,500.00,484.00,494.00,3475100
19-Oct-17,490.00,500.00,484.00,486.00,5152000
18-Oct-17,496.00,500.00,490.00,490.00,5332900
17-Oct-17,494.00,510.00,494.00,498.00,5409800
16-Oct-17,484.00,496.00,482.00,494.00,6262500
13-Oct-17,460.00,482.00,460.00,482.00,5890600
12-Oct-17,446.00,460.00,440.00,460.00,7103500
11-Oct-17,398.00,442.00,398.00,442.00,10878100
10-Oct-17,380.00,400.00,380.00,400.00,600
9-Oct-17,390.00,390.00,372.00,372.00,2400
6-Oct-17,390.00,390.00,372.00,372.00,2100
5-Oct-17,-,-,-,400.00,0
4-Oct-17,340.00,400.00,340.00,400.00,7300
3-Oct-17,-,-,-,390.00,0
2-Oct-17,-,-,-,390.00,0
29-Sep-17,-,-,-,390.00,0
28-Sep-17,-,-,-,390.00,0
27-Sep-17,360.00,410.00,360.00,390.00,3800
26-Sep-17,380.00,380.00,360.00,360.00,3600
25-Sep-17,380.00,390.00,380.00,388.00,7100
22-Sep-17,390.00,392.00,390.00,390.00,13300
20-Sep-17,420.00,420.00,380.00,404.00,11000
19-Sep-17,480.00,480.00,400.00,400.00,15500
18-Sep-17,400.00,400.00,400.00,400.00,10000
15-Sep-17,414.00,414.00,400.00,400.00,13500
14-Sep-17,488.00,488.00,410.00,442.00,20100
13-Sep-17,402.00,444.00,400.00,400.00,67000
12-Sep-17,498.00,498.00,490.00,490.00,500
11-Sep-17,420.00,490.00,420.00,490.00,2700
8-Sep-17,420.00,420.00,410.00,410.00,17900
7-Sep-17,-,-,-,490.00,0
6-Sep-17,-,-,-,490.00,0
5-Sep-17,490.00,490.00,490.00,490.00,6400
4-Sep-17,520.00,520.00,500.00,500.00,27600
31-Aug-17,510.00,585.00,500.00,520.00,120500
30-Aug-17,505.00,590.00,484.00,550.00,665800
29-Aug-17,470.00,550.00,432.00,545.00,300800
28-Aug-17,482.00,482.00,462.00,462.00,27000
25-Aug-17,-,-,-,482.00,0
24-Aug-17,460.00,500.00,460.00,482.00,21800
23-Aug-17,480.00,515.00,480.00,480.00,138000
22-Aug-17,520.00,520.00,474.00,480.00,7200
21-Aug-17,540.00,540.00,535.00,535.00,5000
18-Aug-17,520.00,530.00,500.00,525.00,21500
16-Aug-17,462.00,555.00,462.00,505.00,377700
15-Aug-17,575.00,575.00,500.00,500.00,404000
14-Aug-17,510.00,595.00,510.00,550.00,645300
11-Aug-17,570.00,570.00,500.00,500.00,67600
10-Aug-17,500.00,600.00,488.00,570.00,1087400
9-Aug-17,404.00,500.00,404.00,488.00,379500
8-Aug-17,322.00,402.00,288.00,402.00,460800
7-Aug-17,350.00,354.00,320.00,322.00,154200
4-Aug-17,400.00,400.00,350.00,350.00,106500
3-Aug-17,448.00,450.00,390.00,404.00,50500
2-Aug-17,430.00,468.00,412.00,412.00,28100
1-Aug-17,496.00,496.00,428.00,430.00,32300
31-Jul-17,478.00,478.00,422.00,428.00,155500
28-Jul-17,500.00,500.00,478.00,478.00,26200
27-Jul-17,490.00,490.00,452.00,476.00,163800
26-Jul-17,505.00,525.00,494.00,496.00,72700
25-Jul-17,550.00,550.00,490.00,500.00,176500
24-Jul-17,570.00,570.00,500.00,535.00,421500
21-Jul-17,690.00,690.00,570.00,570.00,444500
20-Jul-17,590.00,700.00,590.00,690.00,781800
19-Jul-17,530.00,640.00,530.00,580.00,145000
18-Jul-17,520.00,590.00,490.00,580.00,962000
17-Jul-17,520.00,600.00,474.00,505.00,928200
14-Jul-17,480.00,530.00,480.00,530.00,720000
13-Jul-17,500.00,510.00,480.00,500.00,125900
12-Jul-17,488.00,530.00,472.00,525.00,751600
11-Jul-17,500.00,500.00,488.00,488.00,78600
10-Jul-17,500.00,550.00,500.00,500.00,293500
7-Jul-17,535.00,535.00,488.00,494.00,27000
6-Jul-17,505.00,575.00,490.00,535.00,269200
5-Jul-17,505.00,570.00,500.00,555.00,291500
3-Jul-17,450.00,560.00,410.00,560.00,1242000
22-Jun-17,364.00,450.00,362.00,450.00,1890700
21-Jun-17,384.00,450.00,340.00,360.00,915800
20-Jun-17,336.00,420.00,316.00,384.00,27193900
