Date,Open,High,Low,Close,Volume
29-Dec-17,466.00,468.00,462.00,464.00,1379800
28-Dec-17,466.00,468.00,462.00,466.00,846500
27-Dec-17,466.00,468.00,462.00,466.00,1545900
22-Dec-17,464.00,466.00,462.00,466.00,525100
21-Dec-17,462.00,468.00,462.00,464.00,1120700
20-Dec-17,466.00,470.00,462.00,462.00,2226700
19-Dec-17,464.00,466.00,462.00,466.00,3296600
18-Dec-17,460.00,466.00,460.00,462.00,8384900
15-Dec-17,460.00,470.00,460.00,460.00,6504400
14-Dec-17,468.00,472.00,458.00,462.00,7509600
13-Dec-17,466.00,476.00,460.00,468.00,4702000
12-Dec-17,472.00,480.00,460.00,466.00,3125900
11-Dec-17,478.00,478.00,470.00,470.00,1314100
8-Dec-17,460.00,480.00,460.00,476.00,873400
7-Dec-17,480.00,482.00,462.00,466.00,1681200
6-Dec-17,486.00,486.00,476.00,478.00,1828200
5-Dec-17,494.00,494.00,482.00,484.00,2874300
4-Dec-17,494.00,498.00,492.00,494.00,3935200
30-Nov-17,494.00,498.00,492.00,494.00,4819300
29-Nov-17,492.00,500.00,492.00,494.00,1705400
28-Nov-17,500.00,500.00,492.00,492.00,1831000
27-Nov-17,500.00,505.00,498.00,498.00,1852600
24-Nov-17,500.00,505.00,500.00,500.00,1310900
23-Nov-17,505.00,510.00,500.00,500.00,2943300
22-Nov-17,505.00,505.00,498.00,505.00,3077500
21-Nov-17,505.00,510.00,500.00,505.00,1586300
20-Nov-17,505.00,510.00,500.00,505.00,1606500
17-Nov-17,510.00,510.00,500.00,500.00,896400
16-Nov-17,505.00,510.00,500.00,510.00,4793100
15-Nov-17,510.00,510.00,505.00,505.00,956200
14-Nov-17,510.00,515.00,505.00,510.00,4419100
13-Nov-17,515.00,515.00,510.00,510.00,2020800
10-Nov-17,515.00,520.00,515.00,515.00,823000
9-Nov-17,510.00,525.00,510.00,515.00,2034600
8-Nov-17,520.00,520.00,510.00,510.00,1889000
7-Nov-17,520.00,520.00,515.00,520.00,3948000
6-Nov-17,525.00,525.00,515.00,520.00,9479400
3-Nov-17,520.00,525.00,515.00,525.00,2989700
2-Nov-17,525.00,530.00,515.00,520.00,4582000
1-Nov-17,520.00,530.00,515.00,520.00,3212300
31-Oct-17,525.00,530.00,515.00,520.00,4532200
30-Oct-17,540.00,540.00,515.00,525.00,21351100
27-Oct-17,550.00,565.00,530.00,530.00,18146600
26-Oct-17,540.00,580.00,535.00,550.00,31029500
25-Oct-17,535.00,545.00,535.00,540.00,2872700
24-Oct-17,545.00,545.00,535.00,535.00,2944300
23-Oct-17,540.00,550.00,535.00,540.00,5679700
20-Oct-17,535.00,540.00,530.00,540.00,2478600
19-Oct-17,535.00,540.00,530.00,535.00,665600
18-Oct-17,535.00,540.00,530.00,535.00,4522200
17-Oct-17,535.00,540.00,530.00,535.00,2837600
16-Oct-17,540.00,540.00,520.00,540.00,3779300
12-Oct-17,530.00,535.00,520.00,535.00,6458500
11-Oct-17,530.00,530.00,515.00,530.00,9751500
10-Oct-17,540.00,540.00,525.00,530.00,7813800
9-Oct-17,535.00,540.00,525.00,530.00,2310600
6-Oct-17,545.00,550.00,525.00,535.00,9139600
5-Oct-17,535.00,545.00,535.00,540.00,7609300
4-Oct-17,515.00,535.00,515.00,535.00,11988800
3-Oct-17,520.00,520.00,505.00,515.00,7988600
2-Oct-17,520.00,530.00,515.00,515.00,7923800
29-Sep-17,515.00,520.00,505.00,520.00,3529700
28-Sep-17,515.00,520.00,510.00,515.00,2125300
27-Sep-17,525.00,530.00,510.00,515.00,6323700
26-Sep-17,520.00,520.00,510.00,520.00,5792900
25-Sep-17,515.00,525.00,510.00,515.00,3454400
22-Sep-17,520.00,530.00,515.00,515.00,8719600
20-Sep-17,530.00,530.00,515.00,520.00,13016400
19-Sep-17,520.00,525.00,510.00,525.00,5515100
18-Sep-17,525.00,530.00,515.00,520.00,4030300
15-Sep-17,540.00,545.00,520.00,520.00,7818500
14-Sep-17,525.00,540.00,525.00,540.00,14114200
13-Sep-17,510.00,540.00,510.00,520.00,19339800
12-Sep-17,505.00,520.00,505.00,510.00,9229600
11-Sep-17,494.00,510.00,494.00,505.00,33157100
8-Sep-17,500.00,500.00,494.00,500.00,1541400
7-Sep-17,498.00,498.00,492.00,494.00,1615200
6-Sep-17,500.00,500.00,492.00,498.00,1193600
5-Sep-17,498.00,500.00,492.00,500.00,1733900
4-Sep-17,498.00,500.00,492.00,498.00,1276900
31-Aug-17,505.00,505.00,496.00,498.00,5865700
30-Aug-17,505.00,505.00,500.00,505.00,1212900
29-Aug-17,505.00,510.00,500.00,505.00,950000
28-Aug-17,505.00,510.00,500.00,505.00,1633500
25-Aug-17,505.00,510.00,500.00,505.00,3242700
24-Aug-17,505.00,510.00,500.00,505.00,4493600
23-Aug-17,505.00,510.00,500.00,505.00,1877100
22-Aug-17,505.00,510.00,500.00,505.00,6074800
21-Aug-17,505.00,510.00,500.00,505.00,3359300
18-Aug-17,500.00,510.00,500.00,505.00,4737200
16-Aug-17,505.00,505.00,500.00,505.00,3293700
15-Aug-17,505.00,510.00,498.00,500.00,2100300
14-Aug-17,505.00,510.00,498.00,500.00,3678100
11-Aug-17,500.00,505.00,496.00,500.00,6094200
10-Aug-17,505.00,510.00,500.00,505.00,4131100
9-Aug-17,505.00,510.00,496.00,500.00,8443000
8-Aug-17,510.00,510.00,505.00,505.00,11406200
7-Aug-17,505.00,520.00,505.00,510.00,5088000
4-Aug-17,510.00,510.00,500.00,505.00,5111000
3-Aug-17,510.00,515.00,505.00,510.00,8074600
2-Aug-17,520.00,520.00,505.00,510.00,4147200
1-Aug-17,515.00,525.00,510.00,520.00,5014400
31-Jul-17,520.00,525.00,510.00,510.00,6779500
28-Jul-17,530.00,530.00,515.00,520.00,11520800
27-Jul-17,535.00,540.00,520.00,525.00,5670500
26-Jul-17,530.00,540.00,530.00,535.00,5707100
25-Jul-17,525.00,535.00,520.00,530.00,9560100
24-Jul-17,540.00,545.00,520.00,530.00,9520300
21-Jul-17,545.00,550.00,540.00,540.00,8265200
20-Jul-17,545.00,550.00,540.00,540.00,7485100
19-Jul-17,550.00,550.00,540.00,545.00,6408800
18-Jul-17,550.00,555.00,545.00,550.00,2488600
17-Jul-17,550.00,560.00,545.00,550.00,8912300
14-Jul-17,550.00,560.00,545.00,550.00,2795900
13-Jul-17,560.00,560.00,545.00,550.00,3280900
12-Jul-17,545.00,560.00,545.00,560.00,4547700
11-Jul-17,550.00,555.00,545.00,550.00,6555600
10-Jul-17,555.00,555.00,545.00,550.00,6863000
7-Jul-17,560.00,560.00,550.00,555.00,3894400
6-Jul-17,560.00,570.00,550.00,560.00,3722600
5-Jul-17,550.00,565.00,545.00,555.00,5567100
4-Jul-17,555.00,555.00,545.00,550.00,6911000
3-Jul-17,555.00,560.00,545.00,555.00,12025200
22-Jun-17,545.00,565.00,540.00,550.00,6272500
21-Jun-17,550.00,555.00,535.00,540.00,5896100
20-Jun-17,550.00,550.00,545.00,550.00,841700
19-Jun-17,550.00,555.00,540.00,550.00,5976200
16-Jun-17,550.00,560.00,540.00,545.00,7507700
15-Jun-17,560.00,565.00,550.00,550.00,6044800
14-Jun-17,555.00,570.00,555.00,560.00,5484700
13-Jun-17,560.00,575.00,550.00,555.00,5289400
12-Jun-17,560.00,565.00,550.00,555.00,3324000
9-Jun-17,570.00,575.00,555.00,560.00,4576900
8-Jun-17,585.00,590.00,570.00,575.00,4584600
7-Jun-17,590.00,610.00,580.00,585.00,10558100
6-Jun-17,590.00,595.00,585.00,590.00,1493100
5-Jun-17,600.00,600.00,585.00,590.00,1853500
2-Jun-17,595.00,600.00,585.00,595.00,2818100
31-May-17,600.00,600.00,580.00,595.00,4470700
30-May-17,590.00,600.00,585.00,590.00,3076300
29-May-17,595.00,600.00,585.00,590.00,3611200
26-May-17,600.00,605.00,590.00,595.00,2679000
24-May-17,600.00,605.00,595.00,600.00,1476600
23-May-17,600.00,605.00,595.00,595.00,6941000
22-May-17,605.00,610.00,590.00,595.00,9956300
19-May-17,605.00,610.00,590.00,605.00,7201700
18-May-17,605.00,605.00,585.00,600.00,7203900
17-May-17,615.00,620.00,595.00,600.00,4436200
16-May-17,625.00,625.00,610.00,615.00,5874800
15-May-17,620.00,635.00,610.00,615.00,5651400
12-May-17,610.00,630.00,610.00,620.00,12726700
10-May-17,605.00,625.00,600.00,605.00,12372300
9-May-17,600.00,630.00,585.00,600.00,27400000
8-May-17,620.00,635.00,615.00,625.00,5757900
5-May-17,605.00,620.00,605.00,615.00,4731500
4-May-17,625.00,630.00,600.00,605.00,4868100
3-May-17,635.00,650.00,620.00,620.00,9585900
2-May-17,635.00,660.00,630.00,635.00,12508900
28-Apr-17,635.00,650.00,630.00,635.00,12579500
27-Apr-17,640.00,640.00,615.00,620.00,2690800
26-Apr-17,630.00,645.00,620.00,630.00,1858500
25-Apr-17,615.00,635.00,605.00,635.00,4652100
21-Apr-17,610.00,620.00,605.00,615.00,1491700
20-Apr-17,620.00,620.00,605.00,615.00,3755700
18-Apr-17,630.00,645.00,600.00,615.00,8103200
17-Apr-17,635.00,640.00,620.00,625.00,3015900
13-Apr-17,660.00,660.00,635.00,635.00,3977800
12-Apr-17,645.00,665.00,635.00,650.00,12191300
11-Apr-17,645.00,650.00,630.00,635.00,4611100
10-Apr-17,640.00,670.00,635.00,645.00,11809500
7-Apr-17,650.00,650.00,635.00,635.00,3903900
6-Apr-17,630.00,690.00,625.00,645.00,33279500
5-Apr-17,630.00,640.00,620.00,630.00,3563900
4-Apr-17,620.00,630.00,615.00,630.00,3901400
3-Apr-17,635.00,635.00,620.00,625.00,7378400
31-Mar-17,620.00,630.00,615.00,625.00,7250500
30-Mar-17,620.00,640.00,615.00,625.00,12419300
29-Mar-17,605.00,630.00,600.00,630.00,13149300
27-Mar-17,600.00,610.00,575.00,600.00,11517400
24-Mar-17,590.00,600.00,585.00,585.00,2991700
23-Mar-17,600.00,610.00,595.00,595.00,3270800
22-Mar-17,615.00,615.00,595.00,600.00,5105900
21-Mar-17,575.00,615.00,575.00,615.00,12274800
20-Mar-17,595.00,595.00,570.00,575.00,4071200
17-Mar-17,575.00,595.00,565.00,590.00,8896000
16-Mar-17,580.00,580.00,560.00,575.00,5357100
15-Mar-17,575.00,585.00,555.00,560.00,11393300
14-Mar-17,585.00,600.00,575.00,575.00,8245300
13-Mar-17,580.00,585.00,545.00,585.00,17411200
10-Mar-17,610.00,610.00,575.00,580.00,9234800
9-Mar-17,610.00,615.00,600.00,605.00,4472600
8-Mar-17,625.00,625.00,595.00,610.00,12154100
7-Mar-17,555.00,665.00,550.00,620.00,62168800
6-Mar-17,550.00,560.00,545.00,550.00,8649100
3-Mar-17,540.00,565.00,540.00,550.00,10070900
2-Mar-17,570.00,585.00,555.00,555.00,23564500
1-Mar-17,510.00,565.00,510.00,565.00,46276500
28-Feb-17,520.00,520.00,505.00,505.00,7243500
27-Feb-17,510.00,525.00,510.00,515.00,2625300
24-Feb-17,510.00,515.00,505.00,510.00,1539500
23-Feb-17,510.00,520.00,505.00,510.00,3156400
22-Feb-17,510.00,515.00,505.00,510.00,2437000
21-Feb-17,515.00,515.00,510.00,515.00,406600
20-Feb-17,515.00,515.00,510.00,515.00,1588700
17-Feb-17,515.00,520.00,510.00,515.00,4072900
16-Feb-17,520.00,525.00,515.00,520.00,7429300
14-Feb-17,520.00,525.00,510.00,520.00,8999300
13-Feb-17,520.00,525.00,515.00,520.00,1872300
10-Feb-17,515.00,525.00,510.00,520.00,9175400
9-Feb-17,515.00,515.00,505.00,515.00,8029100
8-Feb-17,515.00,515.00,510.00,510.00,1875500
7-Feb-17,515.00,515.00,510.00,515.00,1703600
6-Feb-17,520.00,520.00,505.00,515.00,3984100
3-Feb-17,525.00,525.00,515.00,520.00,1998600
2-Feb-17,520.00,520.00,510.00,520.00,9114200
1-Feb-17,515.00,515.00,510.00,515.00,1291800
31-Jan-17,510.00,515.00,505.00,510.00,3479600
30-Jan-17,510.00,515.00,510.00,515.00,672800
27-Jan-17,520.00,520.00,510.00,510.00,1903600
26-Jan-17,515.00,520.00,510.00,520.00,5307300
25-Jan-17,510.00,515.00,510.00,515.00,2078900
24-Jan-17,525.00,525.00,505.00,510.00,3633300
23-Jan-17,525.00,525.00,515.00,520.00,921300
20-Jan-17,520.00,525.00,510.00,520.00,7757400
19-Jan-17,515.00,535.00,515.00,520.00,8771800
18-Jan-17,515.00,525.00,515.00,520.00,10689700
17-Jan-17,515.00,525.00,505.00,510.00,4088600
16-Jan-17,505.00,515.00,500.00,515.00,7294600
13-Jan-17,505.00,505.00,500.00,500.00,2387700
12-Jan-17,505.00,505.00,500.00,505.00,1624300
11-Jan-17,505.00,510.00,500.00,505.00,1061400
10-Jan-17,500.00,505.00,496.00,500.00,2112300
9-Jan-17,500.00,505.00,498.00,500.00,618000
6-Jan-17,498.00,505.00,494.00,498.00,2020200
5-Jan-17,505.00,505.00,492.00,498.00,3207800
4-Jan-17,510.00,510.00,498.00,500.00,2294300
3-Jan-17,494.00,510.00,494.00,505.00,5825500
30-Dec-16,494.00,498.00,492.00,494.00,8837200
29-Dec-16,494.00,496.00,490.00,494.00,2920000
28-Dec-16,490.00,494.00,490.00,492.00,1755300
27-Dec-16,486.00,490.00,484.00,488.00,884000
23-Dec-16,490.00,490.00,480.00,482.00,1561600
22-Dec-16,490.00,490.00,482.00,486.00,4751800
21-Dec-16,498.00,498.00,488.00,490.00,7747900
20-Dec-16,500.00,500.00,490.00,494.00,4209400
19-Dec-16,505.00,505.00,498.00,498.00,5534500
16-Dec-16,510.00,510.00,500.00,500.00,5283100
15-Dec-16,505.00,510.00,505.00,505.00,7079600
14-Dec-16,510.00,510.00,505.00,505.00,14445700
13-Dec-16,505.00,510.00,505.00,505.00,4153300
9-Dec-16,505.00,510.00,500.00,505.00,14399100
8-Dec-16,510.00,510.00,500.00,505.00,11990200
7-Dec-16,510.00,515.00,505.00,505.00,5546800
6-Dec-16,520.00,520.00,505.00,510.00,15512000
5-Dec-16,505.00,510.00,500.00,510.00,16663600
2-Dec-16,505.00,515.00,500.00,505.00,16162400
1-Dec-16,515.00,520.00,505.00,505.00,2388500
30-Nov-16,515.00,520.00,505.00,515.00,4739500
29-Nov-16,515.00,525.00,510.00,515.00,11419400
28-Nov-16,510.00,520.00,505.00,510.00,5522500
25-Nov-16,505.00,530.00,505.00,510.00,11064200
24-Nov-16,505.00,525.00,500.00,510.00,26099300
23-Nov-16,500.00,505.00,498.00,500.00,5377400
22-Nov-16,496.00,500.00,494.00,498.00,1660600
21-Nov-16,492.00,498.00,490.00,496.00,2055900
18-Nov-16,498.00,500.00,492.00,492.00,3011000
17-Nov-16,498.00,505.00,494.00,498.00,4324700
16-Nov-16,490.00,500.00,490.00,500.00,3190000
15-Nov-16,505.00,505.00,486.00,488.00,12107000
14-Nov-16,505.00,525.00,500.00,505.00,34150100
11-Nov-16,498.00,515.00,488.00,505.00,25699100
10-Nov-16,494.00,500.00,488.00,498.00,3234500
9-Nov-16,500.00,500.00,484.00,490.00,3943800
8-Nov-16,492.00,500.00,482.00,498.00,6224500
7-Nov-16,490.00,498.00,482.00,492.00,1586000
4-Nov-16,484.00,492.00,480.00,490.00,2323500
3-Nov-16,490.00,496.00,482.00,482.00,3399000
2-Nov-16,498.00,498.00,488.00,490.00,5560000
1-Nov-16,500.00,510.00,498.00,498.00,7482500
31-Oct-16,505.00,510.00,500.00,500.00,3646700
28-Oct-16,500.00,510.00,500.00,500.00,7913000
27-Oct-16,500.00,505.00,498.00,500.00,9513500
26-Oct-16,500.00,500.00,498.00,500.00,24691700
25-Oct-16,505.00,510.00,498.00,500.00,13318700
24-Oct-16,492.00,505.00,492.00,505.00,18977400
21-Oct-16,478.00,496.00,478.00,492.00,4117500
20-Oct-16,500.00,500.00,490.00,496.00,7494100
19-Oct-16,505.00,510.00,496.00,500.00,5605300
18-Oct-16,505.00,515.00,500.00,505.00,14297200
17-Oct-16,486.00,510.00,486.00,505.00,15334500
14-Oct-16,484.00,488.00,482.00,484.00,2577600
13-Oct-16,490.00,490.00,484.00,484.00,2727000
12-Oct-16,494.00,494.00,486.00,486.00,4067200
11-Oct-16,486.00,492.00,484.00,488.00,3416200
10-Oct-16,488.00,490.00,480.00,486.00,1182800
7-Oct-16,490.00,496.00,484.00,488.00,6047900
6-Oct-16,490.00,492.00,482.00,482.00,2912600
5-Oct-16,496.00,498.00,488.00,490.00,7561400
4-Oct-16,498.00,500.00,494.00,496.00,2756700
3-Oct-16,500.00,505.00,492.00,496.00,9763600
30-Sep-16,500.00,505.00,496.00,498.00,4344300
29-Sep-16,505.00,510.00,498.00,500.00,4546000
28-Sep-16,500.00,505.00,494.00,500.00,1736900
27-Sep-16,505.00,505.00,496.00,500.00,4368000
26-Sep-16,496.00,498.00,490.00,498.00,522900
23-Sep-16,500.00,510.00,498.00,498.00,4537000
22-Sep-16,505.00,510.00,498.00,500.00,3164200
21-Sep-16,505.00,505.00,498.00,500.00,7879500
20-Sep-16,510.00,510.00,498.00,500.00,4853400
19-Sep-16,496.00,510.00,490.00,510.00,4092600
16-Sep-16,492.00,500.00,488.00,500.00,2184100
15-Sep-16,482.00,496.00,480.00,492.00,2916100
14-Sep-16,488.00,488.00,478.00,486.00,4719000
13-Sep-16,496.00,498.00,488.00,490.00,6239000
9-Sep-16,500.00,500.00,496.00,500.00,2134600
8-Sep-16,505.00,505.00,498.00,500.00,9038300
7-Sep-16,510.00,510.00,500.00,500.00,3612700
6-Sep-16,510.00,515.00,505.00,505.00,5629500
5-Sep-16,505.00,515.00,500.00,510.00,9417100
2-Sep-16,494.00,505.00,492.00,500.00,29568200
1-Sep-16,515.00,515.00,496.00,498.00,22508000
31-Aug-16,520.00,525.00,510.00,515.00,15193000
30-Aug-16,520.00,520.00,505.00,520.00,13673600
29-Aug-16,535.00,535.00,505.00,515.00,20429600
26-Aug-16,540.00,540.00,530.00,535.00,6719900
25-Aug-16,545.00,545.00,530.00,535.00,14679500
24-Aug-16,510.00,540.00,505.00,540.00,36763300
23-Aug-16,520.00,525.00,505.00,510.00,6925300
22-Aug-16,520.00,525.00,510.00,525.00,19140400
19-Aug-16,520.00,525.00,510.00,515.00,14451200
18-Aug-16,510.00,530.00,510.00,515.00,37803000
16-Aug-16,515.00,515.00,500.00,505.00,47485800
15-Aug-16,498.00,505.00,486.00,505.00,41131900
12-Aug-16,520.00,520.00,496.00,498.00,28589700
11-Aug-16,520.00,535.00,505.00,510.00,41993100
10-Aug-16,505.00,525.00,500.00,515.00,37546900
9-Aug-16,505.00,505.00,498.00,500.00,15765200
8-Aug-16,500.00,505.00,484.00,498.00,19648600
5-Aug-16,500.00,515.00,492.00,496.00,31062600
4-Aug-16,480.00,510.00,480.00,498.00,92308900
3-Aug-16,462.00,476.00,456.00,476.00,22545600
2-Aug-16,460.00,464.00,458.00,462.00,7177500
1-Aug-16,462.00,468.00,460.00,460.00,18798300
29-Jul-16,462.00,470.00,462.00,462.00,6801400
28-Jul-16,468.00,468.00,458.00,462.00,9873200
27-Jul-16,458.00,460.00,454.00,460.00,4813200
26-Jul-16,464.00,464.00,450.00,454.00,7575900
25-Jul-16,464.00,472.00,462.00,464.00,4356500
22-Jul-16,468.00,476.00,462.00,464.00,6891400
21-Jul-16,474.00,480.00,466.00,468.00,12233000
20-Jul-16,476.00,486.00,472.00,474.00,19819300
19-Jul-16,486.00,492.00,474.00,476.00,11880500
18-Jul-16,464.00,492.00,464.00,486.00,34635500
15-Jul-16,450.00,468.00,450.00,462.00,17100800
14-Jul-16,454.00,458.00,450.00,450.00,7404800
13-Jul-16,460.00,466.00,446.00,454.00,14577500
12-Jul-16,452.00,462.00,452.00,456.00,8934100
11-Jul-16,450.00,460.00,448.00,452.00,3475900
1-Jul-16,444.00,466.00,442.00,450.00,11215800
30-Jun-16,454.00,454.00,444.00,444.00,5162500
29-Jun-16,440.00,454.00,438.00,452.00,4046100
28-Jun-16,440.00,444.00,434.00,438.00,3021300
27-Jun-16,438.00,446.00,428.00,440.00,1520000
24-Jun-16,456.00,456.00,430.00,446.00,5803800
23-Jun-16,454.00,454.00,450.00,452.00,1178000
22-Jun-16,458.00,458.00,448.00,452.00,4421700
21-Jun-16,452.00,458.00,448.00,454.00,5922100
20-Jun-16,452.00,456.00,446.00,450.00,5248400
17-Jun-16,458.00,460.00,444.00,450.00,7812800
16-Jun-16,458.00,460.00,452.00,456.00,3633600
15-Jun-16,462.00,462.00,452.00,458.00,4110900
14-Jun-16,474.00,474.00,462.00,462.00,3014800
13-Jun-16,480.00,480.00,474.00,474.00,1526900
10-Jun-16,480.00,480.00,476.00,480.00,2959700
9-Jun-16,482.00,486.00,482.00,482.00,3053000
8-Jun-16,490.00,494.00,482.00,482.00,6187000
7-Jun-16,484.00,496.00,480.00,490.00,16814700
6-Jun-16,486.00,488.00,478.00,480.00,5040100
3-Jun-16,480.00,490.00,476.00,476.00,6549600
2-Jun-16,470.00,486.00,468.00,478.00,7259800
1-Jun-16,468.00,478.00,460.00,468.00,3806900
31-May-16,486.00,492.00,456.00,456.00,6196200
30-May-16,488.00,490.00,478.00,484.00,6114900
27-May-16,500.00,500.00,482.00,482.00,4967100
26-May-16,480.00,496.00,472.00,490.00,16637700
25-May-16,456.00,474.00,456.00,474.00,8885500
24-May-16,462.00,466.00,452.00,454.00,5082000
23-May-16,476.00,482.00,458.00,462.00,7019600
20-May-16,482.00,482.00,474.00,476.00,5521500
19-May-16,500.00,500.00,482.00,486.00,7158400
18-May-16,505.00,505.00,494.00,494.00,4872600
17-May-16,510.00,515.00,498.00,500.00,6198000
16-May-16,515.00,515.00,500.00,510.00,4330900
13-May-16,500.00,515.00,500.00,515.00,5548800
12-May-16,520.00,525.00,505.00,510.00,6292400
11-May-16,500.00,525.00,500.00,525.00,13056400
10-May-16,500.00,505.00,494.00,498.00,7380600
9-May-16,486.00,505.00,484.00,500.00,9804100
4-May-16,484.00,490.00,474.00,484.00,4249000
3-May-16,484.00,494.00,484.00,484.00,3865100
2-May-16,486.00,486.00,474.00,484.00,4348100
29-Apr-16,520.00,520.00,482.00,486.00,19424200
28-Apr-16,540.00,540.00,510.00,515.00,7613100
27-Apr-16,545.00,555.00,525.00,525.00,22241200
26-Apr-16,499.00,555.00,496.00,540.00,26817700
25-Apr-16,505.00,505.00,498.00,499.00,6326500
22-Apr-16,505.00,510.00,493.00,505.00,11057300
21-Apr-16,525.00,535.00,505.00,505.00,13355400
20-Apr-16,505.00,520.00,499.00,520.00,18737100
19-Apr-16,495.00,500.00,490.00,497.00,4512900
18-Apr-16,495.00,495.00,478.00,489.00,8074400
