Date,Open,High,Low,Close,Volume
29-Dec-17,895.00,930.00,895.00,930.00,545400
28-Dec-17,900.00,920.00,870.00,895.00,779100
27-Dec-17,910.00,920.00,900.00,920.00,1308500
22-Dec-17,910.00,910.00,860.00,910.00,506300
21-Dec-17,880.00,910.00,880.00,905.00,1376100
20-Dec-17,870.00,910.00,825.00,910.00,1708200
19-Dec-17,845.00,885.00,815.00,885.00,756400
18-Dec-17,800.00,880.00,800.00,850.00,541800
15-Dec-17,815.00,825.00,780.00,825.00,1287300
14-Dec-17,795.00,820.00,780.00,820.00,723900
13-Dec-17,775.00,820.00,765.00,815.00,488700
12-Dec-17,710.00,850.00,710.00,815.00,1430300
11-Dec-17,705.00,760.00,645.00,760.00,708600
8-Dec-17,650.00,710.00,640.00,710.00,897100
7-Dec-17,635.00,750.00,620.00,620.00,151400
6-Dec-17,655.00,655.00,620.00,635.00,121800
5-Dec-17,680.00,740.00,680.00,740.00,5100
4-Dec-17,-,-,-,740.00,0
30-Nov-17,770.00,770.00,740.00,740.00,3700
29-Nov-17,700.00,700.00,700.00,700.00,500
28-Nov-17,715.00,715.00,690.00,690.00,111600
27-Nov-17,720.00,720.00,700.00,700.00,128500
24-Nov-17,735.00,735.00,720.00,720.00,110100
23-Nov-17,770.00,770.00,740.00,760.00,215800
22-Nov-17,775.00,775.00,740.00,750.00,217300
21-Nov-17,775.00,775.00,775.00,775.00,800
20-Nov-17,760.00,785.00,760.00,785.00,35900
17-Nov-17,780.00,785.00,780.00,785.00,15000
16-Nov-17,775.00,815.00,775.00,815.00,6500
15-Nov-17,775.00,815.00,775.00,815.00,4800
14-Nov-17,-,-,-,800.00,0
13-Nov-17,800.00,800.00,770.00,800.00,5600
10-Nov-17,770.00,810.00,770.00,800.00,8600
9-Nov-17,815.00,815.00,815.00,815.00,500
8-Nov-17,795.00,800.00,765.00,800.00,7600
7-Nov-17,810.00,815.00,760.00,800.00,3500
6-Nov-17,770.00,800.00,770.00,800.00,10500
3-Nov-17,770.00,810.00,770.00,810.00,11200
2-Nov-17,820.00,825.00,820.00,825.00,4000
1-Nov-17,770.00,795.00,750.00,755.00,32500
31-Oct-17,795.00,800.00,795.00,800.00,5000
30-Oct-17,760.00,800.00,760.00,760.00,15600
27-Oct-17,755.00,800.00,755.00,795.00,11000
26-Oct-17,775.00,775.00,775.00,775.00,800
25-Oct-17,785.00,800.00,750.00,800.00,20500
24-Oct-17,780.00,810.00,780.00,810.00,6900
23-Oct-17,780.00,800.00,780.00,800.00,11000
20-Oct-17,-,-,-,815.00,0
19-Oct-17,805.00,815.00,785.00,815.00,22200
18-Oct-17,800.00,815.00,795.00,815.00,30400
17-Oct-17,795.00,800.00,780.00,780.00,10700
16-Oct-17,835.00,860.00,835.00,860.00,19000
13-Oct-17,765.00,845.00,765.00,845.00,22300
12-Oct-17,805.00,820.00,805.00,820.00,16000
11-Oct-17,800.00,810.00,800.00,805.00,33000
10-Oct-17,790.00,800.00,790.00,800.00,1100
9-Oct-17,-,-,-,810.00,0
6-Oct-17,-,-,-,810.00,0
5-Oct-17,765.00,810.00,760.00,810.00,21400
4-Oct-17,-,-,-,820.00,0
