Date,Open,High,Low,Close,Volume
29-Dec-17,715.00,745.00,715.00,715.00,32700
28-Dec-17,800.00,845.00,630.00,715.00,275100
27-Dec-17,700.00,875.00,700.00,840.00,261800
22-Dec-17,690.00,700.00,650.00,700.00,35800
21-Dec-17,640.00,700.00,640.00,690.00,89100
20-Dec-17,650.00,710.00,640.00,640.00,185200
19-Dec-17,580.00,710.00,580.00,640.00,58100
18-Dec-17,545.00,580.00,540.00,580.00,37400
15-Dec-17,540.00,540.00,535.00,540.00,9500
14-Dec-17,-,-,-,490.00,0
13-Dec-17,-,-,-,490.00,0
12-Dec-17,-,-,-,490.00,0
11-Dec-17,-,-,-,490.00,0
8-Dec-17,-,-,-,490.00,0
7-Dec-17,-,-,-,490.00,0
6-Dec-17,490.00,490.00,490.00,490.00,4300
5-Dec-17,-,-,-,492.00,0
4-Dec-17,-,-,-,492.00,0
30-Nov-17,492.00,492.00,492.00,492.00,300
29-Nov-17,-,-,-,492.00,0
28-Nov-17,492.00,492.00,492.00,492.00,1000
27-Nov-17,510.00,510.00,510.00,510.00,100
24-Nov-17,490.00,494.00,490.00,494.00,4000
23-Nov-17,-,-,-,510.00,0
22-Nov-17,500.00,510.00,492.00,510.00,2300
21-Nov-17,-,-,-,515.00,0
20-Nov-17,515.00,515.00,515.00,515.00,100
17-Nov-17,-,-,-,500.00,0
16-Nov-17,-,-,-,500.00,0
15-Nov-17,-,-,-,500.00,0
14-Nov-17,-,-,-,500.00,0
13-Nov-17,-,-,-,500.00,0
10-Nov-17,-,-,-,500.00,0
9-Nov-17,492.00,500.00,492.00,500.00,3900
8-Nov-17,-,-,-,492.00,0
7-Nov-17,-,-,-,492.00,0
6-Nov-17,492.00,492.00,492.00,492.00,100
3-Nov-17,-,-,-,515.00,0
2-Nov-17,515.00,515.00,515.00,515.00,1500
1-Nov-17,500.00,520.00,500.00,520.00,7000
31-Oct-17,492.00,500.00,492.00,500.00,1300
30-Oct-17,515.00,515.00,510.00,515.00,3800
27-Oct-17,515.00,515.00,515.00,515.00,600
26-Oct-17,520.00,520.00,490.00,500.00,13700
25-Oct-17,530.00,530.00,492.00,492.00,1100
24-Oct-17,-,-,-,530.00,0
23-Oct-17,520.00,530.00,515.00,530.00,6200
20-Oct-17,520.00,520.00,492.00,492.00,1100
19-Oct-17,-,-,-,520.00,0
18-Oct-17,492.00,520.00,490.00,520.00,2600
17-Oct-17,530.00,530.00,490.00,520.00,500200
16-Oct-17,490.00,490.00,490.00,490.00,17500
13-Oct-17,540.00,540.00,492.00,530.00,5300
12-Oct-17,540.00,540.00,490.00,530.00,2000
11-Oct-17,540.00,540.00,490.00,490.00,7800
10-Oct-17,492.00,492.00,490.00,490.00,1000
9-Oct-17,540.00,540.00,540.00,540.00,100
6-Oct-17,-,-,-,540.00,0
