Date,Open,High,Low,Close,Volume
28-Dec-17,-,-,-,1100.00,0
22-Dec-17,-,-,-,1100.00,0
12-Dec-17,-,-,-,1100.00,0
8-Dec-17,-,-,-,1100.00,0
17-Nov-17,-,-,-,1100.00,0
14-Nov-17,-,-,-,1100.00,0
10-Nov-17,-,-,-,1100.00,0
9-Nov-17,-,-,-,1100.00,0
8-Nov-17,-,-,-,1100.00,0
7-Nov-17,-,-,-,1100.00,0
6-Nov-17,-,-,-,1100.00,0
2-Nov-17,-,-,-,1100.00,0
1-Nov-17,-,-,-,1100.00,0
31-Oct-17,-,-,-,1100.00,0
30-Oct-17,-,-,-,1100.00,0
27-Oct-17,-,-,-,1100.00,0
26-Oct-17,-,-,-,1100.00,0
25-Oct-17,-,-,-,1100.00,0
24-Oct-17,-,-,-,1100.00,0
20-Oct-17,-,-,-,1100.00,0
19-Oct-17,-,-,-,1100.00,0
18-Oct-17,-,-,-,1100.00,0
17-Oct-17,-,-,-,1100.00,0
16-Oct-17,-,-,-,1100.00,0
13-Oct-17,-,-,-,1100.00,0
12-Oct-17,-,-,-,1100.00,0
19-Sep-17,-,-,-,1100.00,0
18-Sep-17,-,-,-,1100.00,0
12-Sep-17,-,-,-,1100.00,0
11-Sep-17,-,-,-,1100.00,0
6-Sep-17,-,-,-,1100.00,0
30-Aug-17,-,-,-,1100.00,0
25-Aug-17,-,-,-,1100.00,0
24-Aug-17,-,-,-,1100.00,0
23-Aug-17,-,-,-,1100.00,0
22-Aug-17,-,-,-,1100.00,0
21-Aug-17,1100.00,1100.00,1100.00,1100.00,1000
18-Aug-17,-,-,-,1050.00,0
16-Aug-17,1050.00,1050.00,1050.00,1050.00,200
11-Aug-17,-,-,-,900.00,0
21-Jul-17,900.00,900.00,900.00,900.00,100
20-Jul-17,-,-,-,900.00,0
19-Jul-17,900.00,900.00,900.00,900.00,300
11-Jul-17,-,-,-,1100.00,0
6-Jul-17,-,-,-,1100.00,0
5-Jul-17,1100.00,1100.00,1100.00,1100.00,800
4-Jul-17,-,-,-,1100.00,0
22-Jun-17,-,-,-,1100.00,0
21-Jun-17,-,-,-,1100.00,0
20-Jun-17,-,-,-,1100.00,0
15-Jun-17,1100.00,1100.00,1100.00,1100.00,200
13-Jun-17,-,-,-,1100.00,0
7-Jun-17,-,-,-,1100.00,0
6-Jun-17,-,-,-,1100.00,0
5-Jun-17,-,-,-,1100.00,0
2-Jun-17,-,-,-,1100.00,0
31-May-17,-,-,-,1100.00,0
30-May-17,-,-,-,1100.00,0
29-May-17,-,-,-,1100.00,0
18-May-17,-,-,-,1100.00,0
17-May-17,-,-,-,1100.00,0
16-May-17,1100.00,1100.00,1100.00,1100.00,200
15-May-17,-,-,-,1100.00,0
12-May-17,-,-,-,1100.00,0
10-May-17,-,-,-,1100.00,0
9-May-17,-,-,-,1100.00,0
8-May-17,-,-,-,1100.00,0
5-May-17,-,-,-,1100.00,0
4-May-17,-,-,-,1100.00,0
3-May-17,1100.00,1100.00,1090.00,1100.00,400
2-May-17,1050.00,1050.00,1045.00,1045.00,1400
28-Apr-17,1050.00,1050.00,1050.00,1050.00,100
27-Apr-17,950.00,950.00,950.00,950.00,300
26-Apr-17,860.00,950.00,860.00,950.00,1400
21-Apr-17,800.00,860.00,800.00,860.00,200
20-Apr-17,-,-,-,780.00,0
17-Apr-17,-,-,-,780.00,0
13-Apr-17,800.00,800.00,780.00,780.00,200
11-Apr-17,-,-,-,745.00,0
10-Apr-17,700.00,745.00,700.00,745.00,300
7-Apr-17,-,-,-,700.00,0
