Date,Open,High,Low,Close,Volume
10-Aug-15,320.00,320.00,320.00,320.00,0
7-Aug-15,320.00,320.00,320.00,320.00,0
6-Aug-15,320.00,320.00,320.00,320.00,0
5-Aug-15,320.00,320.00,320.00,320.00,0
4-Aug-15,320.00,320.00,320.00,320.00,0
3-Aug-15,330.00,330.00,330.00,330.00,0
31-Jul-15,-,-,-,420.00,0
30-Jul-15,-,-,-,420.00,0
24-Jul-15,-,-,-,420.00,0
14-Jul-15,-,-,-,420.00,0
13-Jul-15,-,-,-,420.00,0
2-Jul-15,420.00,420.00,420.00,420.00,0
25-Jun-15,-,-,-,420.00,0
24-Jun-15,315.00,315.00,315.00,315.00,0
10-Jun-15,-,-,-,420.00,0
1-Jun-15,-,-,-,420.00,0
13-May-15,-,-,-,420.00,0
8-May-15,-,-,-,420.00,0
7-May-15,-,-,-,420.00,0
6-May-15,-,-,-,420.00,0
5-May-15,-,-,-,420.00,0
4-May-15,-,-,-,420.00,0
23-Apr-15,320.00,320.00,320.00,320.00,0
22-Apr-15,-,-,-,420.00,0
21-Apr-15,320.00,320.00,320.00,320.00,0
20-Apr-15,-,-,-,420.00,0
15-Apr-15,-,-,-,420.00,0
6-Apr-15,330.00,330.00,330.00,330.00,0
1-Apr-15,-,-,-,420.00,0
30-Mar-15,-,-,-,420.00,0
17-Mar-15,330.00,330.00,330.00,330.00,0
16-Mar-15,330.00,330.00,330.00,330.00,0
9-Jan-15,360.00,360.00,360.00,360.00,0
1-Dec-14,330.00,330.00,330.00,330.00,0
25-Nov-14,350.00,350.00,350.00,350.00,0
24-Nov-14,420.00,420.00,420.00,420.00,9200
5-Nov-14,425.00,425.00,425.00,425.00,0
3-Nov-14,425.00,425.00,425.00,425.00,0
31-Oct-14,425.00,425.00,425.00,425.00,0
27-Oct-14,450.00,450.00,450.00,450.00,0
23-Oct-14,450.00,450.00,450.00,450.00,0
10-Oct-14,353.00,353.00,353.00,353.00,0
9-Oct-14,360.00,360.00,360.00,360.00,0
8-Oct-14,361.00,361.00,361.00,361.00,0
7-Oct-14,470.00,470.00,470.00,470.00,100
2-Oct-14,355.00,355.00,355.00,355.00,0
1-Oct-14,450.00,470.00,450.00,470.00,1100
26-Sep-14,400.00,400.00,400.00,400.00,0
23-Sep-14,490.00,490.00,490.00,490.00,200
15-Sep-14,368.00,368.00,368.00,368.00,0
11-Sep-14,400.00,400.00,400.00,400.00,0
8-Sep-14,490.00,490.00,490.00,490.00,1000
28-Aug-14,375.00,375.00,375.00,375.00,0
20-Aug-14,450.00,450.00,450.00,450.00,0
15-Aug-14,500.00,500.00,500.00,500.00,1000
14-Aug-14,525.00,525.00,525.00,525.00,2000
7-Aug-14,545.00,545.00,545.00,545.00,100
4-Aug-14,455.00,455.00,455.00,455.00,0
3-Jun-14,500.00,500.00,500.00,500.00,200
30-May-14,500.00,500.00,500.00,500.00,300
26-May-14,530.00,530.00,525.00,525.00,600
22-May-14,545.00,545.00,545.00,545.00,1500
16-May-14,409.00,409.00,409.00,409.00,0
9-May-14,545.00,545.00,545.00,545.00,1500
7-May-14,350.00,350.00,350.00,350.00,0
