Date,Open,High,Low,Close,Volume
29-Dec-17,10200.00,10400.00,9900.00,9900.00,11139200
28-Dec-17,10000.00,10200.00,9950.00,10200.00,5007900
27-Dec-17,9825.00,10000.00,9825.00,10000.00,3068000
22-Dec-17,9850.00,9850.00,9700.00,9825.00,1468400
21-Dec-17,9600.00,9825.00,9600.00,9800.00,2567400
20-Dec-17,9950.00,9950.00,9500.00,9550.00,4156300
19-Dec-17,9700.00,9850.00,9650.00,9850.00,10386100
18-Dec-17,9700.00,9750.00,9600.00,9700.00,3502600
15-Dec-17,9850.00,9900.00,9700.00,9850.00,13408900
14-Dec-17,9775.00,9950.00,9775.00,9950.00,5985300
13-Dec-17,9550.00,9850.00,9500.00,9725.00,4237800
12-Dec-17,9500.00,9625.00,9325.00,9600.00,3709200
11-Dec-17,9275.00,9500.00,9225.00,9375.00,2598200
8-Dec-17,9275.00,9350.00,9125.00,9150.00,3517700
7-Dec-17,9325.00,9400.00,9175.00,9250.00,3901300
6-Dec-17,9300.00,9525.00,9300.00,9375.00,3749400
5-Dec-17,9625.00,9625.00,9350.00,9350.00,3764100
4-Dec-17,9650.00,9700.00,9500.00,9600.00,5281800
30-Nov-17,9900.00,9925.00,9400.00,9400.00,6376200
29-Nov-17,9900.00,10025.00,9850.00,9900.00,3407500
28-Nov-17,9975.00,10000.00,9900.00,10000.00,4222100
27-Nov-17,10150.00,10150.00,9950.00,10025.00,2999900
24-Nov-17,10100.00,10200.00,9925.00,10150.00,2985600
23-Nov-17,9975.00,10050.00,9900.00,10050.00,1410400
22-Nov-17,10000.00,10075.00,9900.00,9900.00,3121700
21-Nov-17,10000.00,10150.00,9850.00,9975.00,3273900
20-Nov-17,9950.00,10100.00,9925.00,9975.00,2774200
17-Nov-17,10000.00,10175.00,9900.00,9900.00,3099000
16-Nov-17,9850.00,10100.00,9825.00,9950.00,4255600
15-Nov-17,9975.00,10075.00,9850.00,9850.00,3754900
14-Nov-17,10150.00,10250.00,9900.00,9900.00,5819100
13-Nov-17,10025.00,10125.00,9950.00,10000.00,1912900
10-Nov-17,10150.00,10225.00,10000.00,10000.00,3411200
9-Nov-17,10500.00,10525.00,10100.00,10100.00,4949300
8-Nov-17,10400.00,10500.00,10350.00,10500.00,2706700
7-Nov-17,10350.00,10475.00,10325.00,10325.00,2862600
6-Nov-17,10375.00,10525.00,10275.00,10300.00,2088800
3-Nov-17,10350.00,10425.00,10300.00,10375.00,4081700
2-Nov-17,10550.00,10600.00,10200.00,10425.00,6423900
1-Nov-17,10800.00,10800.00,10425.00,10500.00,7118400
31-Oct-17,11050.00,11050.00,10825.00,10900.00,4522900
30-Oct-17,10775.00,11000.00,10750.00,10775.00,1803800
27-Oct-17,11000.00,11025.00,10750.00,10775.00,3040300
26-Oct-17,10950.00,11100.00,10900.00,11025.00,5771900
25-Oct-17,10725.00,10900.00,10675.00,10875.00,3033600
24-Oct-17,10550.00,10925.00,10525.00,10725.00,2696300
23-Oct-17,10600.00,10650.00,10400.00,10550.00,3724700
20-Oct-17,10500.00,10600.00,10400.00,10425.00,2937200
19-Oct-17,10725.00,10800.00,10475.00,10500.00,3306500
18-Oct-17,10850.00,10900.00,10550.00,10825.00,2722100
17-Oct-17,10925.00,10950.00,10825.00,10850.00,3163500
16-Oct-17,10900.00,10900.00,10750.00,10900.00,3570300
13-Oct-17,10750.00,10900.00,10700.00,10850.00,4772000
12-Oct-17,10375.00,10750.00,10350.00,10750.00,3662100
11-Oct-17,10550.00,10600.00,10350.00,10450.00,6140400
10-Oct-17,10475.00,10650.00,10475.00,10650.00,3003000
9-Oct-17,10675.00,10675.00,10525.00,10600.00,2541400
6-Oct-17,10550.00,10700.00,10450.00,10700.00,5314600
5-Oct-17,10300.00,10400.00,10275.00,10375.00,4894400
4-Oct-17,10000.00,10300.00,10000.00,10300.00,2066500
3-Oct-17,10200.00,10250.00,10000.00,10050.00,3770700
2-Oct-17,10200.00,10250.00,10100.00,10200.00,2173300
29-Sep-17,10075.00,10175.00,9975.00,10125.00,3955300
28-Sep-17,9500.00,10175.00,9500.00,9950.00,13300300
27-Sep-17,9825.00,9875.00,9025.00,9625.00,18885900
26-Sep-17,9950.00,10050.00,9900.00,9900.00,3219900
25-Sep-17,9950.00,10075.00,9925.00,9950.00,3575400
22-Sep-17,10125.00,10150.00,9975.00,10000.00,2458900
20-Sep-17,10000.00,10125.00,10000.00,10100.00,4742000
19-Sep-17,10000.00,10075.00,9925.00,9950.00,3938300
18-Sep-17,10300.00,10500.00,9950.00,10000.00,5800900
15-Sep-17,10525.00,10600.00,10350.00,10375.00,9144700
14-Sep-17,10550.00,10575.00,10400.00,10500.00,2078200
13-Sep-17,10350.00,10600.00,10275.00,10600.00,3527500
12-Sep-17,10350.00,10575.00,10200.00,10450.00,3947600
11-Sep-17,10325.00,10525.00,10300.00,10450.00,6600700
8-Sep-17,9800.00,10325.00,9800.00,10300.00,9287700
7-Sep-17,9700.00,9875.00,9550.00,9825.00,7845400
6-Sep-17,9750.00,9900.00,9600.00,9700.00,5828700
5-Sep-17,10025.00,10025.00,9700.00,9700.00,4703300
4-Sep-17,10425.00,10475.00,9975.00,9975.00,5336700
31-Aug-17,10350.00,10475.00,10225.00,10475.00,5823100
30-Aug-17,10450.00,10500.00,10100.00,10375.00,7722100
29-Aug-17,10600.00,10600.00,10425.00,10475.00,2522300
28-Aug-17,10500.00,10700.00,10450.00,10525.00,3180300
