Date,Open,High,Low,Close,Volume
29-Dec-17,1245.00,1280.00,1245.00,1255.00,182400
28-Dec-17,1240.00,1255.00,1240.00,1240.00,577400
27-Dec-17,1255.00,1255.00,1240.00,1240.00,914800
22-Dec-17,1275.00,1275.00,1245.00,1255.00,713100
21-Dec-17,1290.00,1295.00,1275.00,1280.00,695900
20-Dec-17,1315.00,1320.00,1285.00,1300.00,348800
19-Dec-17,1310.00,1340.00,1310.00,1315.00,530600
18-Dec-17,1310.00,1310.00,1300.00,1305.00,524800
15-Dec-17,1290.00,1305.00,1285.00,1305.00,877500
14-Dec-17,1295.00,1295.00,1270.00,1285.00,932400
13-Dec-17,1315.00,1315.00,1290.00,1300.00,858800
12-Dec-17,1310.00,1320.00,1300.00,1315.00,804500
11-Dec-17,1290.00,1310.00,1290.00,1310.00,683900
8-Dec-17,1305.00,1315.00,1300.00,1300.00,949900
7-Dec-17,1275.00,1315.00,1270.00,1305.00,3622900
6-Dec-17,1250.00,1315.00,1250.00,1270.00,710700
5-Dec-17,1255.00,1265.00,1240.00,1250.00,1184400
4-Dec-17,1240.00,1255.00,1240.00,1255.00,701300
30-Nov-17,1225.00,1240.00,1215.00,1240.00,758600
29-Nov-17,1225.00,1225.00,1215.00,1225.00,517000
28-Nov-17,1235.00,1245.00,1225.00,1225.00,518200
27-Nov-17,1285.00,1290.00,1235.00,1235.00,768000
24-Nov-17,1300.00,1300.00,1285.00,1285.00,630200
23-Nov-17,1270.00,1305.00,1270.00,1300.00,693500
22-Nov-17,1275.00,1280.00,1265.00,1270.00,868000
21-Nov-17,1285.00,1315.00,1280.00,1280.00,1009400
20-Nov-17,1290.00,1295.00,1280.00,1285.00,457000
17-Nov-17,1265.00,1290.00,1265.00,1290.00,597100
16-Nov-17,1285.00,1290.00,1265.00,1265.00,483700
15-Nov-17,1290.00,1290.00,1280.00,1290.00,451100
14-Nov-17,1300.00,1315.00,1295.00,1295.00,553000
13-Nov-17,1285.00,1300.00,1280.00,1295.00,494800
10-Nov-17,1290.00,1290.00,1285.00,1285.00,185000
9-Nov-17,1315.00,1325.00,1285.00,1290.00,658000
8-Nov-17,1320.00,1335.00,1315.00,1315.00,602100
7-Nov-17,1300.00,1330.00,1300.00,1330.00,799300
6-Nov-17,1315.00,1330.00,1300.00,1300.00,792900
3-Nov-17,1305.00,1325.00,1305.00,1315.00,567100
2-Nov-17,1310.00,1350.00,1300.00,1305.00,804100
1-Nov-17,1290.00,1320.00,1290.00,1310.00,643700
31-Oct-17,1285.00,1300.00,1285.00,1290.00,578800
30-Oct-17,1265.00,1300.00,1265.00,1285.00,723400
27-Oct-17,1265.00,1300.00,1265.00,1270.00,637300
26-Oct-17,1225.00,1270.00,1225.00,1265.00,603200
25-Oct-17,1230.00,1245.00,1225.00,1225.00,1060800
24-Oct-17,1220.00,1235.00,1215.00,1235.00,565200
23-Oct-17,1250.00,1255.00,1225.00,1225.00,649800
20-Oct-17,1240.00,1250.00,1240.00,1250.00,194000
19-Oct-17,1220.00,1270.00,1220.00,1240.00,2362200
18-Oct-17,1230.00,1235.00,1220.00,1220.00,574000
17-Oct-17,1190.00,1235.00,1175.00,1230.00,1547400
16-Oct-17,1165.00,1220.00,1165.00,1190.00,870900
13-Oct-17,1165.00,1170.00,1160.00,1165.00,190200
12-Oct-17,1150.00,1170.00,1150.00,1160.00,1007200
11-Oct-17,1135.00,1150.00,1135.00,1150.00,1263700
10-Oct-17,1130.00,1145.00,1130.00,1140.00,859300
9-Oct-17,1120.00,1140.00,1120.00,1130.00,546500
6-Oct-17,1120.00,1135.00,1120.00,1120.00,1133300
5-Oct-17,1120.00,1125.00,1110.00,1115.00,1224300
4-Oct-17,1110.00,1125.00,1110.00,1120.00,1291100
3-Oct-17,1130.00,1135.00,1115.00,1115.00,1067900
2-Oct-17,1115.00,1125.00,1110.00,1125.00,727600
29-Sep-17,1110.00,1115.00,1100.00,1115.00,737300
28-Sep-17,1115.00,1120.00,1100.00,1110.00,1257900
27-Sep-17,1115.00,1115.00,1110.00,1115.00,566100
26-Sep-17,1100.00,1115.00,1095.00,1115.00,1356300
25-Sep-17,1140.00,1150.00,1095.00,1100.00,956600
22-Sep-17,1130.00,1140.00,1115.00,1140.00,607700
20-Sep-17,1145.00,1145.00,1125.00,1125.00,5123600
19-Sep-17,1150.00,1150.00,1140.00,1150.00,609200
18-Sep-17,1150.00,1160.00,1150.00,1150.00,897000
15-Sep-17,1130.00,1160.00,1130.00,1150.00,755000
14-Sep-17,1135.00,1140.00,1135.00,1135.00,537100
13-Sep-17,1140.00,1145.00,1130.00,1135.00,735400
12-Sep-17,1135.00,1145.00,1125.00,1135.00,876800
11-Sep-17,1130.00,1145.00,1130.00,1135.00,609100
8-Sep-17,1120.00,1130.00,1115.00,1130.00,613500
7-Sep-17,1125.00,1130.00,1120.00,1120.00,657300
6-Sep-17,1145.00,1150.00,1130.00,1130.00,896900
5-Sep-17,1145.00,1155.00,1140.00,1145.00,694600
4-Sep-17,1140.00,1150.00,1140.00,1140.00,968000
31-Aug-17,1115.00,1140.00,1115.00,1140.00,820600
30-Aug-17,1115.00,1135.00,1115.00,1115.00,965800
29-Aug-17,1120.00,1120.00,1110.00,1115.00,891300
28-Aug-17,1100.00,1125.00,1095.00,1120.00,781800
25-Aug-17,1060.00,1095.00,1055.00,1095.00,1637200
24-Aug-17,1050.00,1055.00,1045.00,1055.00,917500
23-Aug-17,1050.00,1055.00,1045.00,1045.00,870000
22-Aug-17,1085.00,1085.00,1050.00,1055.00,844000
21-Aug-17,1095.00,1095.00,1085.00,1085.00,519500
18-Aug-17,1065.00,1095.00,1065.00,1095.00,13563000
16-Aug-17,1055.00,1065.00,1050.00,1060.00,1210200
15-Aug-17,1055.00,1060.00,1050.00,1055.00,1358900
14-Aug-17,1065.00,1065.00,1035.00,1050.00,2073800
11-Aug-17,1065.00,1065.00,1045.00,1065.00,2369800
10-Aug-17,1070.00,1085.00,1065.00,1070.00,1243200
9-Aug-17,1065.00,1070.00,1055.00,1070.00,1196700
8-Aug-17,1060.00,1060.00,1050.00,1060.00,1324200
7-Aug-17,1060.00,1060.00,1045.00,1055.00,956200
4-Aug-17,1065.00,1070.00,1050.00,1060.00,4436100
3-Aug-17,1100.00,1100.00,1065.00,1065.00,2694600
2-Aug-17,1125.00,1125.00,1090.00,1100.00,1234600
1-Aug-17,1125.00,1165.00,1085.00,1125.00,1184000
