Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,2300.00,0
28-Dec-17,2300.00,2300.00,2300.00,2300.00,300
27-Dec-17,-,-,-,2300.00,0
22-Dec-17,-,-,-,2300.00,0
21-Dec-17,-,-,-,2300.00,0
20-Dec-17,-,-,-,2300.00,0
19-Dec-17,2300.00,2300.00,2300.00,2300.00,500
18-Dec-17,-,-,-,2300.00,0
15-Dec-17,-,-,-,2300.00,0
14-Dec-17,2300.00,2300.00,2300.00,2300.00,1200
13-Dec-17,-,-,-,2340.00,0
12-Dec-17,2340.00,2340.00,2340.00,2340.00,1400
11-Dec-17,2400.00,2580.00,2300.00,2580.00,3900
8-Dec-17,-,-,-,2790.00,0
7-Dec-17,-,-,-,2790.00,0
6-Dec-17,2790.00,2790.00,2790.00,2790.00,200
5-Dec-17,2300.00,2790.00,2300.00,2790.00,1100
4-Dec-17,-,-,-,2400.00,0
30-Nov-17,2400.00,2400.00,2400.00,2400.00,100
29-Nov-17,2300.00,2300.00,2300.00,2300.00,600
28-Nov-17,2300.00,2300.00,2300.00,2300.00,3800
27-Nov-17,2100.00,2320.00,2100.00,2300.00,13500
24-Nov-17,2100.00,2100.00,2100.00,2100.00,100
23-Nov-17,2000.00,2260.00,2000.00,2260.00,1400
22-Nov-17,2000.00,2000.00,2000.00,2000.00,5000
21-Nov-17,2000.00,2000.00,2000.00,2000.00,700
20-Nov-17,2000.00,2000.00,2000.00,2000.00,2000
17-Nov-17,-,-,-,2100.00,0
16-Nov-17,2010.00,2100.00,1900.00,2100.00,1700
15-Nov-17,1910.00,2010.00,1910.00,2010.00,1600
14-Nov-17,2490.00,2490.00,2490.00,2490.00,2800
13-Nov-17,-,-,-,2400.00,0
10-Nov-17,-,-,-,2400.00,0
9-Nov-17,2400.00,2400.00,2400.00,2400.00,100
8-Nov-17,-,-,-,2300.00,0
7-Nov-17,-,-,-,2300.00,0
6-Nov-17,2300.00,2300.00,2300.00,2300.00,100
3-Nov-17,2000.00,2250.00,2000.00,2050.00,7200
2-Nov-17,1900.00,1900.00,1900.00,1900.00,200
1-Nov-17,2000.00,2000.00,1900.00,1900.00,1500
31-Oct-17,2000.00,2000.00,2000.00,2000.00,7500
30-Oct-17,-,-,-,1900.00,0
27-Oct-17,1900.00,1900.00,1900.00,1900.00,1000
26-Oct-17,1900.00,1900.00,1900.00,1900.00,1600
25-Oct-17,-,-,-,2050.00,0
24-Oct-17,2050.00,2050.00,2050.00,2050.00,100
23-Oct-17,-,-,-,2100.00,0
20-Oct-17,2100.00,2100.00,2100.00,2100.00,100
19-Oct-17,-,-,-,2000.00,0
18-Oct-17,2000.00,2000.00,2000.00,2000.00,200
17-Oct-17,2000.00,2000.00,2000.00,2000.00,500
16-Oct-17,-,-,-,2000.00,0
13-Oct-17,2000.00,2000.00,2000.00,2000.00,100
12-Oct-17,-,-,-,2100.00,0
11-Oct-17,-,-,-,2100.00,0
10-Oct-17,-,-,-,2100.00,0
9-Oct-17,-,-,-,2100.00,0
6-Oct-17,-,-,-,2100.00,0
5-Oct-17,-,-,-,2100.00,0
4-Oct-17,-,-,-,2100.00,0
3-Oct-17,-,-,-,2100.00,0
2-Oct-17,-,-,-,2100.00,0
29-Sep-17,-,-,-,2100.00,0
28-Sep-17,-,-,-,2100.00,0
27-Sep-17,-,-,-,2100.00,0
26-Sep-17,-,-,-,2100.00,0
25-Sep-17,-,-,-,2100.00,0
22-Sep-17,-,-,-,2100.00,0
20-Sep-17,-,-,-,2100.00,0
19-Sep-17,2200.00,2200.00,2100.00,2100.00,300
18-Sep-17,-,-,-,1850.00,0
