Date,Open,High,Low,Close,Volume
29-Dec-17,332.00,332.00,332.00,332.00,200
28-Dec-17,338.00,338.00,330.00,330.00,8900
27-Dec-17,330.00,340.00,330.00,340.00,27100
22-Dec-17,340.00,370.00,340.00,346.00,53700
21-Dec-17,-,-,-,388.00,0
20-Dec-17,-,-,-,388.00,0
19-Dec-17,-,-,-,388.00,0
18-Dec-17,-,-,-,388.00,0
15-Dec-17,-,-,-,388.00,0
14-Dec-17,-,-,-,388.00,0
13-Dec-17,388.00,388.00,388.00,388.00,100
12-Dec-17,314.00,388.00,314.00,388.00,200
11-Dec-17,-,-,-,398.00,0
8-Dec-17,-,-,-,398.00,0
7-Dec-17,-,-,-,398.00,0
6-Dec-17,332.00,398.00,332.00,398.00,300
5-Dec-17,-,-,-,410.00,0
4-Dec-17,-,-,-,410.00,0
30-Nov-17,-,-,-,410.00,0
29-Nov-17,396.00,410.00,396.00,410.00,3600
28-Nov-17,430.00,430.00,414.00,414.00,25800
27-Nov-17,382.00,402.00,382.00,398.00,2500
24-Nov-17,382.00,382.00,382.00,382.00,3200
23-Nov-17,-,-,-,382.00,0
22-Nov-17,380.00,382.00,380.00,382.00,11800
21-Nov-17,380.00,380.00,380.00,380.00,2500
20-Nov-17,410.00,410.00,390.00,396.00,8700
17-Nov-17,392.00,426.00,392.00,410.00,26600
16-Nov-17,400.00,410.00,372.00,392.00,15200
15-Nov-17,448.00,450.00,410.00,410.00,87700
14-Nov-17,460.00,488.00,408.00,448.00,280200
13-Nov-17,332.00,404.00,332.00,404.00,128000
10-Nov-17,416.00,474.00,324.00,324.00,106200
9-Nov-17,468.00,468.00,384.00,412.00,59800
8-Nov-17,468.00,468.00,468.00,468.00,500
7-Nov-17,470.00,470.00,470.00,470.00,5300
6-Nov-17,482.00,482.00,450.00,470.00,9400
3-Nov-17,-,-,-,482.00,0
2-Nov-17,560.00,625.00,482.00,482.00,201300
1-Nov-17,418.00,520.00,418.00,520.00,123700
31-Oct-17,460.00,460.00,402.00,418.00,109000
30-Oct-17,510.00,510.00,470.00,470.00,131200
27-Oct-17,625.00,625.00,500.00,510.00,333500
26-Oct-17,555.00,650.00,500.00,625.00,341500
25-Oct-17,416.00,520.00,416.00,520.00,129500
24-Oct-17,346.00,432.00,346.00,416.00,26700
23-Oct-17,-,-,-,346.00,0
20-Oct-17,342.00,346.00,338.00,346.00,500
19-Oct-17,320.00,350.00,320.00,348.00,44600
18-Oct-17,350.00,350.00,350.00,350.00,400
17-Oct-17,380.00,380.00,350.00,350.00,4700
16-Oct-17,-,-,-,380.00,0
13-Oct-17,380.00,380.00,380.00,380.00,400
12-Oct-17,390.00,390.00,390.00,390.00,100
11-Oct-17,390.00,390.00,390.00,390.00,100
10-Oct-17,390.00,390.00,390.00,390.00,4900
9-Oct-17,426.00,426.00,380.00,412.00,3200
6-Oct-17,428.00,428.00,428.00,428.00,200
5-Oct-17,432.00,432.00,432.00,432.00,2100
4-Oct-17,-,-,-,434.00,0
3-Oct-17,436.00,436.00,434.00,434.00,200
2-Oct-17,-,-,-,440.00,0
29-Sep-17,-,-,-,440.00,0
28-Sep-17,440.00,440.00,440.00,440.00,100
27-Sep-17,-,-,-,440.00,0
26-Sep-17,440.00,440.00,440.00,440.00,200
25-Sep-17,440.00,440.00,440.00,440.00,100
22-Sep-17,450.00,450.00,450.00,450.00,3000
20-Sep-17,-,-,-,470.00,0
19-Sep-17,470.00,470.00,470.00,470.00,1500
18-Sep-17,470.00,470.00,470.00,470.00,100
15-Sep-17,400.00,400.00,400.00,400.00,100
14-Sep-17,-,-,-,520.00,0
13-Sep-17,515.00,520.00,515.00,520.00,2500
12-Sep-17,-,-,-,535.00,0
11-Sep-17,535.00,535.00,535.00,535.00,100
8-Sep-17,-,-,-,500.00,0
7-Sep-17,500.00,500.00,500.00,500.00,200
6-Sep-17,-,-,-,515.00,0
5-Sep-17,476.00,515.00,476.00,515.00,98100
4-Sep-17,-,-,-,510.00,0
31-Aug-17,500.00,535.00,402.00,510.00,2900
30-Aug-17,580.00,580.00,500.00,500.00,1005400
29-Aug-17,560.00,560.00,540.00,540.00,4600
28-Aug-17,665.00,665.00,525.00,560.00,4500
25-Aug-17,-,-,-,535.00,0
24-Aug-17,500.00,535.00,500.00,535.00,1600
23-Aug-17,500.00,500.00,490.00,500.00,2500
22-Aug-17,494.00,500.00,480.00,490.00,5700
21-Aug-17,500.00,500.00,500.00,500.00,400
18-Aug-17,600.00,600.00,550.00,550.00,400
16-Aug-17,550.00,550.00,510.00,550.00,300
15-Aug-17,550.00,550.00,500.00,550.00,1200
14-Aug-17,560.00,560.00,550.00,550.00,200
11-Aug-17,500.00,560.00,462.00,560.00,7200
