Date,Open,High,Low,Close,Volume
29-Dec-17,232.00,252.00,230.00,242.00,2756800
28-Dec-17,212.00,268.00,208.00,268.00,1093300
27-Dec-17,210.00,220.00,202.00,220.00,62700
22-Dec-17,204.00,210.00,204.00,210.00,5300
21-Dec-17,204.00,222.00,204.00,204.00,65700
20-Dec-17,216.00,222.00,200.00,222.00,16300
19-Dec-17,200.00,222.00,200.00,222.00,5800
18-Dec-17,204.00,204.00,204.00,204.00,100
15-Dec-17,185.00,222.00,185.00,200.00,11700
14-Dec-17,-,-,-,190.00,0
13-Dec-17,190.00,190.00,190.00,190.00,2000
12-Dec-17,185.00,202.00,185.00,202.00,2000
11-Dec-17,200.00,204.00,200.00,204.00,2100
8-Dec-17,202.00,204.00,199.00,204.00,7100
7-Dec-17,210.00,210.00,187.00,194.00,11500
6-Dec-17,-,-,-,210.00,0
5-Dec-17,200.00,210.00,180.00,210.00,60600
4-Dec-17,216.00,216.00,191.00,199.00,25300
30-Nov-17,220.00,222.00,200.00,222.00,99000
29-Nov-17,210.00,224.00,210.00,220.00,12200
28-Nov-17,210.00,214.00,210.00,214.00,1000
27-Nov-17,-,-,-,210.00,0
24-Nov-17,210.00,210.00,210.00,210.00,100
23-Nov-17,202.00,210.00,202.00,210.00,4300
22-Nov-17,198.00,204.00,198.00,204.00,800
21-Nov-17,-,-,-,198.00,0
20-Nov-17,-,-,-,198.00,0
17-Nov-17,-,-,-,198.00,0
16-Nov-17,190.00,198.00,190.00,198.00,300
15-Nov-17,195.00,204.00,194.00,204.00,700
14-Nov-17,198.00,198.00,195.00,195.00,4300
13-Nov-17,204.00,204.00,189.00,198.00,9600
10-Nov-17,200.00,200.00,200.00,200.00,100
9-Nov-17,200.00,200.00,182.00,190.00,5300
8-Nov-17,200.00,200.00,200.00,200.00,6100
7-Nov-17,200.00,204.00,176.00,200.00,13200
6-Nov-17,200.00,206.00,200.00,206.00,500
3-Nov-17,-,-,-,200.00,0
2-Nov-17,200.00,200.00,200.00,200.00,5700
1-Nov-17,200.00,200.00,200.00,200.00,4300
31-Oct-17,193.00,220.00,193.00,220.00,30700
30-Oct-17,190.00,194.00,190.00,194.00,3100
27-Oct-17,196.00,196.00,196.00,196.00,400
26-Oct-17,196.00,196.00,196.00,196.00,3100
25-Oct-17,196.00,196.00,196.00,196.00,400
24-Oct-17,196.00,196.00,196.00,196.00,100
23-Oct-17,196.00,196.00,196.00,196.00,3300
20-Oct-17,200.00,200.00,196.00,196.00,2100
19-Oct-17,208.00,208.00,202.00,202.00,19900
18-Oct-17,191.00,208.00,191.00,208.00,700
17-Oct-17,206.00,206.00,180.00,180.00,1000
16-Oct-17,195.00,195.00,195.00,195.00,100
13-Oct-17,-,-,-,195.00,0
12-Oct-17,-,-,-,195.00,0
11-Oct-17,194.00,195.00,194.00,195.00,3400
10-Oct-17,194.00,194.00,193.00,194.00,1100
9-Oct-17,-,-,-,190.00,0
6-Oct-17,190.00,190.00,190.00,190.00,300
5-Oct-17,196.00,196.00,170.00,190.00,30600
4-Oct-17,-,-,-,195.00,0
3-Oct-17,-,-,-,195.00,0
2-Oct-17,220.00,220.00,195.00,195.00,1800
29-Sep-17,200.00,200.00,200.00,200.00,458400
28-Sep-17,197.00,197.00,193.00,193.00,400
27-Sep-17,193.00,193.00,193.00,193.00,500
26-Sep-17,197.00,197.00,193.00,193.00,25100
25-Sep-17,197.00,197.00,197.00,197.00,1300
22-Sep-17,-,-,-,197.00,0
20-Sep-17,-,-,-,197.00,0
19-Sep-17,198.00,198.00,198.00,197.00,300
18-Sep-17,198.00,199.00,198.00,199.00,1200
15-Sep-17,197.00,197.00,192.00,192.00,200
14-Sep-17,195.00,195.00,195.00,195.00,100
13-Sep-17,220.00,220.00,191.00,191.00,10300
12-Sep-17,195.00,195.00,179.00,190.00,700
11-Sep-17,193.00,195.00,155.00,195.00,800
8-Sep-17,197.00,197.00,192.00,192.00,1300
7-Sep-17,200.00,214.00,180.00,192.00,12200
6-Sep-17,-,-,-,197.00,0
5-Sep-17,-,-,-,197.00,0
4-Sep-17,-,-,-,197.00,0
31-Aug-17,197.00,197.00,197.00,197.00,100
30-Aug-17,-,-,-,202.00,0
29-Aug-17,-,-,-,202.00,0
28-Aug-17,196.00,202.00,196.00,202.00,200
25-Aug-17,200.00,200.00,200.00,200.00,300
24-Aug-17,200.00,200.00,200.00,200.00,500
23-Aug-17,200.00,200.00,200.00,200.00,100
22-Aug-17,191.00,200.00,191.00,200.00,200
21-Aug-17,200.00,200.00,200.00,200.00,209600
18-Aug-17,200.00,200.00,200.00,200.00,209100
16-Aug-17,-,-,-,200.00,0
15-Aug-17,-,-,-,200.00,0
14-Aug-17,200.00,200.00,200.00,200.00,200
11-Aug-17,200.00,200.00,200.00,200.00,400
10-Aug-17,-,-,-,200.00,0
9-Aug-17,200.00,200.00,200.00,200.00,6300
8-Aug-17,200.00,200.00,200.00,200.00,5200
7-Aug-17,199.00,200.00,199.00,200.00,200
4-Aug-17,-,-,-,199.00,0
3-Aug-17,-,-,-,199.00,0
2-Aug-17,200.00,200.00,180.00,199.00,1000
1-Aug-17,200.00,200.00,200.00,200.00,2100
31-Jul-17,220.00,220.00,200.00,200.00,300
28-Jul-17,220.00,220.00,190.00,206.00,5700
27-Jul-17,200.00,200.00,200.00,200.00,300
26-Jul-17,200.00,200.00,200.00,200.00,200
25-Jul-17,200.00,200.00,200.00,200.00,1000
24-Jul-17,200.00,200.00,200.00,200.00,100
21-Jul-17,206.00,206.00,200.00,200.00,5100
20-Jul-17,200.00,200.00,200.00,200.00,200
19-Jul-17,200.00,200.00,200.00,200.00,8200
18-Jul-17,200.00,200.00,200.00,200.00,100
17-Jul-17,204.00,204.00,194.00,202.00,400
14-Jul-17,206.00,206.00,206.00,206.00,100
13-Jul-17,202.00,214.00,190.00,190.00,1000
12-Jul-17,-,-,-,202.00,0
11-Jul-17,-,-,-,202.00,0
10-Jul-17,-,-,-,202.00,0
7-Jul-17,202.00,202.00,202.00,202.00,100
6-Jul-17,-,-,-,202.00,0
5-Jul-17,-,-,-,202.00,0
4-Jul-17,202.00,202.00,202.00,202.00,200
3-Jul-17,202.00,202.00,202.00,202.00,100
22-Jun-17,208.00,208.00,190.00,204.00,100200
21-Jun-17,170.00,198.00,170.00,198.00,1200
20-Jun-17,200.00,200.00,200.00,200.00,200
19-Jun-17,200.00,200.00,200.00,200.00,1100
16-Jun-17,200.00,210.00,200.00,210.00,300
15-Jun-17,200.00,214.00,200.00,210.00,75900
14-Jun-17,200.00,200.00,200.00,200.00,20000
13-Jun-17,194.00,194.00,194.00,194.00,700
12-Jun-17,200.00,200.00,200.00,200.00,15000
9-Jun-17,191.00,200.00,191.00,200.00,37300
8-Jun-17,195.00,199.00,191.00,191.00,3200
7-Jun-17,197.00,200.00,190.00,194.00,11500
6-Jun-17,200.00,200.00,197.00,197.00,336900
5-Jun-17,-,-,-,206.00,0
2-Jun-17,-,-,-,206.00,0
31-May-17,210.00,216.00,206.00,206.00,37000
30-May-17,212.00,214.00,212.00,214.00,400
29-May-17,208.00,214.00,208.00,214.00,7400
26-May-17,190.00,208.00,190.00,208.00,12400
24-May-17,200.00,208.00,200.00,208.00,200700
23-May-17,192.00,206.00,192.00,198.00,500
22-May-17,208.00,208.00,208.00,208.00,200
19-May-17,208.00,208.00,206.00,206.00,6300
18-May-17,210.00,210.00,190.00,208.00,8000
17-May-17,200.00,202.00,190.00,200.00,3500
16-May-17,200.00,200.00,200.00,200.00,1500
15-May-17,-,-,-,200.00,0
12-May-17,-,-,-,200.00,0
10-May-17,-,-,-,200.00,0
9-May-17,204.00,210.00,200.00,200.00,164800
8-May-17,202.00,218.00,202.00,218.00,200
5-May-17,212.00,212.00,212.00,212.00,50700
4-May-17,228.00,228.00,222.00,224.00,49100
3-May-17,210.00,228.00,210.00,210.00,23600
2-May-17,230.00,230.00,230.00,230.00,100
28-Apr-17,224.00,224.00,224.00,224.00,100
27-Apr-17,224.00,230.00,214.00,226.00,71200
26-Apr-17,230.00,234.00,224.00,230.00,43900
25-Apr-17,228.00,230.00,228.00,230.00,5300
21-Apr-17,236.00,236.00,214.00,230.00,77500
20-Apr-17,234.00,240.00,220.00,224.00,260500
18-Apr-17,226.00,236.00,214.00,218.00,278000
17-Apr-17,226.00,228.00,226.00,228.00,100100
13-Apr-17,232.00,232.00,228.00,228.00,500
12-Apr-17,222.00,222.00,218.00,218.00,8300
11-Apr-17,224.00,224.00,218.00,218.00,2200
10-Apr-17,214.00,224.00,214.00,224.00,101200
7-Apr-17,210.00,230.00,210.00,230.00,45100
6-Apr-17,-,-,-,232.00,0
5-Apr-17,232.00,240.00,220.00,232.00,179700
4-Apr-17,220.00,238.00,214.00,230.00,484300
3-Apr-17,224.00,224.00,218.00,218.00,62200
31-Mar-17,232.00,242.00,230.00,230.00,800500
30-Mar-17,232.00,238.00,232.00,238.00,61200
29-Mar-17,232.00,236.00,232.00,232.00,70100
27-Mar-17,232.00,232.00,222.00,232.00,12600
24-Mar-17,226.00,232.00,226.00,232.00,1100
23-Mar-17,218.00,240.00,218.00,224.00,172600
22-Mar-17,220.00,232.00,216.00,218.00,39600
21-Mar-17,240.00,242.00,228.00,230.00,29600
20-Mar-17,242.00,242.00,242.00,242.00,100
17-Mar-17,244.00,244.00,232.00,244.00,17400
16-Mar-17,234.00,248.00,234.00,244.00,426100
15-Mar-17,234.00,234.00,234.00,234.00,41000
14-Mar-17,218.00,240.00,218.00,234.00,722500
13-Mar-17,210.00,240.00,210.00,218.00,952000
10-Mar-17,210.00,210.00,210.00,210.00,25000
9-Mar-17,216.00,216.00,202.00,210.00,43700
8-Mar-17,200.00,218.00,200.00,218.00,32200
7-Mar-17,208.00,208.00,208.00,208.00,100
6-Mar-17,-,-,-,208.00,0
3-Mar-17,195.00,208.00,195.00,208.00,200
2-Mar-17,208.00,208.00,208.00,208.00,25000
1-Mar-17,220.00,220.00,208.00,208.00,1600
28-Feb-17,208.00,218.00,200.00,218.00,310900
27-Feb-17,206.00,208.00,206.00,208.00,5200
24-Feb-17,-,-,-,206.00,0
23-Feb-17,208.00,208.00,206.00,206.00,6000
22-Feb-17,210.00,210.00,200.00,208.00,12800
21-Feb-17,210.00,210.00,204.00,206.00,26900
20-Feb-17,214.00,220.00,204.00,212.00,1600
17-Feb-17,202.00,210.00,202.00,210.00,200
16-Feb-17,202.00,210.00,202.00,210.00,800
14-Feb-17,210.00,210.00,210.00,210.00,70000
13-Feb-17,212.00,212.00,204.00,212.00,70600
10-Feb-17,210.00,216.00,210.00,210.00,75300
9-Feb-17,212.00,212.00,206.00,210.00,300
8-Feb-17,218.00,218.00,200.00,202.00,100300
7-Feb-17,204.00,216.00,202.00,202.00,63800
6-Feb-17,202.00,202.00,202.00,202.00,2800
3-Feb-17,202.00,204.00,200.00,200.00,32800
2-Feb-17,204.00,204.00,200.00,202.00,3900
1-Feb-17,202.00,210.00,202.00,206.00,144000
31-Jan-17,204.00,208.00,202.00,202.00,117000
30-Jan-17,210.00,210.00,206.00,206.00,265300
27-Jan-17,-,-,-,206.00,0
26-Jan-17,206.00,214.00,204.00,206.00,9900
25-Jan-17,206.00,216.00,202.00,216.00,27100
24-Jan-17,214.00,214.00,206.00,206.00,15300
23-Jan-17,216.00,216.00,216.00,216.00,5000
20-Jan-17,204.00,214.00,204.00,204.00,25600
19-Jan-17,-,-,-,214.00,0
18-Jan-17,214.00,216.00,208.00,214.00,17100
17-Jan-17,206.00,216.00,204.00,214.00,34200
16-Jan-17,218.00,218.00,202.00,216.00,61600
13-Jan-17,206.00,220.00,202.00,208.00,284700
12-Jan-17,218.00,218.00,216.00,216.00,3300
11-Jan-17,220.00,220.00,206.00,206.00,5000
10-Jan-17,202.00,210.00,202.00,204.00,297600
9-Jan-17,202.00,208.00,202.00,202.00,43400
6-Jan-17,204.00,210.00,202.00,202.00,294700
5-Jan-17,197.00,210.00,197.00,208.00,353200
4-Jan-17,206.00,210.00,194.00,196.00,547800
3-Jan-17,242.00,242.00,199.00,206.00,758600
30-Dec-16,270.00,270.00,244.00,244.00,1274800
29-Dec-16,278.00,298.00,270.00,270.00,8160800
28-Dec-16,260.00,298.00,260.00,298.00,1643100
27-Dec-16,250.00,274.00,250.00,252.00,1885600
23-Dec-16,258.00,260.00,258.00,260.00,170100
22-Dec-16,254.00,254.00,250.00,254.00,3110000
21-Dec-16,252.00,260.00,248.00,254.00,2126000
20-Dec-16,252.00,258.00,252.00,254.00,44800
19-Dec-16,266.00,268.00,250.00,252.00,1050800
16-Dec-16,258.00,262.00,258.00,262.00,68700
15-Dec-16,256.00,260.00,256.00,258.00,52000
14-Dec-16,266.00,266.00,248.00,252.00,3428400
13-Dec-16,268.00,268.00,256.00,256.00,258200
9-Dec-16,256.00,256.00,256.00,256.00,23600
8-Dec-16,254.00,256.00,254.00,256.00,26200
7-Dec-16,262.00,262.00,250.00,250.00,995800
6-Dec-16,260.00,276.00,260.00,262.00,746700
5-Dec-16,280.00,280.00,260.00,260.00,650100
2-Dec-16,280.00,280.00,280.00,280.00,1200
1-Dec-16,280.00,280.00,280.00,280.00,6400
30-Nov-16,280.00,280.00,280.00,280.00,1000
29-Nov-16,280.00,280.00,280.00,280.00,196100
28-Nov-16,280.00,284.00,272.00,280.00,131500
25-Nov-16,280.00,280.00,280.00,280.00,2700
24-Nov-16,284.00,284.00,280.00,280.00,5500
23-Nov-16,282.00,286.00,280.00,282.00,489000
22-Nov-16,282.00,290.00,282.00,282.00,9500
21-Nov-16,298.00,298.00,282.00,282.00,331900
18-Nov-16,300.00,300.00,280.00,286.00,90700
17-Nov-16,288.00,300.00,280.00,300.00,2700
16-Nov-16,298.00,300.00,286.00,298.00,10800
15-Nov-16,290.00,300.00,290.00,296.00,52100
14-Nov-16,294.00,294.00,294.00,294.00,3000
11-Nov-16,300.00,320.00,292.00,292.00,115600
10-Nov-16,300.00,320.00,284.00,290.00,28200
9-Nov-16,300.00,300.00,282.00,300.00,47100
8-Nov-16,300.00,300.00,300.00,300.00,2100
7-Nov-16,302.00,302.00,300.00,300.00,48400
4-Nov-16,316.00,316.00,300.00,300.00,27300
3-Nov-16,296.00,318.00,296.00,316.00,2800
2-Nov-16,310.00,320.00,306.00,306.00,215400
1-Nov-16,300.00,308.00,296.00,296.00,198700
31-Oct-16,300.00,304.00,288.00,288.00,695500
28-Oct-16,292.00,300.00,286.00,300.00,22500
27-Oct-16,300.00,300.00,292.00,292.00,2700
26-Oct-16,288.00,300.00,286.00,300.00,4600
25-Oct-16,-,-,-,288.00,0
24-Oct-16,300.00,300.00,280.00,288.00,1106300
21-Oct-16,280.00,280.00,276.00,276.00,381600
20-Oct-16,282.00,300.00,274.00,290.00,503500
19-Oct-16,282.00,282.00,280.00,280.00,100700
18-Oct-16,282.00,284.00,276.00,276.00,202200
17-Oct-16,302.00,302.00,278.00,278.00,1796000
14-Oct-16,334.00,334.00,302.00,302.00,233900
13-Oct-16,370.00,370.00,334.00,334.00,84200
12-Oct-16,370.00,370.00,370.00,370.00,500
11-Oct-16,370.00,370.00,370.00,370.00,10000
10-Oct-16,370.00,370.00,370.00,370.00,1000
7-Oct-16,370.00,370.00,370.00,370.00,1800
6-Oct-16,370.00,370.00,370.00,370.00,3800
5-Oct-16,370.00,370.00,370.00,370.00,3800
4-Oct-16,390.00,390.00,370.00,370.00,25600
3-Oct-16,430.00,430.00,390.00,390.00,53800
30-Sep-16,348.00,430.00,348.00,430.00,201500
29-Sep-16,294.00,348.00,292.00,348.00,14800
28-Sep-16,308.00,310.00,308.00,310.00,200
27-Sep-16,-,-,-,310.00,0
26-Sep-16,-,-,-,310.00,0
23-Sep-16,310.00,310.00,310.00,310.00,1400
22-Sep-16,310.00,310.00,310.00,310.00,700
21-Sep-16,310.00,310.00,310.00,310.00,3400
20-Sep-16,300.00,310.00,300.00,310.00,300
19-Sep-16,300.00,300.00,300.00,300.00,1200
16-Sep-16,320.00,320.00,300.00,300.00,3600
15-Sep-16,300.00,318.00,290.00,300.00,47500
14-Sep-16,320.00,320.00,280.00,318.00,4000
13-Sep-16,304.00,304.00,290.00,300.00,300
9-Sep-16,336.00,336.00,304.00,304.00,400
8-Sep-16,318.00,336.00,290.00,336.00,103100
7-Sep-16,318.00,318.00,318.00,318.00,1500
6-Sep-16,334.00,334.00,318.00,318.00,8000
5-Sep-16,336.00,336.00,318.00,318.00,21900
2-Sep-16,336.00,336.00,336.00,336.00,300
1-Sep-16,338.00,338.00,338.00,338.00,100
31-Aug-16,320.00,350.00,320.00,350.00,700
30-Aug-16,350.00,350.00,350.00,350.00,100
29-Aug-16,-,-,-,306.00,0
26-Aug-16,330.00,330.00,306.00,306.00,200
25-Aug-16,-,-,-,340.00,0
24-Aug-16,328.00,340.00,328.00,340.00,300
23-Aug-16,360.00,360.00,292.00,300.00,1300
22-Aug-16,324.00,324.00,324.00,324.00,17900
19-Aug-16,-,-,-,360.00,0
18-Aug-16,288.00,360.00,288.00,360.00,600
16-Aug-16,320.00,320.00,320.00,320.00,200
15-Aug-16,310.00,310.00,310.00,310.00,100
12-Aug-16,300.00,316.00,300.00,316.00,200
11-Aug-16,330.00,330.00,330.00,330.00,32800
10-Aug-16,-,-,-,330.00,0
9-Aug-16,-,-,-,330.00,0
8-Aug-16,330.00,330.00,330.00,330.00,100
5-Aug-16,310.00,310.00,310.00,310.00,8700
4-Aug-16,310.00,310.00,310.00,310.00,1400
3-Aug-16,330.00,330.00,310.00,310.00,120000
2-Aug-16,320.00,320.00,320.00,320.00,28100
1-Aug-16,342.00,344.00,316.00,330.00,700
29-Jul-16,350.00,350.00,320.00,348.00,111900
28-Jul-16,330.00,330.00,312.00,320.00,36500
27-Jul-16,350.00,350.00,316.00,338.00,5500
26-Jul-16,346.00,346.00,346.00,346.00,500
25-Jul-16,-,-,-,320.00,0
22-Jul-16,350.00,350.00,320.00,320.00,1000
21-Jul-16,-,-,-,318.00,0
20-Jul-16,318.00,318.00,318.00,318.00,200
19-Jul-16,310.00,326.00,310.00,320.00,5700
18-Jul-16,328.00,328.00,310.00,326.00,800
15-Jul-16,330.00,330.00,330.00,330.00,500
14-Jul-16,336.00,336.00,334.00,334.00,23700
13-Jul-16,340.00,340.00,300.00,336.00,1100
12-Jul-16,320.00,320.00,320.00,320.00,25800
11-Jul-16,320.00,330.00,316.00,320.00,24600
1-Jul-16,340.00,340.00,316.00,316.00,315900
30-Jun-16,344.00,350.00,330.00,350.00,93900
29-Jun-16,320.00,350.00,318.00,344.00,223300
28-Jun-16,-,-,-,350.00,0
27-Jun-16,-,-,-,350.00,0
24-Jun-16,-,-,-,350.00,0
23-Jun-16,-,-,-,350.00,0
22-Jun-16,-,-,-,350.00,0
21-Jun-16,-,-,-,350.00,0
20-Jun-16,-,-,-,350.00,0
17-Jun-16,-,-,-,350.00,0
16-Jun-16,-,-,-,350.00,0
15-Jun-16,-,-,-,350.00,0
14-Jun-16,-,-,-,350.00,0
13-Jun-16,-,-,-,350.00,0
10-Jun-16,-,-,-,350.00,0
9-Jun-16,350.00,350.00,350.00,350.00,4500
8-Jun-16,-,-,-,350.00,0
7-Jun-16,-,-,-,350.00,0
6-Jun-16,-,-,-,350.00,0
3-Jun-16,-,-,-,350.00,0
2-Jun-16,-,-,-,350.00,0
1-Jun-16,-,-,-,350.00,0
31-May-16,340.00,350.00,340.00,350.00,200
30-May-16,-,-,-,350.00,0
27-May-16,-,-,-,350.00,0
26-May-16,-,-,-,350.00,0
25-May-16,-,-,-,350.00,0
24-May-16,-,-,-,350.00,0
23-May-16,-,-,-,350.00,0
20-May-16,350.00,350.00,350.00,350.00,100
19-May-16,358.00,360.00,358.00,360.00,3000
18-May-16,-,-,-,350.00,0
17-May-16,350.00,350.00,350.00,350.00,400
16-May-16,330.00,330.00,330.00,330.00,2000
13-May-16,-,-,-,360.00,0
12-May-16,-,-,-,360.00,0
11-May-16,-,-,-,360.00,0
10-May-16,-,-,-,360.00,0
9-May-16,-,-,-,360.00,0
4-May-16,-,-,-,360.00,0
3-May-16,-,-,-,360.00,0
2-May-16,360.00,360.00,360.00,360.00,1100
29-Apr-16,360.00,360.00,360.00,360.00,1300
28-Apr-16,-,-,-,360.00,0
27-Apr-16,360.00,360.00,360.00,360.00,1000
26-Apr-16,-,-,-,360.00,0
25-Apr-16,360.00,360.00,360.00,360.00,4500
22-Apr-16,-,-,-,380.00,0
21-Apr-16,-,-,-,380.00,0
20-Apr-16,-,-,-,380.00,0
19-Apr-16,380.00,380.00,380.00,380.00,200
18-Apr-16,-,-,-,355.00,0
15-Apr-16,-,-,-,355.00,0
14-Apr-16,-,-,-,355.00,0
13-Apr-16,355.00,355.00,355.00,355.00,800
