Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,113400
28-Dec-17,50.00,50.00,50.00,50.00,100
27-Dec-17,50.00,50.00,50.00,50.00,1000
22-Dec-17,50.00,50.00,50.00,50.00,100
21-Dec-17,50.00,50.00,50.00,50.00,100
20-Dec-17,50.00,50.00,50.00,50.00,200
19-Dec-17,50.00,50.00,50.00,50.00,500
18-Dec-17,50.00,50.00,50.00,50.00,500
15-Dec-17,50.00,50.00,50.00,50.00,500
14-Dec-17,50.00,50.00,50.00,50.00,500
13-Dec-17,50.00,50.00,50.00,50.00,1000
12-Dec-17,50.00,50.00,50.00,50.00,1800
11-Dec-17,50.00,50.00,50.00,50.00,1000
8-Dec-17,50.00,50.00,50.00,50.00,41500
7-Dec-17,50.00,50.00,50.00,50.00,31000
6-Dec-17,50.00,50.00,50.00,50.00,600
5-Dec-17,50.00,50.00,50.00,50.00,300800
4-Dec-17,50.00,50.00,50.00,50.00,3300
30-Nov-17,50.00,50.00,50.00,50.00,6000
29-Nov-17,50.00,50.00,50.00,50.00,2000
28-Nov-17,50.00,50.00,50.00,50.00,700
27-Nov-17,50.00,50.00,50.00,50.00,23000
24-Nov-17,50.00,50.00,50.00,50.00,2500
23-Nov-17,50.00,50.00,50.00,50.00,1100
22-Nov-17,50.00,50.00,50.00,50.00,202700
21-Nov-17,50.00,50.00,50.00,50.00,1000
20-Nov-17,50.00,50.00,50.00,50.00,400
17-Nov-17,50.00,50.00,50.00,50.00,300
16-Nov-17,50.00,50.00,50.00,50.00,400
15-Nov-17,-,-,-,50.00,0
14-Nov-17,-,-,-,50.00,0
13-Nov-17,-,-,-,50.00,0
10-Nov-17,-,-,-,50.00,0
9-Nov-17,-,-,-,50.00,0
8-Nov-17,50.00,50.00,50.00,50.00,40000
7-Nov-17,50.00,50.00,50.00,50.00,320100
6-Nov-17,-,-,-,50.00,0
3-Nov-17,-,-,-,50.00,0
2-Nov-17,50.00,50.00,50.00,50.00,50000
1-Nov-17,50.00,50.00,50.00,50.00,450000
31-Oct-17,50.00,50.00,50.00,50.00,50000
30-Oct-17,-,-,-,50.00,0
27-Oct-17,-,-,-,50.00,0
26-Oct-17,-,-,-,50.00,0
25-Oct-17,-,-,-,50.00,0
24-Oct-17,-,-,-,50.00,0
23-Oct-17,-,-,-,50.00,0
20-Oct-17,50.00,50.00,50.00,50.00,250500
19-Oct-17,50.00,50.00,50.00,50.00,78000
18-Oct-17,50.00,50.00,50.00,50.00,100
17-Oct-17,50.00,50.00,50.00,50.00,1000
16-Oct-17,-,-,-,50.00,0
