Date,Open,High,Low,Close,Volume
29-Dec-17,510.00,515.00,498.00,515.00,13621900
28-Dec-17,510.00,520.00,505.00,505.00,6482200
27-Dec-17,480.00,520.00,480.00,505.00,24909000
22-Dec-17,462.00,482.00,462.00,478.00,13484700
21-Dec-17,464.00,470.00,460.00,460.00,7707100
20-Dec-17,480.00,480.00,460.00,464.00,16359000
19-Dec-17,484.00,484.00,478.00,480.00,10210700
18-Dec-17,484.00,492.00,482.00,484.00,8605100
15-Dec-17,470.00,482.00,470.00,482.00,9705100
14-Dec-17,470.00,484.00,460.00,470.00,19779700
13-Dec-17,476.00,476.00,464.00,470.00,3131400
12-Dec-17,484.00,488.00,468.00,476.00,4195000
11-Dec-17,500.00,500.00,482.00,482.00,6990700
8-Dec-17,498.00,505.00,496.00,496.00,2393500
7-Dec-17,505.00,505.00,496.00,498.00,3336700
6-Dec-17,510.00,510.00,500.00,500.00,2317200
5-Dec-17,520.00,520.00,500.00,505.00,63326200
4-Dec-17,510.00,525.00,510.00,520.00,40451600
30-Nov-17,525.00,530.00,505.00,505.00,61565300
29-Nov-17,525.00,525.00,515.00,525.00,16943800
28-Nov-17,530.00,530.00,515.00,520.00,17927600
27-Nov-17,545.00,555.00,530.00,530.00,31367100
24-Nov-17,525.00,550.00,525.00,545.00,27163200
23-Nov-17,520.00,535.00,520.00,525.00,29529700
22-Nov-17,530.00,535.00,515.00,515.00,25243700
21-Nov-17,550.00,560.00,520.00,530.00,23113900
20-Nov-17,560.00,560.00,550.00,550.00,20100900
17-Nov-17,555.00,565.00,535.00,560.00,41870500
16-Nov-17,565.00,565.00,550.00,555.00,33198500
15-Nov-17,575.00,580.00,560.00,565.00,38190200
14-Nov-17,575.00,580.00,565.00,570.00,27957100
13-Nov-17,580.00,585.00,570.00,575.00,18733700
10-Nov-17,590.00,590.00,570.00,575.00,20974500
9-Nov-17,590.00,595.00,585.00,585.00,25528800
8-Nov-17,590.00,595.00,580.00,585.00,24217600
7-Nov-17,600.00,600.00,585.00,590.00,20540000
6-Nov-17,580.00,605.00,580.00,600.00,30671200
3-Nov-17,570.00,585.00,570.00,580.00,34804900
2-Nov-17,580.00,585.00,570.00,570.00,26523000
1-Nov-17,590.00,595.00,575.00,575.00,22343400
31-Oct-17,600.00,605.00,590.00,590.00,21369400
30-Oct-17,595.00,610.00,585.00,595.00,16916800
27-Oct-17,595.00,595.00,585.00,595.00,19272000
26-Oct-17,600.00,605.00,595.00,595.00,4120200
25-Oct-17,595.00,600.00,590.00,600.00,4502000
24-Oct-17,610.00,610.00,595.00,595.00,5462300
