Date,Open,High,Low,Close,Volume
29-Dec-17,1500.00,1505.00,1490.00,1500.00,20743100
28-Dec-17,1495.00,1500.00,1470.00,1500.00,22454000
27-Dec-17,1440.00,1505.00,1435.00,1495.00,41140700
22-Dec-17,1450.00,1455.00,1440.00,1440.00,20633600
21-Dec-17,1455.00,1455.00,1440.00,1450.00,22650800
20-Dec-17,1480.00,1480.00,1430.00,1455.00,22391100
19-Dec-17,1485.00,1485.00,1440.00,1475.00,29757200
18-Dec-17,1475.00,1485.00,1455.00,1485.00,36609900
15-Dec-17,1475.00,1485.00,1470.00,1470.00,21580300
14-Dec-17,1470.00,1475.00,1445.00,1475.00,26330600
13-Dec-17,1465.00,1465.00,1450.00,1465.00,21171500
12-Dec-17,1460.00,1465.00,1445.00,1465.00,49783100
11-Dec-17,1430.00,1460.00,1430.00,1455.00,33876400
8-Dec-17,1435.00,1470.00,1430.00,1430.00,29251600
7-Dec-17,1490.00,1490.00,1430.00,1430.00,23702200
6-Dec-17,1465.00,1485.00,1460.00,1485.00,19012900
5-Dec-17,1495.00,1495.00,1460.00,1465.00,40264900
4-Dec-17,1490.00,1495.00,1450.00,1495.00,33959200
30-Nov-17,1455.00,1495.00,1415.00,1495.00,16749900
29-Nov-17,1465.00,1495.00,1395.00,1455.00,25616000
28-Nov-17,1440.00,1495.00,1440.00,1460.00,42433900
27-Nov-17,1495.00,1495.00,1440.00,1440.00,48154500
24-Nov-17,1485.00,1490.00,1465.00,1490.00,20413600
23-Nov-17,1475.00,1485.00,1475.00,1485.00,16608300
22-Nov-17,1465.00,1475.00,1465.00,1475.00,38098900
21-Nov-17,1475.00,1485.00,1470.00,1470.00,25750100
20-Nov-17,1490.00,1490.00,1475.00,1475.00,28832400
17-Nov-17,1485.00,1495.00,1480.00,1485.00,13332300
16-Nov-17,1485.00,1495.00,1485.00,1485.00,11730100
15-Nov-17,1485.00,1500.00,1480.00,1485.00,16620500
14-Nov-17,1485.00,1520.00,1485.00,1485.00,22230600
13-Nov-17,1485.00,1500.00,1485.00,1485.00,35751500
10-Nov-17,1510.00,1510.00,1485.00,1485.00,15719400
9-Nov-17,1510.00,1545.00,1490.00,1510.00,15272600
8-Nov-17,1505.00,1510.00,1500.00,1510.00,14728500
7-Nov-17,1505.00,1505.00,1500.00,1505.00,21658800
6-Nov-17,1500.00,1510.00,1495.00,1505.00,35035100
3-Nov-17,1500.00,1515.00,1485.00,1500.00,19955300
2-Nov-17,1500.00,1505.00,1500.00,1500.00,22419600
1-Nov-17,1500.00,1500.00,1495.00,1500.00,16826100
31-Oct-17,1485.00,1495.00,1480.00,1495.00,30019700
30-Oct-17,1505.00,1505.00,1485.00,1485.00,34079900
27-Oct-17,1485.00,1525.00,1480.00,1505.00,26448700
26-Oct-17,1495.00,1525.00,1465.00,1485.00,23702600
25-Oct-17,1490.00,1505.00,1485.00,1490.00,23314600
24-Oct-17,1475.00,1485.00,1470.00,1485.00,29141100
23-Oct-17,1455.00,1480.00,1455.00,1470.00,36952600
20-Oct-17,1485.00,1505.00,1455.00,1455.00,32008900
